start	end	text
0	2000	你說搶什麼
2000	4000	一群女的在搶新娘的故事
4000	5000	搶新娘
5000	7000	少女革命就是一個
7000	10000	宣揚女生不需要王子的一個理念
10000	11000	為什麼他們要搶新娘
11000	13000	這個故事裡面的王子是個反派
13000	15000	是個死變態
15000	17000	那是小時候看的嗎
17000	18000	小時候啊
18000	19000	兒童向的嗎
19000	21000	我覺得他一定不是兒童向
21000	23000	可是小時候你看電視那個卡通
23000	26000	他的分級就是比較隨便
26000	28000	就是你只要父母親不在你都可以看
28000	29000	我們先開始好了
29000	30000	好
36000	37000	哈囉 大家好
37000	38000	歡迎來到好味小姐開束縛
38000	39000	我還你原型
39000	40000	我是翠翠
40000	41000	大家好 我是緊急殺段
41000	43000	大家好 我是聖神範
43000	46000	上禮拜我們講到我們朋友來找我們嘛
46000	47000	來找翠翠啦
47000	48000	來看小孩
48000	50000	然後把她的女兒帶來
50000	51000	然後我們剛剛是聊到說
51000	53000	她女兒她在這邊的時候
53000	55000	一直要唱一首歌
55000	57000	她不是一直要手機嗎
57000	58000	她其實是
58000	60000	她其實是看兒歌影片
60000	61000	然後她在睡覺
61000	63000	我們不是說她那天睡覺
63000	64000	好累喔好累喔嗎
64000	65000	然後在之前
65000	67000	我覺得可能睡覺之前有一點ㄎㄧㄤ
67000	68000	她就在那邊
68000	70000	綠油精綠油精
70000	72000	唱了一個小時的綠油精
72000	75000	還有半個小時的大象大象
75000	76000	但她只會這一句
76000	78000	她下午的時候是在看那個
78000	79000	唱兒歌的影片啊
79000	80000	看兒歌的影片
80000	82000	她是看大象大象那個
82000	84000	兒歌都沒有新的兒歌出來是不是
84000	85000	好像沒有耶
85000	87000	兒歌創作者都消失了耶
87000	88000	沒有沒有沒有
88000	90000	她女兒後來比較新一點
90000	92000	應該是捏泥巴
92000	93000	捏泥巴也不新啊
93000	94000	捏泥巴更舊
94000	97000	哪有她是捏泥巴捏泥巴那個耶
97000	98000	蝴蝶姐姐唱的耶
98000	100000	那不是新的歌嗎
100000	102000	不是她比大象大象久
102000	103000	新吧
103000	104000	久啦
104000	105000	為什麼
105000	106000	蝴蝶姐姐是翻唱而已吧
106000	108000	她只唱了那首歌吧
