start	end	text
0	8720	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8720	9380	我是崔崔
9380	10460	大家好 我是阿段
10460	11220	我是曾帆
11220	17240	本期節目由營養師品萱 輕保養包包凍 第二件氣褶贊助播出
17240	20040	我們這個折扣呢 沒有那麼簡單
20040	22740	有一個很長的故事要跟大家說
22740	26720	首先 就是我們這個第二胎快要生了
26720	28700	第二胎快要生了嘛 對不對
28700	29980	五月就要生小孩了
29980	30480	對對對
30480	35400	所以我們最近啊 公司在進行一個未雨綢繆的改組的狀態
35400	36060	對對對
36060	39360	然後我們請了很多人負責一些我們原本自己要負責的工作
39360	41540	就是把一些工作分攤出去的感覺
41540	45260	對對對 然後覺得有需要我們就請一些助理什麼之類的
45260	47440	我們現在每個人都身兼數職
47440	50220	比如說我可能要負責跟大家一起拍片嘛
50220	52020	錄Podcast 剪Podcast
52020	55340	然後我們在剪輯影片剪完之後 我要去審片嘛 對不對
55340	58600	我們那個電商網站 一些行銷的那個檔期什麼
58600	59880	我們也是自己想
59880	60840	想要做什麼
60840	62520	這樣子的結果呢 就變成說
62520	63880	其實我們的電商啊
63880	66080	品薛電商或是豪小宇電商
66080	67360	都沒有在行銷
67360	68480	因為沒有空
68480	69200	基本上沒有在行銷
69200	70400	有在關注就知道
70400	73000	我們那個FB上的廣告啊
73000	75360	都是好幾年前拍的影片
75360	77680	我在想啊 依照這個狀態下去啊
77680	79800	等到陳春安我們第二胎生出來之後
79800	81480	對 那個忙碌都下去
81480	83720	我們直接收掉算了
83720	85480	整個事業停擺
85480	86960	絕對直接荒廢
86960	89720	所以我們就趕快請了很多就是專業人才來進來
89720	89740	對 所以我們就趕快請了很多就是專業人才來進來
89740	90740	加入我們
90740	92940	有專門負責行銷的人這樣子
92940	94100	所以在未來
94100	95940	一些以前不常發生的事
95940	97020	就會普遍的發生
97020	98540	不常發生的事
98540	101460	就是開始會有一些打折活動
101460	103820	你有沒有發現我們以前做活動都是怎樣
103820	104540	都是怎樣
104540	106260	要嘛有人要生小孩
106260	108580	要嘛有人叫貨叫輸出量
108580	112660	都是這種隨機事件
112660	113740	要嘛過生日型的
113740	115860	要嘛危機處理型的
115860	119020	未來應該就會有一個比較有系統的
119020	119580	稍微穩定
119580	120420	稍微穩定一些的
120420	122300	給大家一些折扣
122300	122460	給大家一些折扣
122460	124380	給大家一些折扣
124380	125500	希望大家會喜歡
125500	130020	所以這次的活動是營養師品圈的輕保養保保肉
130020	131900	第二屆七折的優惠
131900	133820	不限口味
133820	136900	然後其實我們你在別的地方
136900	137620	蝦皮什麼之類
137620	140780	有時候散步是看到有人在賣我們營養師品圈的商品
140780	142100	它的價格我不確定
142100	143780	但是在我們的官網上
143780	144980	都是標價
144980	147820	然後直購價打八折
147820	148580	這次活動是直購價八折之後
148580	149540	直購價八折之後
149540	150540	再打七折
150540	152500	所以其實是那個價格的一個
152500	153660	五六折
153660	154660	之類的
154660	154940	好
154940	155820	總之很便宜
155820	157260	總之很划算
157260	157820	沒有錯
157820	159580	所以你現在只要去品圈的官網
159580	160940	然後選輕保養保保凍
