start	end	text
0	29980	大家好 歡迎來到好味小姐開束縛 我還你原型
30020	34440	然後他們最強雙星就是小黑瓶跟極光水
34440	40160	那這兩個東西呢 它就主打說可以讓你的膚況改變更全面 更有感 更快速
40160	43960	我自己其實從第一次接到他們那個業配合作分享
43960	45420	我就一直用到現在
45420	48640	我就算算應該有一個大半年超過了吧
48640	51320	我覺得有點換不掉
51320	54320	對 就是整個感受都很不錯
54320	56160	那首先是那個極光水
56160	58440	就是有時候女生可能鼻翼兩側啊
58440	59980	或是下巴會有點小疙瘩
60000	60840	你知道嗎
60840	62640	有點像小顆粒的東西
62640	63400	那就很惱人
63400	64680	然後你又弄不掉
64680	66640	認真保養大概一兩個禮拜之後
66640	68160	你就會很明顯感覺到
68160	69800	有被代謝掉
69800	70720	有被撫平
70720	72560	然後我自己的使用方法其實就很簡單
72560	74440	就是照品牌介紹給我們的方式
74440	77000	就是你使用前就稍微先搖勻一下
77000	78880	因為它裡面有一個專利的激活棒
78880	83640	所以它就可以快速的混合裡面的97比3的油水比例
83640	85000	然後你就倒在你的化妝棉
85000	86680	或有的人喜歡用手拍
86680	87800	那你就可以避開眼周
87800	90000	然後輕微的把它擦拭在你的全面
90000	90680	全臉上
90680	93200	那我自己是會加強下巴跟鼻翼啦
93200	94800	就是比較容易粗糙的地方
94800	95600	那另外一個呢
95600	99200	就是我跟黃一傑剪輯師都很喜歡的小黑瓶
99200	101640	我最近變成這個小黑瓶的愛用者
101640	102680	你也被擄獲了嗎
102680	104120	朋友我桌上的小黑瓶
104120	106120	因為我最近我覺得可能是老了
106120	107280	就是瘋狂改變
107280	110520	我覺得你會洗完臉之後就是臉超級乾澀
110520	112080	就會有一種會癢
112080	113560	然後會有一種好像要瀝掉的感覺
113560	114400	啵啵的感覺
114400	115640	對 所以我就問神聖說要怎麼辦
115640	116680	你有沒有什麼建議
116680	119520	他說你可以用這個小黑瓶試試看
119520	121920	然後我發現它有一個很精巧的頭
121920	123200	就是你蓋下去之後呢
123200	124400	它就會有一個滴管
124400	125280	你打開之後呢
125280	127680	它就已經吸好固定的份量
127680	128760	所以你不用去那邊想說
128760	129840	你要用多少支
129840	131520	反正就是用這一份
131520	133280	然後就把它滴在我的掌心
133280	133800	神聖跟我說
133800	135960	你要就是用另外一隻手指沾
135960	137560	對 你不要那麼雙手把它抹勻
137560	138560	這樣浪費
138560	139680	對 不要沾
139680	141320	然後把你臉上點幾點
141320	143400	然後再慢慢的塗勻這樣子
143400	144680	塗勻之後覺得說
144680	147520	整個臉確實那種乾燥乾癢的不適感
147520	148640	就全部消失
148640	149360	而且可以維持
149360	150360	很久的時間
150360	152280	就是我有差沒差的感覺
152280	153600	我覺得就是一整天
153600	155200	都可以感受到它那個效果
155200	157360	我覺得連男生都可以感受到
157360	160160	效果的保養品表示真的是很明顯
160160	162920	那最後當然要來講的是優惠的部分
162920	165240	我看了一下是蠻厲害的啦
165240	166960	如果大家記不清楚我講什麼
166960	168520	或者是聽得不清楚的話
168520	170080	我們之後也都會寫在資訊欄裡面
170080	171120	不用擔心喔
171120	172840	那它這次呢有分兩組優惠
172840	175600	首先是小黑瓶入坑組買一送五
175600	177400	大概是一個五九折左右
177400	179160	就是如果你買小黑瓶30ml
179160	180800	它就會送你小黑瓶7ml
180800	182640	加極光水10ml三罐
182640	185840	加小黑暗瓶4ml的
185840	186720	那另外一個組合呢
186720	189800	就是極光水修護組也是買一送五
189800	191920	然後大概是一個五七點五折左右
191920	194040	就是你買極光水150ml的呢
194040	196040	它就會贈送你小黑瓶7ml
196040	198240	然後極光水10ml的4罐
198240	201720	跟超極光靜滯毛孔洗面乳30ml
201720	204480	跟超極光靜亮蛋番雞脆7ml
204480	206800	好那你如果你兩個組合都帶回去的話呢
206800	208320	就是一組大概是個6880
208320	209120	就是你買6600
209160	211920	這時候呢你就可以輸入專屬的折扣碼
211920	214760	現在還要輸折扣碼
214760	216280	對還有折扣還有折扣
216280	218560	這個折扣碼叫做LOVEMD
218560	221240	就是L O V E M D
221240	223360	就是愛媽媽節的意思
223360	225320	哦
225320	227320	它就可以在現折300塊
227320	228840	然後也會有加贈贈品哦
228840	230680	那以上就是大概6580
230680	233080	就可以帶兩組回家的意思
233080	233840	優惠非常多
233840	235200	好詳細的資訊呢
235200	236640	我們通通都會放在資訊欄裡面
236640	238720	大家記得要點開來看看哦
238720	243560	現在時間3月21日凌晨1點17分
243560	245400	好我們今天要來討論一個
245400	246560	非常嚴肅的話題
246560	248720	我也覺得有點嚴肅
248720	251040	就是這個我啊我本人
251040	254720	難道是一個半土耳肺的人嗎
254720	256240	這是很嚴重的指控哦
256240	256880	是嗎
256880	258600	對這是很嚴重的自我審視哦
258600	259520	是嗎沒錯
259520	261960	如果有人說我半土耳肺我很生氣
261960	265080	我這個週末就一直在就是自我審視之中
265080	266880	跟大家說我這個週末怎麼過的哦
266880	268560	這個週末呢我這個兩天的時間
268560	269800	有空的時候
269800	271840	我都躺在我們家二樓
271840	273400	把兩個那個
273400	274600	爛骨頭併在一起
274600	276360	連在一起躺在爛骨頭上面
276360	277440	好軟爛的
277440	278560	還玩switch
278560	280800	蛋餅都在旁邊排隊排不到爛骨頭
280800	282200	超可憐的
282200	283240	還死不讓
283240	284160	玩了兩天
284160	285760	雖然我表面上看起來很輕鬆
285760	287720	但是我一直不停的在苦思
287720	290440	我難道是一個半土耳肺的人嗎
290440	291280	為什麼我會這樣想
291280	292480	哦告訴各位
292480	294120	這個我大概上禮拜四啊
294120	294960	對
294960	296760	開始執行我這個
296760	297520	168的這個
297520	298520	突然選
298560	300200	宣布他168
300200	301440	而且我是號召天下
301440	302200	我就跟大家說
302200	303520	從今天開始
303520	304640	老子就是要168了
304640	305160	我要減肥了
305160	306240	我要瘦得不成人形了
306240	306560	對
306560	308880	然後跟我說我以後點午餐都不用點他的
308880	309320	沒錯
309320	310440	大家不要阻止我
310440	312520	不用擔心我瘦不紅
312520	313160	然後啊
313160	315360	我大概是禮拜三禮拜四的時候說的
315360	316560	大概到禮拜五的時候
316560	316880	對
316880	318480	我聽到風聲
318480	318960	風聲
318960	320480	我聽到風聲
320480	322280	就是我們辦公室的小夥伴們
322280	323440	在插賭
323440	325800	在開賭盤
325800	326680	好啊
326680	327560	開賭盤
327560	328360	開賭盤我覺得就
328360	329200	算了
329200	330400	不怎麼樣
330400	334120	但是我對他們這個開賭盤的方法有意見
334120	335920	他們的賭盤就是在賭說
335920	337280	阿端這一次
337280	339280	這個168減肥計畫
339280	340280	什麼時候會失敗
340280	342680	他就是賭定他一定會失敗
342680	344760	你講什麼時候會失敗就算了
344760	345360	對
345360	347640	說不定你裡面就是會有那種
347640	349320	兩年之類的
349320	350000	對對對
350000	351560	結果他們提供了兩個選項
351560	352040	兩個
352040	352680	兩個選項
352680	353480	對賭這樣
353480	354480	對對對
354480	356040	兩個選項
356040	356760	一個是禮拜六
356760	357360	一個是禮拜日
358360	359360	兩個是禮拜日
359360	360360	一個是禮拜日
360360	361360	兩個是禮拜日
361360	362360	兩個是禮拜日
362360	363360	過分了一點吧
363360	365360	跟我講賭盤那個人說他賭禮拜六
365360	368360	因為他說那些週末老大一定會破功
368360	370360	過分吧
370360	372360	羞辱
372360	374360	兩天欸超短的
374360	376360	因為我即使是相信你會蹭比較久的那一方
376360	379360	也覺得你只能多蹭一點而已
379360	380360	我就在想啊
380360	381360	我那時候躺在懶骨頭上
381360	382360	我就在想
382360	383360	我什麼時候
383360	385360	傳達出了給大家一種
385360	387360	這個我是不是一個非常
387360	389360	懶惰很容易放棄的人這個印象嗎
389360	392360	我覺得他只是針對關於減肥這件事
392360	393360	減肥本來就很容易失敗
393360	395360	對啊減肥本身就是一件很難的事啊
395360	396360	確實
396360	397360	對啊
397360	398360	直接想想我也不是第一次減肥
398360	399360	哈哈哈哈
399360	401360	對啊
401360	403360	好那時候我為什麼會開始想要168
403360	405360	其實遭到了連番的打擊
405360	407360	其實也不是說什麼很嚴重的打擊
407360	408360	連續的打擊
408360	411360	有時候這種小小破碎的持續的
411360	412360	才令人感到特別焦心
412360	413360	對對對
413360	415360	其實一直以來我都覺得說
415360	416360	我現在胖了一點
416360	417360	你就沒有
417360	419360	我不算太有身材焦慮的人吧
419360	420360	還好
420360	421360	越來越沒有了
421360	422360	所以這個警訊
422360	423360	越來越沒有了
