start	end	text
0	7900	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
7900	8600	我是翠翠
8600	9700	大家好 我是簡介師阿段
9700	10700	大家好 我是聖粉
10700	13300	本期節目由好味貓日常保養系列
13300	17600	和好味凍乾貓咪果滿額贈贊助播出
17600	18300	嗯
18300	19300	欸你沒有接
19300	21000	蛤 怎麼會拍手
21000	22000	不行 拍死了
22000	23400	被大家濕破很煩欸
23400	24300	沒有錯
24300	25200	好 總而言之呢
25200	28200	我們推出了我們的貓日常保養粉系列
28200	29900	我們這個其來有自
29900	31900	我們大概去年年底的時候
31900	33100	發了一份問卷
33100	35100	去問大家說大家貓咪平常有什麼
35100	38200	很常見的身體健康問題沒有
38200	40500	然後我們收集了大概9000份
40500	41300	超級多
41300	42900	接近1萬份的問卷
42900	44400	所以我們根據大家的意見
44400	45800	設計了三款
45800	47800	針對大家貓咪日常最常見的問題
47800	49200	來做營養方面的補充
49200	49700	沒錯
49700	51800	就是好味貓腸胃益生菌
51800	53800	好味護膚UQ粉
53800	55800	跟好味眼鼻益生菌三款
55800	57200	嗨 簡單來說呢
57200	58000	首先第一款
58000	60300	這個貓腸胃益生菌這個部分呢
60300	61800	就是我們精心挑選了
61800	64700	耐貓咪胃酸的好的益生菌
64700	67400	這樣就可以穩定安全的抵達貓咪的腸胃
67400	69000	這樣就可以幫助腸胃消化
69000	70800	然後維護腸道的健康
70800	72800	那第二款這個護膚UQ粉
72800	74200	就是針對皮膚保健
74200	76300	然後幫助皮膚的健康
76300	78000	所以就是包含了DHA乳油粉
78000	80800	然後還有辛酵母跟Q10等等
80800	83100	補充一些貓咪皮膚所需要的養分
83100	85500	然後維持就是毛髮健康容量
85500	86100	沒錯
86100	87000	那最後這一款呢
87000	88000	就是貓眼鼻
88000	90200	益生菌就是我們添加了離胺酸
90200	92400	還有針對眼鼻相關的益生菌們
92400	94000	那這樣就可以護眼保健
94000	95300	調整細菌酮生態
95300	97700	可以維持貓咪正常的味覺跟食慾喔
97700	99200	我們自己在使用上
99200	101500	感覺最明顯的是馬虎
101500	103300	因為馬虎我們都會幫牠擠尿
103300	104200	然後擠扁扁
104200	105900	所以我們就每天都超近距離
105900	108100	觀察牠的大便狀態
108100	109200	所以當牠定期的使用
109200	110800	我們這個益生菌之後呢
110800	112500	很明顯就是比較順暢
