start	end	text
0	8240	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8240	8800	我是翠翠
8800	9820	大家好 我是阿段
9820	10580	大家好 我是林聖凡
10580	11800	本集有預錄的廣告部
11800	16280	本集節目由光陰樂火有機仙銀耳贊助播出
16280	20000	這次確認合作之後 品牌方非常大方
20000	22920	他寄了超級多他們的銀耳來的
22920	23260	沒有錯
23260	25000	我們收到的是四個口味
25000	26480	分別是有機仙銀耳
26480	28180	然後還有仙潤仙銀耳
28180	29280	跟液菌仙銀耳
29280	31620	還有膠原奶茶仙銀耳
31620	34120	我自己是 我每個都有試喝
34120	35560	就是來了以後每個都有喝
35560	36800	我自己最喜歡的是
36800	38760	我可能還是比較喜歡比較傳統的味道
38760	40420	所以我是喜歡液菌仙銀耳
40420	42460	它是有一個淡淡的黑糖香氣
42460	45420	本來就是我還蠻喜歡的口味類別
45420	47240	然後我覺得它的口感各方面
47240	50360	也都會不會讓你覺得黏膩或是不舒服
50360	52180	很順 很好喝
52180	52840	我覺得很good
52840	55400	然後我覺得另外一個最特別
55400	56580	可以推薦大家試試看的是
56580	58160	那個膠原奶茶仙銀耳
58160	58900	仙銀耳
58900	59820	喔 沒錯
59820	61260	很酷耶
61260	63940	這個東西就是當初我們一打開的時候
63940	65740	說實話有點震撼
65740	67140	震撼人心
67140	71600	因為那個奶茶跟它那個銀耳那個膠混在一起
71600	73600	看到之後你會有點先嚇一跳
73600	75340	喝下去之後你就發現說
75340	76940	我們先不談它的銀耳
76940	78580	它那個奶茶也是一個
78580	80220	就是有一個碳焙香氣
80220	81520	因為它甜度不高
81520	83420	是低熱量低糖的
83420	85680	所以說就是本身就是一個很清爽的奶茶
85680	86960	然後加上它的銀耳
86960	88120	意料之外的非常的
88120	88920	很清爽
88920	89460	喔
89460	91560	我覺得你如果用粗吸管喝的話
91560	95000	你會很像真的在喝一個有料的鮮奶茶
95000	95860	有道理耶
95860	96300	對不對
96300	97160	喔有這個感覺喔
97160	99700	對啊就是很像在吃那個料的感覺
99700	102300	我覺得這其實蠻有飽足感的耶
102300	104840	就是四罐喝下來我覺得都蠻飽的
104840	107180	然後他們這個四款我覺得最特別的是
107180	108540	它都不太甜
108540	109040	欸對
109040	110700	對 非常優秀
110700	112940	那像是我覺得一般像是小孩
112940	114420	或是你懷孕的孕期
114420	116980	或是你本身是喝比較不甜的人無糖人
116980	117180	喔
117180	117860	我覺得你都可以
117860	119060	安心飲用
119060	120620	飲用過程非常體驗不錯
120620	121360	欸沒有問題
121360	122840	然後最近不是在換季嗎
122840	125360	所以可能大家可能會覺得忽冷忽熱食慾不好
125360	127540	你早上起床不想吃太油膩啊
127540	129540	或是宵夜不想吃太重口的時候
129540	129980	嗯
129980	132740	欸我覺得這個就很蠻適合當早餐或宵夜點心的
132740	133000	喔
133000	134180	因為有一點飽足感
134180	136580	但是又不會讓你覺得很膩口這樣子
136580	136780	嘿
136780	138380	然後每一罐呢我看了一下
138380	140340	不管哪一罐大概都不到100大卡
140340	140640	喔
140640	144320	所以應該算是一個非常低負擔的一個飲品
144320	146620	然後光陰樂活他們的銀耳飲呢
146620	147720	都是使用阿里山
147720	149480	原生菌種鮮銀耳
149480	151900	然後科學栽種無毒無農藥
