start	end	text
0	8140	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8140	8760	我是翠翠
8760	9800	哈囉 大家好 我是阿段
9800	10620	大家好 我是聖聖梵
10620	12140	本集要預錄的廣告喔
12140	17160	本集節目由方知生技日月養生地基金贊助播出
17160	19160	喔 這款地基金寄來之後
19160	21440	我們家夢夢超級喜歡
21440	22660	超級奇蹟一般
22660	25060	對 因為可能知道大家知道我懷孕了
25060	27620	所以大概從去年年底到今年年初這段時間
27620	31720	很多人送我禮物都會直接送我這種類似滴雞精禮盒這種補品
31720	32320	嘿嘿嘿
32320	33720	我就會分給夢夢喝嘛
33720	37080	基本上之前的很多牌子雷夢都不太感興趣
37080	40040	我本來想說他是不是不喜歡這種滴雞精的味道
40040	43420	因為我們雷夢基本上是一個就是神仙來著
43420	45740	油煙不盡
45740	50160	他只是吃豆腐跟豆芽菜之類的
50160	51920	基本上什麼都不吃
51920	52400	對
52400	54640	那個之前那些滴雞精什麼的
54640	56900	或是我之前小時候喝什麼鱸魚精那種東西
56900	57600	反正就是
57600	58360	他就什麼都不要喝
58360	58860	熊車
58860	60360	熊車欸 對對對
60360	61900	他極限可能就兩三口之後
61900	63300	他剩下就會給阿嬤喝了
63300	63800	對
63800	64840	對 但是這次不一樣
64840	65460	很意外
65460	68040	他蠻喜歡他們家的滴雞精的
68040	68700	嚇一跳
68700	69940	對 我覺得很意外
69940	70900	然後我自己也有喝
70900	72660	我覺得喝起來確實是很順口
72660	75340	然後不會有一些什麼腥味
75340	77460	或是有可能有的會有中藥味
77460	79600	然後喝起來也不會黏黏的有油膩感
79600	80000	喔
80000	81200	我覺得可能是因為這樣子
81200	82500	所以夢夢很喜歡
82500	83000	喔
83000	84300	然後他們發生這個產品呢
84300	86700	是跟大品牌波蜜共同開發的
86700	87340	所以品質
87340	88740	安心有保障
88740	89980	那他們是主打低鈉
89980	91980	然後零膽固醇跟零脂肪
91980	93840	所以推薦給想要補充營養呢
93840	95680	但是又怕負擔太重的人
95680	96940	那輩運中的女性
96940	98440	或是像我們在懷孕中
98440	99900	或是剛生產完的媽媽
99900	102140	還有你常常熬夜外時的上班族
102140	103700	我覺得也很適合飲用
103700	104540	喔 沒錯
104540	106740	就是這一次他大概寄了
106740	108540	兩三盒禮盒過來
108540	108980	對
108980	110780	對 然後應該有個十幾二十包
110780	111300	差不多
111300	112940	欸 我就分到兩包
112940	113900	哈哈哈哈
113900	115780	其他都被夢夢喝完了
115780	116740	對 就分到兩包
116740	117080	這兩包
117080	117340	還是我
117340	118040	我媽看在說
118040	118640	喔 這個
118640	120580	你們這個有合作是不是
120580	121900	不然這兩包留給你喝喝看
121900	123080	這種狀態
123080	123440	對
123440	124740	我就是在那個
124740	126540	我晚上深夜要熬夜
126540	127940	減package什麼之類的時候
127940	129340	因為大家知道我在減肥
129340	129840	喔
129840	132140	不想要認真的吃個宵夜或什麼的
132140	133840	欸 所以我就會加熱一小杯
133840	134700	然後喝掉
134700	135700	就自己再喝一碗
135700	137400	經過精心熬煮的雞湯的感覺
137400	138180	喔
138180	139240	我覺得很療癒
139240	140740	這樣就可以了
140740	142200	這樣就可以了
142200	143280	而且你喝完就睡覺
143280	144400	不會覺得有心理壓力
144400	145680	沒錯沒錯
145680	146200	還有呢
146200	147080	就是他們的包裝
147080	148340	我覺得也蠻精美的
148340	149580	他們走的這個路線啦
149580	151420	我覺得是一個大紅色禮盒
151420	152380	不管是你母親
152380	153740	接下來母親節了嘛
153740	156080	很適合送給自己家裡的媽媽或長輩
156080	156420	嗯
156420	157420	對 或是像我這樣子
157420	158140	正在懷孕的人
158140	159240	我覺得都還不錯
159240	160340	那使用方式也很簡單
160340	161280	你就是拿一個馬克杯
161280	162280	然後隔水溫熱它
162280	163140	大概三分鐘左右
163140	164240	你就可以直接拿開來喝了
164240	164620	欸
164620	165820	對 很方便
165820	166680	那他們品牌呢
166680	169480	一樣有提供我們專屬母親節的優惠
169480	170780	那你點選資訊欄裡面呢
170780	172080	就會有專屬的賣場
172080	175740	可以享七四折起的超殺團購優惠價
175740	176420	嘿 你沒錯
176420	178320	好像聽說比他們自己官網活動
178320	179280	還要更便宜
179280	179920	唉唷
179920	181620	對 非常有誠意唷
181620	182960	那如果你母親節禮物
182960	184480	還沒有想好要送什麼的人
184480	186160	可以把握這最後一週的機會啦
186160	186780	好不好
186780	188220	那以上資訊分享給大家
188220	190080	有興趣的人記得要點開資訊欄裡面
190080	191460	來看看唷
191460	193080	好 現在的時間是5月2日
193080	194620	凌晨2點11分
194620	195020	嗯
195020	195980	喔 5月2日嘛
195980	196420	嗯
196420	197980	喔 5月1號老公節嘛
197980	198320	對
198320	199160	連放三天假嘛
199160	199580	對
