start	end	text
0	9840	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9840	11600	大家好 我是剪輯師阿斷
11600	13000	大家好 我是林聖凡
13000	16020	本集節目由制裁所贊助播出
16020	19360	我覺得我每次在念這個的時候 我都覺得默默有點開心
19360	22700	念類似這種很古典的廣告詞的時候
22700	24860	不覺得很有趣嗎
24860	26240	一個像播音員的夢嗎
26240	27560	對啊 很有趣耶
27560	29740	你現在是要開始展開這個話題 然後不念了這樣
29740	31980	沒有 沒有 沒有 對不起 對不起
31980	35600	好 那我們要來宣傳一下制裁所的一個活動
35600	38180	就是制裁所在10月1號到10月4號
38180	40640	還有10月9號到10月11號
40640	42640	有木材生活節的活動
42640	44780	那活動內容其實我覺得活動還蠻多的
44780	46300	它有實木手作體驗
46300	49680	然後也有一些職人分享的課程可以報名參加
49680	51240	所以把這個活動分享給大家
51240	53480	大家有興趣的話記得要去搜尋看看喔
53480	57200	好喔 然後呢 那個制裁所呢
57200	59680	妳是不是應該跟大家先解釋一下那是什麼玩意兒
59680	63180	好 就是不知道我們大家有沒有看我們有一集影片
63180	66280	在講我們辦公室 然後我們桌子是自己訂製的
66280	67020	喔 對
67020	67680	然後那個制裁所是
67680	70180	是蛋捲跟雷夢相見幻的這支影片
70180	71180	對對對
71180	73240	然後那個制裁所它那個三個字是
73240	75320	製造的制 木材的材
75320	79580	對 所以他們是專門做木做手工家具的地方
79580	82380	對 那我們那個桌子就是找他訂製的
82380	82780	訂製的
82780	84880	其實都是一些訂製家具
84880	87440	你可以自己去選桌板想要什麼木頭
87440	89640	對對對 然後選桌腳想要長什麼樣子 對
89680	92980	所以都沒有概念 他老闆也人很好 他就推薦給你
92980	95080	他們有一些現成的menu可以參考啦
95080	97080	然後我們就想說我們要做那個桌子
97080	99080	然後說說要什麼顏色的
99080	100480	然後大概要什麼硬度什麼用途
100480	101380	然後他就會推薦給你
101380	102480	那你的預算在哪裡
102480	103880	對 他就幫我們選那個木頭
103880	105080	聽都沒聽過
105080	107180	老闆好像跟我們同年喔 很年輕耶
107180	107680	喔 是喔
107680	108480	比我們小
108480	110280	小我們一兩歲吧
110280	110780	比我們小
110780	112580	我們的淵源其實蠻遠的
112580	114780	就是有一次我們是要去找那個
114780	117180	讓貓咪抓模子獎的木材
117180	117580	對
117580	119680	但是因為木材很難找就是你要找到
119680	121580	夠大片的原木板
121580	123380	然後又不是樟樹的很少
123380	124080	喔對對對
