start	end	text
0	8640	哈囉大家好 歡迎來到好味小姐開束縛 我還你原型
8640	9400	我是翠翠
9400	10360	大家好 今天是阿段
10360	11200	大家好 我是林聖凡
11200	14960	本集節目由營養食品圈買薇薇奶茶送鮮鮮系列
14960	17160	買一送一贊助不出
17160	21960	就是為了想要感謝大家對我們家薇薇奶茶的喜愛
21960	23400	就是我們之前有辦過活動
23400	25320	然後薇薇奶茶秒售慶
25320	25720	沒錯
25720	28800	對 所以現在我們已經幫大家都把貨補齊了
28800	31840	所以大家也可以上官網好好的補貨一番
31840	33560	然後現在這個活動是這樣
33560	37040	很佛 即日起只要購買任意口味的薇薇奶茶
37040	38120	買一盒薇薇奶茶
38120	40280	我們就送你一盒鮮鮮系列
40280	41680	鮮鮮系列裡面就有兩個口味
41680	43600	我們會隨機給你一個是鮮鮮紫米
43600	44840	一個是鮮鮮燕麥
44840	45920	鮮鮮系列顧名思義
45920	49520	就是擁有豐富膳食纖維的一個奶茶的配料
49520	54000	就是燕麥加上薏仁跟紫米加紅豆的這個組合
54000	56160	所以你就把它倒進你的薇薇奶茶裡面
56160	58560	它就跟適中的甜味就可以調和你的奶茶
58560	59280	變成一個
59280	60960	薇薇糖的感覺
60960	63920	適合宵夜或適合下午茶
63920	65520	想要吃一點小東西
65520	68760	增加一點咬感跟飽足感這樣子的感覺
68760	70480	然後我們不是只是買一送一
70480	71600	我們沒有上限
71600	73960	你買二送二 買十送十
73960	76520	基本上就是你買越多就會送越多
76520	78000	但是數量有限
78000	79440	所以大家如果你真的要搶的話
79440	80760	真的要很快
80760	81720	大家聽到這個消息
81720	85360	應該是這個活動的大概第二天
85360	86960	我不確定到底還有沒有
86960	88120	抖抖的
88120	88520	去看
88520	90440	去看看
90440	91480	沒有了我們會下架
91480	93480	你就知道說沒有了
93480	94160	去哪裡看
94160	96280	連結我們會放在資訊欄裡面
96280	98080	你就可以在這裡面看到了
98080	100560	記得手刀去看一下
100560	104920	現在時間是5月15日晚上9點55分
104920	107320	現在是我們的
107320	108080	對對對
108080	109160	這是個好問題
109160	111040	我們現在非常的急迫
111040	113480	我們必須來幫氣魄小朋友
113480	116440	他的中文的寫法
116440	118320	我們必須要來確認一下
118320	121640	我們現在網路上大概有大概八種方法
121640	125440	因為他這個命名有一個脈絡的關係
125440	126160	才變這樣
126160	127160	比較複雜
127160	128480	首先念作氣魄
128480	130880	氣魄是這個野草莓的意思
130880	131880	不是普通的草莓
131880	133160	大家一直跟我們提醒
133160	135680	他就是說那個氣魄不是普通的草莓
135680	139680	氣魄只是那種野生的那種小莓果那種東西
139680	143480	我覺得這個比那個正常長在溫室裡的草莓更好
143480	144480	沒錯
144480	145680	更適合我們一點
145680	146160	對
146160	147640	但是氣魄好
147640	148160	你要把它打成一種小莓果的東西
148160	149440	打成中文的時候
149440	151560	就氣魄要怎麼打成中文
151560	154800	就是會打一些奇怪的注音的話會有點困擾
154800	155200	對
155200	156480	所以現在很多種版本
156480	158600	粉絲包
158600	160360	因為有些是粉絲打的
160360	161680	陳穗蘭之前都會直接打草莓
161680	163400	但他明明就不是草莓
163400	164960	草莓那個味不對
164960	165560	對
165560	167720	有的人會打刺砲
167720	169720	像我之前說我可以打氣泡
169720	170920	但氣泡是另外一個意思
170920	172000	反正很複雜
172000	172680	現在很多個名字
172680	174120	所以我們統一好不好
174120	176120	我們統一就叫做
176120	177440	氣泡
177440	179280	感覺好像很可愛
179280	180680	然後我幫這個氣泡跟檸檬
180680	183040	想了一個新的hedge tag組合
183040	184680	叫做檸檬氣泡啵啵啵
184680	186760	我覺得很棒
186760	188600	對以後只要出現他們兩個的話
188600	189480	就會有這個hedge tag
189480	192960	好吧總而言之以後就統一打的時候叫氣泡
192960	193560	這樣子
193560	196160	像他的小名跟飛天小旅行裡面那個一樣
196160	196840	泡泡
196840	198200	不會啦
198200	199600	我們可能會叫他啵啵
199600	200200	啵啵
200200	201560	而且我們會講台語啊
201560	203040	對我們都講台語為主
203040	204800	檸檬也是講台語為主
204800	206080	會講氣啵啊
206080	207000	會變啵啵
207440	208880	好麻煩就是以後會有人一直問說
208880	210600	為什麼氣泡姐叫氣泡
210600	211160	你就要一直跟他講
211160	212880	會氣泡是這個
212880	215000	請他來聽這一集
215000	216680	寫起來太麻煩了
216680	218760	所以說我們就
218760	220480	好所以我們氣泡小朋友
220480	222360	上禮拜五出生
222360	224120	所以這個應該是陳翠環坐月子的
224120	227360	第一二三第三天
227360	228960	對超級早的
228960	229800	陳翠環今天
229800	231240	我們現在不是在浴室中心
231240	232240	我在家裡
232240	233360	我回家一趟
233360	234840	莫名其妙
234840	236240	今天小夥伴看到我的時候
236240	237400	有一個人他東西掉了
237400	238960	超誇張的
238960	240000	大家沒有想到說
240000	241480	原來孕婦就是生完小孩之後
241480	243560	是可以走來走去的
243560	244360	這樣子
244360	245520	然後我們跟他說月子中心
245520	248040	是月子中心又不是監獄
248040	250240	你要出來誰帶我們出來
250240	251800	又沒有點獄長
251800	252960	早點之後我們就回家一趟
252960	254520	就看看貓然後搬一些事情這樣
254520	255440	順便錄個podcast
255440	256280	對對對對
256280	259160	然後那既然是剛生完小孩
259160	260880	所以我們就來跟大家更新一下
260880	263280	我們的生小孩歷程的
263280	264240	第二個版本
264240	264960	第二個版本
264960	266040	對我們第一個版本
266040	267240	上次生雷姆的時候
267400	269640	本來是想起到一個就是
269640	271160	讓大家安心的感覺
271160	272880	增進生育率的一個效果
272880	273360	對
273360	274640	但是我看大家的回覆
274640	276520	好像這個效果沒有十分顯著
276520	279160	因為我腸後的狀況有點糟
279160	279920	也不是這樣講
279920	281280	我們那個時候想說
281280	284600	我們把生產的過程講得越清楚
284600	287520	大家就越理解中間會發生什麼事情
287520	288720	就不害怕了
288720	289160	對對對
289160	291800	就是我們認為大家害怕的是未知
291800	292840	就像你說的
292840	293760	結果我第二胎的時候
293760	295800	我覺得大家其實也會害怕已知
295800	297320	對其實已知是最可怕的
297400	299240	所以我們上一個就是講得太清楚了
299240	299960	對
299960	302400	好所以我們這次來更新一個氣魄的版本
302400	303360	氣魄的版本
303360	305880	來詳細能夠一改大家對於這個
305880	307480	生小孩這件事情的這個
307480	308560	誤解
308560	311320	誤解
311320	312680	首先要講這個氣魄的故事
312680	315280	我們必須回到兩週前
315280	316840	先要前情提要一下
316840	317240	對對對
317240	318640	從兩週前開始講起
318640	319120	OK
319120	321440	就兩週前我們去產檢的時候
321440	323040	醫生就跟我們說
323040	325520	這個依他氣魄的這個成長狀況來看
325520	326080	對
326080	327240	然後加上說第二胎可能會變成
327240	328280	會比較早生
328280	330800	通常會比第一胎早一點點
330800	333200	所以我們預期在兩個禮拜後
333200	334200	就是這個
334200	336800	氣魄38點多的時候吧
336800	338000	然後早個禮拜五
338000	339280	早個喜歡的時間
339280	341080	我們就可以來醫院準備好
341080	342080	然後就催生
342080	343040	待成這樣子
343040	344360	就順順的把他生下來
344360	346200	OK結束
346200	348280	然後呢那天回到家呢
348280	350000	幽緯凡就問說
350000	351840	預約好了時間是吧
351840	352720	當然預約好之後
352720	354400	一定會提前再生
354400	355480	因為我的經驗就是這樣
355480	357200	你就做一個經驗而已
357240	358600	幽緯凡他就是在
358600	360400	約的那個前一天
360400	362480	前一天的凌晨
