start	end	text
0	29980	大家好 歡迎來到好味小姐開束縛 我還你原型
30000	32920	大家好 我們做好了停更的準備
32920	35420	對 我們什麼事都要往最壞的去打算嘛
35420	38460	像我們上一集是一生完的時候錄的那一集
38460	42220	那時候覺得說因為要跟大家交代就是生小孩這件事情
42220	44220	有很大的改變 重大事件
44220	46120	我們有想過了 排除萬難都要錄一下
46120	48300	就是要跟大家講這件事情嘛
48300	51060	但是接下來這兩集就是進月中
51060	53180	陳川開始雞奶什麼之類的
53180	56280	我不確定說他這一胎開始雞奶之後
56280	57740	他的情緒狀況怎麼樣
57740	59980	有鑒於我的第一胎大概是不太優
59980	62860	對 他接下來雞奶不順 然後整個都很暴躁這樣子
62860	63700	對 然後很猶豫
63700	65700	所以這兩集空下來是我們努力的證明
65700	67380	沒錯 這兩集
67380	69380	或者是我狀態不錯的證明
69380	72300	我覺得大家聽了到表示說我們這個工作態度
72300	76660	簡直就是好到令人髮不髮之心
76660	78900	每天亮 每天美麗
78900	81700	我每次出現在家裡小夥伴都很不可置信
81700	83060	對 然後我媽都會
83060	86060	你怎麼又跑回來了 怎麼又好燙著
86060	88860	月中的姐姐們也會 你又跑出去
88860	89940	我現在都請假
89940	93660	請假 我傳LINE很多會手抖欸 就是臉紅
93660	96860	對啊 現在我們這間
96860	98540	就是那個月中服務都很好
98540	101060	但是最近這一週開始出現就是
101060	103740	那種晚上的點心忘記送那種狀況
103740	106380	他以為我不在
106380	108300	就躺在那邊躺到9點說
108300	110220	為什麼今天沒有點心來
110220	111780	然後打電話就說沒有送去嗎
111780	113140	才會有姐姐慌慌張張的說
113140	115980	我們以為每天晚上都拿出去
115980	118620	其實就算你不在 他也會送給你
118620	119900	對 只是因為我真的
119940	121180	他也想不在了
121180	124420	他可能開始懷疑那間有沒有住人
124420	127260	我們現在就被掛在一個就是特殊房間那個狀況
127260	128860	對對對 我都就是請假的時候
128860	130620	我都會忍不住想要回說
130620	131860	不好意思 我太常請假
131860	134340	我這是一個不乖的媽媽
134340	137060	然後一方面 陳春又很愛親味
137060	139580	就是因為難得就是還算順利
139580	141620	我就希望可以維持一段時間
141620	143540	對 所以他三更半夜 凌晨兩三點
143540	143820	對
143820	146540	請那個嬰兒房 如果說季伯想喝奶的時候
146540	148940	就打電話過來把他叫起來 下去親味這樣子
148940	150460	平均大概三個小時一次
150460	152740	對 所以陳春就是一個特別積極
152740	153620	然後又特別
153620	155020	不積極的媽媽
155020	156860	所有的護理師都不知道陳春到底是什麼時候睡覺
156860	158540	Summer
158540	159540	鬼子作息
159540	163420	就是日班會有護理師來你們房間
163420	165780	就是稍微巡查媽媽的狀況
165780	167220	然後他就時常遇不到我
167220	168300	然後就覺得說
168300	169420	我到底去哪裡了
169420	170340	早上都不在
170340	174340	對 但是我又每次Uncle我都會出現在未來世
174340	175380	他就覺得很神秘
175380	177460	很幽靈 很幽靈
177460	178540	對 很神秘 對
178540	179420	不知道到底住在哪
179420	180260	對
180260	181540	不是重點
181540	183700	重點就是我們這一集
183700	184700	竟然有錄
184700	185100	對
185100	187500	這表示說我們現在一切都還在
187500	188500	掌控之中
188500	189820	軌道上
189820	191020	對 還算順利這樣子
191020	191540	對
191540	194220	那難得有這個控下來的這個檔期
194220	195700	不然我們就
195700	198540	隨便做個活動
198540	199620	隨便亂送
199620	201260	我剛剛臨時想了一下
201260	202180	不然就這樣子
202180	204420	我們偷偷給大家一個折扣
204420	205140	只有Podcast的人知道
205140	207660	不要告訴別人
207660	208540	我們Line S我們有一個折扣的
208540	209700	我們都不會發
209700	210980	然後就只有Podcast知道
210980	212660	然後你這個禮拜吧
212660	213060	差不多吧
213060	213780	一個禮拜差不多
213780	214540	偷偷的
214540	216380	三天就好
216380	217500	還是當天限定
217500	218900	還是一個下午就好
218900	220660	當天限定太Hardcore了吧
220660	223220	有的人就是要下班才會停
223220	224740	不算 就七天好了
224740	226620	就到我們下一集Podcast
226620	227700	發布前
227700	228540	的那個感覺
228540	229060	OK
229060	232500	好 我們只要輸入我們以下優惠碼
232500	233540	這個我們剛剛說什麼
233540	234220	我們剛剛說
234220	235940	我就知道你會忘記
235940	238380	LOSD
238540	240780	在什麼
240780	241660	GC
241660	242940	LOSD GC
242940	245300	就是臨時的折扣
245300	246380	LOSD GC
246380	247380	臨時的折扣
247380	249380	臨時的折扣
249380	251060	523
251060	252060	今日的日期
252060	254420	對 臨時的折扣523
254420	255500	我們就折
255500	256700	直接現金折扣
256700	257900	沒有任何條件
257900	259060	折個
259060	260100	折個免運
260100	261100	折60好了
261100	262380	對 折個免運
262380	264980	我們等一下才會去設定
264980	265580	等一下
265580	266340	一個去剪片
266340	267900	一個去設定優惠碼
267900	270140	在好位小姐的寶藏店
270140	271380	不限品項
271380	272460	不限金額
272460	273180	就打
273180	275020	臨時的折扣523
275020	276420	我們就現折60元
276420	277380	好好好
277380	279460	超態度隨便
279460	280340	然後今天
280340	282020	我們要跟大家分享一件
282020	283340	我原本以為
283340	284900	我會帶進墳墓裡面的事情
284900	286460	我也是這麼覺得
286460	287180	我今天發現
287180	288580	我不需要帶進墳墓的時候
288580	289740	我很驚訝
289740	292020	心裡的那個壓力減輕了一點點
292020	292660	真的
292660	295020	你知道人負擔越多秘密的話
295020	296140	越難活得快樂
296140	297180	真的
297180	297860	在氣泡的時候
297860	299100	剛生出來之後
299100	301900	人生就瀰漫了一股陰影這樣的感覺
301900	303660	沒有那麼嚴重
303660	304900	然後回味道來
304900	305820	首先要講這件事情
305820	306580	我必須先講一下
306580	307820	我們最近這一陣子的
307820	310340	這個生活樣貌是怎麼樣
310340	311740	就是我們月子中心
311740	313380	因為有雷夢的關係
313380	314660	有大寶的關係
314660	316140	所以我們就訂了一間
316140	317620	很大間的房間
317620	318820	就是有特別找
318820	321580	就是有愛大寶的那一種月子中心
321580	324060	原本就可以帶大寶去住這樣子
324060	325620	因為我們之前就一直超級擔心
325620	327140	就是雷夢會不會在
327140	330060	氣泡出生之後覺得被剝削了
330060	331700	或是有分離焦慮之類的
331700	332700	那種感覺
332700	334980	所以說我們基本上好像是做到
334980	336580	氣泡出生之後
336580	339180	我們陪雷夢跟雷夢玩的時間
339180	342380	比氣泡出生之前更多的感覺
342380	344140	感覺是這樣沒錯
344140	346260	然後每次只要雷夢跟氣泡見面
346260	348740	我們都會幫氣泡準備一個禮物送給雷夢
348740	349860	小禮物給他
349860	350780	其實後來想想
350780	352260	我們這樣做有沒有必要
352260	353460	其實應該是有必要
353460	354580	我也覺得有
354580	355660	因為我們第一次
355660	357140	氣泡生出來的第一天
357140	359180	他第一次就是母嬰同事
359180	360620	就待在我們旁邊的時候
360620	362620	我們就有開視訊
362620	363540	然後給雷夢看說
363540	365500	氣泡生出來的這樣子
365500	366940	然後雷夢一開始本來很興奮
366940	368780	就想說他有看氣泡
368780	370900	真的看到之後他就突然
370900	373660	他沉默了一下
373660	374580	臉色一沉
374580	375300	跟看到
375300	377260	就是跟現在平常看到蛋餅的反應
377260	379060	有一點不一樣
379060	380860	然後看到爸爸媽媽都在
380860	382660	氣泡旁邊
382660	383700	相機的對面
383700	385740	然後氣泡還躺在我身上
385740	387100	然後阿嬤也要看氣泡
387140	387900	對
387900	388660	這樣子就覺得說
388660	389380	他那個時候
