start	end	text
0	8900	大家好 歡迎來到好味小姐開束縛 我還你原型
8900	9480	我吹吹
9480	11220	大家好 我是阿斷 大家好 今天是阿凡
11220	14440	我剛剛忘記我們節目叫什麼名字了
14440	17100	好 本集節目由 兒福聯盟公益合作
17100	21480	兒福聯盟呢 他們每年5月到7月的時候都會推出台灣制的T-shirt
21480	24140	那這個活動之前已經邁入第15屆了
24140	28320	過去14年呢 他們已經累積易賣超過50萬件的T-shirt喔
28320	31080	所以他們幫助超過5000位的弱勢兒童
31080	34340	那這個T-shirt販賣呢 其實也是兒福聯盟他們最重要的活動
34340	36660	也是他們最主要的收入來源之一
36660	39320	那這兩年不是因為疫情的關係嗎
39320	41240	所以他們愛T-shirt這個收入呢
41240	44120	這兩年來的銷售都遠遠不如他們的預期
44120	47480	對 所以希望我們可以來跟大家稍微分享一下這個資訊
47480	48680	因為大家在家裡 所以
48680	50140	我會穿衣服出門
50140	51560	是這樣嗎
51560	53960	你在家 好像是耶
53960	55100	確實
55100	55960	我不用穿衣服
55960	58280	好 如果大家有能力
58280	58300	請記得訂閱我們的頻道
58300	61060	訂閱的話 希望大家可以點選我們的資訊欄裡面的連結
61060	63580	然後到兒福聯盟的官網去參考看看
63580	65380	我覺得衣服其實都還蠻可愛的
65380	68760	而且我覺得很平價 一戒指要349塊
68760	70360	對對對 我覺得很佛來的
70360	74420	那購買的時候 他還會送你價值350元的愛心折底餐券
74420	76800	所以基本上你還倒賺了一塊錢
76800	78300	喔
78300	79540	是不是
79540	82120	嘿 有愛心就要用在這裡啦 好不好
82120	86740	那另外呢 還有15週年他們還推出了一個超實用的限量聯名小包
86740	87580	那你買的話呢
87580	88260	就會送你兩件
88260	91540	一張150元的愛T 還有兩張350元的愛心券喔
91540	94160	那以上就是這次想要跟大家分享的公益活動
94160	95080	那詳細的資訊呢
95080	96760	我們會幫大家放在資訊欄裡面
96760	99640	大家記得一定要點開來看一下 了解一下喔
99640	103580	現在時間是5月30日凌晨1點06分
103580	104840	我覺得有點晚
104840	105380	欸 沒錯
105380	107980	我們想說我們在這個從月中逃出來的期間
107980	109140	我們要盡量
109140	109980	早一點
109980	111620	10點多 把路一路
111620	112760	趕快回月中這樣子
112760	113580	免得被追殺
113580	114400	對對對對
114400	116440	欸 但是就是這樣直接睡死了
116440	118220	三個人都睡得不醒了
118260	119380	人是
119380	120920	然後這次呢 我來跟大家分享
120920	122420	我上個禮拜
122420	124760	就是我們的 可能是三大主題之一啦
124760	125220	對
125220	127820	就是這個有關於拉肚子的事情
127820	129220	哈哈哈哈
129220	131500	什麼三大主題
131500	134420	這是唯一大主題
134420	135620	上禮拜又拉肚子
135620	136380	真的受不了欸
136380	138420	我覺得我最近一直三不五時一直在拉肚子好煩喔
138420	139300	他很慘欸
139300	140220	他逃去月中嗎
140220	142180	問我有沒有止痛藥
142180	143860	超可憐的
143860	144420	總而言之
144420	147300	現在我大概有一半的時間會陪陳志安在月子中心
147300	147620	對
147620	148100	然後一半的時間
148100	149260	可能會待在家裡
149260	149860	對對對
149860	151300	兩邊輪流照顧這樣子
151300	152420	然後呢
152420	155540	上禮拜大概是禮拜二嗎
155540	156580	禮拜三
156580	157740	某一天
157740	159420	那天晚上我就沒有回月子中心
159420	159820	對
159820	161220	有可能隔天要拍片什麼
161220	162700	所以我是留在家裡
162700	164020	在家裡睡
164020	166740	然後那天不知道有什麼因緣巧合
166740	168460	照理說我如果在家裡睡的話
168460	169940	雷夢應該會在房間跟我一起睡
169940	170340	對
170340	171460	所以我就被他箝制
171460	172580	我就必須要就是
172580	173460	時間到了
173460	174580	我就帶他去睡覺
174580	176580	對 大概十點多的時候我就要去了
176580	177620	然後他會翻身啊
177620	178060	然後叫我去睡覺啊
178100	178820	講故事啊
178820	179380	對對對
179380	180620	然後他會一直說要去上廁所啊
180620	181300	對
181300	184060	然後通常經過他一陣這樣子的消耗
184060	185740	他睡的時候我也差不多
185740	186660	累壞了
186660	187340	超想睡覺
187340	188060	對對對
188060	190140	所以我就會再跟他一起睡著
190140	192060	就不會起來就是搞些有的沒的
192060	193340	但那一天
193340	195300	不知道是我們的行程有改變
195300	196300	可能我媽覺得說
196300	197980	原本我好像要去月子中心
197980	198860	喔
198860	200580	可能後來才變得不用去
200580	201300	然後怎麼樣
201300	201940	總而言之
201940	203100	那天雖然我在家
203100	203380	對
203380	204340	但是黃維夢呢
204340	205420	是跟我媽睡
205420	206420	喔
206420	207020	轉翻了
207020	207460	沒錯
207460	207620	所以我就等他一天睡覺
207620	209860	我就等他一個晚上的時間
209860	210940	是自由之身
210940	212180	既不用陪老婆
212180	213340	也不用帶小孩
213340	213580	對
213580	214700	沒有任何的責任
214700	215180	對
215180	216260	然後我就覺得
216260	217300	責任
217300	218340	我覺得哇這也太爽
218340	220220	好像不能就是輕易的
220220	220980	就是去睡覺
220980	222540	或放過這個休息的機會
222540	222860	對
222860	224220	但是那一天當我發現
224220	226580	今天是一個美好的一天的這個情況的時候
226580	227700	已經太晚
227700	228300	已經深夜
228300	229820	可能已經一兩點
229820	231420	所以我也沒有辦法去找別人
231420	233020	去做什麼別的事情
233020	234340	我就只能就是在家裡
234340	234980	可能就
234980	236260	我記得我就只有吃宵夜
236260	237580	然後看個電影吧
237580	238420	之類的
238420	240140	然後我也就是這樣去睡覺
240140	242820	然後我在睡覺的時候
242820	244700	我就覺得睡得不太安穩
244700	245740	不太安穩
245740	247140	就肚子不舒服
247140	248140	胃痛的感覺
248140	248940	胃痛
248940	249660	跟我上次
249660	252100	我上次拉肚子那一次是上吐下瀉嗎
252100	253340	喔你說腸胃炎那一次嗎
253340	254220	對對對
254220	256300	那一次我忘記我睡覺的時候有沒有感覺
256300	258060	我應該是睡醒之後才覺得不舒服
258060	258580	對
258580	259660	但這次不一樣
259660	260660	這次我在睡覺的時候
260660	262260	我都覺得胃部灼熱
262260	262980	灼灼
262980	264180	就胃痛
264180	266100	但是還沒有想拉肚子的感覺
266100	267540	洗床了之後呢也是一樣
267580	268620	胃痛
268620	270300	所以我就去吃了胃藥
270300	271020	隔天還是一樣
271020	272340	該拍片的拍片
272340	273820	該開會的開會
273820	275380	但是我就是開會的過程中
275380	276860	我就一直覺得肚子不舒服
276860	279460	就開始就是進入拉肚子的狀態
279460	282660	就一個下午跑了五六次的廁所吧
282660	283460	那你不很害怕
283460	284900	你又是跟上次一樣那樣嗎
284900	285780	對啊我就超緊張
285780	286180	我一直在
286180	288860	因為上次最主要的那個問題是大嗝
288860	290740	最主要的那個病癥是大嗝
290740	293660	然後大嗝有一股腐敗的臭味
293660	296260	又重塑這個可怕經驗
