start	end	text
0	4240	哈囉大家好 歡迎來到好味小姐開束縛 我還你原型
4240	8280	哈囉大家好 歡迎來到好味小姐開束縛 我還你原型
8280	9180	我是崔崔
9180	10100	大家好 我是阿段
10100	10780	大家好 我是林聖凡
10780	12720	本集有預錄的廣告喔
12720	15680	本集節目由FU-PANDA贊助播出
15680	17480	叫FU-PANDA送
17480	20660	其實我很喜歡講這句話
20660	21960	真的假的
21960	25600	對 我每次看到廣告的時候都會復甦
25600	28660	因為我覺得這個旋律莫名的有點就是你知道迷人
28660	30700	其實請呢 只要首次訂閱PANDA PRO
30700	33240	無論是你是月費半年或是年費制
33240	34500	只要在訂閱的時候
34500	38240	輸入我們好味小姐的專屬訂閱制折扣券
38240	39580	就是LADY
39580	43380	即可享有首月免費優惠喔
43380	46140	我覺得我們現在的生活基本上應該是沒有辦法想像
46140	48780	有一天如果沒有外出日子要怎麼過了吧
48780	49620	是
49620	50720	對 我們現在基本上
50720	52060	大家的早餐午餐
52060	54680	辦公室小夥伴們每天的午餐
54680	56420	還有我們下午有時候買東西
56420	57720	或臨時需要一些什麼
57720	58660	雞蛋麵粉之類的
58660	61360	基本上我們都會叫外送
61360	62500	我們上次做那個
62500	63600	有一支影片做皮蛋
63600	64200	對
64200	65760	欸 裡面那個
65760	68060	因為我們需要稻草燒成草木灰嘛
68060	68500	對
68500	69880	臨時找不到稻草
69880	72380	我們去買那個兔子吃的那個飼料草
72380	74180	也是虎輝拿送來的
74180	74900	沒錯
74900	75880	懵吧
75880	77680	就是什麼都有
77680	78920	因為之前我們也有分享過
78920	80680	就是我們其實作息蠻亂的
80680	83020	所以我們拍片有時候拍五六個小時
83020	84720	然後我們還是會希望晚上的時候
84720	87280	大家晚餐盡量可以大家坐在一起吃飯啦
87280	88360	就跟家人
88660	90120	那時候呢我們沒有時間
90120	92700	所以外送對我們來說就是非常的重要
92700	94760	用來維持我們家庭和諧
94760	95300	對對對
95300	96960	讓大家都有飯可以吃
96960	99200	那上面呢有非常多的餐廳還有分類
99200	100040	然後還有介面
100040	102800	我覺得都還算是蠻清楚簡單好操作的
102800	105000	所以如果你想吃什麼美式素食啊
105000	105940	台式和菜啊
105940	108340	或是西餐等等都沒有問題
108340	108980	那你想想看
108980	111240	如果我們現在沒有外送服務的話
111240	112560	我們就會餓到半夜
112560	113820	然後晚餐沒有人煮
113820	115580	然後他老婆就會生氣
115580	116360	全部都餓死了
116360	118120	我們都全部都餓死了
118120	120220	我們就沒有辦法好好拍片
120220	122060	好啦如果訂閱FANDA PRO的話呢
122060	123720	就會變得更方便又更省錢
123720	125300	因為你包含美式外送啊
125300	126320	還有生鮮外送
126320	127360	它是不限次數
127360	129540	只要單品消費超過179元
129540	131500	他就不用外送費
131500	132460	所以對我們來說超
132460	133000	吃到飽的感覺
133000	134300	對對對 對我們來說超划算
134300	135340	因為我們家人很多
135340	136180	179
136180	136880	對對對對
136880	138440	哇179我就是
138440	139540	你一個人就超過
141640	143440	對其實我覺得門檻算蠻低的
143440	144420	對
144420	146320	那在特定店家外帶自取顏額
146320	147960	還會有5%的折扣
148120	149620	也只要六四折
149620	150360	所以除此之外
150360	152360	每個月他們還有上萬店家的
152360	155560	FANDA PRO專屬優惠可以疊加使用
155560	157600	所以你可以就是只計金打細算
157600	159100	就會變得很划算
159100	160400	那除了外送之外呢
160400	162000	憑著FANDA PRO的會員資格
162000	163560	你在精選店家內
163560	166100	還可以享有七五折起的優惠唷
166100	168240	它是沒有評價日的限制的
168240	169500	那一個人有會員的話
169500	171340	全桌都會打折
171340	171980	喔
171980	173080	非常的划算
173080	175780	所以真的是居家外出旅行必備的APP
175780	177980	好以上的優惠就分享給大家
177980	179180	那詳細的活動資訊
179180	180340	還有我們的折扣碼呢
180340	181680	我們都會放在資訊欄裡面
181680	183420	大家可以點開來看看
183420	186320	現在時間6月24日凌晨三點
186320	187760	三點
187760	189120	三點
189120	190320	好
190320	191820	節奏差得很差耶
191820	194460	好這個禮拜就是我們都在孤小孩嘛
194460	194760	對
194760	196840	所以我今天想要跟大家分享一個
196840	198960	這個我最近的一個
198960	199900	啟發
199900	200740	啟發
200740	204180	這整個Podcast的節目充滿你的啟發
204180	206440	我真的不是故意要講這個話題
206440	207340	但是真的是最近的
207340	207780	我一個
207780	207980	感情的一個
207980	208480	感覺
208480	209640	是跟屎尿有關的嗎
209640	212980	不然為什麼不想要講這個話題
212980	214260	一點點
214260	215320	我要知道
215320	216420	一點點
216420	217460	是這個原因
217460	218720	不是我覺得我現在要講的事情
218720	220260	算是一個警示預言
220260	220760	OK
220760	221420	一個預言
221420	221920	好
221920	224360	就是說如果你想要再考慮說
224360	226140	之後要不要生小孩什麼之類的
226140	228060	你可能要把這一點考慮進去
228060	230940	會影響到你的一些
230940	233200	價值觀跟生活方式等等之類的
233200	235900	這整件事情跟屎尿有關
235900	236740	沒有那麼有關
236740	237780	但是就是有關
237780	239080	插邊
239080	239680	好
239680	240180	好
240180	241380	就是
241380	242380	這個
242380	244060	這件事情
244060	246320	要從一間這個廟開始講起
248900	249800	屎尿未及
249800	251220	我好期待
251220	252060	要從一間廟開始講
252060	253560	好創新的開創方式
253560	256740	所以我們這邊是台中市這個南屯區
256740	259460	我們這邊有一個當地的一個信仰核心的廟
259460	259960	對
259960	261000	叫做萬和宮
261000	261600	對
261600	262700	是一個三級古蹟
262700	264080	我們之前講過很多次
264080	264700	對對對
264700	267580	然後他大概在每年一月底的時候啊
267580	270780	他會辦一個霞道法會
270780	272660	霞道哪個霞
272660	275460	就是中文寫作蟹斗
275460	276120	蟹寫的蟹
276120	278420	然後斗是那個一斗米兩斗米那個斗
278420	279560	霞道是台語啊
279560	280820	霞道法會
280820	282420	然後這是一個祈福法會吧
282420	284260	那實際上到底在幹嘛我也不曉得
284260	287500	反正他就是這個定級會辦的怎麼樣的一個法會
287500	288740	然後這個法會的時候呢
288740	291080	大家就會聚集到廟那邊去
291080	292200	然後那個廟呢
292200	295700	會準備很多很多的宿舟
295700	296440	壽眉
296440	297580	就是讓大家帶回去的
297580	298380	對
298380	299580	就一個吃平安感覺
299580	300140	對對對
300140	300880	平安粥
300880	301480	OKOK
301480	303480	平安眉這東西就對了
303480	305380	阿我阿嬤很那個信仰虔誠
305380	305720	對
305720	309360	所以我們每年就是這個時候就一定會去廟裡面那邊領
309360	312460	我大概去過一兩次
312460	314200	在我們比較小的時候
314200	315340	因為有時候可能是在平日嘛
315340	317440	所以應該是在蠻小的時候
317440	318340	還不用上學的時候
318340	319600	喔他是看農曆的日子
319600	320800	所以有時候是平日
320800	322280	對才會跟著去
322280	323200	印象就很深刻
323200	325080	因為就去拿那個粥的時候呢
325080	326440	是在那個廟
326440	328840	他不是說那種香客大樓
328840	331680	是在那個香客大樓的地下室
331680	333080	然後那個算是一個大活動
333080	334140	就有很多人來
334140	335720	所以他大概要準備
335720	338560	好像說要準備七八百斤的粥
338560	340160	就很多很多的粥
340160	341660	然後那粥是熱的喔
341660	342560	就是現煮好
342560	344300	好幾鍋在那邊煮這樣
344300	345920	所以他的地下室
345920	347760	從一樓往地下室走的時候
347760	348820	就覺得下面
348820	351840	熱氣昏騰
351840	353200	粥啊熱的粥
353200	355100	有很多人進進出出
355100	356440	熱氣昏騰這樣子
356440	358940	再來就是那個粥的味道就很濃郁
358940	360040	那個粥的味道呢
360040	361240	就是素粥嘛
361240	363520	就是那種白粥
363520	365140	白粥不是就會有個粥味
365140	365780	米粥味
365780	369860	然後加上燉煮的胡蘿蔔跟香菇
369860	372260	跟一些芋頭的那個味道
372260	373220	對我來說那就是那個
373220	374260	瘦萌米
374260	377460	然後很濃很濃很濃的瘦萌米的味道
377460	378500	鹹粥的味道
378500	380600	那個時候那個味道就給我一個衝擊
380600	382440	在我心裡留下一個印象
382440	383500	然後再加上呢
383500	385100	我們一次都會領一鍋嘛
385100	386300	一大鍋回家
386300	387360	那是平安粥啊
387360	387800	對
387800	388160	對不對
388160	389740	所以一定要把它吃完啊
389740	392340	所以我們可能接下來一兩天
392340	395280	那個粥就會被我阿嬤反覆的加熱
395280	396940	然後大家就吃那個粥這樣子
396940	400080	所以那個粥味道到後來會越來越濃縮
400080	401780	變得一個很重的瘦萌米粥
401780	404380	你知道那個瘦萌米素粥的味道
404380	405560	就是我在小時候呢
405560	409080	對這個我阿嬤給我的一個印象的味道
409080	409920	所以你聞到這個味道
409920	411260	就會想到阿嬤的那種感覺
411260	412300	對那種感覺
412300	414120	就是這個味道
414120	415560	帶著我阿嬤的這個印象在
415560	415760	好
416300	416800	聽題要是不是
416800	417960	對對對對對
417960	419440	好強
419440	420340	然後咧
420340	422340	然後上個禮拜我們都在照顧妻婆嘛
422340	422800	對
422800	424140	有一天晚上是我陪她睡
424140	424500	對
424500	426580	然後睡一睡我就覺得她就是這個
426580	427440	就是不安穩
427440	428480	有點躁動是不是
428480	428980	有點躁動
428980	429440	對
429440	431480	那一般來說如果小櫻哥哭的時候呢
431480	433520	我就會先檢查說她的尿布有沒有濕嘛
433520	433920	對
433920	434320	對
434320	436280	然後我就稍微摸一下她的尿布就發現說
436280	438760	尿布好像濕濕的髒髒的
438760	440200	所以我就把她抱到尿布台上
440200	440600	對
440600	441900	把她的那個包巾打開
441900	442360	對
442360	443320	尿布一拆開就發現
443320	444120	啊
444120	444860	她大便了
444860	445360	大便了
445360	447960	拆開的時候從她便便的看到那個大便的顏色
447960	448460	對
448460	449840	我就把她的尿布一拆開
449840	450540	嗯
450540	451460	拆開那一瞬間
451460	453400	她那個便便的味道
453400	454100	一湧出來
454100	454600	嗯
454600	455100	我就突然
455100	456380	我不想要聽後面
456380	458540	我不想聽後面
458540	459980	突然
459980	461940	我不想聽後面
461940	463580	對
463580	465620	就聞到了那個我印象中那個
465620	466380	阿嬤的味道
466380	467380	哈哈哈哈
467380	468820	瘦美的味道
468820	469720	哇就直
469720	470460	瘦
470460	472120	我不是聞到阿嬤味道
472120	473660	我那時候是聞到那個
473660	474560	瘦美味道
474560	475360	素著味道
475360	475860	對
475860	476460	然後
476460	477860	因為那個味道是小時候一個
477860	478900	很強烈的衝擊
478900	480160	所以那個味道怎麼說
480160	480860	就
480860	481660	很清晰
481660	483160	因為是印在你的記憶裡面的
483160	483460	對
483460	484360	很清晰
484360	484700	對
484700	485700	馬上就match上去
485700	487300	就是這個瘦美的味道
487300	489440	我的天
489440	491080	那一瞬間我就突然覺得
491080	492920	因為不太合理
492920	493280	你知道嗎
493280	493980	因為就是
493980	495320	我們照顧小孩這麼久了
495320	496120	一兩年了
496120	498580	不可能第一次才聞到這個味道
498580	499580	所以那時候我
499580	500880	先想到不是說
500880	501960	難道我阿嬤就是
501960	502960	哈哈哈哈
502960	503580	傻
503580	504960	他在想說什麼
504960	505260	當然
505260	506260	他在看你那樣
506260	507260	哈哈哈哈
507260	508160	好酷喔
508160	508460	對
508460	509060	不是都會這樣
509060	510060	因為我長期以來
510060	511760	在看那個PTT的Marvel版
511760	512360	對
512360	514000	我跟你講這件事情是真的
514000	514400	真的
514400	515400	就是一些
515400	516540	親人什麼之類的
516540	517200	對
517200	518240	就是他過往
518240	519300	然後他有時候
519300	520280	回來看看的時候
520280	520840	對
520840	522180	一般來說啊
522180	522940	都會聞到一些
522940	523940	比如說那種
523940	525240	特殊的味道
525240	526640	是透過氣味嗎
526640	527120	真的
527120	527640	這是真的
527640	529120	很多人都有這種這個經驗
529120	530160	我也有
530160	531460	常常是比如說是那種
531460	532260	他們以前
532260	534120	老阿嬤那個舅舅那種嫁妝啊
534120	534620	那種
534620	535720	木頭的櫥櫃
535720	536220	對
536220	537720	就會有那個木頭的味道
537720	538120	對
538120	539620	或是他們裡面可能會放一些
539620	540060	髒腦丸
