start	end	text
0	7160	大家好 歡迎來到好味小姐
7160	8860	開束縛 我還你原型
8860	9580	我是翠翠
9580	10580	大家好 我今天是阿斷
10580	11380	大家好 我是林聖凡
11380	13160	本集有預錄的廣告
13160	17300	本集節目由純鏈膠原熬雞精贊助播出
17300	22960	純鏈膠原熬雞精只選擇全程不用藥物飼養的健康機制提煉製成
22960	26140	額外加入足量的魚膠原蛋白萃取物
26140	28140	養顏又美容 營養更加分
28140	31340	純鏈熬雞精這款味道
31340	33540	我那天拿來的時候馬上就喝了
33540	34740	我覺得它是屬於那種
34740	37040	可能是因為有膠原的感覺
37040	38400	比較濃郁的感覺有沒有
38400	40700	它吃起來是一個很濃郁很醇香
40700	41940	比較厚實的感覺
41940	45340	就是跟我們之前喝的一些低雞精比較不一樣
45340	46400	因為它是熬雞精
46400	48440	確實那種好像熬了很久
48440	49800	然後那個雞湯很濃
49800	50720	濃郁的感覺
50720	53160	就是你喝完之後嘴巴會覺得黏黏的這樣子
53160	55520	就是很多吃膠原蛋白類
55520	57620	像是你喝豬腳或是熬很久的魚湯
57620	58120	對
58140	58640	對
58640	59740	都會有這種感覺
59740	60460	的感覺
60460	61300	因為它送來之後
61300	62460	我去看一下它的成分
62460	63900	它是沒有脂肪也沒有碳水
63900	64940	對
64940	67740	所以很符合一個想減肥的人可以喝的東西
67740	69180	的那個脖子
69180	71740	所以我也是就是在熬夜或者說
71740	73980	剪Podcast的時候半夜會很餓
73980	74380	沒有
74380	75700	其實主要是早上
75700	76780	就是你剪到早上之後
76780	78700	你會想睡覺沒有胃口
78700	81580	但是又想要吃一點什麼
81580	83460	因為它是濃郁的感覺
83460	85980	所以就可以給你一些療癒感
85980	86900	我覺得不錯
86900	87620	OK
87620	89420	我自己是因為我現在是哺乳期
89420	90620	所以我大家都知道哺乳期的時候
90620	92860	你要喝很多湯湯水水
92860	95260	然後要補充蛋白質之類的東西
95260	97900	它們會需要你就是吃很多膠質類的東西
97900	98660	對
98660	101860	然後你又很怕你一個不小心一個吃太胖
101860	104900	所以像這樣子就是你這種熱量控制得很剛好
104900	106300	沒有脂肪沒有碳水
106300	109100	然後它裡面又有大量的水分又很好喝的東西
109100	110020	又很方便
110020	112700	就非常適合就是在哺乳期的我的現在這樣子
112700	113060	真的
113060	113820	對對對
113820	114300	然後呢
114300	116460	他們純煉膠原熬製精品全產品呢
116460	117420	是都有通過SGS的專頁來購買的東西
117420	119460	SGS的檢驗品質是非常有保證的
119460	120540	是不含防腐劑
120540	122540	然後室溫可以存放18個月
122540	123660	所以保存非常的容易
123660	125260	你也很容易攜帶出門
125260	127700	那隔水加熱的話你就可以馬上喝到囉
127700	129860	很多女生會想要吃那個膠原蛋白粉
129860	131700	可是會怕有一個腥味
131700	133500	我自己也是屬於會怕的那一種
133500	135380	但如果你是選擇膠原熬製精的話
135380	136300	就沒有這個問題
136300	138740	因為它就是一個雞湯的香氣
138740	141340	對你就不會覺得腥腥臭臭的味道
141340	144380	那最後當然還有一個就是優惠的部分
144380	146260	那即日起到7月31呢
146260	147260	膠原熬製精
147260	148500	8折期
148500	149940	那膠原熬製精30入
149940	151820	那他們原價是4800元
151820	153980	所以現在就只要3780元
153980	155340	那以上資訊分享給大家
155340	158620	有興趣的人一定要點開我們的資訊欄裡面去看看喔
158620	162300	好現在時間是7月4日的凌晨一點多
162300	163260	準時吧
163260	165100	欸終於大家都睡著了
165100	166060	然後呢
166060	169100	首先想要講一件事情
169100	170500	就是我們上一集啊
170500	173060	不是講這個最初的回憶嗎
173060	176460	好像講了很多事情是之前好像有講過是不是
176460	177220	有嗎
177220	178060	不知道啊
178060	179260	我就
179260	180900	我現在遇到一個很大的難題
180900	183740	就是不知道自己講的東西到底講過了沒
183740	186260	對因為我們很多東西可能不是一個完整的主題
186260	188340	我們可能就是後面講到留言啊什麼時候
188340	190060	突然就是提到一個意料一下
190060	191300	對對對對對
191300	192820	所以就根本不知道自己到底講過什麼
192820	195180	我們現在唯一可以問的對象只有他老婆欸
195180	196020	優惠凡老婆
196020	198900	優惠凡老婆是算記的比較稍微清楚一點
198900	200700	跟我們相比起來
200700	203660	但是有時候也是會就是
203660	204180	漏死掉
204180	205260	因為我們都年過30
205260	206780	有些粗老症之後開始跑出來
207220	208940	對啊
208940	210780	然後再來就是要找我們的那個
210780	212460	幫我們剪那個精華剪輯師
212460	212780	對
212780	214860	因為他就是等會重新review一遍嘛
214860	215740	對
215740	216860	但是我也發現說
216860	218700	就是他review到後面啊
218700	221100	有一點就是跳著review的感覺
221100	224420	他有一些也不知道我們到底是講過還是沒講過
224420	225100	對
225100	225660	哇
225660	226100	糟糕了
226100	228460	我們現在完全沒辦法辨別說
228460	230420	我們到底什麼東西已經講過了
230420	231420	所以我就想了
231420	233100	我們再重複講一樣東西
233100	234140	不好意思
234140	236140	那唯一可以避免這件事的方法
236140	236740	是
236740	240060	我們就講一些上禮拜發生的事情
240060	241740	新到一個不能再新
241740	242340	對
242340	244020	講上上禮拜的事情
244020	245380	啊有可能我們上禮拜有錄過
245380	245980	對
245980	247500	講上禮拜發生的事
247500	248660	絕對就沒錄過
248660	249620	不會錄過的吧
249620	250180	死不了
250180	251580	死不了了
251580	253900	啊這個最近啊
253900	255100	我必須說啊
255100	257260	因為反而不幫他女兒洗澡這件事情
257260	258420	已經影響到我的生活了
258420	262140	我沒有幫我女兒洗澡
262140	264780	我是延遲幫我女兒洗澡而已
