start	end	text
0	9400	哈囉 歡迎大家來到好味小姐開束縛 我還你原型
9400	10300	我是翠翠
10300	12280	大家好 我是剪剪師大段
12280	13740	大家好 我是沈聖帆
13740	18860	今天呢 是今天禮拜幾啊 禮拜二
18860	20140	已經禮拜三了
20140	21160	禮拜三了
21160	21480	對
21480	23100	所以明天就是中秋節了
23100	25260	沒錯 這是連假前最後一個工作天
25260	27340	所以我們就必須趕在今天
27340	29240	趕快錄個podcast
29240	31000	不然到時候人敘樓空
31000	33300	對 不然那個攝影師要回家啦
33300	34000	啊 你又回來
34000	34400	我回來啊
34400	35340	你又回來有個屁用啊
35340	36880	我們禮拜四要更新欸
36880	37780	喔 對
37780	39440	禮拜四應該人在高雄開唱
39440	40300	每週兩更了
40300	41300	對啊
41300	43040	積極努力
43040	43980	看我現在
43980	45040	認真負責
45040	46780	我現在可是抱著雷夢在錄啊
46780	48340	因為他剛剛在和妮妮
48340	49440	對啊 這種是這種情況
49440	51800	大概只能再維持個幾個月吧
51800	52300	為什麼
52300	54680	因為再幾個月他應該就會被吵醒了
54680	55500	喔
55500	56540	只能再維持個幾分鐘
56540	57440	他就起來哭了
57440	59140	欸 有可能 有可能
59240	60440	但有可能
60440	62080	喔 再過幾個月
62080	63240	那時候
63240	64440	你媽應該已經
64440	65340	喔
65340	65580	對
65580	66240	對不對
66240	67300	沒錯
67300	69040	我媽就要退休了 退休啦
69040	71080	哎呀
71080	72340	喔 真的是
72340	74080	有一個好婆婆真是太棒了
74080	75740	真是太棒了
75740	78100	非常需要家人的support
78100	80040	那我們剛剛就聊到說
80040	81900	就是中秋節那個
81900	83980	反正攝影師要回高雄去烤肉
83980	84340	對
84340	85640	那其實你們家也要烤肉啊
85640	86580	那我們家也要烤肉
86580	87780	欸 你們家會烤肉
87780	89140	我們家其實現在比較少
89140	91440	因為家裡有年紀很大的長輩
91440	92080	就麻煩了
92080	93440	對 就太麻煩了
93440	94480	然後他們就不喜歡烤肉
94480	96580	覺得烤肉的東西有什麼好吃的
96580	98540	乾巴巴又咬不動這樣
98540	99380	不喜歡
99380	101540	說真的
101540	103840	我們不是拍一支片
103840	105440	我們拍了一支那個熱狗
105440	106980	把香腸的那個
106980	108300	腦波肉拍了一支
108300	108980	對對對
108980	111500	我們就把市面上所有的這種超商
111500	112980	合裝的香腸
112980	113940	對 都買回來
113940	114700	然後烤
114700	114980	對
114980	117140	然後再評價哪一個比較好吃
117140	119140	對 我們認真的是用那種烤盤那邊
119140	119840	煎半天喔
119840	120640	對對對
120640	122640	然後就是完整的重複了
122640	124700	他應該在烤肉架上的樣子
124700	125100	沒錯
