start	end	text
0	8020	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8020	8620	我是翠翠
8620	10280	大家好 我是阿斷 老師今天真的很煩
10280	11960	本集有預錄的廣告
11960	16060	本集節目由isunit只有你贊助播出
16060	18180	插在孩子與孕期肌膚的用品
18180	21940	就是要選擇專門為寶寶還有媽咪需求所研發創立的品牌
21940	24680	來自台灣的親子保養isunit只有你
24680	28100	嚴選在地高活性紅藜與有機植物來源
28100	32180	百分之百的自然純淨給你跟孩子需要的舒適和保養
32180	33980	好 那今天分享的兩個呢
33980	35600	是我們曾經推薦過的商品
35600	38800	一個是只有你好評熱銷的補孕護理油
38800	40400	是媽咪補孕的好幫手
40400	42420	那它主要就是針對母乳期呢
42420	44540	你的肌膚的保養還有按摩滋潤
44540	46320	還有寶寶的護唇都很OK
46320	48460	那它們是無添加各種類型的防腐劑
48460	51220	所以跟寶寶親膚接觸也不用擔心哦
51220	52120	再來還有一個呢
52120	53840	就是家中必備的修護霜
53840	55640	紅藜活性高修復力
55760	58020	然後呢 它們是純植物無藥性
58020	60060	所以安心應付蚊蟲叮咬
60060	61720	以及各種膚況的問題哦
61720	64180	而且它們家的產品是無添加人工香精
64180	67000	都是我還蠻喜歡的植物草本的味道
67000	67780	那即時起呢
67780	70400	我們好位的聽眾想有限量的折扣嘛
70400	71840	結帳的時候記得要輸入
71840	72720	FLAVOR
72720	74080	FLAVOR
74080	76480	那都要是大寫就可以折抵100塊錢
76480	77600	那加入會員的話
77600	79480	還可以再領100塊的購物金哦
79480	80700	那邀請爸爸媽媽呢
80700	82520	一起來感受台灣紅藜的好處
82520	84640	從容應對全新階段
84640	86560	守護長大的每一寸肌膚
86560	88000	每一天都可以舒適
88000	88600	有安穩
88600	92440	現在時間是7月25日
92440	94380	淩晨12點14分
94380	98660	這個我今天非常非常疲倦
98660	101100	不是那種精神上
101100	103340	是那種身體上非常非常疲倦
103340	104880	認真的累的那種累
104880	105540	對對對對
105540	107300	這個就要跟大家其實說
107300	108580	我們上禮拜發生了什麼事情
108580	110660	上禮拜我覺得是
110660	112600	讓我特別焦慮的一個禮拜
112600	113300	怎麼說
113300	114580	因為上禮拜六
114580	117440	黃雷夢要去幼稚園的新生說明會
117440	117980	就是前面
118000	118500	前天啦
118500	120140	就前天
120140	121300	跟返校日一樣
121300	122540	對
122540	122900	沒錯
122900	124860	我小時候也好好的找到返校日哦
124860	126060	我覺得不太一樣
126060	126660	蛤 是嗎
126660	128900	因為返校日是回到一個你熟悉的環境
128900	131100	不是 返校日是提醒你暑假要結束了
131100	131600	對啊
131600	133560	我也覺得那種假期要結束的感覺
133560	135860	暑假結束前一個禮拜那種的
135860	137400	我覺得我那個緊張的心情
137400	139960	倒不是說接下來要開始上課那種心情
139960	140600	哦 不是嗎
140600	141700	就是一個 我不知道
141700	143400	我覺得林夢要去新生說明會
143400	145240	有一種我自己要去新生說明會的感覺
145240	146360	你會怕生嗎
146360	147600	你有這個問題嗎
148000	149200	陌生環境啊
149200	150500	然後陌生人事物
150500	151560	你太緊張
151560	152060	對
152060	153840	我已經很久沒有認識
153840	154500	真的
154500	156500	新的人在新的環境
156500	157340	很久沒有了
157340	158100	好像是
158100	160440	而且啊 最可怕的是他那個時間
160440	161840	哦 真的
161840	163740	我不知道他那個時間算不算有在客氣
163740	164860	我覺得應該有哦
164860	165600	那是有客氣嗎
165600	168260	對 因為我記得正常上課時間再早一點
168260	169140	真假
169140	170560	那個新生說明會呢
170560	171960	他那個報導的時間啊
171960	174100	是九點半以前要到
174100	174840	對 要報導
174840	175800	要報導
175800	177300	然後我那時候想說
177300	177440	九點半以前
177440	177940	九點半以前
177940	177960	九點半以前
177960	178000	九點半以前
178000	178540	要報導
178540	180660	然後我們平常上班的時間
180660	181500	是十點嗎
181500	182600	早上十點
182600	185640	那雖然我通常不會這麼早起來
185640	186200	但是
186200	187760	通常肯定不會這麼早起來
187760	188760	也不是沒有發生過嘛
188760	189360	我也不是沒有
189360	190900	就是大家來上班的時候發現說
190900	192200	他到底怎麼醒來的
192200	194460	對 所以說我十點是爬得起來的
194460	195540	有機會啦
195540	197400	那早個半小時也還好吧
197400	198000	我那時候這樣想
198000	199540	我想說好像九點半這個時間
199540	202000	好像沒有特別刺激
202000	204840	後來我就是大概禮拜五吧
204840	206860	我就跟我媽還有陳村聊這件事情
206860	207940	說我 哎唷靠唷
207940	208880	明天要一起行程說明會了
208880	209480	對啊
209480	210780	啊 時間是幾點
210780	212140	陳村說九點半之前要報導
212140	212580	對啊
212580	213040	我說這樣子
213040	214780	啊這樣子我們大概要幾點起床
214780	216140	陳村說大概八點吧
216140	217200	對啊
217200	219800	他完全忘記說小孩子出門要準備很多東西
219800	221080	而且還要通勤
221080	221980	我還想說八點
221980	224700	他平常上班只要坐起來就可憐了
224700	225980	他都忘記了
225980	226840	我完全沒有想到說
226840	228340	喔 我九點半要到的話
228340	229140	那我可能要
229140	229840	好 讓你賴一下
229840	231440	最少 最晚最晚八點半
231440	232540	你要從床上離開吧
232540	233180	對啊
233180	235140	就是要提早一個通勤的時間
235140	235740	對啊
235740	237900	然後還要再一個換衣服
237900	240100	什麼整理什麼東西的時間
240100	240800	整搬家
240800	242660	而且還要把小孩子叫起來
242660	243660	對 還要把你後面都叫起來
243660	245360	這是完全沒有發生過的事情
245360	245860	對啊
245860	247400	所以等於是這是我們第一次的
247400	249800	就是叫人夢起床去上幼稚園的實驗
249800	250760	對對對對
250760	252100	的感覺
252100	253100	所以我當我發現說
253100	255440	靠邀前一天八點要起床
255440	256760	我就開始特別緊張
256760	258800	特別叫後面
258800	261260	首先我要做一些比較重大的決定
261260	263140	在我那天睡覺之前
263140	265260	我現在大概都是晚上十一點
265260	266900	十二點的時候煮毛飯
266900	267900	弄完嘛
267900	268640	然後呢
268640	270000	全部的毛給我收一收
270000	272000	然後整理一下環境幹嘛
272000	273060	反正不知道幹嘛
273060	273900	弄一弄之後呢
273900	276440	我通常都是兩點的時候
276440	277960	會閒下來
277960	279860	接下來我要兩點的時候決定說
279860	282100	要去睡覺還是要去吃宵夜
282100	283100	有50%的機率
283100	284160	我會決定出來去吃宵夜
284160	288000	我覺得有75%
288000	289200	當我決定要去吃宵夜之後呢
289200	290800	我就開始籌劃我的宵夜嘛
290800	291760	對 就開始張羅
291760	292340	張羅
292340	294300	然後問大家說有沒有要吃東西啊
294300	295300	什麼之類的
295300	297860	然後陳串也有個六七十%的機率會說
297900	299240	為什麼你是五十八
299240	301000	我是六七十八
301000	302000	還要參加這樣
302000	303700	然後反正搞到最後
303700	306100	我們大家煮宵夜煮一煮吃一吃
306100	307340	可能那個誰啊
307340	308160	妻婆會醒
308160	309500	妻婆可能要醒還要喝奶
309500	310400	陳串就去餵奶
310400	312100	最後我再收拾什麼之類
312100	314140	所以我全部東西都搞好之後
314140	314960	我常常三不五時
314960	317200	就不知道為什麼就是凌晨五點了
317200	318140	才準備要去睡覺
318140	320760	清晨
320760	322700	五點的時候準備要去睡覺
322700	325660	現在我早上八點要起床
325660	326960	八點要起床
326960	327700	我就沒淋到一個
327700	329100	就是抉擇
329100	329840	要不要睡
329840	331540	對
331540	332300	因為太近了
332300	334200	那三個小時你看個距離過去了
334200	336500	我到底是睡了起來的機率比較高
336500	338960	還是沒睡準時起來的機率比較高
338960	339540	對不對
339540	340740	你怎麼活到三十幾歲了
340740	342900	還跟大學睡著
342900	345440	明天早八的課到底要怎麼辦
345440	346760	你這說得很對
346760	348140	我那天就這樣想說
348140	349800	如果今天是大學
349800	351600	就是我明天有一個發表
351600	352700	早上八點的課
352700	353400	不能翹課
353400	354460	我一定要去
354460	356160	那我那一天我就會選擇不睡
356160	357360	決定是選擇不睡的
357360	358200	為什麼我選擇不睡
358200	360900	是因為這個發表可能是兩三個月一次
360900	362600	重要時刻
362600	365620	我只要忍一忍一搖牙就過去了
365620	368660	但是黃綠夢之後是每天都要去幼稚園上課
368660	370800	而且大學的時候我們體力也好
370800	371560	對
371560	373460	那時候熬夜個一天就是還好
373460	374800	睡個下午就沒事了
374800	375260	之類的
375260	377760	現在熬夜就睡兩個禮拜
377760	378720	所以那時候就這樣子
378720	381160	我就考慮到更後面的事情
381160	382320	毛巾跟大學時候不一樣
382320	384000	我現在可以做更長遠的
384000	385120	開始當一個負責任的大人
385120	385600	對對對
385600	387200	我開始做一個做
387360	388700	一個要長線的考量
388700	390960	我想說我熬過今天也不是個事嘛
390960	391460	對不對
391460	392260	熬不到頭會熬死
392260	394000	對啊
394000	394920	我不能每天這樣熬啊
394920	396960	這個狀況不是靠熬就撐得過去
396960	397860	我不能每天都不睡
397860	402120	台中某黃先生子因為要在小朋友上學過老
402120	403760	昏倒在家送醫
403760	404800	所以我就決定
404800	407020	我那天一定要睡
407020	408420	因為是想睡的時候
408420	410320	我那天一定要睡
410320	413060	而且要睡就要早睡
413060	413900	黃綠夢也要早睡
413900	415060	他隔天要早起嘛
415060	415960	他也要早睡
415960	417320	那一天我們是所有全家人
417360	419460	都冒著全力在催他去睡覺
419460	420960	對我們飯趕快吃一吃
420960	421660	飯趕快吃完
421660	422860	就九點說黃綠夢
422860	424660	你現在該要上床了
424660	425820	要上床睡覺了
425820	427020	對然後就趕快
427020	429220	就是該念故事的念故事
429220	430620	該跟他玩的跟他玩什麼之類
430620	431160	然後
431160	432160	睡前一次做一做
432160	432700	對對對
432700	433700	也蠻順利的
433700	435220	大概十點左右
435220	435920	黃綠夢就睡著了
435920	436760	他就放倒了
436760	437360	他就睡著了
