start	end	text
0	8400	大家好 歡迎來到好味小姐開束縛 我還你原型
8400	9100	我是翠翠
9100	9900	大家好 我是阿段
9900	10800	大家好 我是日文
10800	12900	本集由Yulu的廣告
12900	15200	本集節目由Vana贊助播出
15200	18400	Vana在瑞典語意中是生活態度的意思
18400	21200	在北歐 大家喜歡將自然融入家庭
21200	23800	舉凡鮮花 鵝卵石 枯枝 樹葉
23800	25500	都能成為生活的點綴
25500	29200	而品牌也希望可以將這份生活概念與大家分享
29200	31700	那我們這次收到的是他們三個系列的禮盒
31700	35000	分別是北歐花園 光之季節 跟畫素禮盞
35000	37500	這個月他們有情人節優惠活動
37500	38700	情人節優惠活動
38700	40000	沒錯 還有情人節
40000	42000	明年喔 明年二月
42000	43400	有七夕啊
43400	45400	七夕 要情人節了
45400	47100	沒錯 是不是好興奮
47100	50400	真是個重大資訊
50400	51900	因為他寄了很多給我們
51900	54700	然後我自己沒有辦法全部體驗完所有的產品
54700	57600	所以我就想說七夕這些
57600	59000	你知道年輕人的玩意兒
59000	59100	好
59100	62100	應該很適合我們辦公室的那堆小夥伴們
62100	63700	喔 他們才是真正的使用者
63700	65200	對 他們才是真正的客群
65200	66800	所以我就把我們這次所有的東西
66800	68500	就是挑了幾樣我自己想用的
68500	71000	剩下的我全部都分給那些二十幾歲的妹妹們
71000	72000	喔 難怪我都沒有用到
72000	74100	對 因為你不是我的伴手
74100	75800	對 他們才是真正的使用者
75800	77100	喔 我們付的付錢就可以了
77100	78100	對
78100	80700	所以我底下呢就回收他們的心得分享
80700	81500	喔
81500	83800	那我先來分享我自己這個部分的使用心得
83800	85000	因為我要顧小孩嘛
85000	86400	然後家裡又有貓咪
86400	88900	所以我就是選一些像是清潔類的產品來
88900	90000	體驗這樣子
90000	91900	我覺得那種它雖然說是花香調
91900	93800	我一開始會有點擔心它很濃郁
93800	96000	可是我發現它是一個很中性很舒服
96000	98500	我覺得應該是男生也會喜歡的香氣
98500	99700	對 在你身上不會覺得
99700	101700	喔 好香很濃的感覺
101700	104100	就它洗完之後會覺得不會太乾
104100	106100	然後也不會滑滑滑滑滑
106100	107500	對 我覺得以清潔用品來說
107500	109600	我自己最要求的部分就是這個地方
109600	110300	然後再來呢
110300	113400	我還把那個北歐系列中的那個磨砂乳
113400	114700	磨砂乳
114700	116300	對 去角質的東西
116300	117300	你知道我送給誰
117300	118700	打蠟用的
118700	121000	去角質
121000	122300	我送給了媽
122300	123500	我是不是很貼心
123500	127400	所以你覺得我媽需要打磨砂
127400	130600	還有我覺得就是很多那個成年女性會很在乎
130600	133300	關於磨砂品的這個品質
133300	134900	它是臉跟身體都可以一起使用
134900	135900	你就很方便
135900	137300	你一罐就可以保管了
137300	139000	然後保濕力也很不錯
139000	141900	就是很多磨砂膏你會怕洗完乾乾澀澀的
141900	143000	我媽很擔心這樣
143000	144300	對 你媽的皮膚比較乾嘛
144300	146500	我媽隨時都會覺得自己快過敏
146500	147300	對 乾乾油油
147300	148600	隨時都會覺得自己紅腫
148600	151300	對 然後他們這個品牌也有特別補充
151300	155900	就是他們品牌的這個產品使用的是天然火山熔岩粉末
155900	157800	然後還有添加乳木果油
157800	160500	去角質的同時就是也可以達到有效的保濕成分
160500	162600	這個應該也是媽很在意的部分
162600	165700	然後最後就是我們家少女們最愛的品項
165700	167700	身體乳跟護手霜
167700	170000	他們每個人都有好幾條護手霜
170000	173200	就是每個香味不一樣他們就會買新的
173200	175800	對 就是非常喜歡各式各樣的香味這樣子
175800	177600	當成香水的感覺在
177600	178600	有點像這樣
178600	182800	因為可能會覺得香水好像對自己來說太成熟
182800	184100	護手霜比較隱晦
184100	185400	對對對對對
185400	187600	就是好像就是比較靠近的時候
187600	188300	別人就說你有分香水
188300	189400	他會覺得有點尷尬
189400	190500	對 沒有沒有沒有
190500	194100	沒有啦 我天生就想像的
194100	196000	就是這個感覺啦
196000	197000	然後他們說那個
197000	199500	他覺得畫素裡站的那個系列護手霜
199500	200600	他說洗完手之後呢
200600	203700	他就去擦一下護手霜去感受一下他那個吸收力
203700	205300	他覺得吸收的很快
205300	208000	所以你不會說塗完之後你要拿手機拿什麼
208600	210300	然後他就滑油油的
210300	211300	印到手機上面
211300	213300	他覺得這個是他覺得很好的體驗
213300	214300	印到手機上面
214300	216300	對啊 因為你滑手機會滑滑的啊
216300	218300	對耶 紙紋會增加的感覺
218300	219300	超討厭的耶
219300	220300	真的不行耶
220300	222300	對 這個我覺得蠻細緻的心得分享
222300	224300	然後再來呢
224300	227300	還有那個他們也有體驗到光之季節的洗髮露
227300	230300	對 然後他說他就是一個柑橘香氣
230300	232300	就是甜甜的那種香味
232300	233300	因為他有染燙
233300	235300	他覺得使用之後也不會覺得乾色
235300	236300	體驗很不錯
236300	238400	那最後呢就是他們要提供給大家的
238600	239800	人節優惠啦
239800	240300	好不好
240300	243300	這個就是接下來說的男士要注意聽的部分了
243300	244300	8月31號呢
244300	245600	在他們的官網下單
245600	247500	輸入我們的專屬優惠碼lady
247500	248600	就是lady
248600	250000	要記得是小寫喔
250000	252500	就可以享全站最低88折的優惠
252500	253400	那禮盒的部分呢
253400	254900	還可以折上加折喔
254900	256100	那詳細的優惠啊
256100	257100	還有琴牌的活動
257100	258800	我們都會放在資訊欄裡面
258800	261000	大家記得要點開來看看喔
261000	264800	好 現在時間是8月6日的這個晚上
264800	266200	11點26分
266200	267000	好早
267000	267600	非常早
267600	268500	然後我們這一集
268500	269600	播出的時候呢
269600	271800	應該是8月8號的早上
271800	273200	是父親節
273200	274600	就祝這個
274600	276600	全天下的爸爸們
276600	277500	父親節快樂這樣
277500	279400	他們一個父親真的是很辛苦
279400	282500	真的很辛苦
282500	283400	上禮拜
283400	286800	我這他媽快累死了
286800	288600	上禮拜就是大家知道說黃一夢
288600	290100	就是禮拜二
290100	291600	8月1號開始去上學了嘛
291600	292900	對 上幼兒園了
292900	294200	對 我就不知道
294200	296100	大家都說小孩去上幼兒園之後就會
296100	297100	放鬆啊
297100	298000	就覺得比較輕鬆啊
298000	298500	對啊
298500	300000	就是不用帶小孩啊
300000	300900	什麼之類的
300900	302200	那對我們來說
302200	304000	對我們這些守夜人來說
304000	306600	對 就是早上要爬起來就是
306600	307900	要命
307900	310300	比我想像中還要再更辛苦
310300	312800	我覺得辛苦蠻多的欸
312800	314300	我都不知道我該什麼時候睡覺
314300	315800	什麼時候起來才好欸
315800	318100	就說8月1號第一天上課的時候
318100	318800	是禮拜二
318800	319100	對
319100	320400	所以前一天我就剪Podcast
320400	321200	嘿嘿嘿
321200	322800	那天我想說那就乾脆
322800	323400	就不要睡覺了
323400	324900	不要睡 免得吃痛
324900	325900	我就剪完
325900	327200	那時間差不多
327200	328500	我們就直接去叫雷夢姬
328500	329200	去起床
329200	333000	然後就是比我想像中還要再順利一些
333000	334000	因為雷夢其實是一個
334000	336500	沒有什麼起床氣的小孩
336500	337500	本來喔
337500	339000	想像中
339000	340300	雷夢應該會在那個門口
340300	341000	然後就
341000	342000	死去活來
342000	343000	然後在那邊四號
343000	343800	十八相送這樣
343800	345300	對
345300	346300	想像中是這樣子
346300	346900	對啊
346900	348600	我覺得人家跟我講的都是這樣啊
348600	349900	什麼要哭就哭好久啊
349900	351000	之類的啊
351000	352500	結果實際到的時候呢
352500	354600	黃雷夢就乖乖的去把他那個鞋子
354600	355000	換好
355000	355800	換成室內鞋
355800	356500	對
356500	357200	然後老子就跟他說
357200	358500	喔 那我們進去了這樣啊
358500	360200	跟爸爸媽媽拜拜
360200	361400	對 他就
361400	362100	拜拜
362100	363700	然後就跟老師牽著手
363700	364800	然後就慢慢走進去
364800	365200	對
365200	366500	過程中也沒有回頭啊
366500	368300	也沒有覺得說恐慌的感覺
368300	368800	都沒有
368800	370200	然後還是跟老師閒聊
