start	end	text
0	8580	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8580	9200	我是翠翠
9200	10180	大家好 我是阿端
10180	10960	大家好 我是鄭凡
10960	14480	本集節目有台灣樂作創意協會的公益合作
14480	19020	台灣樂作創意協會是以成年心智障礙者輔導照顧
19020	23900	還有生長家庭支持以及改善獨居老人生活環境為主的公益團體
23900	30120	他們希望可以用快樂工作 創新公益的方式來打造生長樂兒專業學習場域
30120	35380	其中樂作交務隊就是針對獨居老人的居家環境還有生活改善來做服務
35380	40260	就是協會會帶領生長兒外出清潔 改善獨居老人的生活環境
40260	43560	然後希望可以從服務中建立生長樂兒們的自信
43560	47340	現在每個月捐款100塊 持續超過一年
47340	50200	或者是單筆捐款金額到達1200元的話
50200	51960	就可以大大地幫助協會
51960	53400	而且還能獲得一個
53400	57440	由生長樂兒包裝出貨的厚實暖心托特包
57440	61140	而穆德的資金都會使用在樂作交務隊的運作當中
61140	63640	以上就是這次想要跟大家分享的公益活動
63640	66600	詳細的資訊以及台灣樂作的官網連結
66600	67840	我們都會放在資訊欄裡面
67840	70340	大家記得要點開來看看喔
70340	73780	現在時間8月15日凌晨2點24分
73780	76260	8月15日已經是中秋節
76260	78760	中秋節是農曆
78760	81020	明天據說是鬼門開
81020	83380	好像是吧 8月16日好像是農曆的那個
83380	84280	1號啊
84280	85120	鬼門還沒開?
85120	86160	還沒還沒
86160	89160	我還想說就是雨最近好像快下完了
89160	90680	可以去海邊玩了
90680	92540	鬼門開有規定要去下雨嗎
92540	95120	不是是鬼門開的時候你就不能去海邊玩了
95120	95680	對啊
95680	97720	好不容易雨要停你可以去玩個水
97720	98320	但不行了
98320	100240	那你只能現在出發了
100240	101120	現在出發?
101120	101560	對
101560	104280	剛剛開怎麼辦
104280	106200	所以說
106200	110280	所以說就是中秋節的話就會是9月底喔
110280	112520	9月底還很久啦
112520	113220	中秋節是不是有連假啊?
113220	113360	對 中秋節是不是有連假啊?
113380	114880	好像有欸
114880	118380	好像我今年剩下的連假就剩中秋跟雙十吧
118380	119480	就沒了
119480	119880	今年剩下的連假
119880	121220	今年沒剩多久
121220	122380	今年剩八月
122380	125220	雙十連假過完就可以準備那個過年
125220	126620	跨年啦 對啊
126620	127820	就剩這兩個啦
127820	129820	跨年就可以準備過農曆年
129820	132620	過完農曆年還有228之類的
132620	133680	一路放下去
133680	134820	欸全部都串在一起了
134820	136220	這麼說也是不錯
136220	139220	啊這個為什麼今天會這麼晚開始錄呢
139220	140880	就我們家有兩個小孩嘛沒有辦法
140880	142540	好總而言之
142540	143220	總而言之我們家雷夢
143220	143720	好總而言之我們家雷夢
143720	146560	已經這個上學兩週了
146560	147780	對對對對對對
147780	148760	啊現在狀況是
148760	152220	黃雷夢應該是慢慢越來越適應了
152220	153180	健屈穩定
153180	154220	欸慢慢越適應
154220	156060	啊我們喔是越來越不適應
156060	157520	哈哈哈哈
157520	159320	我覺得我好像還好欸
159320	159720	蛤
159720	161180	對因為我是負責叫他起床的
161180	162420	然後本來要餵奶的關係
162420	165480	我睡覺的時間本來就被訓練的有點片段
165480	166060	喔
166060	167320	所以我剛好就是會在
167320	171560	就是他需要上學前一兩個小時我就會醒來
171560	172420	喔剛好要餵奶
172420	173260	對對對餵個奶
173260	176120	然後把氣氛放倒之後剛好去叫黃雷夢起床
176120	178520	喔今天早上我訂了一個七點
178520	181180	對對對我們的一個進步你知道嗎
181180	184580	以前齁就是我們都會訂七點半的鬧鐘
184580	184960	對
184960	186660	就想說要起來準備啊幹嘛
186660	188620	黃雷夢八點半之前要
188620	189160	到校
189160	189620	到校
189620	191780	嗯想說留個那個預留時間長一點
191780	192120	對
192120	193880	比較不會遲到這樣子
193880	195680	我昨天在訂鬧鐘的時候
195680	198460	我已經訂這個八點零五分起床
198460	199220	哈哈哈
199220	202120	我已經很精準的掐準那個時間
202120	202400	喔對喔我已經很精準的掐準那個時間
202420	203960	你已經習慣這個節奏了
203960	204880	我習慣這個節奏
204880	205120	嘿
205120	206520	我走到八點零五分起床
206520	208960	我們就可以在大概八點二十分出發
208960	210320	嘿走一條比較沒有車路
210320	212220	我們就在八點半到下
212220	213960	今天早上我就那個
213960	216260	隱隱約約趕到陳春蘭來叫黃雷夢起床
216260	216580	嗯
216580	218720	對然後八點零五分我鬧鐘就響
218720	220160	然後我想把鬧鐘按掉
220160	223080	按掉之後呢我就就是失去意識
223080	223380	嗯
223380	224780	反正我就我就沒有醒過來
224780	225720	我繼續睡著
225720	226080	對
226080	228980	下次醒過來的時候已經那個十點多
228980	230580	就是已經一一切都過完了
230580	232120	這些事情都已經結束了
232120	232620	進千
232620	234620	對已經有人上班進進出出了
234620	237180	對然後我就突然就是很有這個感情說
237180	240320	我忘記起床帶雷夢去學校了什麼之類的
240320	241680	我遇到陳春蘭的時候我就跟她說
241680	243580	我剛剛沒有爬起來沒有跟黃雷夢去上學
243580	243960	對
243960	244720	陳春蘭說
244720	245980	你今天要留在家裡陪氣魄啊
245980	247560	因為早上阿嬤有事要出門
247560	248020	對啊
248020	249520	欸有人留在家裡陪氣魄這樣
249520	251020	對所以你今天本來就不能去
251020	252560	然後我就
252560	254480	嗆到
254480	255580	突然覺得欸
255580	256420	欸沒有嘛
256420	257780	那我本來就不能去嗎
257780	260180	原來我沒有就是不負責任這樣
260180	261660	結果他好像也沒陪到氣魄
261660	261820	因為氣魄也沒有陪到氣魄
261820	263360	因為氣魄一路睡到我回來
263360	263980	喔
263980	266320	賺賺翻賺翻了
266320	268180	然後我們這個前幾天就在想
268180	269320	黃雷夢什麼時候啊
269320	269720	對
269720	270780	就是可以就是
270780	273480	自己騎腳踏車去上學
273480	275820	但是自己騎腳踏車
275820	277620	女生晚一點吧
277620	278580	哪有差啊
278580	279120	是嗎
279120	280820	不過沒有人在幼稚園騎腳踏車上學
280820	281320	沒有
281320	281980	沒有
281980	282920	當然沒有啊
282920	284620	都很遠幼稚園很遠耶
284620	286780	我記得我們是小三開始
286780	288080	可以
288080	289220	騎腳踏車
289220	289780	騎腳踏車上學
289780	290660	會咧
290660	291320	會
291320	293720	我是說什麼時候會騎腳踏車
293720	295320	因為黃雷夢身上有一個問題
295320	297880	就是之前黃雷夢很小的時候生日的時候
297880	299380	陳雲他媽送黃雷夢一台
299380	301380	很複合型的一個手推車
301380	302020	對
302020	303320	成長型手推車
303320	304480	就是那個手推車
304480	307180	原本就是一個三輪車的形狀
307180	308060	我們可以裝一個把手
