start	end	text
0	8700	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8700	9300	我是翠翠
9300	10160	大家好 我是聖誕短
10160	11000	哈囉 我是聖誕帆
11000	15540	本期節目由Bionic 貝歐尼修復牙膏贊助播出
15540	19440	秋天是吃海鮮的季節 特別是螃蟹
19440	23140	就是你知道有時候在吃螃蟹的時候 你要一定特別小心
23140	25220	因為你的牙齒可能會斷裂
25220	26480	喔 沒錯 真的
26480	28680	對 我們每天在解決食物的時候呢
28680	30800	其实你的发廊子都会自然的磨损
30800	32960	导致你的牙齿变成敏感又脆弱
32960	34080	那坚硬的食物
34080	36580	特别像是像螃蟹这一类有壳的东西
36580	38720	然后坚果或是带骨的食物
38720	39680	你在吃的时候
39680	41820	其实都会对你的牙齿造成一定的压力
41820	44080	会导致一些肉眼看不出来的裂缝
44080	45560	那严重的情况之下呢
45560	47080	你的牙齿可能就会断裂哦
47080	48720	那除了坚硬的食物之外呢
48720	49740	像是酸性的食物
49740	50840	还有碳酸饮料
50840	51920	或是有些人睡觉的时候
51920	53660	会磨牙的习惯
53660	55680	哦你知道磨牙有多大声吗
55680	56060	哦我知道
56060	57640	我大学室友在磨牙
57640	58580	磨牙到我一直以为
58580	61380	有人在开我们寝室的灯的那个开关
61380	63540	哦这样讲起来磨牙也很伤牙齿啊
63540	65920	对它是卡卡卡卡超大声的
65920	66340	哇好可怕
66340	67180	超诡异
67180	68920	当你的牙齿如果很脆弱
68920	71020	然后你又遇到上缩这些情况的时候呢
71020	72920	你的牙齿就可能会出现裂痕
72920	74560	然后导致你的牙齿敏感
74560	75760	还有蛀牙的问题
75760	76120	哦
76120	79660	这时候德国制造的贝欧尼修复牙膏
79660	82560	两款都含20%的仿天然发廊质为例
82560	83600	BioHAP
83600	84980	经过科学实证
84980	86160	在每次刷的时候呢
86160	89460	都会透过再矿化修补受损发廊质
89460	91920	填补外露的细微消控
91920	93860	舒缓你敏感的牙齿
93860	94780	那同时呢
94780	96580	仿天然发廊质为例呢
96580	98120	可以附着在你的牙齿表层
98120	99180	形成一个保护层
99180	100740	就可以令你口腔的细菌
100740	102220	难以积聚在牙齿的表面
102220	103620	就可以有效的预防蛀牙
103620	104660	还有牙菌斑的形成
104660	107300	在饮用酸性食物还有饮料的时候呢
107300	109920	这个表面的保护层也会释放钙质
109920	113240	保护发廊质减少伤害不受脱矿化
113240	115000	那牙龈有问题的呢
115000	116180	就可以选择另外一款
116180	118080	额外添加护盈成分的牙膏
118080	121020	分别是对抗口腔有害细菌的乳铁蛋白
121020	123600	还有保持口腔牙龈湿润的玻尿酸
123600	125280	都能改善牙龈的健康
125280	126620	跟减少牙龈出血哦
126620	128380	这款牙膏我已经用了差不多一个月
128380	129920	最明显的感受
129920	131760	就是你第一次使用它的时候
131760	133280	你把这个牙膏挤在牙刷上
133280	134540	放进你的嘴里的时候
134540	136240	它的那个味道
136240	139040	是一个我觉得特别单纯的一个
139040	140500	薄荷的香味
140500	142900	直接把你带进牙医诊所里
142900	144960	是牙医诊所的味道
144960	146300	就是牙医诊所的味道
146300	148860	不是那种超级凉的那个味道
148860	150540	它就是牙医诊所的味道
150540	152060	你用了就知道
152060	153460	它就直接带你进牙医诊所
153460	155780	对它其实不会让你觉得很辣那一种
155780	157680	感觉特别的专业
157680	159860	特别的保护力
159860	162720	他说早晚各刷一次牙病
162720	164380	搭配正确的刷牙习惯呢
164380	165480	品牌特别建议呢
165480	167780	大家在刷牙之后是无需漱口的
167780	169020	就是只要把口腔
169020	170640	里面多余的泡沫吐出来
170640	172460	这个修复效果会更佳
172460	174080	那最后呢
174080	175660	品牌要我们跟大家分享
175660	177660	他们下周9月20号呢
177660	179800	其实是世界爱牙日
179800	180920	世界爱牙日
180920	181920	没想到吧
181920	183380	竟然有世界爱牙日
183380	184980	牙医们会上街游行吗
184980	186780	现在呢
186780	188380	只要在MOMO还有SHOPPY购买
188380	191580	BIONIC修复牙膏还会有优惠哦
191580	192800	四入只要777元
192800	194740	添加护匀成分的修复牙膏
194740	195860	四入只要888元
195860	196860	优惠的组合呢
196860	198200	只到9月25号为止
198200	198820	以上资讯
198820	199000	分享到这里
199000	199520	分享给大家
199520	200380	商品的连结
200380	201000	还有相关资讯
201000	201720	我们的方案资讯
201720	202420	在里面咯
202420	203760	大家尽量点开来看看哦
203760	205520	好 现在时间是
205520	207960	9月12日凌晨1点26分
207960	209360	好 我们这个
209360	210120	上个礼拜
210120	211580	上个礼拜的主题
211580	212200	就是这个
212200	213220	感冒
213220	214220	就是感冒
214220	215120	没有主题
215120	215740	就是感冒
215740	217660	然后呢 在昨天
217660	218580	前几个小时之前
