start	end	text
0	5000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
5000	6000	我是翠翠
6000	7000	大家好 我是阿段
7000	8000	大家好 我是翠翠
8000	10000	本集有預錄的廣告喔
10000	12000	本集節目由Eazy Life贊助播出
12000	16000	去年呢 我們分享的是他們的明星商品十月貝
16000	18000	對 那十月貝的意思其實很簡單
18000	22000	就是他說一年之中你可以使用十個月甚至以上的時間的貝子
22000	23000	嘿 沒錯
23000	26000	那這支品牌請我們分享的是他們的珊珊枕
26000	29000	那這支品牌請我們分享的是他們的珊珊枕
29000	31000	那他們是整面獨特的壓線
31000	33000	讓枕頭看起來就像一座小山
33000	35000	我覺得它感覺是側邊的時候你看那個剖面
35000	38000	很像一個胖胖的國字山這個字的感覺
38000	39000	喔 對對對
39000	40000	有三個山峰的樣子
40000	41000	嘿 對對對對
41000	43000	那他們這個專利的整形材質
43000	44000	還有三種密度設計
44000	46000	還有兩種頸部長度
46000	49000	就可以完美貼合每個人的頭頸曲線
49000	51000	讓你在睡覺的時候肌肉可以徹底的放鬆
51000	52000	最好的一個地方
52000	54000	我覺得對媽媽來說最好的地方就是
54000	55000	整面加長30%
55000	56000	還可以整面加長30%
56000	57000	可以擠洗
57000	58000	喔 可以擠洗
58000	60000	可以擠洗真的太完美了
60000	61000	我自己實際躺了大概
61000	62000	他寄給我們多久
62000	63000	大概兩個多禮拜
63000	64000	就是我每次躺的時候
64000	66000	我就會稍微選一下我自己喜歡的那一個
66000	69000	比較適合我頭頸的線條還有那個密度
69000	72000	喔 因為他說他的這個山的兩邊
72000	73000	左右那兩個山峰
73000	74000	對
74000	75000	他的寬度不太一樣
75000	76000	對對對對
76000	79000	就是可以配合你的那個頸部的長度去做選擇
79000	81000	對 因為有時候不小心躺到你的位置
81000	82000	我就會把枕頭換一邊
82000	84000	然後躺一個適合我那邊
84000	86000	然後他們這個枕頭設計比較特別
86000	87000	就是上下那兩塊
87000	89000	就是你貼在頸部那兩塊
89000	91000	他們是高密度設計
91000	92000	然後中間那一條
92000	94000	就是在那個裡面最軟的那個部分
94000	97000	對 所以我覺得一般枕頭是四邊都扁扁
97000	98000	中間蓬蓬嘛
98000	100000	他們剛好是相反過來
100000	101000	所以你在躺下去的時候
101000	103000	你會覺得頭有一種陷入感
103000	104000	有被包覆的感覺
104000	105000	對對對對
105000	108000	然後頸部的那個脖子的支撐力非常完美
108000	110000	尤其是我睡覺很長
110000	111000	睡的時候會變側躺
111000	113000	還是可以就是完全撐在我的脖子下
113000	114000	我覺得超棒的
114000	115000	我也是這個感覺
115000	116000	就是我一開始才知道
116000	117000	躺下去的時候是正著躺下去
117000	120000	然後覺得說脖子好像有被伸展
120000	121000	被拉伸的感覺
121000	123000	當下地下躺覺得很舒服
123000	125000	但是久了之後還是回到那個
125000	127000	習慣的睡覺姿勢
127000	128000	還是會變成側睡
128000	129000	對對對對
129000	131000	我原本想說是不是側睡就沒這個效果
131000	132000	結果我側睡之後覺得說
132000	135000	那個脖子的側面還是有被支撐住
135000	136000	對 很神奇
136000	138000	所以我覺得他這個枕頭呢
138000	140000	感覺是有點像是結合了記憶枕
140000	143000	然後還有羽絨枕的兩種優點在一起的感覺
143000	144000	反正我記得我很深刻
144000	145000	就是我第一天躺完隔天
145000	146000	我會覺得
146000	147000	我就馬上跟我的小夥伴說
147000	149000	這枕頭躺起來超舒服的
149000	151000	對 大力推薦給大家
151000	152000	那平常他們呢
152000	153000	還非常自信的提供大家
153000	156000	十天的四躺期服務
156000	158000	就是讓你直接把枕頭帶回家
158000	159000	然後沒有人打擾
159000	160000	想躺多久就躺多久
160000	161000	只要不拆保護套呢
161000	162000	體驗後不滿意
162000	164000	就可以全額退費給他們了
164000	165000	這好像不錯耶
165000	166000	是不是
166000	168000	因為我們就有很多顆這種
168000	169000	躺一晚上就
169000	170000	啊 這不好
170000	172000	然後就全部堆去我弟的客房
172000	174000	我弟客房超多房子
174000	175000	超多枕頭
175000	176000	對 我覺得枕頭也是一個
176000	177000	很難需要四躺的東西
177000	179000	所以他們人很大方
179000	180000	然後最後呢
180000	181000	再來是優惠的部分了
181000	182000	即日期呢
182000	183000	只要在官網下單
183000	185000	輸入折扣碼LADY
185000	186000	然後全部是小寫的喔
186000	188000	就可以享88折優惠
188000	189000	然後他們呢
189000	190000	慶祝新帳開幕
190000	191000	加入會員
191000	193000	品牌會再加碼送100元的購物金
193000	194000	消費滿300元以上
194000	196000	還會再送你羽絨專用的清潔劑
196000	197000	那以上的資訊呢
197000	198000	就分享給大家
198000	199000	詳細的活動資訊
199000	200000	我們也都會放在資訊欄裡面
200000	202000	大家記得要點開來看看喔
202000	205000	現在時間9月18日禮拜一
205000	206000	嗯
206000	208000	早上2點58分
208000	209000	大白天
209000	210000	下午的時候
210000	211000	風光明媚
211000	212000	太陽正亮
212000	213000	我們竟然在這麼神奇的時刻
213000	214000	開始錄Podcast
214000	215000	沒錯
215000	216000	為什麼呢
216000	217000	是有人有覺悟了嗎
217000	218000	我有覺悟了
218000	219000	對對對
219000	220000	我這個
220000	221000	最近我們公司發生
221000	222000	一系列的事情
222000	223000	整個氣氛的改變
223000	224000	哇
224000	225000	現在公司有一種
225000	227000	我覺得是一個緊張的氣氛
227000	228000	緊張的氣氛嗎
228000	229000	緊張的氣氛
229000	230000	對
230000	231000	導致我認為
231000	232000	我必須要調整我的這個作息
232000	233000	沒錯
233000	234000	事情是這樣子喔
234000	235000	就是我們公司
235000	236000	從開始到現在
236000	237000	從開始做頻道到現在
237000	239000	已經過了說五六七八年去
239000	240000	對對對
240000	241000	蠻久了
241000	242000	然後在我們公司一開始
242000	243000	加入了一些小夥伴
243000	244000	都是一些小妹妹
244000	245000	大概二十二三歲
245000	246000	對對對
246000	247000	那時候身體正好
247000	248000	代謝旺盛
248000	249000	對
249000	250000	就是說什麼身體檢查
250000	252000	在我們公司並不是一個
252000	253000	就是熱門話題
253000	254000	對對對
254000	255000	對
