start	end	text
0	8760	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8760	9320	我是翠翠
9320	10920	我是剪輯沙頓
10920	12180	我是聖聖凡
12180	15520	現在的基本標配就是雷夢都會跟我們一起錄Podcast
15520	16780	不管幾點
16780	20020	但是一錄就哭
20020	21320	一個YO的感覺
21320	25420	你要說話嗎
25420	25960	他現在
30000	33760	他現在吃飽飯的時候都會很喜歡玩
33760	38640	基本上是在哭
38640	43860	他不喜歡被堵麥
43860	45360	不喜歡被堵麥
45360	47480	他想睡覺了
47480	49260	翠翠
49260	56600	成功吸到嘴嘴
56600	58160	就是他現在大概
58160	59940	好像一個月兩個月之後
59940	59980	好像一個月兩個月之後
59980	62540	開始會出現除了哭以外的聲音
62540	64420	他超會尖叫的
64420	65580	現在超會尖叫的
65580	65880	是嗎
65880	66180	對
66180	67500	其實他會假哭了
67500	68180	他會假哭
68180	69820	嘴巴張開
69820	70920	然後一副哭的表情
70920	71780	然後叫個兩聲
71780	74200	但沒有真的哭
74200	75800	我剛剛聽到他以為就是
75800	77380	發生什麼事情
77380	79360	結果他實在很開心
79360	80320	就是焦燒的樣子
80320	82680	他開心也尖叫
82680	83520	不開心也尖叫
83520	83880	現在
83880	85480	剛剛學會用聲音
85480	86940	其他的聲音表達情緒
86940	89260	我們現在的時間呢
89260	89920	是禮拜六
89920	91320	禮拜二
91320	92280	早上六點半
92280	93040	早上六點半
93040	94320	超早
94320	95600	感覺好像是一大早爬起來
95600	96680	錄Podcast一樣
96680	97680	非常的勤勞又認真
97680	98480	一定是這樣吧
98480	98760	對
98760	99480	一定是這樣
99480	100200	對啊
100200	101080	不可能是
101080	103240	昨天養精蓄淚睡一整晚
103240	103840	舒服
103840	105680	早上吃個早餐回來
105680	107040	準備開始錄
107040	108800	一整天辛勞的工作
108800	109960	沒錯
109960	112120	標準的上班族
112120	114520	絕對不可能是因為我們
114520	116280	開箱某個東西開到半夜
116280	117480	開到現在都沒睡
117480	118560	剛睡直接開始錄
118560	118920	不可能
118920	119520	絕對不可能
119520	120720	這種事情不會發生
120720	121520	嗯
121520	122040	啊
122040	124280	呵呵呵呵呵呵
124280	124760	終於知道
124760	125440	我們剛剛拍
125440	127200	我們剛剛錄那個腦波絡
127200	128320	這是我們的副頻道
128320	128760	嗯
128760	129600	然後
129600	130960	開箱了一個
130960	133480	反正應該這禮拜三
133480	134360	大家就會看到了
134360	135200	會發的東西
135200	136880	一個療癒的
136880	137480	小玩意
137480	138440	手作系的小玩具
138440	138640	對
138640	139720	療癒手作
139720	140440	嗯
140440	143000	結果他媽煮了快六個小時
143000	143880	沒有
143880	145280	我們一點半開始的
145280	145760	五點半結束
145760	146760	五個小時差不多
146760	147320	五六個小時
147320	148240	四個小時
148240	148840	五個小時
148840	149360	對
149360	150440	療癒小物
150440	150640	嗯
150640	152520	煮到差點整個會給壓起來
152520	153240	呵呵呵
153240	154480	差點往生
154480	154720	欸
154720	155720	所以我就是這樣
155720	156840	很多東西就是
156840	157480	就是
157480	159040	一點點可以
159040	160160	密集起來
160160	161120	就不行
161120	161800	像
161800	162560	就是煮飯
162560	163480	就是煮
163480	164600	自己一餐
164600	165520	舒舒服服
165520	165920	嗯
165920	166160	對
166160	166920	要煮十個人
166920	167840	煮十個人就
167840	168840	就會生氣
168840	170040	就跟陳其聖說的
170040	171760	喜歡但不能太多
171760	172040	啊
172040	172600	誰說的
172600	173560	陳其聖說的
173560	174920	喜歡但不能太多
174920	175400	真的假的
175400	175800	嗯
175800	177040	你跟陳其聖好熟
177040	177720	他的歌詞
177720	178600	呵呵呵
178600	179200	你跟陳其聖好熟喔
179200	180240	對
180240	180920	我們之前
180920	181960	那個
181960	183000	住斗六的時候
183000	183280	嗯
183280	184360	我們都會自己煮嘛
184360	184760	對啊
184760	185600	就是這樣
185600	186000	反正
186000	187040	優惠帆不會煮飯
187040	187320	嗯
187320	188080	都是我們兩個
188080	188280	嘿
188280	189400	都是我跟翠翠翠
189400	190040	一起煮
190040	190200	嗯
190200	190840	可不是一起煮
190840	193120	我們通常會一個人負責煮
193120	193280	啊
193280	194360	一個人
