start	end	text
0	8100	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8100	8700	我是翠翠
8900	9600	大家好 我是阿鑽
9700	10500	大家好 我是尼森帆
10500	12000	本集有YouTube的廣告喔
12900	16400	本集節目由Dr. Grandma 阿嬤的配方贊助播出
16400	18900	阿嬤的配方品牌 Reborns 上市啦
18900	22700	就是他們整個品牌CI 全部各方面重新升級了一次
22700	23200	喔
23200	25400	他說呢 他們這次也升級了他們的明星商品
25400	27400	就是你的桑拿木竹袋
27400	29900	這個之前我們也有介紹過它的前身
29900	30700	對對對
30700	31300	那這次呢
31300	34060	他們統身新增了兩段式的排水閥設計
34060	34900	就是倒水的時候
34900	37340	你不用再費力的把它提起來
37340	38340	然後轉轉開關
38340	40060	你就可以輕鬆把水漏掉了
40060	41220	然後另外一個部分就是
41220	42300	他們有全新推出的
42300	44940	新口味的月月暖漿足浴鹽
44940	46820	就是多了一個新的氣味
46820	47740	然後這氣味裡面呢
47740	49140	就是有生薑精油
49140	50540	它那個溫暖的特性
50540	52060	可以促進新陳代謝
52060	55180	我覺得我自己是蠻喜歡薑類的東西的
55180	56460	對我會喜歡那個味道
56460	57900	那它也可以幫助舒緩女生
57900	59900	生理期的那個不適感
59900	61300	那我們去年就是大家知道
61300	63180	我們有跟阿嬤配方合作過了嘛
63180	64740	然後所以我們是第一代
64740	66780	然後升級版的這第二代
66780	67780	都有用過
67780	68580	對對對對
68580	69740	去年那款我們就說過了
69740	71060	欸我們真的超喜歡
71060	72780	因為你一直說它很好收納嘛
72780	75700	對就是一直以來這種泡腳桶
75700	77780	陳春安的泡腳桶最大的問題就是
77780	79620	我沒辦法收起來
79620	80260	好久了之後
80260	81580	那個泡腳桶下面就會長一堆
81580	83060	那個咻咻的東西
83060	84460	然後烏漆麻黑的
84460	85420	長到你不敢用
85420	86580	然後因為我們現在就是
86580	87740	媽有時候會去運動
87740	89940	她是我們裡面運動比率最高的人
89940	91460	所以我後來就是把那個給媽
91460	92820	有媽也很喜歡
92820	93380	結果她就說
93380	95980	她常常會在運動回來的時候
95980	96980	或者是有時候很累
96980	98020	一整天很累帶小孩
98020	98940	幫我們帶小孩太累
98940	100420	她睡前也會泡一下
100420	102660	她說她覺得睡眠的感覺有比較好
102660	103900	然後呢這次的升級
103900	105780	我自己是覺得那個開水閥
105780	107340	喔開水閥方便很多
107340	108180	了不起
108180	108820	之前用的時候
108820	109980	其實我就有發現這一點
109980	111460	就是你泡得很爽
111460	112500	但是你最後把那個水
112500	113460	拿去倒掉的時候
113460	114540	會比較辛苦一點
114540	116620	不是就是你把它倒在
116620	117500	不管倒馬桶
117500	117700	嗯
117700	118740	還是像我們那種
118740	119900	乾式分離淋浴間
119900	120180	對
120180	121300	就是倒在裡面
121300	121980	把水倒掉的時候
121980	123300	它都有一種
123300	125380	好像快要湧出來的感覺
125380	127060	會有點現場有點慌亂
127060	128380	對因為你的水量很大
128380	128740	嗯
128740	130060	所以一次衝進去
130060	131540	可能會衝出來
131540	132300	就有點困擾
132300	132660	嗯
132660	133780	這次你就直接在那邊
133780	134740	把那個水打開
134740	136180	看那個水慢慢流掉
136180	136660	哇
136660	137260	就沒有問題
137260	139420	從頭優雅到尾巴
139420	140620	這個感覺
140620	142300	然後它差不多是在
142300	143300	七月吧
143300	145180	就寄來給我們了
145180	145940	然後那時候不是
145940	147260	剛出月子沒多久嗎
147260	147460	對
147460	148820	因為我每天就是餵奶滴
148820	150300	而且很多媽媽就是知道
150300	150900	我們一定會
150900	151300	水腫
151300	152260	水腫到爆
152260	152900	對
152900	155620	所以它那時候我就有用了一段時間
155620	157900	然後加上前一陣子不是在跳繩嗎
157900	159300	哦對
159300	160900	跳繩完之後就變成復健用了
160900	162260	對
162260	162820	我還
162820	163820	我還就是跳繩的時候
163820	164740	雷夢說媽媽你在幹嘛
164740	166060	我說我在泡腳超舒服的
166060	167660	然後我們可以兩個人一起泡
167660	168260	哦對對對
168260	169140	但他就坐我對面
169140	170300	因為他小小的
170300	171940	然後他就覺得超級好玩
171940	173060	所以我們倆一起體驗
173060	174420	然後整個過程中
174420	175420	他媽媽也跟我說
175420	176580	媽媽好香哦
176580	177300	就是有那個味道
177300	178060	哦
178060	179260	他也很喜歡
179260	181260	所以我覺得算是一個很療癒的過程
181260	182580	身心都可以放鬆
182580	182900	對
182900	183940	推薦給大家
183940	186860	那最後最後就是他們這次的優惠訊息
186860	189020	10月30號到12月3號呢
189020	190020	就是他們阿嬤配方
190020	191940	Reboot升級新上市嘛
191940	193780	部分的產品也有全新升級
193780	195940	所以阿嬤邀請大家回來試試看
195940	197340	單筆消費滿3000元呢
197340	198500	他們就會限量贈送
198500	200940	法式雅緻皮革護罩套
200940	203140	然後另外輸入我們好位專屬的折扣碼
203140	205820	Lady2023new
205820	207060	他是不是想說
207060	207260	可是他好像很喜歡
207260	208100	上次不一樣
208100	209540	因為要找我們了嘛
209540	211060	所以結帳滿1200的時候呢
211060	214100	他會再贈復活嫩白腿膜一雙
214100	215460	以上資訊分享給大家
215460	216380	商品的連結呢
216380	217660	我都會放在資訊欄裡面
217660	219620	記得點開來看看哦
219620	223100	現在時間是10月31日
223100	225540	凌晨12點41分
225540	227100	啊是萬聖節
227100	229220	10月31日是萬聖節嗎
229220	230340	不是最後一天嗎
230340	231860	不是11月1號嗎
231860	232900	是11月1號嗎
232900	233740	對11月1號啊
233740	235780	我一直記得是10月最後一天啊
235780	237020	不是某一個禮拜天
237020	237980	不是某一個禮拜六之類的
237980	238740	不是啦
238740	239660	那是固定某一天
239660	241300	又不是什麼慶明節要去掃墓啊
241300	242460	萬聖節要去掃墓啊
242460	242980	真的嗎
242980	245220	我現在立刻查哦
245220	247140	我記得是最後一天啊
247140	247940	11月1號吧
247940	249420	10月31號啦
249420	249740	真的假的
249740	250940	啊11月1號這個碼
250940	252140	11月1號就是一個普通的11月1號
252140	254860	萬聖節隔天宿醉可以在家裡休息
254860	255660	這樣子嗎
255660	256060	對啊
256060	258180	我就記得是10月最後一天啊
258180	259380	哦
