start	end	text
0	8400	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8400	9000	我是翠翠
9000	9840	大家好 我是田沙端
9840	10980	大家好 我是黑獅子很煩
10980	14340	本期節目由我們的好味貓懶骨頭贊助播出
14340	18320	就是傳說中的貓懶骨頭再次上市
18320	22660	好味貓懶骨頭就是我們總結了我們8到10年的養貓經驗
22660	26120	我們發現說貓咪最喜歡的觸感
26120	28360	貓咪最喜歡休息的地方
28360	32560	總結出來的一個所有的貓都會愛上的頂級貓床
32560	33840	對對對對
33840	35300	然後去年一出售呢
35300	36960	就是馬上就被搶購一口了
36960	38400	所以很多人就是拿回去之後
38400	41440	然後他們這一年來都有回饋給我們一些他們的心得
41440	43980	然後再加上我們自己的使用的一個經驗
43980	47440	然後我們今年就做一個全新的升級版
47440	49480	我覺得最重要的是有兩個部分的升級
49480	50380	首先第一點呢
50380	51980	就是我們原本做的那個尺寸
51980	54520	因為我們希望可以放在一些層架裡面
54520	56360	所以就做剛剛好差不多一個
56360	58320	我們家貓貓躺得下的尺寸
58320	61420	就好像有點低估大家貓貓的尺寸
61420	64300	有的貓貓就是好像會有一些屁股肉肉會溢出
64300	67700	所以我們今年呢就把這個尺寸再升級做了一個L號
67700	70900	這個L號呢大概是個6到10公斤的貓貓都躺得下
70900	74300	然後像我們家貓是喜歡兩隻湊在一起睡也OK
74300	77040	然後第二個部分我覺得也是很特別的升級就是
77040	78880	我們出了新的顏色
78880	79480	沒錯
79480	80740	喔這個顏色真的超可愛
80740	82580	這個顏色叫做布蕾黃
82580	85220	就是像布丁一樣粉粉嫩嫩舒服
85220	87280	看起來很有朝氣的黃色
87280	88320	對我覺得應該是
88320	91660	很適合那種北歐型的那種家具風格
91660	93320	對放在裡面就會非常的和諧
93320	95520	那或是你們家貓貓如果是一個淺色貓咪
95520	97000	我覺得也會很搭
97000	97660	嘿
97660	99540	然後啊我們現在這個安固頭啊
99540	100800	去年的時候是這樣
100800	102360	去年時候呢我們去訂了一個
102360	104440	我們覺得要賣個一年的量
104440	105080	沒錯
105080	107440	嘿我們打算進行一整年的銷售這樣子
107440	109740	結果想不到太受歡迎
109740	110580	就大家都很喜歡
110580	112140	然後大概兩天
112140	112940	兩三天
112940	113940	就搶勾一空
113940	114440	對
114440	116220	所以我們這次戰術改變
116220	117980	這次呢我們去跟廠商
117980	119120	訂了一個呢
119120	121920	那個廠商做一年才做的完的量
121920	123180	你有多少你都給我
123180	124860	對對對就是你今年能做多少
124860	125560	你就做多少
125560	126620	盡量盡量嘿嘿
126620	127320	這個感覺
127320	128360	很感謝大家的支持
128360	130900	因為我們安固頭大概是上禮拜四
130900	131760	對上架的
131760	132660	上架的
132660	135900	目前為止啊已經就是賣了超過一半以上
135900	137060	哦謝謝謝謝
137060	138840	然後到現在的這個趨勢繼續走下去
138840	140840	我覺得可能應該走不到明年
140840	142440	哈哈哈哈
142440	143540	那也是一個
143540	144740	曇花一現
144740	146400	但是他就是要做一年嘛
146400	146980	對
146980	147740	嘿
147980	149980	然後如果你下單的話
149980	151240	就是大家要排隊出貨嘛
151240	152080	對對對對
152080	154920	應該會在12月15日左右
154920	156220	就會出貨
156220	158420	就是大概要等個一個月的時間
