start	end	text
0	8400	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8400	9100	我是翠翠
9100	10040	大家好 我是阿端
10040	11340	哈囉 我是聖梵
11340	14340	本集節目由品萱冬季精選 薇薇奶茶和
14340	17140	宣出於第二屆舞者贊助播出
17140	21860	這是我們這個 算是雪中送炭的優惠
21860	23100	你是說現在天氣很冷
23100	25060	真的需要喝點 吃點熱的東西
25060	26460	沒錯 我們都這樣子
26460	29100	我們的品牌如果做優惠活動的時候
29100	31300	都不是那種錦上添花型
31300	33340	都是雪中送炭型
33340	36000	我都在你最需要這東西的時候
36000	38340	一般來說 如果冬天了對不對
38340	39640	那照理說你薇薇奶茶
39640	42040	宣出於這種冬季必備的商品
42040	42980	應該要怎麼樣
42980	43540	應該要
43540	46460	抬高呼的這樣
46460	46960	對不對
46960	48780	但是不 我們就直接做一個
48780	50260	第二屆舞者的優惠
50260	52260	對對對 就是你同品項
52260	53600	不同口味都沒關係
53600	55460	然後第二屆就直接幫你打舞者就對了
55460	58060	沒錯 所以你就可以趁這次機會
58060	58940	把你需要的
58940	59100	這個
59100	60600	過冬的儲備
60600	61600	先存起來
61600	62600	一次把它備起來
62600	63300	沒錯
63300	64240	這個活動
64240	66340	因為我們數量也不是真的到很多
66340	68000	所以我們時間是有限制的
68000	69840	從大家現在聽到我們的Podcast
69840	71540	一直到12月17號
71540	72240	數量有限
72240	74940	所以我們就是送完賣完就為止了
74940	77160	然後我們宣春雨冬季限定了兩個口味
77160	78480	酒香香菇雞湯春雨
78480	80660	還有麻油薑香雞湯春雨
80660	83220	對 現在都補貨上市了
83220	83900	這個也是
83900	85760	就是這個冬天過完賣完就沒有了
85760	87060	沒有了
87060	87560	沒錯
87560	88940	大家要好好把握這次
88940	89980	補貨的機會
89980	91440	真的又強又快
91440	92440	那相關的連結
92440	93820	我會放在資訊欄裡面
93820	95280	大家一定要點開來看
95280	97280	好 現在時間是12月5日
97280	99480	平成1點31分
99480	101320	明明就超早就坐在這裡
101320	103580	對 我們是一直在閒聊一些
103580	105020	生活的琐事
105020	108300	比如說黃蓮夢要去讀哪個小學
108300	109320	困擾死
109320	110900	這其實不琐吧
110900	113600	這我也覺得是我們家的大事
113600	115760	因為不可能說姐姐讀了這個小學
115760	117940	然後兩個妹妹讀別的小學
117940	118780	所以全部都要湊在一起
118780	120320	對 所以就是
120320	121240	而且又覺得好像
121240	123580	以前一直覺得小學還很遙遠
123580	126080	結果現在小班讀著讀著突然覺得說
126080	127780	好像馬上就要到的感覺
127780	128660	小班
128660	130860	對 就是已經開始上學了
130860	132160	我就覺得好像小學也不遠了
132160	133900	都要感覺你如果有一些珍貴的小學
133900	134820	要提到卡位
134820	136160	對 不用嗎
136160	137660	是嗎 需要這樣子嗎
137660	138200	不曉得
138200	139300	就是我們在這邊討論
139300	141300	就是因為我們的立場有點不太一樣
141300	142880	純粹覺得說他要去調查
142880	145600	就是台中有沒有哪個小學風評好
145600	148780	他想要想辦法打入幼稚園媽媽的
148780	150020	社交圈裡面
150020	151020	我就想聽說大家有沒有
151020	152420	收集一些資訊
152420	153320	對啊
153320	155220	你有參加什麼貴婦團嗎
155220	156820	感覺他們都在經典酒店一樓
156820	158620	都給他下午茶變成這些
158620	160160	我就是資訊派的
160160	162200	我就是想要收集各式各樣的東西
162200	163500	然後來說評估
163500	167400	對 我的立場是離家近就好
167400	168560	越近越好
168560	171140	最好是在你家隔壁之類的
171140	172840	我覺得早上如果睡晚一點
172840	176640	對小孩的腦部的養成
176640	178780	自然而然躲上去會比較好
178780	179580	有一點可能
179580	180920	父母心情比較好
180920	182220	家庭的氣氛也比較好
182220	183520	對 有可能
183520	184860	反正總而言之我就覺得
184860	186980	好像讀小學這件事情好像很近
186980	189520	也是現在需要被考慮很嚴重的事情就對了
189520	192160	然後我們剛才突然遇到一個粉絲老婆
192160	193620	然後我們就問她說
193620	196200	那個你們家小孩以後要讀什麼小學
196200	197840	睡眼睛說突然被突襲
197840	201800	對 她就說那就以前讀過小學就好了吧
201800	204480	我說這是另外一個訴求
204480	205540	讀自己的母校
205540	208780	讓自己以前教過老師教之類的
208780	209880	她就說啊算了
209880	211580	每個人每個人的立場
211580	212820	算了以後再討論
212820	214620	然後講到宥帆老婆
214620	217460	就是昨天發生一件我就是有點
217460	218660	無法理解的事情
218660	219700	無法理解的事情跟她有關
219700	220900	宥帆你知道嗎
220900	221960	我不知道是什麼事情
221960	223360	就發生一件事情有點就是
223360	225860	讓我的價值觀有點破碎
225860	227060	讓我不知道自己做到
227060	228360	你的價值觀常常在改變
228360	229760	很辛苦
229760	232280	昨天晚上在網路網路他們都去睡覺之後
232280	234180	我們拍了一支片
234180	236100	因為快來不及更新了
236100	238580	所以緊急加班拍了一支片
238780	240480	拍到凌晨
240480	241020	三點
241020	242820	兩三點很晚
242820	244080	才結束
244080	246520	結束完之後大家就準備要休息
246520	248660	陳春環就到我們那個洗衣間那邊去
248660	251260	我很常就是趁他們睡著的時候做一些假食
251260	254400	她會收一下黃雷夢要穿的衣服啊什麼之類的
254400	255460	那時候我在走廊上
255460	257360	然後陳春環在走廊盡頭的洗衣間
257360	258840	她突然對我大叫
258840	261240	黃雷姊你過來
261240	262100	我說怎麼了
262100	264840	我想說我做錯什麼事情了
264840	265800	我說是不是你
265800	266980	然後她突然很驚慌
266980	268140	然後我就過去說怎麼了怎麼了
268140	268780	我就問她說
268780	272280	是不是你把我放在這一裡的地上的衣服
272280	273520	直接全部丟進去洗
273520	275060	是不是你把這些衣服丟進去洗了
275060	275560	對
275560	276560	我就思考一下
276560	279060	因為我們累積了一大堆的那個髒衣服
279060	282400	所以我昨天晚上有先把那個
282400	285460	我們洗衣欄裡面的衣服丟了一半進去洗
285460	286940	但是不是從地上嘛
286940	288340	所以我說那應該不是同一批
288340	288840	對
288840	290760	那就應該不是我丟進去洗的
290760	293040	而且那時候我還做了一個通盤的思考
293040	294340	因為陳春環在叫我去洗衣服的時候
294340	296300	她還很仔細的提醒我說
296300	297880	我裡面有兩件內衣
297880	298680	請你一定
298680	300240	拜託務必挑出來
300240	301620	所以你不要再把我內衣丟進去洗
301620	303060	你已經洗爆我兩件內衣了
303060	303460	對
303460	303860	這樣
303860	305320	然後還有黃雷夢她那個
305320	306420	芭蕾舞的衣服
306420	307520	一定要分開洗
307520	308960	那個蓬蓬裙你要丟洗衣袋
308960	309920	也不能直接丟去洗
309920	310660	沒錯
310660	311160	這樣子
311160	312800	然後我就好好好戰戰兢兢
312800	314200	所以我就把它處理好
314200	315440	我說我應該
315440	316300	都有做到吧
316300	316800	對
316800	318740	我連那種她那種運動內衣
318740	319160	你知道嗎
319160	320300	就一片布
320300	320900	那種
320900	322040	我會把它丟進洗衣袋
322040	323940	我想說我應該沒有miss掉任何的事情
323940	324140	對
324140	327240	但本來也是要丟進去那袋子裡面洗啦
327240	327540	對
327540	330540	然後突然就說是不是你把那個衣服丟進去洗衣機裡面洗了
330540	331740	然後我說
331740	332380	應該不是我
332380	334180	他還把兩隻手舉起來說應該不是我
334180	334980	不要不是我
334980	335880	我沒有做這些事情
335880	336440	對對對
336440	337980	然後我就打開那個烘衣機的門
337980	338960	然後發現裡面
338960	339880	有東西
339880	341120	然後我就看了一下想說
341120	345000	應該是你們房間的被單還是被套之類的東西
345000	345820	然後就想說
345820	346820	那應該是你老婆
346820	348060	就是很好心
348060	350160	想說我們錄音錄得很晚很累
350160	352860	然後她再把她自己的那個被單拿去烘之餘
352860	355840	順便把我地上衣服放進去洗
355840	356500	對我就想說
356500	357540	哇那應該是這樣
357540	358840	然後我內心就有點想說
358840	360480	哇哇錯怪我一切
360480	361580	對然後那時候我就想說
361580	362740	欸不對啊
362740	364080	你現在只是搞清楚說
364080	367180	是誰把你的衣服丟進洗衣機裡面而已
367180	368320	目前到這裡而已
368320	369720	我說有人幫你洗衣服
369720	370460	這是好事情
370460	371560	為什麼要這麼激動
371560	372320	對對對
372320	372960	然後我就問她說
372960	374820	欸原來房老婆幫你洗的啊很好啊
374820	375260	怎麼了嗎
375260	376160	我就說很好啊
376160	377160	然後她說喔沒有
377160	378220	就她又是
378220	380260	好像就是她把我內衣也丟進去洗了
380260	381000	欸對對對
381000	382460	我說欸
382460	383240	不可能吧
383240	385000	如果是我老婆不肯做這種事情吧
385000	387540	因為她感覺會記得放啊
387540	389700	所以不是大家都天生知道說
389700	391100	就是內衣就一定要放洗衣
391100	392940	如果是我幫你去洗的
392940	394720	就有可能是我不知道嘛
394720	395180	對不對
395180	396380	我老婆應該會知道啊
396380	397680	我就是這樣想
397680	398620	然後我就跟黃威傑說
398620	400020	所以我就說喔所以說
400020	403260	原來每個人在這種三更半夜很累的時候
403260	405100	是有可能會犯這些小錯的
405100	406400	我就覺得她有點生氣
406400	409000	這個不是因為我個人特指的原因嘛
409000	411400	她覺得你針對她
411400	412740	只有她這麼做的時候你才會生氣
412740	413660	她就是在我旁邊
413660	417140	我就覺得她就是講話的聲音莫名有小多不敢
417140	417380	沒錯
417540	419480	我就跟她講說喔原來不是只有我會這樣嘛
419480	421100	然後我說不對啊
421100	422280	不對啊
422280	424480	你這時候應該要大叫啊
424480	425320	你要大發雷霆
425320	426780	你要摔東西啊
426780	428780	你要去把老婆從床上拖下來
428780	429780	然後閃她兩巴掌說
429780	430860	我還會唱內衣
430860	433720	為什麼要把我的內衣丟進那個洗衣機裡面
433720	435400	你不知道我已經洗換兩件內衣了嗎
435400	436900	我已經很久沒叫你幫忙洗衣服了
436900	438300	當年女生當上了幾年
438300	440060	你不知道洗衣服的時候
440060	442100	沒錯你站錯邊了
442100	443040	站錯邊了
443040	445760	因為站錯邊那一堆那一堆
445760	446600	對啊我說不行不行
446600	447140	這口氣我讀不下去
447140	449200	我現在就把她叫起來對峙
449200	450040	是怎樣是怎樣
450040	451380	長那麼大了不會洗衣服
451380	452080	我就跟她說
452080	452940	小時候媽媽沒叫好
452940	454380	欸怎麼樣
454380	456820	我就感覺到她很怒氣你知道嗎
456820	457660	我就趕快緩和
457660	459980	我說沒有如果是她老婆的話
459980	462420	她自己有在洗內衣的習慣
462420	464560	我說她一定是沒看到
464560	465700	明知故犯
465700	466300	是故意的
466300	467760	她是故意要把內衣洗壞
467760	468700	貝莉捅刀
468700	470140	有一種閨蜜就這樣
470140	470760	貝莉捅刀
470760	473500	對對對兩個其實處不好
473500	474500	不行我這個氣不過
474500	476000	我現在叫她起來對峙
476000	476640	我這麼努力
476640	476740	把妳的內衣
476740	477140	來
477140	477840	先洗好
477840	479100	每件都放進洗袋裡面
479100	479840	功課已困
479840	481240	就是被妳破壞了
481240	482240	這口氣我讀不下去
482240	483120	我還在我那邊
483120	485540	啃妳的那個罪責
485540	486680	真的是
486680	487260	很氣
487260	488920	我這不是say sorry
488920	489780	然後說好啦好啦
489780	490580	我知道不是妳
490580	492020	我這不是釋然了嗎
492020	492660	不是
492660	494500	問題不在這裡
494500	495520	問題不在這裡
495520	497400	是為什麼犯出一樣的錯
497400	499600	沒有每個人都付出一樣的代價
499600	500700	為什麼別人可以被原諒
500700	501840	他不能被原諒
501840	503040	不是他我就覺得說
503040	504160	我已經講過很多次
504160	505140	他一定是粗心
505140	506740	黃衣姐沒有被原諒的資格
506740	509280	但是如果是妳老婆
509280	511140	我就會覺得她是真的沒看到
511140	513340	因為她不可能忽略這個細節
513340	516480	黃衣姐不可能真的沒看到嗎
516480	518060	有啊有一次
518060	519380	黃衣姐丟進去就是因為她懶
519380	520160	這是我故意的
520160	521620	就是她懶得檢查
521620	523820	我就覺得她可能是懶得檢查
523820	524500	因為她
524500	525360	我會懶得檢查
525360	527460	她老婆不會懶得檢查
527460	528260	像她有一次
528260	530660	因為她老婆就天生註定好
530660	532940	應該要為妳那堆髒衣服服務
532940	534260	我就覺得不需要說
534260	536500	我很意外有人幫我洗了嘛
536500	536740	然後
536740	537480	然後我也覺得說
537480	539540	她是基於好意幫我洗那一坨衣服
539540	541080	我很感謝她嘛
541080	542580	妳老婆是基於好意幫她洗的
542580	542920	對啊
542920	544180	我就是活該做
544180	544680	不是妳
544680	546780	妳是我的叫妳去的
546780	547720	有妳的衣服吧
547720	549020	對啊有妳的衣服啊
549020	550060	而且妳是我叫妳去
550060	551680	她不是我叫的啊
551680	552420	她是自主去做這件事情
552420	553960	妳如果今天自願洗
553960	556300	所以我如果今天自願洗衣服
556300	557920	我就可以把它全部洗爆
557920	560900	那妳這不是故意的嗎
560900	562700	不是妳有一次好像也是幫我
562700	563960	就是那一天不知道幹嘛
563960	565440	他真的是很主動
565440	566500	然後就是我一叫起來
566500	568500	欸我衣服在烘衣機裡了
568500	569500	我就很感動
569500	570340	可能是因為我泥菇
570340	572680	沒有泥菇在
572680	573140	Whatever
573140	575180	反正我有感受到妳的積極
575180	578380	然後我打開洗那個烘衣機的時候
578380	579380	我想說哎呀
579380	581020	竟然連內衣就是沒有被拿去烘
581020	582480	有分開晾曬
582480	584080	哇今天細節滿點
584080	585580	我就很開心你知道嗎
585580	586920	結果打開烘衣機裡面看到
