start	end	text
0	29980	大家好 歡迎來到好味小姐開束縛 我還你原型
30020	31640	Easy Life贊助播出
31640	32700	你看 像這個也不一樣
32700	33400	啊 怎麼了
33400	35580	以前都會說 我們有預錄的廣告
35580	37240	啊 我們今天不是預錄的 怎麼了
37240	38820	沒錯
38820	42300	今天是這個Easy Life贊助播出
42300	42760	對 對 對
42760	44060	我們要非常感謝他
44060	46920	因為我們就是忘記要先錄給他
46920	49900	然後對方就說 不如直接上好了 沒關係
49900	50560	應該是吧
50560	52000	好
52000	54940	十月貝呢 是由台灣羽絨50年以上的團隊
54940	56940	Easy Life獨家設計製造
56940	58360	那扎實的技術還有經驗
58360	59880	絕不妥協的羽絨品質製造
59880	62040	就能免一件無可挑剔的十月貝
62040	66000	嘿 對 就是十月貝這個老朋友 我們又來啦
66000	68280	那這次他們要來分享的不是他們十月貝了
68280	69080	是他們的
69080	70560	冬月貝
70560	72360	大家也確定想過這個問題
72360	72760	對
72760	74480	就他是可以蓋十個月的貝子
74480	75280	對 啊 剩下兩個月
75280	76760	剩下兩個月怎麼辦
76760	78200	哎 終於補給了這款拼圖
78200	79200	沒錯 沒錯 沒錯
79200	81120	那這款冬貝呢 跟他們十月貝一樣
81120	82120	是可以直接積洗
82120	84200	然後他們的材質是非常的清膚的
84200	85800	所以是不需要額外套被套的
85800	87640	喔 我 我很在意這一點
87640	89200	因為我很不喜歡
89200	89840	套了被套
89840	90840	之後有時候睡一睡
90840	92840	你的被套邊邊會跑位
92840	93280	喔
93280	94720	然後就會有一個地方就是
94720	95400	特別薄
95400	97320	尤其是冬天的被子特別會這樣
97320	98840	對 就是會跑掉位子
98840	100120	被子集中成一坨
100120	101040	嘿 就很討厭
101040	102280	然後剩下的地方只有被單
102280	103280	你以為蓋到被子
103280	104080	但你只有蓋到被單
104080	104960	然後就感冒了
104960	105680	好慘
105680	106400	就是這個感覺
106400	107840	所以我非常喜歡那種
107840	109000	本身就很舒服
109000	110400	不需要套被套的被子
110400	111800	嘿 然後這個冬月貝呢
111800	113320	它其實跟十月貝一樣
113320	115840	就是像羽絨外套的那個構成
115840	116400	對 對 對
116400	117360	它裡面是羽絨的
117360	119440	然後只是它比十月貝更加的厚
119440	121000	然後更紮實一點的感覺
121000	121600	對對對
121600	123160	但是整體還是非常的
123160	123920	輕
123920	125080	輕而不薄
125080	126240	意外的輕
126240	126640	對
126640	128200	它呢90%都是可以
128200	129480	水洗的羽絨填充的
129480	131880	所以就是輕盈保暖又透氣
131880	132280	喔
132280	133680	一開始它寄來的時候
133680	135480	它大概一個月前寄來的嘛
135480	136280	然後我們就開始
136280	137520	就是剛好變冷的時候
137520	137840	嘿
137840	139280	然後它的袋子小小一袋
139280	140280	我就沒有注意看
140280	142120	我想說應該是跟十月貝差不多
142120	143360	結果一打開超大一件
143360	144800	喔 它就開始膨脹了
144800	145280	對
145280	146560	然後因為我們是這個
146560	147640	它給我們加大版
147640	148320	對 沒錯
148320	149360	應該是queen size的
149360	150240	嘿嘿嘿
150240	151760	所以每次買各種被子都有一個問題
151760	152160	嘿
152160	153800	就是那個被子沒有這麼大的尺寸
153800	155040	然後我們三個人湊在一起的時候
155040	156280	就會有一個人一半是涼的
156280	157320	我們就要搶被子
157320	157920	呵呵呵
157920	159360	喔 但是它這一件非常大
159360	159960	就沒有這個問題
159960	160720	整個蓋滿
160720	161240	對對對
161240	163720	完全覆蓋我們整張床還有村欸
163720	164800	我就覺得很棒
164800	165520	然後再來呢
165520	166800	就是我們最近不是有講到說
166800	168400	Momo晚上在借尿褲嗎
168400	168680	喔
168680	169560	所以對我們來說
169560	172120	可以積洗這件事情是基本要求
172120	172560	沒錯
172560	174240	他們完全達成這個目的
174240	176280	喔 我們如果是蓋蠶絲的被子
176280	177800	喔 讓在上面尿完
177800	178520	直接完蛋
178520	179240	而且隔天還沒有
179240	180560	太陽到底是要怎麼曬
180560	181000	不知道
181000	181440	對 就悲劇
181440	182360	那那被子就封印了
182360	183440	呵呵呵
183440	184080	總而言之呢
184080	186080	像今年這個冬天就是非常討厭
186080	187560	有時候突然超冷
187560	187680	喔
187680	189400	有時候突然超熱
189400	189680	對
189680	190400	就很奇怪
190400	191520	那它這款冬月被呢
191520	194120	是5度到20度都非常適用
194120	195520	基本上說是台灣冬天
195520	196760	可能涵蓋到的溫度
196760	197920	都有包進去的感覺
197920	198520	喔
198520	199480	嘿 那最後呢
199480	201440	就是他們要給大家優惠的部分囉
201440	203080	即日起到2月18號
203080	204280	只要在官網下贊的時候
204280	205880	輸入折扣碼LADY
205880	207080	要記得全部小寫喔
207080	208720	就可以享88折的優惠
208720	209280	那另外呢
209280	211240	品牌官網還有消費滿6000元
211240	214400	就會再送大家羽絨圍巾的活動喔
214400	215800	那以上的優惠就分享給大家
215800	216560	詳細的活動資訊
216560	217880	我們也會放在資訊欄裡面
217880	220520	請大家一定要記得點開來看看喔
220520	222080	現在時間是1月15號
222080	223720	晚上8點32分
223720	224400	嗯哼
224400	226160	然後我們昨天是禮拜天嘛
226160	226640	對
226640	228600	然後我們昨天帶黃維夢去這個
228600	229840	高美師弟玩
229840	230240	對
230240	232120	本來一切都非常的順利
232120	233680	他這次就是很開心
233680	234840	就是踩在地上什麼
234840	236280	都不會像小時候第一次去的時候
236280	237040	就是很害怕
237040	237600	他第一次去的時候
237600	238720	連那個木棧板都不敢過
238720	239680	因為洞太大
239680	241360	其實他這一次那個木棧板
241360	242440	洞比較大的地方
242440	244520	他還是不太敢
244520	245560	我家說你已經長大了
245560	247280	你現在可以直接跳過去
247280	249920	他就用跳的一步一步跳到
249920	250560	跳過去這樣
250560	250880	對
250880	253440	然後原本一切都非常的順利
253440	254720	結果想不到
254720	256880	在最後天黑黑的時候
256880	258920	已經就是太陽已經完全下山了
258920	259320	對
259320	260800	即將要離開的時候
260800	262480	快伸手不見五指的時候
262480	263440	突然啊
263440	265760	黃維夢經歷了他人生中
265760	268400	第一次的這個分手的過程
268400	268680	哇
268680	269640	第一次失戀了
269640	270720	對對對
270720	271840	我有嚇到欸
271840	272960	我沒想到我這麼早
272960	275000	就會開始處理這些事情
275000	276920	當天那個氣氛有點微妙
276920	279080	其實一整天就是他玩得很開心嘛
279080	280280	然後在玩的過程中
280280	281880	就是他不知道在哪裡
281880	284560	就是突然撿到一隻大概10公分吧
284560	286720	細細長長的小樹枝
286720	289560	就是大家如果不知道高美獅弟長什麼樣子
289560	290280	高美獅弟呢
290280	291800	就他在他那個海岸邊
291800	294240	他做了一個很長很長的這個木棧道
294240	294640	對
294640	297640	然後一直延伸到就是快到海裡的地方
297640	298520	可能有200公尺是吧?
298520	299360	200公尺這麼長
299360	301000	就他站到涵蓋的這個範圍
301000	303480	你就是不能走到旁邊的那個泥地裡面去
303480	305800	這邊就是保護獅弟生物的地方
305800	307960	他到那個比較靠近海的地方的時候
307960	310520	你就可以走到他那個泥地裡面
310520	311440	就是海岸的泥地裡面
311440	312800	你可以去採採水啊之類的
312800	313640	沒錯沒錯
313640	317160	然後黃維夢就是在他在那邊泥地裡面採水的時候
317160	317800	對
317800	320480	突然撿到了一根樹枝
320480	321600	10公分左右欸
321600	322520	小小枝的
322520	323120	樹枝
323120	323520	對
323520	325760	但他拿在手上就是特別的剛好
325760	326000	對
326000	327800	所以他就覺得哇拿到了一隻
327800	328400	有點像是你
328400	330000	撿到神裝的感覺
330000	332960	撿到一個小玩具這樣子
332960	333680	然後他就很開心
333680	334960	因為獅弟其實就是
334960	336920	你就除了手腳可以玩那個沙地之外
336920	338440	你沒有任何的玩具嘛
338440	341360	所以那對他來說就是現有的最好的玩具了
341360	342800	就拿那個樹枝開始
342800	344600	喔這邊戳戳那邊戳戳
344600	346960	然後看到他戳下去之後會有泡泡冒出來
346960	347880	就很興奮這樣
347880	348400	喔
348400	349840	對他就大概跟那個
349840	351600	從他撿到那隻樹枝
351600	353280	到我們差不多太陽下山要離開
353280	355520	大概跟他相處了半個多小時有吧
355520	356520	沒那麼久吧
356520	357560	我覺得欸沒有嗎
357560	358360	15分鐘
358360	359480	十幾分鐘了是不是
359480	361600	我覺得這是更閃電的一個練習
361600	362640	15分鐘我覺得
362640	363960	下課十分鐘的練習
363960	365040	對對對對
365040	367920	差不多好那大概算15分鐘好了
367920	371000	對他就是覺得哇太喜歡這個玩具了
371000	371280	對
371280	372800	但是我們要離開的時候
372800	374200	我們就是就跟他說
374200	376760	欸這根樹枝是屬於高美獅弟的
376760	377000	對
377000	378920	我們不可以隨意的把他帶回家
378920	380320	喔算是一個機會教育
380320	381080	對對對對
381080	382040	就其實說實在的
382040	384240	為什麼會是樹枝出現在獅弟裡面
384240	385040	其實也是很微妙
385040	385800	其實也是很微妙
385800	386640	不知道從哪裡來的
386640	387120	對
387120	387840	說不定他是屬於
387840	388720	垃圾的範疇
388720	390400	也有可能是小鳥拎過來的
390400	390960	不知道
390960	392160	也有可能他其實是一隻竹筷
392160	393160	不知道
393160	393760	不知道
393760	394920	但是我們就想機會教育
394920	396640	就跟他說我們如果去大自然裡面
396640	396880	對
396880	398680	山上啊或是海邊啊
398680	399720	就是我們
399720	401360	那個大自然的東西我們不能帶走
401360	401800	沒錯
401800	403280	然後你自己的垃圾什麼的不能留下來
403280	404120	也不可以留在這裡
404120	405720	對我們要跟他機會教育這件事情
405720	406200	對
406200	408440	所以我們就跟他說你不能帶走那根樹枝
408440	408800	對
408800	409560	你要讓他回家
409560	409720	對
409720	410320	你要讓他留在這邊
410320	410920	沒錯
410920	412040	但他在家裡的時候
412040	414760	比如說在你媽那邊到我們這邊移動之間
414760	418200	他其實是可以攜帶他想要帶的東西兩邊跑的
418200	419240	玩具可以帶來帶去
419240	419800	對
419800	421120	然後有時候他要換地方
421120	423200	我就會說那你要不要選一個你喜歡玩具
423200	424280	帶去阿嬤那裡玩
424280	425040	對
425040	427480	所以他那天就覺得說那是他的玩具
427480	429480	所以我們叫他要求他留在這裡
429480	431160	他有點一時間無法接受
431160	431640	哎呦
431640	433280	對他就說我不要
433280	434520	就很認真說我不要
434520	435240	我說no no no
435240	436560	我們剛剛已經講過了
436560	438160	這個因為是屬於大自然吧吧吧
438160	439520	我就重新講了一次
439520	439840	對
439840	443040	他說可是我真的很喜歡這個樹枝
443040	443520	嗯
443520	444560	但其實我覺得
444560	447280	他到這裡都還算是就是在跟我們討論
447280	448400	他沒有真的要哭
448400	449040	對
449040	450440	然後我們就又再講了一次就說
450440	453320	喔不行你未來可能還會遇到其他的環境
453320	454200	有其他的樹枝
454200	455280	你給他們一起玩
455280	457280	如果大家都就是想帶什麼就帶走
457280	459040	那整個濕地就什麼都沒有了
459040	459400	對
459400	460280	就變空空的
