start	end	text
0	8380	好 這次我一定可以完成講出節目的名稱
8380	10280	哈囉 大家好 歡迎你們來到
10280	12400	好味小姐開束縛 我還你原型
12400	14400	成功了 怎麼講對了
14400	15220	成功了
15220	17640	哈囉 大家好 我是好味小姐 翅翠
17640	19040	大家好 我是錦妍 還是阿段
19040	20440	大家好 我是攝影師 橫帆
20440	24220	那個 我們的那個 節目的名稱
24220	27160	那個型 就是我還你原型的型
27160	29260	到底哪個是對的
29260	29980	應該是我還你原型的型
29980	31480	應該是形狀的形
31480	33020	對 好像是三撇形
33020	34860	因為還你原形嘛
34860	36600	對啊 不是phototype
36600	38180	喔 phototype是
38180	39320	原形機的那個原形
39320	40740	所以那個形寫錯就對了
40740	41320	對
41320	42740	可是我覺得我那個
42740	44280	字寫得不錯看我不想改
44280	45600	對 所以這就不改了
45600	46820	先為自己演講
46820	48140	錯就錯了 不管了
48140	50480	不要再說這件事情了
50480	52680	對 然後上一次我們講完之後啊
52680	53980	有一些留言
53980	55100	然後有一些問題
55100	57180	比如說有回音的這個問題
57180	59100	這個問題
59100	61100	我們也不知道怎麼解決
61100	62480	其實可以換到小一點的地方
62480	63400	但是我們就是
63400	64600	現在只有這個地方可以錄
64600	65340	所以
65340	66940	嗯 以後看著辦
66940	68220	然後至於這個
68220	70940	有人說就是我講話一直斷斷續續
70940	73180	就是常常這樣
73180	74760	然後的這個感覺
74760	75340	這個問題
75340	76760	因為他沒有錄過podcast
76760	78060	這個不是技術問題
78060	79140	就是不是設備的問題
79140	80340	你還在想啦
80340	82520	這是我單純我個人講話的問題
82520	84020	他平常在跟我們講故事的時候
84020	85440	也會聽到生氣
85440	86100	沒有錯
86100	86860	講半天不知道他到底要講什麼
86860	88340	而且他的前言還會超級長
88340	89060	沒錯
89060	91300	我會先把整個故事背景全部都軟變
91300	93900	然後讓你深刻了解這個世界觀之後
93900	95300	再開始講我的故事
95300	97060	對 通常世界觀還沒講完
97060	98260	我們就不想聽
98260	100260	對 就是比較
100260	101300	囉唆
101300	102600	欸 你要開始卡
102600	103860	我們剛剛就
103860	106940	我們等一下也會提到囉唆這件事情
106940	109940	然後今天是禮拜一了
109940	111260	今天是禮拜一的凌晨
111260	112020	然後呢
112020	113180	我們禮拜六的時候
113180	114440	我們那個好朋友
114440	115760	我們上一集有講到那個
115760	117020	讀了兩年化學系之後
117020	118180	重考的那個
118180	119300	我們工業設計的那個
119300	120380	對 我們的室友
120380	121560	向翔
121560	122180	阿妹
122180	123060	我們上次有叫阿妹
123060	124880	不要讓他亂取名字了
124880	125640	就叫阿妹就好
125640	126680	對 這是我們的室友
126680	127480	他來找我們玩
127480	128420	跟他女朋友
128420	129220	因為現在
129220	131760	豪威小姐她快要生下來了嘛
131760	133340	她如果生了之後就要坐月子
133340	134880	什麼什麼什麼的
134880	136260	所以她如果現在不來
136260	137100	先聚一聚
137100	137800	對 現在不來
137800	139600	下次來就可能就好幾個月以後了
139600	141560	所以他們就趕在我生之前
141560	142940	趕快來看看我
142940	143480	對
143480	144940	那一天我們就有聊到說
144940	145680	我們
145680	146800	LUW Park是第一集
146800	148180	然後講到他的這件事情
148180	149560	然後其實我們一天
149560	151600	一直都沒有很認真的
151600	152600	問他過
152600	153300	欸 不能這樣講
153300	154720	就是我們就很自覺的認為說
154720	156020	他就像一般人一樣
156020	157520	帥帥的填志願
157520	158340	然後就填錯了這樣
158340	159300	其實我們誤會了
159300	160100	嗯 其實我們誤會了
160100	160560	他其實不是
160560	161880	志願去化學系的
161880	162420	對
162420	163180	就是很猛
163180	164520	我覺得我那天聽了一個
164520	166420	史上最悲慘的故事
166420	167300	對 但是這個
167300	168260	喔 很複雜欸
168260	169480	簡單的說呢
169480	172020	他當初會填化學系去讀
172020	173140	中央化學
173140	173940	欸 他是讀中央化學
173940	174520	中正
174520	175480	喔 中正
175480	177020	他讀中正化學讀了兩年
177020	177840	是因為
177840	180140	他媽偷偷的改了他的志願
181180	182800	就是我們填志願的時候是
182800	184920	你要線上登錄你的那個
184920	185800	準考證
185800	186080	對
186080	187720	然後就可以填一百個
187720	189760	然後填完之後你就可以上傳嘛
189760	190140	嗯
