start	end	text
0	2000	先講 先講我們昨天去爆買
2000	4000	先講 那是你昨天去爆買
4000	5000	對
5000	7000	沒有 和平醫生他算一算也有八千
7000	8000	蛤
8000	9000	他有這麼多嗎
9000	10000	對
10000	13000	我昨天 我昨天算一算我初估大概是個兩萬
13000	16000	但是我把其中一億九千的分三期
16000	18000	所以我其實沒有花那麼多
18000	19000	至少這個月沒有
19000	20000	要分三期
20000	21000	什麼
21000	22000	分什麼期
22000	23000	不是啊
23000	24000	因為很大筆
24000	25000	然後他就問我說
25000	26000	你有沒有分期
26000	27000	我就想說
27000	28000	不分白不分喔
28000	29000	分割喔
29000	31000	超過那個分期的標準的金額啊
31000	33000	但是你沒有買多少件衣服啊其實
33000	34000	我買很多啊
35000	37000	很多欸 五件上衣欸
37000	38000	六件上衣 四件褲子欸
38000	40000	你們衣服一件多少錢啊
40000	43000	我們平均大概一千
43000	44000	一兩千塊啊
44000	45000	你們衣服一件都一兩千塊
45000	47000	對啊 差不多啊
47000	48000	好的
48000	49000	我跟你講我們去晃的時候
49000	51000	你不知道 是十倍嗎
51000	53000	跟球鞋 球鞋
53000	54000	鞋子是反過來
54000	55000	鞋子是反過來
59000	62000	好 大家好
62000	64000	歡迎來到好威小姐開束服
64000	65000	我是翠翠
65000	66000	大家好 我是剪輯師阿段
66000	68000	大家好 我是攝影師阿凡
68000	70000	我們剛剛
70000	72000	在聊昨天報復性消費
72000	74000	對 好威小姐的報復性消費
74000	76000	昨天就是這幾天
76000	78000	就是顧小孩很累
78000	80000	就是雷夢這幾天特別歡
80000	82000	然後早上都死活不睡覺
82000	83000	都是一直哭一直哭
83000	86000	然後哭到自己暈絕這種感覺
86000	87000	哭到自己就是斷片這樣
87000	88000	剛剛就是這樣
88000	89000	那昨天就
89000	91000	晚上就基本沒有睡覺嘛
91000	92000	對
92000	93000	然後就是
93000	94000	應該是
94000	96000	照理說他會喝吃飽
96000	98000	之後睡個四個小時
98000	100000	然後再哭再起來吃飯
100000	101000	睡四個小時
101000	103000	但他昨天應該是那種
103000	104000	一個小時當單位
104000	106000	一個小時中就會包含
106000	108000	哭吃睡
108000	110000	各二十分鐘
110000	111000	哭吃睡中間還有包含
111000	113000	你要抱著他哄他
113000	114000	入睡的那個過程
114000	115000	夭壽喔
115000	116000	各十幾分鐘
116000	118000	然後再來睡了之後嘛
118000	119000	然後大概睡十分鐘之後
119000	120000	就再來重複一次
120000	122000	哭吃睡
122000	123000	比如說像今天好了
123000	125000	現在的時間是一點
125000	127000	他從昨天好不容易五點那一趟
127000	128000	四點吃完奶
128000	129000	現在時間是那個
129000	130000	現在時間是下午一點
130000	131000	下午一點
131000	132000	然後他好不容易就是
132000	133000	昨天凌晨
133000	134000	大概四五點的時候
134000	136000	那一趟奶喝完
136000	138000	我就想說要哄他睡覺
138000	139000	我就抱著哄哄哄哄哄
139000	140000	哄半天
140000	141000	但是死活不肯睡
141000	142000	一直在哭哭哭
142000	143000	然後就在我身上睡著
143000	144000	大概五點半
144000	145000	我說太晚沒了
145000	146000	我就把他放下
146000	148000	把他放下之後我就去洗那一瓶
148000	149000	然後很餓我就煮了一碗麵
149000	150000	然後把麵吃掉
150000	151000	然後還不到六點
151000	152000	他就開始
154000	155000	然後就是一副要醒來的樣子
155000	156000	我就趕快塞奶嘴
156000	157000	有時候他就開始哭
157000	159000	哭到十一點半
159000	160000	哭到
160000	162000	最後草原應該是放棄了
162000	163000	應該是放棄
163000	164000	因為哭的時候你會哄
164000	165000	哄他就不會哭那麼大聲
165000	167000	我就已經在那個房間裡面
167000	169000	旋轉跳躍一個小時
169000	171000	有人在挑遙控器的角度嗎
171000	172000	對啊
172000	173000	就是在各種晃
173000	174000	我想看他到底是怎麼樣啊
174000	175000	有人在哄的時候
175000	177000	小嬰兒哭聲是會
177000	178000	就是
178000	179000	呼高呼低這樣
179000	180000	會這樣嘿嘿
180000	181000	嘿嘿
181000	182000	會比較平穩
182000	183000	對
183000	185000	但是放棄的時候
185000	186000	直接爆哭
186000	188000	就是你把他放在那邊的時候
188000	189000	他就會直接吹到頂
189000	190000	對
190000	191000	然後就是一百
191000	192000	持續一百分貝
192000	193000	對
193000	194000	他走進來的時候就說怎麼了
194000	196000	我看到那個監視器
196000	197000	他一直在哭
197000	198000	然後他竟然看到畫面
198000	199000	對啊
199000	200000	沒有我沒有看監視器啊
200000	201000	那你是說什麼
201000	202000	我就是
202000	204000	就是聽到那個巨大的嬰兒哭聲
204000	205000	然後我就醒來
205000	207000	其實我早上大概十點多的時候起來
207000	208000	對
208000	209000	然後我起來就
209000	210000	聽到對面一直在哭
210000	211000	嘿
211000	212000	然後我就
212000	213000	再考慮要不要去看看
213000	214000	再考慮要不要去看看
214000	215000	想想之後算
215000	216000	想想之後算
216000	217000	好像幫不上什麼忙
217000	218000	他進來的時候
218000	219000	我就是全身暈絕
219000	220000	我已經很累
220000	221000	然後躺在床上
221000	222000	然後把他放在我胸口
222000	223000	這樣趴著
223000	224000	他一直在我身上
224000	225000	一直瘋狂扭動
225000	226000	跟捶打
226000	227000	跟哭泣
227000	228000	然後我就過為縮動
228000	229000	他現在
229000	230000	雷夢現在
230000	231000	就是小孩這個階段很微妙
231000	232000	他現在就是
232000	233000	腳比較有力了
233000	234000	嗯
234000	235000	然後手也比較有力
235000	236000	然後脖子硬了
236000	237000	嘿
237000	238000	因為他現在可以
238000	239000	穩定抬頭了
239000	240000	抬一陣子
240000	241000	所以以前
241000	242000	你把他放在胸口
242000	244000	然後躺著的時候
244000	245000	他就軟綿綿的
245000	246000	他就只能頭這樣子
246000	247000	就只能靠在你胸口
247000	248000	嗯
248000	249000	然後就
249000	250000	他沒辦法動
250000	251000	無聊就睡著
251000	252000	他就不一樣
252000	253000	他現在可以一直頭吹你胸口
253000	254000	哈哈哈哈
254000	255000	然後他還會
255000	256000	就是你
256000	257000	他還會腳蹬你的大腿
257000	259000	然後用頭頂你的下巴
259000	260000	哈哈哈哈
260000	261000	那現在
261000	262000	哈哈哈哈
262000	263000	超好
263000	264000	超好
264000	265000	超好
265000	266000	超好
266000	267000	超好
267000	268000	超好
268000	269000	他現在非常靈巧
269000	270000	對
270000	271000	你沒有辦法忽視他
271000	272000	對
272000	273000	然後
273000	274000	那個
274000	275000	那個什麼
275000	276000	感覺他的那個背的肌肉也開始比較發達了
276000	277000	嘿
277000	278000	以前
278000	279000	以前他拍嗝不舒服的時候
279000	280000	他就是
280000	281000	也是軟綿綿的吧
281000	282000	然後任你擺動你就拍嗝
282000	283000	對
283000	284000	他現在可以就是
284000	285000	全身像魚躍
285000	286000	你知道嗎
286000	287000	魚躍式
287000	288000	他可以把全身繃緊
288000	289000	然後整個往後
289000	290000	彈起來
290000	291000	彈起來
291000	292000	像李渝皇爺
292000	293000	對
293000	294000	李渝皇爺
294000	295000	所以他現在喝一喝
295000	296000	喝奶喝一喝
296000	296640	不舒服的時候
296640	297720	他就會這樣用力蹬
297720	299440	然後就是你要去
299440	300320	你要接住他
300320	300880	你知道嗎
300880	303040	他會從你身上彈出去
303040	304960	他會用這個接住他的髮罩
304960	307360	對啊十分卓越
307360	308640	很危險欸
308640	310720	現在手都不敢離開他太遠
310720	312040	超煩的
312040	313200	對頭垂
313200	314600	頭垂很煩
314600	316800	anyway就是最真的實在是太累了
316800	317880	不知道他為什麼這樣
317880	318720	因為他其實前一陣子
318720	321560	已經可以穩定睡超過6個小時
321560	323440	不是說什麼長腳痛
323440	324360	應該沒有那麼誇張
324360	325120	不曉得
325120	326920	長腳痛是會就是
326920	327720	也有可能啦
327720	328720	會哭到你直接放棄
328720	329800	準碎如曉
329800	331000	也有可能
331000	332560	就不知道
332560	333760	就是他好像前一天
333760	335960	可能白天睡太多還怎麼樣
335960	337160	反正他已經
337160	338360	就是這兩天突然這樣
338360	340440	而且我覺得他會認地方了
340440	341000	他會認地方
341000	342960	他會認就是我們都固定在
342960	344360	椅子那邊餵奶嘛
344360	345920	然後在床上就是睡覺嘛
345920	346280	對
346280	347680	所以他現在如果肚子餓
347680	348920	背包上床
348920	350560	他就會超級不舒服
350560	351560	一直哭一直哭
351560	352440	搞錯地方了
352440	354040	但是你把他移到椅子上
354040	355080	你還沒坐下
355080	356040	他就停下來了
356040	357480	他就會覺得說
357480	359880	接收到我的訊息了是不是
359880	361200	所以昨天晚上是
361200	362840	不知道他在放在哪裡都不對
362840	363840	對
363840	364880	我就是已經各個
364880	367920	房子上各個角落我都失困
367920	369000	找一個新的地方
369000	370440	有可能
370440	372320	他搞不好是想要
372320	375240	打電動
375240	376520	有啦有聽說好像小孩
376520	377600	如果真的哭鬧不休
377600	379840	可以換個環境會好一點
