start	end	text
0	4160	大家好 歡迎來到好味小姐開束縛 我還你原型
4160	4300	大家好 歡迎來到好味小姐開束縛 我還你原型
4300	5580	大家好 歡迎來到好味小姐開束縛 我還你原型
5580	8500	大家好 歡迎來到好味小姐開束縛 我還你原型
8840	10420	大家好我是聖先生
10420	12760	本集節目由사호 리亞森歐離昂贊助播出
12760	14380	本集節目由사호리亞森歐離昂贊助播出
14400	16960	每個人頭皮髮質膚況全部都不一樣
16960	20200	但是在森歐離昂大家都可以找到適合自己的產品喔
20200	23300	全產品優先使用天然或是有機認證植萃
23300	24880	以不添加多餘化學成分為主要訴求
24880	26120	作為主要訴求
26120	28760	連續三年獲得多項國際美妝大獎
28760	31520	是世界肯定的MIT喜慕品牌
31520	33320	那他們這次想要跟大家分享
33320	36120	是淨平衡羊肝菊洗護三件組
36120	36840	沒錯
36840	38160	有機羊肝菊的萃取
38160	39640	溫和洗淨不刺激
39640	41640	可以讓你的頭皮油水平衡
41640	44520	洗後髮根蓬鬆又很清爽
44520	47400	全新的產品控油舒緩洗前淨化液
47400	50160	完全是人頭皮的救星
50160	52640	不需要加水直接塗抹在你的頭皮上
52640	55240	輕輕的按摩至起泡之後就把它洗掉
55240	57560	玫瑰茄花酸可以淨化你的頭皮
57560	59720	讓頭皮接淨換新
59720	61120	他這是寄滿多來
61120	62800	我們三個人都有用到
62800	64520	我自己覺得他這套洗護產品
64520	67120	應該可以當作夏天的長住商品
67120	69640	就是他洗完之後的清爽度是很夠的
69640	73080	我自己是非常喜歡洗前淨化液的
73080	74320	就是我覺得洗完之後
74320	77400	你的髮根會維持蓬鬆的時間比較長
77400	78320	你就比較不會一直說
78320	80360	我怎麼那麼快頭又塌塌的
80360	80880	有沒有
80880	82200	就是髮根的清爽度
82200	83480	我覺得有大幅的提升
83480	85200	所以我自己蠻喜歡這個部分的
85200	86960	我的感想是比較特殊一點
86960	89560	就是他今天這三款都是洋甘菊的味道
89560	90200	沒錯
90200	92560	洋甘菊是一個讓人家放鬆
92560	94640	然後有點療癒感的一個香氣
94640	95960	很多人就是想睡覺
95960	98200	助眠的時候會喝洋甘花草茶
98200	99200	大概這個感覺
99200	100800	然後就是我是一個
100800	102840	洗澡的時間很不固定的人
102840	103600	確實
103600	105320	我有時候起床早上洗
105320	106800	有時候晚上睡覺之前
106800	107520	我睡覺太髒
107520	108720	我睡覺之前就會洗
108720	109080	這樣子
109080	111000	然後我以前都是用那種
111000	111720	有的就是
111720	112720	淨涼什麼之類的
112720	114000	之類的這種東西
114000	116280	然後這個其實在晚上睡前洗
116280	117080	因為你不太對勁
117080	118040	太提神了
118040	119960	你洗完之後全身都
119960	121200	反正這個精神來了
121200	121560	對
121560	122800	那就變得不好睡
122800	123280	沒錯
123280	125160	然後我現在就是如果在睡前要洗澡
125160	127880	我就會使用他這個洋甘菊香氣的系列
127880	129560	我覺得洗完之後真的是
129560	131400	全身都會放鬆下來
131400	133720	跟心靈一起放鬆下來
133720	136120	整個身心都乾淨的起來的感覺
136120	136320	好
136320	138640	大家知道我已經進入這個長頭髮的階段了
138640	139160	沒錯
139160	140720	男生如果沒有注重護髮的話
140720	142640	看起來就會非常的毛躁和邋遢
142640	143520	對真的
143520	145120	那之前真的是一個
145120	146880	就乞丐感
146880	150800	那之前我用偷用那個我老婆的護髮液的時候
150800	152760	就會覺得那個東西黏黏稠稠的
152760	153800	就很不喜歡用
153800	155880	對我也很不喜歡用護髮液的東西
155880	157760	就是會有種洗不乾淨的感覺
157760	159600	就是他有些那個質感會濃稠到
159600	161200	你像是覺得塗豬油的頭
161200	162960	對對對對對
162960	164040	然後他這款就不會這樣子
164040	166080	他會有點像那種清爽的乳液
166080	167560	比較好推開
167560	168760	所以也很好沖洗
168760	170560	所以整理起來就比較舒服
170720	171960	哦
171960	175360	整體來說我覺得非常適合緊接要來的夏天就對了
175360	178040	那他們最後是他們優惠的部分
178040	179400	即日起至4月5號
179400	182280	只要透過我們好位的專屬連結下單
182280	185240	健品和羊肝菊洗護三天組只要990元
185240	187320	所以大家可以趁著夏天即將來勤之前
187320	189160	先把貨囤起來
189160	190480	以上的優惠就分享給大家
190480	191400	詳細的活動資訊
191400	192800	我們也都會放在資訊欄裡面
192800	195400	大家記得點開來看看哦
195400	198400	現在時間是3月3日星期日
198400	200000	晚上10點13分
200000	200720	嘿我們又再一次
200720	201560	一個週末錄
201560	202880	我們要提早了
202880	205040	我們就要建立起這個好習慣
205040	206320	因為我們每次都死到臨頭
206320	207360	對對對對
207360	209440	然後這一次這一集
209440	210840	應該剛好是我們的
210840	212760	第200集的Podcast
212760	214240	哦這麼久了嗎
214240	214880	還沒錯
214880	216400	哇一年也才五十幾週
216400	218200	我們錄了快四年多了嗎
218200	219080	欸真的欸
219080	220160	這樣講下來
220160	221760	時光飛逝
221760	222680	Oh my god
222680	223760	已經老節目了
223760	225280	真的真的
225280	227320	然後就是我今天下午啊
227320	228880	就是在那邊截留言的時候
228880	230000	突然發現說哎唷靠唷
230000	232560	要200集有人提要這件事情
232560	234080	然後我就發了一個限動
234080	236440	就說欸我們那個下禮拜那集是200集
236440	237320	我都沒有發現
237320	238400	你要給大家許願嗎
238400	240640	大家有沒有什麼想要我們講什麼之類的
240640	242000	我一發出去我就後悔
242000	242960	為什麼
242960	245320	因為我覺得如果說我們就是
245320	246280	每到100集
246280	246600	對
246600	247680	200集
247680	249800	不知道做一個特別節目這樣
249800	251240	有點像是那個就是
251240	252440	YouTube在做什麼
252440	255280	幾十萬的那個什麼QA之類的
255280	256240	有點
256240	256720	有點俗
256720	258000	無聊是不是
258000	259120	有點俗氣
259120	259840	俗氣
260000	260640	有點俗氣
260640	262440	大家都在做你就不想做
262440	263200	對
263200	264440	我覺得這樣有點刻意
264440	266120	我們照理說我們這個調性
266120	267000	就是一個隨性啊
267000	268720	對我們這一天200集這個
268720	269280	對啊
269280	270440	要我們就是非常一般的
270440	271560	普通的就這樣子
271560	272560	平常的某一集一樣
272560	273040	這樣子要過去
273040	273800	就路過去
273800	274040	對
274040	275440	要我們就應該直接停歌
275440	276360	哈哈哈哈
276360	277280	停歌太兇殘了吧
277280	278640	直接請假
278640	279800	太兇殘了吧
279800	280480	這種感覺
280480	281720	欸無預警停歌太壞了
281720	282760	才特殊
282760	283800	哦
283800	284760	所以我們200集的紀念方式
284760	286560	週年紀念我們去慶祝了
286560	288680	就瞎講休假
288680	289520	早說啊
290000	290640	不要做那麼極端
290640	291840	OKOKOK
