start	end	text
0	8980	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8980	9440	我是雷
9440	10400	大家好 我是阿端
10400	11040	大家好 我是聖凡
11040	12800	本集有預錄的廣告喔
12800	16400	本集節目由ZZSleeper旺優枕贊助播出
16400	19380	你知道睡得不好跟枕頭有很大的關係嗎?
19560	21980	一顆好的枕頭呢 必須滿足四大要素
21980	24460	支撐 柔軟 透氣跟形狀
24460	29000	旺優枕是由專業的物理治療師與醫生團隊設計製作
29000	31180	涼感 清水棉 聚胺脂材質
31180	34080	集結了市售常見的三大枕頭優點
34080	36120	首先是記憶枕的支撐度
36120	37940	再來是乳膠枕的柔軟度
37940	40240	最後是羽絨枕的透氣度
40240	43980	並通過197項最嚴格歐盟檢驗標準
43980	46800	旺優枕的上下兩邊是不同弧度設計
46800	48300	符合男女不同肩寬
48300	49980	左右兩邊適合側睡
49980	52200	不管是正躺側睡以及男女不同的體型
52200	54840	都能讓你的脖子找到最舒適的角度
54840	57040	這個枕頭它寄來要多久?
57040	58960	快兩個月了
59000	62000	所以基本上我們家包含黃雷夢本人
62000	64000	都試用了非常久
64000	66000	我覺得使用下來以我自己來說
66000	68000	我覺得最明顯是它的弧度設計
68000	72000	因為我還蠻在意能不能貼緊脖子這件事情的
72000	73000	尤其是睡覺這件事情
73000	75000	我只要脖子角度沒有貼好
75000	77000	我很容易多夢
77000	79000	我的反應會很明確
79000	81000	所以我睡覺就是一定要
81000	83000	剛剛好可以把我脖子撐住
83000	84000	如果今天想要多做一點夢
84000	86000	你可以喬歪一點點
86000	88000	這個感覺
88000	89000	但我不是很喜歡
89000	90000	就是突然驚喜的感覺
90000	93000	所以我喜歡那種包覆感很強的枕頭
93000	95000	我躺起來比較明顯的感覺是
95000	98000	支撐度跟透氣度之間的問題
98000	101000	因為之前一直是有一種互相衝突的感覺
101000	104000	所以你如果說那種透氣度好的枕頭
104000	106000	躺著就很容易塌
106000	107000	就會很軟的感覺
107000	109000	支撐度好的枕頭
109000	110000	整顆是實心的
110000	111000	就覺得好像特別硬
111000	112000	就不透氣
112000	114000	然後我是那種睡覺的時候很容易熱
114000	116000	就會流汗
116000	118000	所以說我如果說那個枕頭透氣度不好的話
118000	120000	睡一睡我就滿頭大汗
120000	121000	枕頭就會濕濕的
121000	123000	我那個枕頭濕濕的時候
123000	124000	很快就會黃掉
124000	125000	沒錯
125000	127000	所以說如果枕頭它透氣度不好
127000	129000	大概被我躺一兩次之後
129000	130000	就會噁心到你
131000	132000	那一區就會黃黃的
132000	133000	那一區就會一圈黃黃的
133000	134000	你就呃
134000	135000	就不想再拿你的臉去貼它了
135000	136000	沒錯
136000	138000	其實莫莫也是這樣的體質
138000	139000	就是容易流汗
139000	140000	對
140000	141000	然後她睡覺還有一個習慣就是
141000	143000	她其實是喜歡趴睡的
143000	144000	對
144000	146000	換了這個枕頭之後她超開心
146000	147000	因為枕頭支撐度還滿好的
147000	150000	所以她會整個人抱住整顆枕頭
150000	151000	對啦
151000	153000	我們不知道這個是不是廠商期待聽到的
154000	155000	就是使用方式
155000	156000	嘿
156000	159000	但是就是可以把她整個小小的身軀撐得很舒適
159000	160000	情況就是齁
160000	161000	我們大概拿回來
161000	162000	用了快兩個月嘛
162000	163000	對
163000	165000	啊大概第一個月以後嘛
165000	167000	就突然有一次就是黃雷夢換她用
167000	168000	對
168000	169000	啊她躺下去之後呢
169000	170000	她晚上睡覺的時候
170000	171000	就睡相很差
171000	172000	對
172000	173000	她就會自己一來一去
173000	174000	沒錯
174000	175000	總而言之她最後就整個人就是趴在那個枕頭上
175000	176000	哎
176000	177000	一覺到天亮
177000	179000	就固定這樣子的睡姿
179000	180000	對
180000	181000	她會睡覺睡著睡著
181000	182000	自己無意識去找那顆枕頭
182000	183000	然後把它環抱住
183000	184000	對
184000	185000	應該是她也覺得
185000	187000	但是一個有支撐又透氣的一個材質
187000	188000	因為很悶的話
188000	189000	它就會流汗
189000	190000	它就會轉
190000	191000	它就會跑
191000	192000	對
192000	194000	所以在她身上印證的是不會悶的
194000	195000	最後呢
195000	197000	就來到我們的優惠的部分了
197000	199000	點擊資訊欄的連結下單呢
199000	203000	就可以享用我們好味聽眾專屬的限定五二折優惠
203000	204000	那下單前呢
204000	206000	記得大家要先使用FB LINE或是手機去登入
206000	208000	那以上的優惠分享給大家
208000	210000	詳細的活動資訊我們也都會放在資訊欄裡面
210000	212000	大家可以點開來看看喔
212000	213000	好開門見閃
213000	214000	嗯
214000	215000	我們今天要聊一個
215000	217000	大家都遇到非常令人困擾的一個議題
217000	219000	那我覺得跟鬼故事一般的存在
219000	221000	哦
221000	222000	叫做失眠
222000	223000	哦
223000	224000	啊
224000	225000	失眠
225000	226000	我覺得我真的高中
226000	228000	國中以前從來不知道什麼叫失眠耶
228000	230000	學生時期比較不會的感覺
230000	231000	哦
231000	232000	你聽我慢慢講來喔
232000	234000	所以為什麼我今天想要講失眠這件事情
234000	235000	耶
235000	237000	我們要從一間動物園開始說起
237000	238000	動物園
238000	239000	動物園
239000	240000	就是我們上個週末
240000	242000	我想說應該要出門走走
242000	243000	對帶黃人夢出去晃晃
243000	244000	對對對
