start	end	text
0	9000	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
9000	11000	大家好 我是阿端 大家好 我是聖梵
11000	13000	本集有預錄廣告喔
13000	15000	本集節目由髮基因贊助播出
15000	18000	使用髮基因保養頭皮 還你豐盈蓬鬆的秀髮
18000	20000	即使熬夜錄Podcast 熬夜剪Podcast
20000	23000	也不用再害怕出油扁它還有透抽味了
23000	25000	好 先來簡單的分享一下
25000	29000	我們這次收到的試用品呢 主要是他們的天天居家系列
29000	30000	那在這個系列裡面
30000	34000	我個人最喜歡的是他們的1號毛孔大掃除凝膠
34000	37000	就是頭油的人常常會覺得你頭皮很悶
37000	39000	尤其是現在天氣越來越熱 沒錯
39000	42000	又濕 你就會覺得整天都很不舒服
42000	44000	沒錯 就是你是不是 沒錯
44000	45000	所以你洗頭之前啊
45000	48000	你就搭配使用這個毛孔大掃除凝膠
48000	51000	你那個頭皮的爽感 輕鬆的感覺
51000	54000	還有那個髮根的蓬鬆度就可以維持很久
54000	55000	它使用其實很簡單
55000	58000	就你在洗頭前把它塗在你那個頭皮表面
58000	59000	擠進去
59000	60000	然後稍微搓揉一下
60000	61000	放個10分鐘
61000	63000	你沖掉的時候你就不知道為什麼
63000	65000	你就覺得整個頭皮輕盈了起來
65000	67000	就是有呼吸感
67000	69000	原本不知道到底是積了什麼東西
69000	70000	想必是油吧
70000	71000	之類的
71000	73000	再來我還要再稱讚一下他們的
73000	75000	就是他們的洗髮水慕斯
75000	77000	真的超級無敵 霹靂方便
77000	78000	如果你有時候不小心
78000	80000	兩三天沒洗頭
80000	81000	就是這樣
81000	84000	就是喔 我是一個頭髮非常油的人
84000	85000	我不用兩三天沒洗
85000	86000	反正我只要隔一天
86000	88000	我頭就會很油
88000	89000	就油到說
89000	90000	我已經很習慣
90000	91000	我那個洗髮乳
91000	93000	擠第一次洗的時候
93000	94000	是沒辦法起泡的
94000	96000	就頭髮油起不來
96000	97000	真的有時候會這樣
97000	98000	我懂
98000	99000	所以我建議你習慣說
99000	100000	我要先洗一次
100000	101000	然後沖掉水之後
101000	102000	擠第二次洗髮乳
102000	103000	才會有很多泡泡
103000	104000	才會有氣泡
104000	105000	才洗得乾淨
105000	107000	我是用這個他們水慕之後才發現說
107000	109000	其實只要一開始起泡之後
109000	111000	我一次就可以把頭髮洗乾淨了
111000	112000	沒錯
112000	113000	而且其實用量會比較省
113000	114000	就直接少掉一半
114000	115000	然後它這個慕斯質地
115000	116000	它就可以很輕鬆的
116000	117000	就到你的那個髮根
117000	119000	頭皮處
119000	121000	幫你把髒髒的油夠帶走
121000	122000	然後再來
122000	123000	我覺得他們的護髮
123000	124000	其實也蠻特別的
124000	125000	它叫做
125000	126000	冰鎮護理素雙效護髮
126000	128000	就是它不只是髮尾可以用
128000	129000	它連頭皮都可以用
129000	130000	對
130000	132000	就很多那種護髮產品
132000	133000	它會跟你說
133000	134000	你只能塗在頭髮上
134000	135000	你要避免
135000	136000	就是抹到頭皮
136000	138000	我那個男生短髮的
138000	140000	我要怎麼做這件事情
140000	141000	避免頭皮
141000	142000	根本不可能
142000	143000	真的
143000	144000	所以像它這樣子
144000	145000	就是它說頭皮可以用
