start	end	text
0	29980	大家好 歡迎來到好味小姐開束縛 我還你原型
30000	59980	大家好 歡迎來到好味小姐開束縛
60000	89980	大家好 我還你原型
90000	119980	大家好 我還你原型
120000	149980	大家好 我還你原型
150000	179980	大家好 我還你原型
180000	209980	大家好 我還你原型
210000	239980	大家好 我還你原型
240000	269980	大家好 我還你原型
270000	272000	大家好 我還你原型
272000	274000	大家好 我還你原型
274000	278000	大家好 我還你原型
278000	280000	大家好 我還你原型
280000	282000	大家好 我還你原型
282000	284000	大家好 我還你原型
284000	286000	大家好 我還你原型
286000	288000	大家好 我還你原型
288000	290000	大家好 我還你原型
290000	292000	大家好 我還你原型
292000	294000	大家好 我還你原型
294000	296000	大家好 我還你原型
296000	298000	大家好 我還你原型
298000	300000	大家好 我還你原型
300000	302000	大家好 我還你原型
302000	306000	大家好 我還你原型
306000	308000	大家好 我還你原型
308000	310000	大家好 我還你原型
310000	312000	大家好 我還你原型
312000	314000	大家好 我還你原型
314000	316000	大家好 我還你原型
316000	318000	大家好 我還你原型
318000	320000	大家好 我還你原型
320000	322000	大家好 我還你原型
322000	324000	大家好 我還你原型
324000	326000	大家好 我還你原型
326000	327540	然後他說他就很認真
327540	328300	他真的超認真
328300	330040	他就只去看我們所有的日常
330040	331900	就是有看到你走路的各種影片
331900	334400	還包括你帶秋葵去跑步的那個
334400	335520	外八超級嚴重
335520	337080	他說連跑步都是外八
337080	338780	他說你這樣子腳很容易受傷
338780	339720	很容易受傷
339720	339900	來了
339900	340700	我腳很容易受傷
340700	342020	不用他講
342020	343700	我外八超級嚴重
343700	344440	為什麼啊
344440	344640	好神秘喔
344640	345740	我外八嚴重到
345740	346380	就是
346380	348280	我也不知道為什麼我這麼嚴重
348280	349440	你外八嚴重到
349440	350420	你只要走在我後面
350420	352200	沒有一次不會踩到我的腳
352200	353320	幹我屁事
353320	354580	外八跟外八有什麼關係
354580	355660	你是不是沒有辦法
355660	356820	就是掌控你
356820	359140	你跟你前面那個人的間距位置啊
359140	361360	因為你腳是外八位啊
361360	362700	哪有啊
362700	363920	我不是外八
363920	364940	我後話比較前面
364940	366600	我每天走在這麼多人的後面
366600	367820	大家捷運什麼之類
367820	368960	我就只會踩到你的腳而已
368960	370100	你不覺得是你的問題嗎
370100	370740	是嗎
370740	371820	他也很常
371820	373800	他也很常被你踩到啊
373800	374240	就沒有道理
374240	374580	沒有道理
374580	375940	外八會比較容易踩到前面的人腳
375940	378060	我是比較容易被踩到腳的
378060	379600	因為我步距比較長
379600	381260	所以前面那個
381260	382020	後面那個人會預估
382020	383260	你後腳會比較晚抬起來
383260	383500	對
383500	385540	那你是怎樣
385540	386980	我步距太短
386980	389300	走路比較拖
389300	389980	不會啊
389980	390780	走路才算標準啊
390780	391700	你鞋子會那個嗎
391700	392700	會磨
392700	393980	磨鞋底嗎
393980	394780	會
394780	395260	磨哪裡
395260	395700	磨什麼地方
395700	397780	我是兩個鞋子的
397780	398860	靠在一起的位置
398860	399780	那個內側
399780	401580	就是大拇指最旁邊不是有骨頭
401580	402500	凸出那裡嗎
402500	403900	所以你是有點內八的感覺
403900	405580	就是我走路會在
405580	407260	我因為我小時候沒有辦法要求
407260	410340	走路前腳後腳要落在同一條直線上
410340	411780	所以如果有時候我太緊
411780	413100	就是走路太快
413100	414500	然後內部就會稍微有點
414500	415380	挫到另外一隻鞋
415380	416580	也在往前
416580	419140	前腳右腳落在同一條直線上
419140	420380	對就是每隻每一樣
420380	421060	然後達到這個要求
421060	421740	所以兩隻
421740	422940	有時候會磨到
422940	424020	兩腳的內側鞋面會磨擦
424020	424540	磨到
424540	425620	對對對
425620	426340	因為我那時候有
426340	427060	見鬼了
427060	427820	有這種事情
427820	430380	嘴巴合不起來
430380	431740	我媽對於這件事
431740	432580	你看我媽還要求我
432580	433740	頭上要點盤子嗎
433740	434420	就是
434420	435860	我小時候真的有練過
435860	436620	點盤子嗎
436620	438020	點書
438020	438380	點書
438380	439140	書雕橋不會破
439140	440740	那怎麼好刺激的
440740	442260	重點不是這個吧
442260	443820	就是我媽就是很要求這些
443820	444860	比如說什麼
445380	446220	要正確啊
446220	447020	我不是有說
447020	449140	筷子拿的手法也要正確
449140	449940	然後她不是都會叫我
449940	451660	練夾花生什麼的
451660	452180	對她就是說
452180	453340	舊陳串子跟我說
453340	454540	就是他媽超一級要求
454540	455740	那個筷子夾法正確
455740	456140	對
456140	458660	我第一次跟他媽吃飯的時候
458660	460580	夾裡吵架
460580	461940	我媽不在乎
461940	463340	我練了三天嘛
463340	464420	你是那種去那個
464420	465340	女朋友是豪門
465340	466660	然後去人家家裡那種
466660	467780	不知道要從哪一隻叉子
467780	468580	開始拿
468580	469220	對
469220	470340	有講究這樣子
470340	471940	從門口到打開門
471940	473420	要換三雙拖鞋
473420	474380	不知道拖鞋要放哪裡
474380	475340	這種程度
475340	476540	我剛剛不是說我的鞋子嗎
476540	476940	對
476940	478020	我記得就是
478020	480500	那個兩隻鞋子的外側
480500	481500	後面
481500	482700	就是你想像中一個人
482700	483660	走入外八的時候
483660	485300	微微的翻船的感覺
485300	487340	外翻會磨到地面的地方
487340	489020	你說腳跟的外側嗎
489020	489420	對對對
489420	491260	會磨到那個白色地方
491260	491500	你知道嗎
491500	492620	鞋底不是黑色的嗎
492620	493660	會把黑色的磨掉
493660	495820	磨到白色的那個程度
495820	497940	感覺走路隨時在翻船的邊緣
497940	498740	這樣不是很容易
498740	500580	就是腳踝受傷或什麼的嗎
500580	502100	小時候確實是蠻容易受傷的
502100	503300	那你長大有在翻船嗎
503300	504940	我很少看你腳翻船
504940	506220	我長大的時候就盡量就是
506220	506900	不要走路
508540	510460	這個方法很好
510460	511260	從根本解決問題
511260	512980	不會走就不要走
512980	513700	我也不知道為什麼
513700	515740	我小時候走路會變這個姿勢
515740	516500	這樣好像什麼
516500	517060	企鵝
517060	518460	企鵝 像企鵝
518460	519580	會不會很像啊
519580	519940	確實像企鵝
519940	522020	你在旁邊就會像
522020	523140	應該這樣講
523140	525500	在當我又瘦又高
525500	526060	對
526060	527220	又比較帥的時候
527220	527700	對
527700	529580	你怎麼走大家都覺得很飄逸啊
529580	531580	看起來像流氓
531580	532380	喔
532380	534020	有點痞帥痞帥的
534020	534820	看起來像是一個
534820	535460	帥流氓
535460	536380	的那種感覺
536380	538140	胖起來的時候就像企鵝
538140	539580	不要這樣
539580	541300	不要這樣
541300	541820	很嚴重欸
541820	542700	我那個什麼
542700	543860	我有一次
543860	545420	大概高中還國中的時候
545420	546420	忘記了
546420	547140	有一次就是
547140	547860	上大豪
547860	548260	對
548260	549020	為什麼
549020	549860	怎麼都可以扯到
549860	550340	上大大的時候
550340	551660	上大大會看書
551660	551860	你知道嗎
551860	552580	因為還沒有手機
552580	552860	對
552860	554100	翻牙翻牙翻牙翻
554100	555460	突然就有點累
555460	556420	眼睛眨一眨
556420	556940	對
556940	557700	你在張開的時候
557700	559140	眼睛的焦距突然調不過來
559140	559420	對
559420	560820	我焦距本來在書上嘛
560820	561220	調不過來
561220	562660	變成那樣的焦距在腳上
562660	563020	對
563020	563940	我突然發現啊
563940	564420	我兩隻腳
564820	565900	在上大豪的時候
565900	567380	也是外八的狀態
567380	567980	而且
567980	569620	兩隻腳的夾腳
569620	570980	超過180度
570980	572860	你是說你腳掌是貼地的
572860	574940	然後往外翻
574940	575580	怎麼可能
575580	576980	超過180度
576980	578180	你壞心人
578180	578940	就是這樣子
578940	579700	超過180度
579700	582820	這只有在鬼片裡面才會出現
582820	583820	不可能
583820	584260	真的
584260	585220	超過180度
585220	585700	不可能
585700	586340	你現在讓我看
586340	586940	我可能越
586940	588340	就是那個越來越往前傾之後
588340	589660	人類做不到這個動作
589660	590180	不可能
590180	590780	這毛頭鷹嗎
590780	591420	就可以
591420	592020	180
592020	593460	這樣張開就超過180了
593460	594380	不可能啊
594380	594780	誰有辦法
594780	596220	我沒辦法
596220	596820	我的肌身
596820	597780	你是不是要逼我們在這種
597780	598540	沒有畫面的時候
598540	599340	我就給你示範這種
599340	599700	可以啊
599700	600060	為什麼不行
600060	600860	這樣不超過180
600860	601420	不可以
601420	603220	好奇怪哦
603220	604380	它差不多有一個
604380	606700	190到200度
606700	607660	對啊
607660	607940	是不是
607940	608660	好creepy啊
608660	609940	真的很嚴重
609940	611540	而且這是你的超能力
611540	612540	這是我的超能力嗎
612540	614060	我覺得半道的人一定不多
614060	614860	這是你的超能力
614860	615660	我這個超級外八掌
615660	616740	它腳掌的夾
616740	617700	腳掌跟腳的夾
617700	619300	已經變形了
619300	619620	對啊
619620	622220	為什麼有辦法翻成這樣啊
622220	622900	不可思議
622900	624340	好猛好猛好猛
624340	625580	我現在就是如果走路
625580	628380	我硬把兩隻腳就是擺正
628380	629060	會跌倒嗎
629060	630500	我維持不了平衡
630500	631980	真的會跌倒
631980	633700	外八走路比較穩
633700	635140	外八確實企鵝盲
635140	636020	流氓
636020	637540	大家覺得在走路的時候
637540	639300	他上半身是很不穩定的
639300	640060	後來晃上去了
640060	640540	對
640540	641940	所以他要靠
641940	643340	外八還穩定
643340	644140	對
644140	645300	因為他走完上去
645300	646060	用肩膀去撞人
646060	647100	撞人之類的
647100	647860	我一直嚇喊我
647860	648260	故事上
648260	648980	撞人
648980	652100	用肩膀撞人什麼鬼
652100	653900	好 我要講這個
653900	656140	你不是就是要講這個嗎
656140	657740	總而言之我就是
657740	658780	腳的拇指
658780	660140	燒傷嗎很痛嗎
660140	661740	然後今天會非常非常痛的原因
661740	663020	是因為昨天
663020	664300	這個我本來以為
664300	665940	好像快好快好了
665940	668140	所以我們昨天跟黃維夢去這個
668140	669340	兒童樂園
669340	669740	那個叫兒童樂園嗎
669740	671260	就是室內遊樂園啦
671260	671980	室內遊樂園
671980	673020	對親子的
673020	674460	這個新玩意
674460	675420	這個如果跟我們年紀一樣
675420	676620	大家沒有生小孩的人
676620	677660	很多人無法理解
677660	678900	見都沒有見過
678900	680940	就是現在每一間保護公司裡面
680940	681940	一定有一層
681940	683020	一定有一層
683020	683900	兒童的那個區域
683900	686180	然後那層有一半的空間
686180	686900	都會是一個
686900	687900	球池
687900	689380	室內的兒童遊樂區
689380	690340	對
690340	691900	你們可能會有球池
691900	692660	彈簧床
692660	693980	然後很多很多的玩具
693980	695420	沙坑
695420	697020	你在裡面看到各種
697020	698420	各式各樣的沙坑
698420	699380	因為那種室內環境
699380	700700	你如果是真的沙很麻煩
700700	702580	對 然後家長也不太願意
702580	704060	會覺得很難清理
704060	704900	所以你會看到各種
704900	706740	比如說是像米粒
706740	708540	塑膠米粒沙
708540	710900	那種木頭的顆粒沙
710900	712020	木屑沙
712020	713020	不是不是木屑沙
713020	713460	是那種
713460	713860	小的
713860	714860	小木頭方塊
714860	716100	一層一層一一
716100	716820	一層一層一一議題的
716820	717660	小木齡方塊
717660	718860	變成的那種沙坑
718860	719460	對
719460	720300	各種的繩縮沙坑
720300	722380	反正就是有這麼一個地方
