start	end	text
0	8660	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8660	9160	我是翠翠
9160	10080	大家好 我是阿段
10080	10740	大家好 我是聖梵
10740	12700	本集節目有公益分享
12700	14060	本集節目要來分享的是
14060	17380	台灣黑熊保育協會的玉里台灣黑熊教育館
17380	20400	那台灣黑熊呢 其實是台灣唯一的熊類
20400	22640	是亞洲黑熊與台灣的特有亞種
22640	24220	而台灣黑熊保育協會呢
24220	26200	是一個致力於保護濱林絕種的
26200	28280	台灣黑熊的非營利社會組織
28280	30220	透過傳遞正確的研究知識
30220	32460	讓大家認識台灣黑熊所面臨的困境
32460	34660	例如棄地位破壞 陷阱誤補
34660	36340	或是人為的蓄意獵捕等等
36340	38780	這次誰會想要請我們跟大家推廣的呢
38780	40520	是他們在花蓮縣玉里鎮呢
40520	42360	有一個台灣黑熊教育館
42360	43580	那最近地震頻繁
43580	44940	大家可能會有點怕怕的
44940	46400	但是黑熊教育館呢
46400	48240	會一直在花蓮等待大家過去喔
48240	50820	希望大家在心情疲倦之後可以前往參觀
50820	53340	那館內除了世界八大熊展覽
53340	55000	還有1比1的黑熊模型
55000	56540	不定期呢 也會舉辦講座
56540	57740	或者戶外電影院的活動
57740	59920	是一個非常適合親子合家前往的地方
59920	61400	而且還是免門票的喔
61400	62400	更多資訊呢
62400	63720	大家可以點選我們的資訊欄
63720	65220	連結過去關注他們的官網
65220	66780	以上資訊分享給大家
66780	67900	大家記得要過去看看喔
67900	70280	現在時間是5月7日
70280	72260	凌晨12點20分
72260	73980	也生日過了
73980	75580	喔 對喔
75580	76960	突然就過了
76960	78520	今年幾歲啊
78520	80700	34足歲
80700	81100	喔
81100	81700	喔
81700	83940	好 不會啊
83940	86020	我覺得30歲之後好像就沒什麼感覺了
86020	86500	是嗎
86500	86520	是嗎
86520	87280	對啊 30歲之後
87280	88520	我覺得怎麼說
88520	90520	從20歲邁向30歲
90520	92020	是一個好像自己長大的感覺
92020	92520	對
92520	94360	但從30歲邁向40歲是一個
94360	95820	變老的感覺嗎
95820	97720	要死掉的感覺
97720	98960	走入棺材的感覺吧
98960	99520	對啊
