start	end	text
0	9760	好 大家好 歡迎來到好味小姐開束縛 我還你原型
9760	11420	我上禮拜忘記講第二句了
11420	13380	然後馬上就被大家發現了
13380	14560	大家好 我是翠翠
14560	16060	大家好 我是錦金斯阿斷
16060	17320	大家好 我是錦森凡
17320	20860	好 現在來告訴大家一個好消息
20860	22540	好消息 好消息
22540	23220	就是
23220	24780	什麼好消息
24780	26820	為什麼我都知道了
26820	29660	沒有 就是對我們來說的好消息
29660	32820	就是我媽退休了
32820	34420	沒有錯啦
34420	35340	我之前有拍一支影片啊
35340	38100	就是跟大家說我們那個
38100	39140	懷孕的那支影片
39140	40420	欸不是 對 懷孕的影片
40420	41060	對啊
41060	42540	放在腦波絡的
42540	43980	最後我爸就說
43980	45300	我媽我會照顧你啊
45300	45900	欸真的
45900	47580	其實我爸那時候是開玩笑的
47580	49380	什麼
49380	50300	現在是真的了
50300	51540	因為那個時候
51540	54340	那個時候我媽有跟我們討論過
54340	55940	就是她需不需要退休來
55940	57660	這兩個是照顧小孩
57660	59620	然後我跟翠翠都覺得
59660	60580	不用吧
60580	61300	應該不用吧
61300	62020	不就是一個小孩嗎
62020	62860	不過是顧小孩嘛
62860	64500	而且就覺得我們兩個都在家裡
64500	65220	是有多美
65220	65700	對不對
65700	67100	然後就想說
67100	68100	婆婆如果有
68100	69140	一樣有去上班
69140	70220	她有自己的交友圈
70220	71380	她會比較開心
71380	72300	大概那種感覺
72300	72980	主要是
72980	74660	主要是那個時候我們認為說
74660	75860	沒有什麼問題
75860	78020	是你認為說沒有什麼問題
78020	79380	你認為有問題嗎
79380	81460	欸我就那時候就是誠惶誠恐
81460	82940	但是我就覺得媽有工作
82940	84260	她可能會比較開心啊
84260	85380	蛤 因為我就算啊
85380	86460	我就算說
86460	87620	就是我們兩個都在家
87620	89140	都在家上班嘛
89140	89540	對啊
89540	91300	你最爛
91300	93860	最差最差就是兩個輪流睡啊
93860	95940	就一個睡白天一個睡晚上之類的
95940	97540	就24小時都有人顧啦
97540	99620	但你忽略了你的那個
99620	101820	平常工作的強度
101820	102980	平常工作的強度
102980	105700	說實在我們現在工作強度有減弱很多了啦
105700	106020	對
106020	107180	但是
107180	109940	其實你還是有增加了工作
109940	112180	我覺得是忽略了雷夢的強度
112180	114300	我覺得雷夢應該不算特別難顧的
114300	115380	不會應該不是不難顧
115380	118220	我覺得我們是沒有算到
118220	119460	就是時間規劃的問題
119540	122700	就是我們沒有算到休息的時間
122700	124100	然後就是會疲乏的
124100	125060	就是我們想說
125060	126180	你就早
126180	127180	白天一個人顧
127180	128700	另外一個人休息
128700	129660	晚上另外一個人顧
129660	129980	另外一個人休息
129980	132740	但是那個休息的時間補血是補不回來的
132740	136340	而且其實一個人顧的那個那半天
136340	138340	其實也沒有辦法真的一個人顧
138340	138860	對對對
138860	140260	就是我們發現
140260	143980	其實很多時候是沒有辦法一個人handle的
143980	145460	應該是一個人主要顧
145460	147140	然後一個人什麼事都不幹
147140	147900	然後他主要顧
147900	149380	然後另外一個人幫忙一下
149380	150620	這樣才有辦法顧得起來
150620	150900	對
150900	152700	但是這樣就會很累了
152700	153740	比如說他顧的那一天
153740	155700	我可能就還要洗奶瓶
155700	157900	然後幫忙洗寶寶的衣服
157900	159860	然後整理一下垃圾或環境
159860	160060	對
160060	162140	然後像有時候就是像
162140	163220	比如說
163220	165100	今天我晚上陪他睡
165100	165980	陪雷夢睡
165980	168100	然後他可能早上之前
168100	169820	他可能三四點就開始哭
169820	170980	然後就哭到
170980	172340	這個五六七八點
172340	173140	你說凌晨嗎
173140	173700	對對對
173700	174780	凌晨三點開始哭
174780	176700	然後就是到天亮了什麼
176700	178460	他都就是哭他的
178460	179220	然後就是完全沒了
179220	180780	完全沒有辦法handle
180780	182660	但是我大概到八點的時候
182660	185580	就會很絕望
185580	186500	對 早上八點
186500	187220	對 早上八點
187220	188860	然後就會
188860	189620	你就會把他放
189620	190860	你沒有招了嘛
190860	191940	就是尿布也換了
191940	193060	你什麼都做了
193060	193620	沒有招了
193620	194780	阿范也剛吃飽
194780	196060	對 你就把他放在那邊哭
196060	199140	然後在那邊等待有人來救你
199140	200380	或是七雞的降臨
200380	201900	他哭一哭突然覺得
201900	203060	不要哭好了
203060	203860	才不會
203860	204460	才不會這樣子
204460	205180	但是你會
205180	207140	就是會坐在那邊覺得
207140	209100	好像到這時候有人來救我
209100	210820	對 你有這樣子想法之後
210820	212380	哪天你如果說早上八點
212380	213340	比如說今天換日晨
213340	214660	雖然晚上陪他睡
214660	214940	對
214940	216780	那早上九點的時候會聽到
216780	219020	嬰兒房出現大哭的聲音
219020	220100	你就會覺得
220100	221620	他一定很希望有人去救他
223460	225540	對 然後你就會去救他嘛
225540	226300	對啊 所以到最後
226300	227140	其實你沒有辦法
227140	228020	兩個人就是很完整
228020	228900	都放著
228900	230100	對
230100	231980	到最後就是血就越扣越少
231980	233460	對 然後就開始一直
233460	234500	補品補不回來
234500	235460	時間都綁在那裡
235460	236300	對
236300	237780	然後再來我媽
237780	238940	就是一開始我們會單獨的
238940	239940	會擔心說
239940	241420	會不會我媽過的時候
241420	242820	覺得很累
242820	244540	覺得膩還是什麼的
244540	246100	十蜜月期就過了
246100	246940	很快這樣
246940	249260	後來過了一陣子之後發現
249260	250540	阿嬤好像沒有這個屬性
250540	251340	阿嬤沒有
251340	252060	阿嬤沒有
252060	253300	阿嬤是有啦
253300	254620	我記得有一次那個
254620	257380	第一次跟雷夢睡過夜的時候
257380	258620	然後隔天早上
258620	259460	順順順順
259460	260980	拔跟拔臉
260980	261940	臉色很差
261940	264020	臉色很差 說他哭了一個晚上
264020	265620	然後隔天就送回來睡覺
265620	267820	孫子永遠都是最可愛的
267820	268740	真的嗎 這種飽哭
268940	269940	是最可愛的
269940	270980	對 我也覺得有那個
270980	271900	我也覺得好像
271900	272540	那個情感的
272540	274300	有點濾鏡是不是
274300	275420	對 像是
275420	276220	就是
276220	277100	我覺得如果說今天
277100	279100	我是顧雷夢顧了一天
279100	281900	然後他今天很歡啊幹嘛的
281900	282860	到最後
282860	284140	心生厭煩
284140	285460	我是不會厭煩
285460	286340	但是你真的會
286340	288180	真的會有點懶得理他
288180	289260	你知道嗎 就是他一樣哭
289260	290780	但是我真的會覺得說
290780	292700	不然我讓你哭一下好了
292700	293900	好 然後做一些實驗
293900	295220	不然我來測試看看
295220	296620	這個時候可以哭多久
296620	298220	然後放在那邊讓他哭
298220	299460	就是十分鐘這樣
299460	300300	阿嬤應該是永遠都
300300	301700	不要再哭了
301700	302620	是嗎 你不會嗎
302620	303340	我不會
303340	304980	我明明說很常進去
304980	306620	看到你就放在那邊哭
306620	307300	我已經抱著
