start	end	text
0	29980	大家好 歡迎來到好味小姐開束縛 我還你原型
30000	32120	我們這個低因主食罐上架大概三年以來
32120	32880	快三年了
32880	35200	一直都是我們商店裡面的主力商品
35200	37800	但是我們有時候會收到一些訊息
37800	40060	就是我們主食罐都是一罐料理罐
40060	41160	加上一包營養粉
41160	42820	兩個搭配組合的
42820	45120	有的人就說他那個料理罐
45120	46240	他的貓很喜歡
46240	48520	但只要灑上我們那個營養粉之後
48520	49880	他的貓就不吃了
49880	50560	會嗎
50560	51420	有時候會這樣子
51420	53260	因為營養粉畢竟還是營養粉
53260	54400	有些微生素礦物質
54400	55980	它可能有點營養品的味道
55980	57280	有些貓不喜歡
57280	59900	所以這是我們2024年的全新生殖
59900	63600	我們就把這個營養粉升級成凍乾營養粉
63600	64860	超好吃
64860	67040	這個差異非常的劇烈
67040	68440	我們以前都說
68440	70000	你要把那個主食罐倒出來之後
70000	70920	灑上營養粉
70920	72160	攪拌均勻
72160	74200	這個有點就像是用主食罐味道
74200	75640	去壓掉一些營養品的味道
75640	76280	沒有錯
76280	77060	現在不用
77060	78220	你把主食罐倒出來之後
78220	80160	你要把營養粉當成幼食粉
80160	81760	直接灑在上面
81760	83500	對 你的貓就會衝過來
83500	85500	優先把營養粉全部吃掉
85500	86760	對 直接開吃
86760	89160	而且不只是在好吃程度上
89160	89760	我們就是做了
89760	92200	我們另外還針對貓咪的
92200	94660	腸胃 腎臟 還有泌尿系統
94660	96740	都添加了競選的保養品
96740	98040	讓貓咪每天吃飯的時候
98040	99600	都能討厚保養
99600	100500	然後接下來我們要講到
100500	101700	優惠的部分
101700	103340	我們這次是一個預告對不對
103340	104180	為什麼要先預告
104180	105380	為什麼不直接開賣
105380	107280	對 通常我們都直接講
107280	108280	因為我們這次的這個
108280	110420	優惠太強力了
110420	111420	我們怕很多人來說
111420	112480	我就是昨天
112480	114120	我前天才剛下單
114120	114720	是不是
114720	116480	所以大家聽到我們今天這個Podcast
116480	117880	如果你本來精明兩天
117880	119380	想要買主食罐的話
119380	120020	先憋一下
120020	122220	你先等等
122220	124480	首先我們準備了四重超殺優惠
124480	125420	第一重
125420	126620	只要你的訂單裡面
126620	128780	包含主食罐的直接免運
128780	129520	直接免運
129520	130700	對 因為我們希望大家可以
130700	132100	很輕易的沒有負擔
132100	133600	就可以入手我們的主食罐
133600	134660	還去試吃看看
134660	135360	沒錯 沒錯
135360	136460	所以直接幫大家免運
136460	138100	好 再來是第二重優惠的部分
138100	140240	只要你的訂單滿一千元
140240	141500	我們就會直接送一包
141500	142500	就是我們官網裡面
142500	145480	最受歡迎的好味貓凍乾給大家
145480	148480	然後接下來你如果訂單滿一千五百元
148480	149180	我們就會送一隻
149180	149380	我們最受歡迎的好味貓凍乾給大家
149380	151080	我們特製的這個
151080	154060	好味不求貓
154060	155660	不求貓是什麼東西呢
155660	156280	簡單來說
156280	157060	他就是一隻
157060	158820	不求人
158820	160220	但是是一個
160220	162120	非常可愛的貓掌造型
162120	163760	整隻原木打造
163760	164900	我們要幫忙語言給你形容
164900	166160	他的造型有多麼優雅
