start	end	text
0	8480	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
8480	8880	我是翠翠
8880	9640	哈囉 今天是阿段
9640	10360	大家好 我是林聖凡
10360	11780	本集有預錄的廣告喔
11780	14840	本集節目由Alex 亞歷斯贊助播出
14840	18860	在愛情的童話中 每對新人都是彼此故事的主角
18860	21660	Alex 亞歷斯實現童話故事的夢想
21660	24420	將愛情化為婚戒 永恆守護著彼此
24420	27400	無論是經典的米奇米妮 還是迪士尼的女王公主
27400	29700	每一款戒指都是獨一無二的故事
29700	35240	喔 好害羞喔 為什麼這麼大一隻戒指
35240	38700	他當初真的是來邀請我們去體驗他們門市的一個
38700	40940	客製戒指的服務
40940	43180	其實我一開始沒有太多的期待 說實在的
43180	45620	因為很多都是那種 他說是客製
45620	48620	但其實可以客製的程度並不是這麼高
48620	50320	換個顏色
50320	52620	寫個字母在上面這種感覺
52620	55400	我就覺得 那是能客製到哪裡去
55400	59700	好 殊不知他們Alex客製的是從戒指的寬度 厚度
59700	63280	還有他的戒指內側弧度 材質到漸層的顏色
63280	65280	到你鑽石的排列組合方式
65280	67280	基本上是一個無限的客製
67280	69480	對 通通都可以選
69480	71080	這真的是超猛的
71080	73880	Alex獨家代理德國精品婚戒品牌
73880	76280	Accredo 頂級工藝技術
76280	79780	透過165萬種以上的設計組合
79780	84300	保證呢 你可以做成獨一無二絕對不會賺款的婚戒
84300	86200	哇 這個我們那天在現場挑選
86200	88400	我們是可以直接在螢幕上面
88400	89700	就是可以看到你想想
89700	91240	中你配置的客製程度
91240	92900	配在一起會是什麼樣子的
92900	94480	我覺得這個真的超級方便
94480	95580	然後你還順便可以看到
95580	98240	你想像的戒指大概是在什麼價位
98240	99880	沒錯 像在捏臉一樣
99880	102140	對對對 像玩遊戲那種感覺
102140	103440	就是它整個過程
103440	104980	包含你最後的成品跟價格
104980	106580	全部都是公開透明的
106580	108720	所以你在現場你就會覺得很安心
108720	109960	結果你朋友不會突然指著一顆
109960	110760	然後就 嗚嗚嗚
110760	112920	結果偷退
112920	115520	就是大家什麼東西都看得到
115520	116920	然後到時候東西送來的時候
116920	119700	就會跟你在現場想像中一模一樣
119700	120840	所以整體給你的感覺
120840	122940	是非常的紓壓跟安心的
122940	124100	我覺得這個真的超棒
124100	125780	好 那我這次去他們門市體驗
125780	127400	對 我覺得是一個這個
127400	129480	Culture shock
129480	130340	奇幻之旅
130340	132820	新增了很多全新的知識
132820	136380	首先就是有分求婚戒跟結婚戒嘛
136380	138080	然後大家都說那個求婚戒
138080	139220	鑽石要大顆一點
139220	140720	對啊 因為你是要拿出來求婚
140720	141920	萬一旁邊有人怎麼辦
141920	143020	他就拿出去den啊
143020	143760	大概這種感覺
143760	145600	像海鮮凍啊什麼的
145600	146920	所以重點是你如果買錯
146920	148060	你就虧搭
148060	149020	然後你要求婚
149020	149700	你又不能跟對方
149700	150860	講說欸你要不要
150860	152240	跟我一起來挑戒指幹嘛的
152240	153240	就沒有驚喜了
153240	154500	沒錯 這時候
154500	156640	他們有一個迪士尼系列
156640	157140	你知道吧
157140	158880	你就直接跟你女朋友講說
158880	160580	這個迪士尼公主你喜歡哪一個
160580	162280	或者是假如你是一個迪士尼公主
162280	164240	你覺得你是誰
164240	165080	然後隨便選一個
165080	166480	我可能是小美人魚
166480	168120	你就去買小美人魚那個款式
168120	168920	對
168920	169580	就不會錯
169580	171120	錯了他也沒什麼好說的
171120	173860	因為是他自己說的
173860	175260	但是他們的款式雖然說是
175260	176420	迪士尼系列
176420	179320	但他其實非常的洗練簡潔
179320	182120	我覺得他的巧思是很隱秘的
182120	183120	帶有一點點的元素
183120	184400	但是又不會很張揚
184400	186020	很童趣那種感覺
186020	188400	這個給我另外一個新的觀念
188400	189300	陳帥說啊
189300	190900	那個戴戒指
190900	192040	是戴給自己看的
