start	end	text
0	8520	哈嘍 大家好 歡迎來到好味小姐開束縛 我還你原型
8520	8960	我是志瑞
8960	9860	大家好 我是傑恩薩旦
9860	10640	大腦聲音真的很煩
10640	12160	本集有預錄的廣告喔
12160	15300	本集節目由ZenyaZenya贊助播出
15300	17740	跟大家分享幾個換牙的地方小習俗
17740	20060	在美國 傳說把乳牙放在枕頭下面
20060	22580	牙線就會把牙齒拿走 用禮物交換
22580	25160	在巴西 小朋友會把牙齒丟到屋子的外面
25160	27160	祈求小鳥可以把牙齒帶走
27160	28780	並帶一顆新的牙齒回來
28780	31460	而在日本跟韓國就比較技術性了
31460	33720	要把下面的牙往屋頂丟
33720	35560	把上面的牙往地面丟
35560	38520	意味就是下面牙齒直立向上生長
38520	40380	上面牙齒垂直向下生長
40380	42960	也就是希望牙齒可以乖乖整齊的站好
42960	44720	但是如果牙齒還是不如預期
44720	46260	乖乖排列整齊怎麼辦呢
46260	48420	這時候就要請ZenyaZenya啦
48420	51180	Zenya是現在非常熱門的隱形牙套品牌
51180	52780	不但擁有合理透明的價格
52780	55560	也和250位以上國考認證的醫師合作
55560	57420	還搭配APP智慧追蹤
57420	58760	隨時掌握牙齒的狀況
58780	60780	讓你悄悄變美變自信
60780	63380	現在Zenya更推出由專業牙醫設計研發的
63380	65380	全方位口腔護理產品
65380	66980	像是音波震動牙刷
66980	68280	專業沖牙機
68280	69980	日夜專用牙膏等等
69980	72080	一站搞定大部分的口腔問題
72080	75080	多種清潔模式解決矯正時的清潔問題
75080	78080	使用好惠小姐專屬連結完成免費線上評估
78080	79780	後續進行隱形牙套療程
79780	82680	就可以獲得療程折扣最高5500元
82680	83480	除此之外
83480	86580	還要獲得全方位口腔清潔產品組合贈品
86580	88760	好康包含音波震動牙刷
88760	89960	專業沖牙機等
89960	91760	價值超過6000元以上的好禮用
91760	93760	趕快去資訊欄裡面看看吧
93760	96260	現在時間是5月28日星期二
96260	98860	凌晨1點30分
98860	100460	這應該是我們第一次調整我們這個
100460	102460	Podcast的上架時間
102460	103960	所以現在大家如果聽到的話
103960	106760	應該是在禮拜二的下午
106760	108360	就是一個下班偷情的時候
108360	109960	可以嗅嗅聽的時候
109960	111560	也因為說往後延了嘛
111560	114160	所以我明天起床之後再剪就可以了嘛
114160	115160	所以就是
115160	116760	怎麼說我現在覺得有點
116760	117960	悠哉悠哉的
118760	121260	因為往常你開始錄的時候
121260	123760	你就會想我等一下還要花多少時間剪它
123760	124260	對
124260	125460	壓力沒那麼大
125460	126760	還會覺得很疲累這樣子
126760	127560	對
127560	128660	現在晃著晃著我都覺得說
128660	129760	好像不用這麼早錄
129760	131560	我現在知道
131560	133060	還是早一點吧
133060	134160	拖延症患者都會這樣
134160	137560	都覺得現在還不知道會死的時候
137560	138360	還有時間
138360	139660	對還有時間
139660	140960	我今天要告訴大家
140960	142160	兩天前
142160	143560	我見識到了這個
143560	145360	陳春安的真面目
145360	147760	李陳春安
147760	148560	什麼意思
148560	151560	我們十幾年你見我真面目還熟了嗎
151560	154060	就自從黃蓮夢出生之後對不對
154060	155360	陳春安一直在講什麼
155360	157560	正面教養什麼之類的
157560	158560	這種東西
158560	160060	給小孩子鼓勵
160060	162060	這是我努力的方向
162060	162760	給他一副說
162760	165060	他對黃蓮夢好像和蔼可欣
165060	166260	然後都不會給他壓力
166260	168060	不會給他什麼那種負面的情緒
168060	169060	快樂成長
169060	170060	對的感覺
170060	171560	我努力
171560	172560	你怎樣
172560	175260	見識到陳春安的真面目
175260	176760	陳春安在跟黃蓮夢
176760	178360	就是做一件本來應該要很開心的愉快的事
178360	179360	你知道嗎
179360	180360	發狂
180360	181360	有嗎
181360	182360	他有在極力的忍耐
182360	184360	我除了就是早上他叫不起來的時候發狂
184360	185360	還有其他時候嗎
185360	187360	本來應該是很開心的事情
187360	190360	結果陳春安的這個情緒調控失靈
190360	191360	失靈
191360	192360	理智先斷了
