start	end	text
0	9120	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
9120	9580	我是JJ
9580	11120	大家好 今天是阿端 阿端聲音是很煩
11120	12440	本集的預錄廣告囉
12440	16120	本集節目由For Real Luna 4 潔面美容衣站主播出
16120	18260	來自瑞典的美容衣品牌For Real
18260	21520	品牌明星商品Luna 4 智能潔面按摩椅專業間
21520	25020	我們已經用了快兩年了 用超久
25020	28960	他們For Real呢 脈動科技可以將毛細孔中深層髒汙帶出
28960	30560	比用手洗還乾淨喔
30560	33360	柔軟的抗菌矽膠刷呢 也不會傷害你的肌膚
33360	35800	還可以溫和的幫你去角質 全肌防水
35800	38540	所以洗澡的時候 一邊使用也是完全沒問題的
38540	42440	好 接下來就來分享一下我們長期使用下來的心得
42440	46240	喔 最開始我們拿到的是那個淺綠色款的混合肌專用款
46240	47280	就是我用的那一台
47280	49240	欸 那個時候我有說我很驚喜嘛
49240	51620	就是說 喔原來臉可以洗得這麼乾淨
51620	52560	對對對對
52560	54260	就是用這個潔面美容衣洗臉
54260	56160	跟你平常用手洗的時候
56160	58960	那個洗完之後 你覺得臉上那個清潔程度是
58960	59860	完全
59860	60920	就是呼吸感
60920	62460	對 不同次元
62460	63800	真的呼吸感
63800	65000	用這個習慣之後啊
65000	66000	如果有時候出油啊
66000	68000	那個在外面然後忘記帶出去
68000	70440	欸 你就是回到正常手洗臉的方法
70440	72240	你就覺得你怎麼洗都洗不乾淨
72240	73480	大概是這種感覺
73480	75340	然後後來品牌又寄了這個男士款
75340	76040	對對對
76040	77180	相較之下我覺得男士款
77180	79380	他的刷毛出細差異更大
79380	81920	就是這個可以更深入清潔的感覺
81920	83560	清潔力又更強了一些
83560	85220	然後比較大顆一點
85220	86180	就是可以就是
86180	87560	不用在臉上磨這麼久
87560	88960	擼太久
89860	91320	我們的臉比較大一點
91320	93260	洗起來效率又更好了
93260	94660	但是刷毛一樣柔軟
94660	95900	就是我們拿出來刮鬍子嘛
95900	96240	對
96240	97200	刮完之後就是
97200	98500	那塊就是會有點
98500	99440	喔 比較敏感嗎
99440	100100	欸 比較嫩
102100	103500	所以就算你刮完鬍子使用
103500	104740	你也不會覺得說很刺激
104740	106020	會痛這樣的感覺
106020	106480	好 對
106480	108220	啊 我的部分就是我剛剛提到嘛
108220	110340	我是那個淺綠色的混合肌款
110340	111620	我真的用了很久
111620	113860	我們拿到到現在已經兩年了
113860	116380	我已經不記得我有沒有充過電
116380	116960	欸 確實
116960	118180	就充電的次數少到
118180	118920	就是我們如果
118920	119820	沒電了
119820	120160	對
120160	121760	我們要去把那個充電線用
121760	122800	找出來
122800	124100	我要找很久
124100	125060	不知道收去哪裡
125060	126100	所以我真的要來稱讚一下
126100	128260	我覺得它的那個電池續航力很棒
128260	128760	嘿
128760	130100	那我現在最常使用的呢
130100	131560	就是我那天如果有化妝
131560	132760	卸妝的時候
132760	134500	我就一定會用這個洗臉機
134500	135900	卸妝跟洗臉
135900	138940	因為女生卸妝最忌諱就是你有殘妝
138940	140140	沒有卸乾淨你隔天
140140	141440	絕對會大冒痘痘
141440	143820	所以一定要清潔乾淨才可以
143820	145220	所以我每次都會先用我那個
145220	146580	卸妝膏或卸妝油
146580	148540	塗完之後我就用它的那個機子
148540	150100	把我全部按摩一遍
150100	150540	喔
150540	152840	深層清潔跟乳化
152840	153720	然後再把它全部洗掉
153720	155780	然後再用洗臉機洗一次
155780	157480	對欸你們會化妝耶
157480	158480	超舒服的
158480	160880	你就會覺得整個臉就恢復成原本
160880	162760	乾淨無瑕的狀態
162760	163560	所以我就是
163560	166060	只要有卸妝我就一定會用它
166060	167720	然後再來它還可以溫和去角質嘛
167720	169220	所以基本上洗完臉之後
169220	170960	你都會覺得你的臉很光滑
170960	172300	然後你再去擦保養品
172300	173340	那保養品就會咻
173340	175260	很快的就吸收進去的感覺
175260	177260	然後臉就會QQ彈彈的
177260	178060	然後最後就是
178060	178540	女生比較會
178540	180040	用到的就是它的LUNA4背面
180040	182520	還可以拿來按摩跟拉提你的臉部線條
