start	end	text
0	8660	大家好 歡迎來到好味小姐開束縛 我還你原型
8660	9100	我是翠翠
9100	9760	大家好 我是翠翠
9760	10360	大家好 我是翠翠
10360	10700	今天真的很煩
10700	16400	本來今天節目有小石翠翠2024夏季新品全新上架
16400	19000	贊助不出 我好緊張喔
19000	20800	幹嘛 為什麼不吸虛感覺
20800	24580	我從昨天就開始你知道無法入眠耶
24580	27680	就是昨天正式上架之後我一整個就是
27680	29560	我不知道是太心煩還是太緊張
29560	33160	然後我整個晚上就輾轉反側沒辦法睡覺耶
33160	34900	然後我就一路看婚到現在
34900	35620	真的假的
35620	36120	對啊
36120	40400	好 總而言之我們今年的2024終於出了夏季新品
40400	41920	睽違半年之久
41920	42360	沒錯
42360	45960	對 然後這次的新品我覺得算是包羅萬象
45960	49200	我們這次的主題是傑克與媽媽的磨豆
49200	51720	首先當然也一樣有讓大家動手做的部分
51720	56000	我們這次做的是種植綠豆跟植物的生態品體驗組
56000	58600	然後這個體驗組裡面當然也會有一本
58600	59560	傑克與媽媽的磨豆
59560	60560	的繪本
60560	63400	然後還會有一隻米香媽媽的公仔
63400	63760	對
63760	65800	然後這故事我們稍微做了一點點改編
65800	69560	對 因為原本傑克與磨豆的主角其實是傑克本人
69560	69960	對
69960	71560	媽媽在旁邊唱水而已
71560	74260	你說你這廢物你去買了什麼爛東西回來
74260	74860	你給我滾出去
74860	75860	沒錯
75860	77760	然後但是我們這次改變了一下
77760	79320	就是做了一點點修正
79320	81220	就是我們讓媽媽跟小朋友呢
81220	84060	他們是有點像互相幫助跟協作
84060	87400	然後一起努力就是邁向前然後去冒險的感覺
87400	87920	對對對
87920	89520	對 所以這次的媽媽是一個
89560	90660	Support的角色吧
90660	90960	嗯
90960	92560	對 就是所以他們是互相幫忙
92560	93960	所以是一個很正向的故事
93960	94460	對
94460	95400	然後再來呢
95400	98360	這次我們有特別針對就是你們家如果是沒有小朋友
98360	99720	就是不是親自取向
99720	101800	但是你也很想要擁有公仔的人
101800	104160	我們設計了米香便利貼組
104160	104460	對
104460	104760	嗨
104760	106920	啊啊大家聽到Pockets的現在他已經
106920	107500	已經賣完了
107500	108520	沒有錯
108520	111560	下次補貨因為那個製作期蠻長的
111560	112460	沒錯
112460	115520	說不定會跟比如說冬天的商品
115520	116660	一起回歸
116660	117120	對
117120	117720	一起回歸這樣子
117720	119020	沒錯沒錯沒錯
119020	119560	然後
119560	121520	再來最後就是這次的重頭戲
121520	124260	我覺得也算是我個人的一個小小圓夢計畫
124260	124560	對
124560	127960	就是呢我們這次針對傑克與魔鬥的這個主題
127960	129860	設計了一系列的戶外服裝
129860	130260	喔
130260	133260	對然後這個戶外服裝呢就是有大人穿的也有小朋友穿的
133260	133560	嘿
133560	137120	我們的主題非常明確就是探險與尋寶
137120	137560	嗯
137560	141760	所以我們在衣服的設計元素上呢就藏了很多要尋寶的部分
141760	142960	尤其是小朋友的衣服
142960	146460	嘿就是說你的衣服本身也是你探索跟尋寶的一個部分
146460	147260	沒錯
147260	149020	有一些探索尋寶用的口袋
149020	149720	或是工具
149720	150220	嗯嗯
150220	153420	啊在那個衣服身上也有藏一些小秘密
153420	157620	對對就是小朋友收到那件衣服或是穿上它的時候
157620	159220	他就可以去尋找說
159220	162020	這件衣服上面藏了一些什麼小小的東西
162020	163420	等著他去發現
163420	166120	然後大人的衣服的部分呢我們這次就比較特別
166120	168520	就是它既兼顧了親子裝的功能
168520	168720	嗯
168720	170920	對有些細節是可以跟小朋友做互動的
170920	171220	嗯
171220	175420	但是呢我們在視覺設計上也有讓大家就是平常穿也絕對沒問題
175420	178420	嘿因為很多親子裝是這個沒辦法穿出門
178420	178820	嘿
178820	180120	就是會有點恥子可惜啦
180120	182120	對啊有點這個戲服的成分
182120	182720	哈哈哈
182720	183520	的那種感覺
183520	186020	不是因為我本人就是一個超級哀人
186020	189220	我就很怕在路上就是太受矚目
189220	193020	所以我就是希望我的衣服就是可以讓大家就算你單純出門
193020	194520	一個人或是情侶而已
194520	196420	就也可以單穿很不用害羞
196420	196720	喔
196720	198220	譬如像承頓他們做的一件襯衫
198220	198720	嗯
198720	201820	在上面有一個滿大塊的一個刺繡的圖案
201820	202520	對對對對
202520	204920	對但在上面可以用口袋把那個圖案遮起來
204920	206020	對沒錯
206020	207520	所以平常你把那個圖案遮起來之後
207520	207720	嗯
207720	208220	它是一件
208820	210220	束到不能再束了
210220	211420	你去上班穿
211420	212420	絕對沒問題
212420	213220	對
213220	213920	總而言之呢
213920	217020	我們就是在我們所有的衣服上都藏了很多的
217020	217420	嗯
217420	218120	細節
218120	218420	嘿
218420	219120	跟小秘密
219120	220620	然後等著大家去發現
220620	223720	然後這次的服裝我覺得我算是耗盡心血啦
223720	224420	嘿
224420	228320	希望大家可以就是移駕到我們的小吃脆脆的官網上面去看看
228320	229020	嘿
229020	231620	好那我會把我們小吃脆脆的官網連結呢
231620	232720	放在資訊欄裡面
232720	234120	請大家一定要點開來看看喔
234120	235420	拜託
235420	235720	好
235720	236320	那我覺得好
236320	237920	我們今天來就維的
237920	238220	嗯
238220	238720	聊一下
238820	240120	國小作文系列
240720	241320	嘿
241320	241920	我們來講這個
241920	243020	這是我們的應急題目
243020	244120	嘿嘿嘿
244120	245320	今天的主題是這個
245320	246120	圈圈的
246620	247420	拿手菜
248320	249720	圈圈的修羅菜
250120	251120	欸我突然想想這個喔
251120	251820	是這個
252520	254520	呃最近我媽發生了一個悲劇
254820	255220	嘿
255520	256520	就是我媽被這個
256720	256920	啊
256920	257520	芒果
257520	258320	哈哈哈哈
258320	260120	被芒果砸到頭
260120	261520	麻真的很像被
261820	262720	就是路上有人
262720	262920	對
262920	264520	直拳揍她的眼睛
264520	265320	那麼誇張欸
265320	267320	眼窩這整個瘀青一大塊
267320	268220	然後腫起來
268220	268820	超可怕的
268820	270020	像是被人尻了一拳一樣
270020	270920	沒錯沒錯沒錯
270920	272320	那時候我媽是在在廚房
272320	272920	嗯
272920	273520	就我也在廚房
273520	275220	我原本就站在那邊吃東西
275220	276320	我媽經過之後
276320	276920	然後說欸
276920	277920	黃菁姐你都沒有發現喔
277920	278220	嘿
278220	279220	然後我就看了我媽一眼
279220	279520	嗯
279520	280520	發現說我靠那個
280520	281720	眼窩像是被
281720	282720	就是暴揍一拳這樣
282720	285120	就是整個有半個眼睛都是黑的欸
285120	285920	我想說是什麼
286520	287520	家暴世界嗎
287520	288420	我爸終
289020	290520	終於忍不住了
290520	291420	也不是忍不住
291420	292520	就是我爸怎麼會這樣
292520	293820	我爸怎麼會做出這種事情來
293820	294320	怎麼那麼顧分
294320	295420	完了要離婚了
295420	296720	難怪有人說退休之後
296720	298220	哈哈哈
298220	299220	原本沒再相處
299220	300920	後來相處久就才摩擦的
300920	302820	喔很多終點離婚這樣
302820	303720	之類的感覺
303720	304120	喔
304120	305620	我說哇怎麼這樣怎麼了
305620	306720	我原本還有點不敢問說
306720	307220	喔
307220	308520	我說這是怎麼樣
308520	310220	然後我看到的時候第一眼只是問我
310220	311920	問你媽說是不是跌倒欸
311920	312420	喔是喔
312420	315220	對啊你腦子已經做太多劇場了吧
315220	315620	嘿
315620	316920	然後我媽又說她
316920	318420	就是被芒果砸到
318420	319520	嗯被芒果砸到
319520	320720	被芒果砸到然後我就
321420	322820	就是我不知道大家是不是這樣想
322820	324320	芒果要怎麼砸她
324320	324920	欸
324920	326120	我的想法跟大家不一樣
