start	end	text
680	5840	大家好 歡迎來到好味小姐開束縛 我還你原型
5840	6900	大家好 歡迎來到好味小姐開束縛 我還你原型
6900	8180	大家好 這一次很煩
8180	9900	本集又遇到廣告齁
10160	13860	來自日本的知名內店品牌Pit cheesy又回來了
14040	14680	對啊
14800	16140	這次呢 我和勇爾帆的老婆
16140	18040	我們都各收到了兩套內衣
18480	19680	真的 semi感謝各位長線
20060	20860	就是這種內衣
21940	24040	還是下一個 我跟勇爾帆都必須說話的這個
25040	25580	我們到底要發表什麼感想
26060	27340	你們在旁邊婦孺
27860	29800	我們不是要通開歡迎阿風的
30000	31220	就可以了
31220	31700	好
31700	32580	这是他们寄来的
32580	33200	分别是
33200	33860	第一个是
33860	35000	超弹力JUST
35000	36220	合身练下花园
36220	37240	无缸圈内衣
37240	38220	跟另外一个
38220	41600	你很会做效果
41600	42740	跟另外一个呢
42740	43500	是梦幻奇迹
43500	44560	可激喜
44560	45640	蕾丝合身
45640	46960	软缸圈内衣
46960	47320	喔
47320	48200	可激喜喔
48200	48440	对
48440	49500	原来如此
49500	50980	我知道为什么
50980	51920	要我们讲话了
51920	53060	可激喜很赞
53060	54080	很赞吧
54080	55020	就是
55020	56220	开始出社会
56220	56940	一段时间之后
56940	58280	你知道上班已经够累了
58280	59340	所以就很不喜欢
59340	60680	穿一些很不舒服的
60680	61280	内在美
61280	62120	所以从那之后
62120	62920	我一直都是穿
62920	64440	软缸或是无缸的
64440	65480	重点就是要穿
65480	66780	无束缚感的
66780	67800	无缸圈内衣
67800	68900	这种舒服的内衣才行
68900	69580	所以穿内衣
69580	70640	是会不舒服的
70640	71920	其实如果有的缸圈
71920	73260	异物感太明显的话
73260	74880	你有时候工作久做久了
74880	75600	那边会有点
75600	77160	痛痛勒勒的这样子
77160	78200	像眼镜这样
78200	79000	会卡一痕
79000	79960	有点像这个感觉
79960	81260	所以我个人穿内衣的要求呢
81260	81620	只有一个
81620	83340	就是要极致的舒适度
83340	84580	然后他们这次
84580	85700	寄来两款呢
85700	86820	我觉得都属于那种
86820	88820	很轻敷的布料
88820	89700	然后很舒服
89700	90540	然后他们的软缸
90540	91120	跟无缸圈
91120	91920	最重要的就是
91920	92900	你有时候会怕
92900	94340	兜不住你的肉肉
94340	95020	你知道吗
95020	96020	女生有些就是
96020	97520	肉肉会比较外溢的部分
97520	98960	那如果软缸无缸的话
98960	99840	大部分人会担心
99840	100300	他没有办法
100300	101520	把你的肉肉兜好
101520	102100	对
102100	103080	但是他们的就是
103080	104460	可以把他兜好兜满
104460	105680	我就觉得光是这一点
105680	106400	就很不错
106400	107060	另外呢
107060	107860	就是关于他们的
107860	108880	视觉设计的部分
108880	110200	他们走的是一个
110200	111840	低调精致路线
111840	112900	就是你不会觉得
112900	114200	他很艳丽的感觉
114200	114820	对
114820	115700	有时候你自己穿会
115700	115980	有点
115980	117440	我干嘛
117440	120880	他就是可以让你
120880	121620	就是很开心
121620	122360	就你自己知道
122360	123340	就是里面很漂亮
123340	124240	很舒适
124240	125680	然后他们的
125680	126660	我觉得一个特色
126660	127580	就是他们的蕾丝
127580	128720	都超级软
128720	129480	因为有时候
129480	130120	你穿在里面
130120	131440	蕾丝会擦到你的
131440	132460	你知道那里的皮肤
132460	132940	特别的嫩
132940	133900	我一直觉得蕾丝
133900	134740	感觉就是一个
134740	135480	蛮不舒服
135480	136400	会擦擦的东西
136400	136580	没错
136580	138220	如果是我的话
138220	138880	我一定把蕾丝
138880	139440	全部剪掉
139440	141300	跟标签一样
141300	142280	设计特点
142280	142720	全部剪掉
142720	144060	所以他们的蕾丝
144060	144740	我觉得就是完全
144740	145280	不会有这个
145280	145960	次养的问题
145960	147120	总而言之
147120	147680	我觉得皮肤
147680	149020	让他们在视觉设计上
149020	149920	跟颜色选择上
149920	151080	都非常的优秀
151080	151880	然后特别是
151880	152740	他们这次寄来的
152740	153700	这个恋夏花园
153700	154600	他们三款颜色
154600	155320	都是属于那种
155320	156640	饱和度很低的
156640	157860	现在不是夏天吗
157860	158820	有时候那个布料
158820	159640	都很薄
159640	161100	就一个不小心
161100	161600	如果里面
161600	162360	太艳丽的话
162360	163080	那个颜色就会
163080	164000	透出来
164000	164540	没错
164540	165760	所以我觉得
165760	166360	这个也是一个
166360	167740	很适合夏天的选择
167740	168700	然后再来
168700	169540	因为我运气前
169540	171240	也是他们这个系列的
171240	172020	所以就是
172020	173120	他们最酷的地方
173120	174180	就是他可以对应
174180	174860	一个罩杯
174860	175940	正负五公分左右的
175940	176700	下围变化
176700	178320	你知道我生小孩前
178320	180140	下围变化
180140	180440	对
180440	181760	就是不怕胖就对了
181760	182140	对
182140	184100	对
184100	184660	这部分
184660	185180	对
185180	186100	就是如果你突然
186100	187360	最近稍微肉了一点
187360	188320	也不用担心
188320	189300	五公分
189300	191200	五公分很够
191200	192960	他还是兜得住
192960	194160	五公分蛮变化的
194160	194800	没错
194800	195600	然后再来就是
195600	196100	他们另外一个
196100	196940	你们刚好很惊讶的
196940	198220	那个可积洗软钢拳
198220	198760	没错
198760	199760	我跟你讲
199760	200580	手洗内衣
200580	201580	真的是每个女生的噩梦
201580	202840	尤其是冬天的时候
202840	204360	就是在那边
204360	204840	露露露
204840	206240	你就会觉得很痛苦
206240	207480	我到底是为了什么
207480	209760	所以他可积洗就很赞
209760	210600	也不会造成很多
210600	211840	什么家庭纷争之类的
211840	213300	那个不能积洗
213300	214420	你不尝试吗
214420	216340	你跟我在一起这么久了
216340	216600	你还
216600	217900	怎么那么一点意思
217900	219240	你根本就没有在意我
219240	220240	坏掉了
220240	221560	你知道女生内衣
221560	222440	后面有时候是有
222440	223540	钩子扣扣的吗
223540	223920	对
223920	225280	那如果积洗的话
225280	226380	他很容易会勾到
226380	226920	别的
226920	227620	尤其是夏天
227620	229000	有很多学坊的衣服
229000	230080	衬衫
230080	231440	但他们这次不是
231440	232380	他后面那个扣子
232380	233100	是一个很酷的
233100	233560	他们叫做
233560	234340	梦幻旗帜
234840	235780	肌扣环
235780	237580	他是一个贴在上面
237580	238840	然后不是金属材质
238840	240920	然后非常扁平的
240920	241640	一个钩子
241640	243020	所以你勾上去
243020	243840	或是没勾的时候
243840	244560	他都完全不会
244560	245640	勾到其他的衣服
245640	246080	他洗了
246080	246980	所以不会弄爆别的衣服
246980	247560	没错
247560	248800	是不是很优秀
248800	249960	所以你就是在洗的时候
249960	250820	也可以很放心
250820	252020	然后他是软钢嘛
252020	252440	所以你可以
252440	253420	把他整个卷起来
