start	end	text
0	1000	我是翠翠
1000	2000	大家好 我今天是阿斷
2000	3000	大家好 我是林聖帆
5000	6000	喔 對 喔 對不起
6000	8000	Sorry 我這個禮拜又有一個口部稿要唸了
11000	15000	本節目由好味小姐的好味商店贊助播出
16000	17000	大家聽到這也會想說
17000	19000	是在講什麼東西
19000	20000	好 大家聽到這也會想說
20000	21000	好 大家聽到這也會想說
21000	22000	好 大家聽到這也會想說
22000	23000	好 大家聽到這也會想說
23000	24000	好 大家聽到這也會想說
24000	25000	好 大家聽到這也會想說
25000	26000	好 大家聽到這也會想說
26000	27000	好 大家聽到這也會想說
27000	28000	好 大家聽到這也會想說
28000	30000	是在講什麼東西
30000	31000	OK
31000	32000	對 我們最近有出新單元
32000	34000	要來宣傳一下
34000	35000	好
35000	38000	2021年好味貓桌立已經在好味商店上架囉
38000	42000	那今年的年曆其實我覺得是走一個文情跟超美的感覺
42000	46000	就是我們想要做一些設計師想要做的東西的感覺
47000	50000	想要做出一點點好像有什麼的感覺
50000	51000	所以這次做了一個
51000	52000	就是有封面
52000	55000	連封面有13張漂亮的印卡紙
55000	57000	然後上面會有我們漂亮的照片
57000	59000	然後還有一個木頭卡座
59000	62000	那因為今年的大事件就是增加雷夢這個新成員嘛
62000	63000	所以今年的封面
63000	68000	就是雷夢加上她的那個保姆本丸先生的合照
68000	70000	那目前只要在好味商店消費滿1200元
70000	71000	桌立就會送給大家喔
71000	73000	當然也可以單獨購買桌立
73000	74000	所以不要再留言問說
74000	76000	可不可以單獨購買了
76000	77000	或者是
77000	79000	我沒有養貓但我好想要桌立
79000	80000	可以
80000	82000	好 有興趣的人記得到好味商店看看喔
82000	83000	結束
83000	85000	對啦 還有一點就是說
85000	86000	我們是貓桌立嘛
86000	87000	對
87000	88000	還有雷夢
88000	90000	但是其實雷夢的照片從頭到尾大概有兩張
90000	92000	就是還是以貓為主啦
92000	95000	對啊 而且那張照片其實對焦對在本丸身上
95000	96000	沒錯
96000	98000	能不能只是一個爆炸的哭臉
98000	99000	是一個胡胡的哭臉
99000	100000	沒錯
100000	101000	所以不用擔心啦
101000	102000	上面主體還是貓
102000	104000	我們上次講日曆
104000	105000	這次講年曆
105000	108000	上次講日曆是不是引起了廣大女性的迴響
108000	109000	真的嗎
109000	110000	對
110000	111000	其實我沒有去追蹤 我不曉得
111000	113000	男性就是一面倒站在你們那邊
113000	116000	誰會記得要送真正禮物
116000	118000	你是說那個主題是不是
118000	120000	對送禮物這個主題
120000	122000	好像很多女生都會有一點點就是
122000	124000	男友總是忘記送禮這個困擾
124000	125000	對啊
125000	127000	我就說這是普遍現象啊
127000	129000	我覺得大家都好可憐喔
129000	130000	為什麼你知道嗎
130000	131000	因為我們工作比較認真
131000	133000	不要不會寄這種鎖匙
133000	134000	你這意思是說
134000	135000	小心喔
135000	136000	我是沒有這樣覺得
136000	138000	廣大女性都不認真嗎
138000	139000	我是沒有這樣覺得
139000	141000	你不要亂講話喔
141000	142000	就是喔
142000	143000	我們那個
143000	145000	怎麼直接來
145000	147000	直接進入主題
