start	end	text
0	6000	哈囉 大家好 我是好味小姐 歡迎大家來到
6000	8000	欸 不對 我為什麼會先講我自己是誰
8000	12000	歡迎大家來到好味小姐開束縛 我還你原型 我是翠翠
12000	14000	大家好 我是剪接師阿斷
14000	16000	喔 我聲音聲很煩
16000	18000	不是 我剛剛目光都被蛋捲吸走了
18000	19000	欸 沒錯
19000	20000	我就不知道我自己在講什麼東西
20000	22000	因為蛋捲剛剛在蹭我的麥克風
22000	23000	對啊
23000	24000	我在期待他要說句話
24000	25000	你要說話嗎
25000	26000	要說話嗎
26000	27000	要說話
27000	28000	要說話
28000	29000	要說句話
29000	30000	要說話嗎
33000	34000	有 他聞兩下
34000	35000	我的 我的兩下
35000	36000	不知道聽不聽得到
36000	37000	他應該聽不懂
39000	41000	好 繼上次也有覺得
41000	43000	我們稍微略有主題性的一個討論
43000	45000	就是關於工作這件事情
45000	47000	然後我們還想了另外一個
47000	49000	其實我們那時候想了兩個備案
49000	51000	就是要討論比較嚴肅一點的話題
51000	52000	一個就是工作嘛
52000	54000	另外一個是人際關係
55000	56000	喔 是嗎 我們要討論
56000	57000	人際關係
57000	58000	要說
58000	60000	因為你記得我們在討論這件事情的那一天
60000	62000	我就殺去我的同學家嘛
62000	63000	對
63000	64000	其實就是
64000	66000	那一天就是我有一個好朋友
66000	67000	她是我的伴娘
67000	68000	然後我就是
68000	71000	平常我們其實也不是說真的很常在聯繫
71000	73000	就是一陣子一陣子就會互相丟個訊息
73000	74000	我們
74000	76000	我跟我另外兩個伴娘有個群組這樣
76000	77000	然後就是
77000	79000	都是我們三個都是高中同學
79000	80000	對對對
80000	81000	然後我們就是
81000	83000	時不時會關心一下對方最近怎麼樣
83000	85000	但是大部分的時間還是各過各的
85000	87000	所以可能頻率大概一兩個月聯絡一次
87000	88000	那種感覺
88000	90000	然後我們上次聯絡是我生小孩嘛
90000	92000	我就通知他們這個好消息這樣
92000	95000	然後第二次聯絡是我要跟他要地址
95000	96000	然後寄蜜月蛋糕給他
96000	99000	結果他就一直都沒有遺讀
99000	100000	你說其中一個人啊
100000	101000	對 其中一個人
101000	102000	那他就一直沒有遺讀
102000	103000	我就有點想說
103000	106000	他平常其實是真的會比較晚讀訊息
106000	108000	但那次已經過了差不多兩三個禮拜
108000	109000	他都沒有遺讀喔
109000	110000	手機壞掉
110000	111000	對
111000	112000	我就想說他是不是手機壞掉
112000	113000	對啊
113000	114000	對 然後我就想說
114000	115000	是手機壞掉嗎
115000	116000	然後我就打電話
116000	117000	然後我就打電話
117000	118000	直接打電話
118000	120000	然後就打LINE 打Facebook
120000	121000	然後打電話
121000	123000	都是有通沒接
123000	124000	各種管道都有聯繫過
124000	125000	對 都是有通沒接
125000	127000	但你手機如果掉的話就
127000	129000	就不會有啊
129000	130000	但如果你手機掉的話
130000	132000	你打電話是打不通的
132000	133000	對不對
133000	134000	就是被別人拔卡或什麼的
134000	136000	理論上你是打不進去
136000	138000	他不會這樣響響響響響
138000	139000	然後又掛掉
139000	140000	就是又沒有
140000	142000	就那感覺就像是他響了很久
142000	144000	但那個人沒有接那種感覺
144000	145000	喔
145000	146000	對
146000	147000	他就過了一個月
147000	148000	已經太久了吧
148000	149000	對
149000	150000	我就想說奇怪
150000	151000	你就是不可能這一個月
151000	152000	你都沒有看到訊息
152000	153000	對不對
153000	156000	我就想說又未讀又未回電話
156000	158000	然後又沒有接我電話
158000	159000	我就有點擔心
159000	160000	你就擔心他
160000	161000	對
161000	162000	因為我們另外一個群組
162000	163000	那個女生就跟我說
163000	164000	他有一個朋友
164000	165000	還是他朋友的同學怎麼樣的
165000	167000	就是也是突然人間蒸發
167000	168000	然後大家
168000	170000	全世界的人都聯繫不到他
170000	171000	然後跟那個女生比較好的人
171000	173000	就還在那邊詢問
173000	174000	然後他們家他哥哥
174000	175000	他爸爸就表示
175000	176000	不是
176000	177000	我願意回應
177000	178000	小小
178000	179000	對
179000	180000	太可怕了吧
180000	181000	對太可怕了
181000	182000	然後我們就想說
182000	183000	哇那女生是不是
183000	184000	有什麼不好的事情
184000	185000	然後我就很擔心
185000	186000	自從我另外一個朋友
186000	187000	那個群組裡面
187000	188000	另外一個女生這樣跟我講之後
188000	189000	我就很擔心
189000	191000	我們兩個就越聊越擔心
191000	192000	就你那朋友
192000	193000	他之前有這種記錄嗎
193000	194000	沒有啊
194000	195000	就他從來不曾這樣
195000	196000	雖然他晚讀
196000	197000	但他不曾這樣
197000	199000	不曾消失
199000	200000	對
200000	201000	那至少也會接電話啊
201000	202000	對不對
202000	203000	對
203000	204000	然後他就突然消失
204000	205000	那我們兩個就自己在那邊
205000	206000	越想越害怕
206000	207000	該不會有什麼
207000	209000	我們不知道的訊息
209000	210000	反正就是
210000	211000	玩樂就對了
211000	212000	然後我們兩個就約好說
212000	214000	你一個人一天打幾通這樣
214000	215000	他就不接
215000	216000	你就一直打這樣
216000	217000	不是
217000	218000	因為我們擔心他怎麼了啊
218000	220000	他就不接啊
220000	221000	就那時候沒想到
221000	222000	那時候只是腦子想著說
222000	223000	他是不是怎麼了
223000	224000	很擔心
224000	225000	anyway
225000	226000	我們就是很擔心
226000	228000	那時候沒想太多
228000	229000	對
229000	230000	然後最後
230000	231000	因為我有他家的地址
231000	232000	所以你就直接去他
232000	233000	找他就對了
233000	234000	對
234000	235000	我就開車去他家樓下管理員
235000	236000	我就說
236000	237000	請問一下
237000	238000	那個哪一戶的
238000	239000	哪一個誰誰誰在不在
239000	240000	對
240000	241000	那個人就
241000	242000	請問你是哪位
242000	243000	我說我是他高中同學
243000	244000	然後他說
244000	245000	高中同學
245000	246000	你自己沒有他的電話嗎
246000	247000	我說
247000	248000	我就找了他一整天
248000	249000	他都沒有接這樣
249000	250000	對
250000	251000	然後
251000	252000	超可憐
252000	253000	超可憐
253000	254000	超級像是來討債的
254000	255000	我們連找的很誠懇耶
255000	256000	是嗎
256000	257000	超級像來討債的啊
257000	258000	是嗎
258000	259000	然後我就說
259000	260000	那你可以幫我打電話去樓上嗎
260000	262000	然後他就
262000	263000	可是
263000	264000	我就說
264000	265000	我就真的聯絡不到他
265000	266000	我也認識他媽媽
266000	267000	這樣
267000	268000	對你那他媽媽認識
268000	269000	超像是討債的
269000	270000	討債集團
270000	271000	真的嗎
271000	272000	看起來很像他是借我錢嗎
272000	273000	你的家人什麼都
273000	274000	都在我手上
274000	275000	都在我掌握之中
275000	277000	然後我還跟管理員說
277000	279000	我為了要取得管理員的信任
279000	280000	我就跟他說
280000	281000	對
281000	282000	我認識那一戶
282000	283000	然後我認識他媽媽
283000	284000	然後我還知道他有一個姐姐
284000	285000	這樣
285000	287000	就是身家調查都很確實了嘛
287000	288000	對啊
288000	289000	討債集團基本的流程
289000	290000	然後他那時候
290000	292000	這是討債集團新的那個招式
292000	293000	是嗎
293000	294000	只要管理員一打上去
294000	295000	就六個狀況衝出來
295000	296000	喔
296000	297000	然後他就打電話去
297000	298000	然後一接起來就衝進去
298000	299000	是嗎
