start	end	text
0	9760	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
9760	10860	我是翠翠
10860	12320	大家好 我是錦絲阿斷
12320	13580	大家好 我是林聖凡
13580	16700	我剛剛有忍住不要跟DECO一直啊
16700	19260	你們不會很像每次都想要跟他一起啊嗎
19260	20420	不會
20420	22240	好 那個這一集
22240	23460	幹嘛這樣
23460	25600	好 這一集呢 我們一開始呢 要先跟大家
25600	28620	應該算是說聲抱歉啦
28620	29620	有點不好意思
29620	32860	就是我們上一集有講一個那個
32860	34040	鄰居的故事
34040	39120	對 然後基本上是一個很沉重的一個鄰居小孩好像被欺負啊之類的故事
39120	39820	對對對
39820	41460	然後就是很多人聽了之後呢
41460	43420	首先心情很沉重
43420	46200	對 然後覺得說我們用一些 用一種
46200	47740	太輕鬆的方式去講
47740	49860	戲謔 有點戲謔的感覺
49860	51000	對 然後講一些話
51000	54160	然後大家覺得就是有點沒有同理心
54160	56420	聽完之後有點不開心這樣子
56420	57200	我們要先道歉
57200	58660	因為我們真的是
58660	59540	可能當下來
59540	60920	在講的時候沒有想太多
60920	63420	應該說因為這個主題本身比較沉重
63420	65040	那其實我們之前就已經
65040	66620	是我跟你聊天的時候就
66620	68240	我就有跟你討論過這件事情
68240	71460	對 我就覺得說好像可以講講看沒有關係
71460	74920	那結果想不到真的在錄focus講的時候
74920	75240	對
75240	76660	更沉重
76660	77200	好像是
77200	78960	對 更悲傷
78960	81040	所以變得我跟攝影師很想要
81040	82040	緩和那個氣氛
82040	83500	對 我們很想要講一些話
83500	86080	因為那個時候錄小姐的感覺好像是
86080	87160	好小姐一直講
87160	88880	我們都沒有辦法插嘴
88880	89960	對
89960	92760	對啦 畢竟你們也不知道事情到底是怎麼樣
92760	95500	對 所以說我們就很想要緩和一下氣氛
95500	97180	講一些比較有趣的事情
97180	99180	那變成說這樣子之後
99180	100380	變成就是像大家說的
100380	102180	整個氛圍怪怪的
102180	103580	好像有點戲虐感
103580	106960	好像要故意要在一個沉重的事情裡面
106960	109760	然後想辦法打哈哈的感覺
109760	113460	然後其實我們這段故事剪掉了很多部分
113460	116180	像我們以後來其實有再做一些討論
116180	117760	就是比較深一點的討論
117760	118880	對 像是講說
118880	121180	那在那個時候應該要做些什麼事情
121180	122220	或什麼有的沒的
122220	124220	就是如果你是鄰居你可以怎麼辦之類的
124220	125540	對 但是把這些加進去
125540	128380	又讓這個又變得更沉重了
128380	130960	對 所以後來那些部分都剪掉
130960	133260	把比較輕鬆的部分留下來之後
133260	135380	就是保留敘述故事的部分而已
135380	138080	對 然後跟我們一些聊天比較輕鬆的地方
138080	140380	對 留下來之後反而就變成這個樣
140380	141460	好像太輕鬆了
141460	142880	對 也是怪怪的
142880	145180	對 要學習啦 要學習
145180	147960	怎麼去陳述一些比較沒有那麼歡樂的事情
147960	148760	應該是說 因為我當時是在學校的時候
148760	150260	我們就看大家留言嘛
150260	153720	有人就說這個故事不應該用我們閒聊
153720	155420	或者很輕鬆的口氣去講
155420	156380	他覺得這樣不好
156380	159720	對 就是可能我們選題上也要再多想想
159720	162000	對 就說不定這種事情是真的不適合
162000	162680	用來閒聊
162680	164760	用閒聊的方式去訴說的
164760	166180	那再來就是說
166180	168560	也許 也有可能其實可以
168560	170420	但是我們功力還不夠
170420	172460	我沒有辦法把一個這麼沉重的故事
172460	174680	把它講得又有趣 然後又
174680	176920	又有內容 又發人深省
176920	177960	又有教育意義
177960	178760	可能我們還做不到了
178760	180060	這個就要持續學習
180060	181760	對 然後可能有些人也會問說
181760	183380	為什麼你們會一直質問我說
183380	185520	是不是我看錯啊
185520	186520	還是什麼之類的
186520	188840	因為我說 後面有一段我講說
188840	190000	那會不會是那個
190000	191640	姊姊性格本身比較安靜
191640	192420	對 比較孤僻
192420	193420	那是說孤僻
193420	194600	這個也有原因的
194600	196100	就是因為我本人呢
196100	198460	就是一個記憶力不太好的人
198460	200720	對 常常有一件事情講得很恐怖
200720	201840	然後很嚴重
201840	204380	後來去 比如說跟他媽聊天什麼之類的
204380	204920	對
204920	207060	一求證之後發現根本就不是這麼一回事
