start	end	text
0	9300	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
9300	10100	我是翠翠
10100	11640	大家好 我是傑尼斯阿段
11640	12920	大家好 我是尼森凡
12920	17820	我今天有很完整的廣告口部稿可以唸
17820	20580	我剛剛就一直在嘗試要調整語氣
20580	22060	讓我自己聽起來像一個廣播人
22060	23140	但我發現好像不太行
23140	26200	我用我自己的語氣來講好了
26200	27360	OK 好 來
27360	56580	有比較好嗎
56580	57200	今天只是
57200	58700	怪場怪調的樣子
58700	59740	我很適合
59740	60240	我沒有覺得你在
60240	61380	異陽頓挫
61380	62200	異陽頓挫嗎
62200	62840	沒有嗎
62840	64540	你口氣超平的好不好
64540	65580	你都是
69580	70080	我會拼搏的
70080	71280	就是唯一你有一個
71280	72080	很像
72080	74760	便宜大賣場的那種廣播
74760	75320	是嗎
75320	76420	體育資源收益
76420	78720	沒有 是一種在開玩笑的感覺
78720	79720	你們可以
79720	82020	如果真的有空可以來找我
82020	82820	不是為什麼要被你講得很拼搏
82820	84760	真的 你都是這個結尾
84760	85520	真的嗎
85520	86820	好 我還有最後一段
86820	87200	你還有一段
87200	88340	最後一段
88340	91380	這次廠商有另外給好位小姐聽眾加碼回饋
91380	92980	只要你是街口新會員
92980	95840	或近半年來沒有在街口消費的舊會員
95840	98240	12月10號前輸入我們的專屬推薦碼
98240	99880	7KTK8PA
99880	101020	並完成一筆消費
101020	103580	就能享有50元街口幣的回饋喔
103580	104180	有沒有好多了
104180	105160	好多了
105160	107420	所以滾還是自然就好了
107420	110060	還是用我自己平常活潑快樂語氣講
110060	110920	好像是
110920	111500	好啦
111500	115220	Anyway 所以詳細的1212街口支付的那個
115220	116320	街口購物節活動會放在說明欄上的影片中
116320	117960	街口購物節活動會放在說明欄上的影片中
117960	120760	那大家可以到App Store或是Google Play上面下載
120760	122160	街口支付買東西
122160	123000	嗯哼
123000	123560	Yeah
123560	124820	就像是路邊那個車子
124820	126860	好消息 好消息
126860	128560	欸 真的欸
128560	130500	他都說什麼啊
130500	131940	他什麼什麼新店開
131940	133400	或鞋家福之類的
133400	134500	喔 鞋全家福啦
134500	135100	鞋全家福
135100	136300	都鞋全家福啦
136300	136840	真的欸
136840	138340	現在賣一送一
138340	140480	母親節最高回饋100元
140480	141220	100元
141220	141780	這樣對不對
141780	144680	鞋全家福以前都是開新店的時候會有廣播車
144680	146320	然後一整天這樣子跑吧
146320	148860	現在是不是有很多是賣房子的啊
148860	149720	賣房子的嗎
149720	151020	那種建案的那種
151020	152760	建案會這樣廣播有用嗎
152760	153520	廣播的捏
153520	154960	欸現在廣播好像比較少了
154960	155320	欸
155320	156900	就是有在那邊喊的好像比較少
156900	158260	應該會被檢舉吧
158260	159240	為什麼
159240	160040	太吵了吧
160040	161400	這哪有競選車吵
161400	162840	競選車現在
162840	164480	喔 那是因為沒有在選舉啦
164480	164880	對啊
164880	165740	我們家是會有
165740	167200	早上會有那個
167200	169180	以前會有一台就是
169180	171020	說它是從澎湖來的
171020	171480	什麼東西
171480	172640	很奇怪 他說說他會
172640	173820	他的那個
173820	175020	車在跑的時候就喊
175020	175820	噴喔欸
175820	176320	什麼什麼
176320	178160	什麼東西這樣子
178160	179220	他是賣吃的嗎
179220	181320	就是賣雜貨
181320	182000	喔
182000	184220	我已經搞不太清楚為什麼會
184220	186100	就是要賣雜貨
186100	187460	他就是賣一些馬桶刷
187460	188740	一些藤椅啊
188740	189260	這種東西
189260	191100	就是有點像生活五金的東西喔
191100	191440	對啊
191440	192900	但是我們家不
192900	193640	就是說
193640	194740	就是一般的住宅區
194740	196900	不是說什麼特別鄉下或怎麼樣
196900	199380	我們那邊來的那種車都是換貨裡的啦
199380	199740	是嗎
199740	200680	因為那種會跟著
200680	202840	比如說你那個那種藤椅啊
202840	204840	壞掉破掉他也會補
204840	205440	他會補嗎
205440	206080	他會補
206080	206320	沒有
206320	208360	是有專門補的那種車吧
208360	208860	對啊
208860	209960	有專門在換
209960	210960	修
210960	211960	修刷門
211960	212360	修
212360	213400	對對對
213400	213900	修什麼
213900	214920	什麼門
214920	216700	什麼門窗怎麼樣的
216700	216900	對啊
216900	218760	專門修紗窗的是一個
218760	219900	還有換玻璃
219900	221640	因為我是說那種賣藤椅啊
221640	222640	竹掃把啊
222640	224840	一些五金類的
224840	225100	那種
225100	227140	我們家那邊是會幫忙換的
227140	227640	喔真的假的
227640	228000	這麼好
228000	228700	他可以修那個藤椅
228700	230280	他會幫你把那個壞掉的線
230280	231140	抽掉再補一根進去喔
231140	232280	對他會幫你換藤椅
232280	233820	還是他那個邏輯就是說
233820	234720	那個
234720	236080	就是在家裡面的媽媽
236080	237840	什麼不太方便出門
237840	238240	欸有可能欸
238240	239320	就直接幫你把這些東西
239320	240360	送到你家門口
240360	241020	有可能啊
241020	241820	因為你要顧小孩
241820	243580	或是有長輩要照顧的話
243580	245360	像我媽就很少出門
245360	246520	喔因為你現在爺爺奶奶
246520	247820	要照顧的關係
247820	248520	對
248520	249360	喔
249360	250100	然後再來就是
250100	251560	很多送宵夜的啊
251560	252500	送宵夜
252500	253300	對啊
253300	255940	我只有遇過拔菇跟肉丸
255940	257540	喔我們家那邊是
257540	259700	以前晚上十點半會有那個
259700	261700	臭豆腐大麵雞
261700	262840	喔台中才有吧
262840	263740	對啊大麵羹
263740	265440	所以你們有吃過大麵羹嗎
265440	265840	我覺得
265840	267800	他看起來很噁心
267800	268980	我覺得大麵羹超噁
268980	270080	他有一個奇怪的味道
270080	270540	而且他看起來很像
270540	271640	奇怪的質地
271640	273280	對就很像泡了一整個晚上
273280	274840	然後那個麵都沒有人吃他
274840	277020	然後隔天就整個膨脹這樣
277020	278020	喔你要這樣講
278020	278780	也沒有說
278780	280460	也沒辦法說你錯
280460	281080	這就是
281080	282260	大麵羹吃
282260	283300	欸欸對
283300	284460	你如果要我形容的話
284460	285000	現在就是
285000	286300	看感覺就是一個
286300	287820	泡了一整個晚上
287820	288560	泡到發軟
288560	290160	然後入口即化的麵條
290160	291000	對啊
291000	291640	但是他說
291640	293000	你說那個奇怪味道是什麼味道
293000	295500	喜宴最後湊在一起的那個東西
295500	295840	菜吧
295840	296340	他有調味嗎
296340	297340	沒有啦
297340	298540	他應該是有自己一個
298540	300080	特殊的調味的方式
300080	300980	就是酸酸
300980	302480	然後有點減重的味道
302480	303280	欸對對對
303280	305080	應該有加一些這類的東西
305080	305480	為什麼
305480	306520	但是我小時候
306520	308320	這個是超就是
308320	308880	我知道欸
308880	310280	我覺得很好吃欸
310280	311420	可能是因為小時候吃習慣
311420	313020	都是宵夜
313020	314600	欸不是早餐喔
314600	315400	不是
315400	316000	我們那邊啦
316000	317600	我們那邊是晚上會跟那個
317600	319260	臭豆腐一起來賣宵夜這樣子
319260	320200	喔所以那個是
320200	321740	十年前的FUPENDA
321740	323340	欸對
323340	325000	我們那裡都是下午的時候
325000	325500	來那種
325500	326960	點心感
326960	329400	喔就是賣給回家的小孩子
329400	330080	對對對
330080	331400	就是下放學的時候
331400	332540	差不多三四點的時候
332540	334480	那個拔扑車就會來
334480	336340	然後或者是那個肉圓車就會來
336340	337780	然後因為你小時候剛下
337780	339520	放學不知道為什麼都會很餓
339520	340080	喔對啊
340080	341120	對不知道為什麼
341120	343620	然後就會叫我媽媽買一碗這樣
343620	344620	就覺得蠻幸福的
344620	345780	現在都沒有了
345780	347380	我們那邊是一個豆花車
347380	349700	豆花車是不是比較少見啊
349700	350160	是嗎
350160	350560	他就
350560	354120	他的目的地就是下午的那個黃文市場
354120	355500	然後他就會邊喊
355500	356760	導輝
356760	358500	喔你說他是去黃文市場的路上
358500	359540	對邊叫賣的
359540	360540	好一路邊叫
360540	363380	但他就是幾乎會繞行全村這樣
363380	365140	那他不會到那邊就沒有了嗎
365140	366720	他都走不到黃文市場
366720	368940	對啊
368940	369580	還蠻酷的
369580	370680	好我這樣突然想起來
370680	372380	我們家有一台是那個
372380	375220	專門在賣那個薑的東西的
375220	376280	什麼叫賣薑啊
376280	377420	就是他就賣生薑
377420	379120	飯頭薑那種
379120	380120	欸沒有專門賣薑
380120	383020	他就賣生薑跟薑汁
383020	384500	薑汁也太酷了吧
384500	385900	就是薑炸出來的汁
385900	387200	他不是那種新香料系
387200	389600	他直接就只有薑製品
389600	390740	就是果汁系
390740	391380	那個沒有
391380	392480	那個不是果汁
392480	393680	就是因為我們家有那個關係
393680	394340	所以說
394340	396420	啊現在天氣不是變冷了嗎
396420	397780	你有吃過我們家的薑母鴨吧
397780	398740	有很辣
398740	399740	我家的薑母鴨超猛的
399740	402720	因為我阿嬤她煮薑母鴨的方式就是
402720	404420	不加一滴水
404420	405260	薑汁嗎
405260	405680	非常厲害
405680	407560	對我阿嬤煮薑母鴨就是用
407560	408800	就是先炒薑
408800	410360	然後炒鴨肉
410360	413360	炒完之後加那個薑母汁
413360	414500	薑母汁加完之後加薑母汁
414500	415300	加米酒
415300	416740	就是一滴水都沒有
416740	417640	好辣
417640	418140	怎麼那麼辣
418140	419040	因為我阿嬤就覺得
419040	420780	薑母鴨上面沒有
420780	422580	沒有水這個字
422580	424080	甚至沒有湯
424080	425820	那羊肉爐呢
425820	428420	只差沒有餵那個鴨子吃薑就對了
428420	429040	對
429040	429520	超辣
429520	431980	我們家的薑母鴨是驚天動地辣
431980	432860	這真的是真的
432860	433560	你們家的薑母鴨
433560	434660	我都可以吃完第一天
434660	436360	再加一半的水再吃第二次
436360	436960	欸對
436960	438060	都可以這樣 好可怕
438060	439300	好然後這次是那個
439300	440260	接口之父嘛
440260	441500	行動之父
441500	442660	這是一個我覺得
442660	444360	原本沒有用的時候
444360	445360	不會怎麼樣
445360	447360	就是生活還是照顧
447360	448940	但是當你
448940	450340	哪天突然開始
450340	452800	突然想到然後開始使用之後
452800	453940	你就會覺得突然
453940	456640	生活品質大幅提升的一個東西
456640	457440	我好像
457440	459600	真的開始認真用行動之父之後
459600	461420	超級常忘記帶錢包欸
461420	463820	像我現在就不知道我錢包在哪裡
463820	465080	你不知道嗎
465080	465880	我不知道我還寫了吧
465880	467220	我一直在想要不要提醒你
467220	467780	怎麼了
467780	469380	因為你的錢包一直都放在我的包包裡
469380	471520	我今天出門都把你的錢包帶出去
471520	472360	然後想付錢的時候
472360	474360	就是打開你的錢包
474360	476660	結果有一股惡念
476660	478600	要不要用他的錢呢
478600	479860	但是裡面應該現在
479860	481260	對啦就是這樣子之後
481260	483060	就其實就算是有帶錢包
483060	484140	但是錢包裡面也沒有現金
484140	485040	打開 對
485040	485840	裡面也沒有錢
485840	487900	不是喔但是裡面有信用卡
487900	488680	喔
488680	489180	對
489180	489780	對喔
489780	490200	不行欸
490200	491340	錢包還是要在自己身上欸
491340	493880	我今天最後還是用我自己的現金結
493880	494740	可惡
494740	495980	然後我就開始
495980	497480	就是我最近有注意到生活中
497480	498880	有一些這樣子的事情
498880	499580	什麼事情
499580	500960	就是
500960	502560	很微小
502560	503720	的改變
503720	504360	但是
504360	505060	一做了之後
505060	507500	就發現生活品質大幅的提升
507500	508300	大幅的提升
508300	509700	大幅的提升
509700	511000	想到爆掉這樣子
511000	511860	強調大幅提升
511860	512860	對不是那種什麼
512860	513900	不是那種
513900	515640	之前流行那種小確幸的感覺
515640	516500	不是那種感覺
516500	517940	是大確幸
517940	519180	不是確幸
519180	520780	小確幸就是一種
520780	522640	有點可憐的感覺
522640	523180	是可憐
523180	524480	你知道嗎就是說
524480	525640	是那種突然發現
525640	527720	欸這個睡覺是超舒服這種的
528860	530480	欸你說我怎麼還是小確幸
530480	532680	我說這種形式的發現
532680	534160	欸
534360	536720	有一點但是沒有這麼小
536720	537560	更大一點
537560	540560	小確幸就是屬於說你原本過得很慘
540560	542860	然後突然有今天發生的某件不錯的事
542860	543960	那你覺得沒那麼慘
543960	545100	才小小確幸
545100	546900	欸好像有一點這個感覺
546900	549480	他是說是微小而卻實的幸福嘛
549480	551540	但是微小是微小到就是說
551540	553640	在窗口放了一小盆盆栽
553640	555540	然後看著盆栽覺得在
555540	559080	忙碌的生活中尋得片刻年輕這種
559080	560660	微小都很可憐的這種
560660	562320	但是我說的不是這種
562320	563320	我說的是真的
