start	end	text
0	2000	我是翠翠
2000	4000	大家好 我是簡傑斯阿段
4000	6000	大家好 我是尼森凡
6000	10000	本集節目由Saholia 森歐里昂 淨平衡系列贊助播出
10000	12000	那這次這個合作的這個品牌呢
12000	15000	他們主要是在做沐浴還有洗髮護髮用品的
15000	17000	那主要主打就是植萃
17000	20000	就是不會添加額外的化學成分
20000	21000	然後洗髮用品呢
21000	24000	他們主要是在做沐浴還有洗髮護髮用品的
24000	26000	那主要主打就是植萃
26000	28000	就是不會添加額外的化學成分
28000	30000	然後洗髮沐浴呢
30000	32000	這些東西全部都是零細菱的
32000	34000	其實像我現在自己去找洗髮精
34000	36000	我也會特別找零細菱的耶
36000	37000	零細菱 細菱是什麼東西
37000	39000	感覺比較安全的感覺
39000	41000	所以細菱是什麼東西
41000	44000	就是好像說那個東西很容易殘留在頭髮上啊
44000	46000	然後對身體不好 對環境也不好這樣
46000	49000	有一陣子好像突然出現這個零細菱產品
49000	50000	小時候好像沒有了
50000	52000	好像沒有講到這個東西
52000	54000	然後反正我最近就是有一點被洗腦
54000	56000	所以我現在洗髮我也都是買零細菱這樣
56000	58000	需求都這樣被創造
58000	59000	沒有錯
59000	61000	然後他們這次那個香味
61000	62000	其實我覺得蠻舒服的
62000	63000	是草本味
63000	65000	就是我覺得男生女生都可以用的
65000	68000	那聖羅尼亞他們其實主要是從網路起家的
68000	69000	所以好像聽說
69000	73000	他們在網路上據說是千物銷售量的洗髮精
73000	74000	真的喔 對
74000	75000	然後我們這次有被合作到這樣
75000	77000	感覺好像很厲害
77000	80000	然後熱銷到好像他們現在也是實體店幾乎都會有
80000	82000	什麼好市多啊去城市
82000	84000	都有商家有販售這樣子
84000	87000	那他們這次主要要分享的是他們的控油蓬鬆系列
87000	88000	喔要
88000	90000	我真的都用控油蓬鬆耶
90000	92000	他怎麼會來找你用控油蓬鬆系列
92000	94000	我就像我在偷看YouTube
96000	99000	為什麼他可以這麼精準的找你的需求
99000	100000	我不知道耶
100000	101000	好那我把這個介紹完
101000	103000	那個淨平衡系列
103000	105000	它就是含有萃取的羊肝菊
105000	107000	所以說我剛剛說它的味道有一個草本味
107000	108000	很舒服的味道
108000	111000	然後它就是強調那個油水平衡的控油配方
111000	112000	那因為像我
112000	113000	好啦對啦
113000	114000	我就是屬於那種細軟髮
114000	116000	稍微有一點點粗油
116000	118000	我頭髮就超塌的那種人
118000	120000	好我等一下再
120000	122000	好你先繼續念完
122000	123000	我已經講完啦
123000	124000	好你講完是不是
124000	126000	喔好小心每次
126000	127000	這個
127000	128000	喔這真的是抱怨
