start	end	text
0	9600	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型 我是翠翠
9600	10980	大家好 我是金子阿端
10980	12240	大家好 我是顏聖凡
12240	15780	本集節目由Dyson吸塵器贊助播出
15780	18380	我覺得買Dyson最大的好處就是
18380	22620	我以前對於那種吸塵器啊 這種家事型的電器
22620	25800	我媽都會 像我有一次不是送我媽一台吸塵器嗎
25800	29300	然後我媽就說 唉 她就跟我姪女講喔
29300	31260	她說 唉 姑姑送我一台吸塵器
31260	34140	不知道是不是在嫌我家裡沒有大掃乾淨
34140	36980	所以我就以前在買那種吸塵器的時候都會
36980	40580	不免俗的可能會跟女生比較相關
40580	43640	都是買一些什麼粉紅色啊 白金色那種
43640	45520	我覺得Dyson最大的好處
45520	47620	就是它長得非常的酷炫
47620	48860	所以 它很像變形金剛
48860	51680	所以很多男生都會主動拿起來玩
51680	54920	我聽過我身邊很多女性友人都有說過這件事情
54920	57560	他說他們家平常都是他媽的溪地板
57560	59300	然後有一次他就是買了Dyson回家之後
59300	62500	他爸覺得 唉唷 這個東西長得不一樣喔
62500	64340	蝦趴蝦趴 然後就拿起來玩
64340	66300	然後吸 喔 很好玩
66300	68380	然後就 後來他爸在溪地板
68380	69880	我覺得最棒的就是這裡
69880	70880	買Dyson的部分
70880	73540	Dyson有這個3C用品的成分在
73540	76680	對對對 因為它長得帥帥的
76680	79620	就是有一點那種 怎麼說 電競感
79620	82460	酷炫科技的感覺 真的 真的
82460	85600	但 好 你先把內環
85600	88660	對 我們就是接到那個Dyson的那個吸塵器的時候
88660	89100	我就想說
89100	90200	我要來怎麼分享
90200	93240	我對他覺得特別有感的好處
93240	96600	首先 可以解放平常在家裡做家事那個人
96600	98740	可以讓另外一個只對3C有興趣的女士
98740	101340	好 沒關係 你先把內環
101340	104980	那他們這次要主推那個V-Bus Link的輕型吸塵器
104980	107320	是專門對亞洲家庭設計的型號
107320	109080	那它全機只有兩公斤重
109080	110660	所以我就在想說他們是不是有發現
110660	113060	以前他們但是因為做有點機械感
113060	116060	然後他們的吸頭跟那個不是都在把手上嗎
116060	118600	所以有些女生可能會稍嫌有點重 對
119100	120060	拿過他們的機型
120060	121740	我會覺得稍微頭的那個地方
121740	124180	如果你要吸高的地方 久了會有點累
124180	125380	所以他們發現了
125380	127840	所以他們這次就做了一個超輕型的
127840	128780	他那個才兩公斤欸
128780	130680	比雷夢出生的體重還要輕欸
130680	132240	雷夢還有兩千六
132240	133020	喔 是是是
133020	134040	沒錯 沒錯 好
134040	135720	所以女生拿得也很輕鬆喔
135720	137380	單次可以使用40分鐘
137380	140280	然後他們有個超貼地面抗靜電
140280	141820	Fluffy吸頭
141820	143720	喔 我好怕把他的英文念錯
143720	145300	吸得比拖地更乾淨
145300	149100	還附一支2020最新LED發光細縫吸塵器
149100	149840	吸頭
149840	150840	喔唷
150840	152000	吊起來吸
152000	155200	縫隙縫裡面的貓貓都可以看得乾乾淨淨
155200	156340	這個不是我寫的
156340	157280	聽得出來嗎
157280	159840	好好好
159840	160680	對 好
160680	162520	然後他們這次主要想要宣傳呢
162520	165480	是他們在蝦皮上有一個超級品牌日
165480	167660	那時間的部分是12月15號到16號
167660	168660	只有兩天而已
168660	169860	那活動期間呢
169860	172820	他們的V840優惠價是一萬兩千九
172820	174620	比原價還要便宜四千塊
174620	176420	而且還有送兩千塊禮券
176420	177220	四千塊
177220	178160	對
178160	179100	再加兩千塊禮券
179100	181400	差不多這樣等於是有六千塊
181400	183780	喔 那個打快六折左右
183780	184380	六七折
184380	185440	滿多滿多的
185440	186340	然後重點是
186340	188380	他說他們這次蠻給力的
188380	190640	就是只有我們有專屬折扣碼
190640	192640	他說他在其他的通路跟其他的合作
192640	194140	是沒有折扣碼的
194140	194940	我不知道為什麼欸
194940	197460	這麼看得起我們
197460	198520	真的假的
198520	201060	這麼認真壓著他好不好
201060	203360	我們的折扣碼是Dyson500
203360	205560	就是D Y S O N 500
205560	206720	就是Dyson500啦
206720	209100	就是下單之後你就可以再折五百塊
209100	210040	這樣
210040	213800	喔 你是說我們折扣碼可以再折五百塊
213800	215000	欸 又折五百塊
215000	216000	對 又折五百塊
216000	218580	唉唷 上次那個一百多問就很兇欸
218580	219740	欸 清了了 對
219740	220820	折個五百塊
220820	221720	好可怕喔
221720	223120	然後再來呢
223120	224420	就是除了以上那個優惠
224420	227080	他們不是那個什麼蝦皮品牌日嗎
227080	228460	那品牌日就是全館的
228460	230180	你就是買的時候可以抽獎
230180	234360	然後他抽就抽Dyson Lysicomorph的台燈一個
234360	236000	然後還有一個Dyson的台燈
236000	236320	對
236320	237000	Dyson的台燈
237000	237600	Dyson的台燈
237600	238460	沒錯
238460	239100	欸 上一個課了
239100	240000	是一個科技公司
240000	240900	嗯
240900	242300	大家都要用他的台燈
242300	243840	呵呵呵
243840	244540	可能擺在桌上
244540	245240	老闆缺一個台燈
245240	245840	想想吧
245840	247200	我沒有台燈
247200	247640	對
247640	248340	還有另外一個呢
248340	251340	是Dyson Coral的直髮造型器又誤胎
251340	252440	直髮造型器
252440	253540	就是那個
253540	255340	應該是這次可以把頭髮電植
255340	256180	對對對
256180	256580	電熱棒
256580	258120	他之前不是有一個捲髮的
258120	259620	那個是吹風機
259620	260180	那是吹風機
260180	260980	捲髮那是吹風機
260980	261420	對
261420	262720	現在還有一個直髮的
262720	263960	電熱棒
263960	265260	那可能吹風機賣得還不錯
265260	267020	所以Dyson他現在做了
267020	268860	洗塵器 台燈
268860	269040	欸
269040	270000	做了美髮用品
270000	271040	對對對
271040	271400	欸
271400	272480	很寬寬欸
272480	273880	很寬寬
273880	274940	然後
274940	276880	全店最高還可以折一千塊
276880	278280	然後還有其他的滿額贈
278280	279820	那詳細的優惠活動的話
279820	281780	我們會放在資訊欄的內文裡面
281780	283820	那這檔我覺得送滿多東西的啦
283820	284660	所以還滿優惠的
284660	285820	大家可以看看
285820	286620	鈴鐺滿目
286620	287720	鈴鐺滿目
287720	288520	我剛剛聽到現在
288520	290420	我已經忘記就是到底
290420	291560	到底送了多少東西了
291560	292100	反正呢
292100	292900	很多就對了
292900	294040	反正他就是有折價
294040	295100	又有送禮券啦
295100	296100	我們還有折扣嘛
296100	297900	還有台燈可以抽
297900	298300	對
298300	298800	就是這麼多
298800	301060	簡直是一副想要換洗塵器的樣子
301060	301900	沒錯
301900	302600	我剛剛不是
302600	304200	我剛剛就在講你說那個
304200	304640	蛤
304640	305440	就是
305440	306380	金屎洗這件事嗎
306380	306780	不是啦
306780	308300	你是說就是他的那個造型
308300	309820	所以男生會比較喜歡這件事情
309820	310940	對啊 對啊
310940	311480	我覺得
311480	312680	真的會嗎
312680	313480	我覺得有欸
313480	315220	我是聽我身邊的朋友分享
315220	317580	他們家爸媽的一個狀態
317580	317980	真的假的
317980	319460	我覺得是會在
319460	320580	如果說今天比如說你要叫
320580	322520	你跟我要去買洗塵器
322520	323520	那
323520	326060	一般來說我應該是一點興趣都沒有
326060	327200	對你只會說這台長得很醜
327200	328700	我會去比較洗塵器的規格嗎
328700	329300	他不會
329300	330660	洗塵器的規格
330660	332100	你會比較洗塵器的規格
332100	332740	會啊
332740	333140	為什麼
333140	334240	其實就差不多啊
334240	336140	電池可以用多久啊
336140	338480	然後他有什麼功能啊
338480	341940	但是我覺得這個很多時候都是實際使用上才
341940	343380	他覺得使用者比較知道
343380	344540	他沒有辦法出意見
344540	345820	就表示說他都沒有在心裡
345820	347280	不是我沒有辦法出意見
347280	350320	是我不覺得這件事情有什麼有趣的地方
350320	351760	買洗塵器的話
351760	353500	那我覺得Dyson他不一樣的就是他的
353500	355000	就是造型比較瞎趴
355000	356400	比較符合男生的口味
356400	357000	好像是
357000	358440	就像之前買那個
358700	360660	無電無扇葉電風扇的時候
360660	362100	你也很你也很新奇
362100	363400	他們你說帶上電風扇
363400	364480	他還好做電風扇
364480	366900	真的是快很快
366900	367400	對啊
367400	368880	我就覺得就是會不會
368880	371220	說不就是像是男生在買3C產品一樣
371220	373480	或是買健身用品一樣
373480	375660	就是買的時候你會很興奮
375660	377320	參與其中
377320	379560	買了之後用兩次
379560	380420	就還好了
380420	380860	對
380860	381860	所以就放著
381860	384900	那個故事中的爸爸只有洗前面兩次而已
384900	385560	真的嗎
385560	387020	所以他才會在剛買回去的時候
387020	388700	很興奮跟我分享這件事嗎
388700	390200	洗酒之後才是發現
390200	391240	溪地還是溪地
394200	395440	講到這個
395440	397940	我們家其實都是你在溪地
397940	398680	溪地嗎
398680	401180	對啊
401180	401740	對啊
401740	402780	對其實都是你在溪地
402780	403580	為什麼都是我在溪地
