start	end	text
0	4700	哈囉 大家好 歡迎來到好味小姐開束縛 我還你原型
4700	5500	我是翠翠
5500	7000	大家好 我是簡介石阿斷
7000	8500	大家好 我是林聖帆
10500	11000	怎麼樣
11000	13000	幹嘛一直在沈默
16000	18000	奇怪 為什麼 你剛剛看我
18000	19000	蛤
19000	20000	不是你要開場嗎
20000	21000	這 這 這就是問題
21000	22000	這為什麼每次都是我開場
22000	23000	因為你是主Key啊
23000	24000	對啊 你是主持人啊
24000	25000	但是為什麼每次都是我開場
25000	26000	因為你是主Key啊
26000	27000	因為你是主Key啊
27000	28000	因為你是主Key啊
28000	29000	因為你是主Key啊
29000	30000	對啊 你是主持人啊
30000	32000	但是開場那個人很很很
32000	35000	就是他講第一句話是最尷尬的事情
35000	37000	不是 說老實話
38000	40000	從現在34節嗎
40000	41000	第一句話都是我講的啊
41000	42000	你在尷尬什麼
42000	43000	不是 就是
43000	44000	開啟話題的第一句話
44000	45000	開啟話題的第一句話
45000	47000	你不是每次就是都會
47000	48000	就是這很困難耶
48000	50000	我每次就是突然要講我都要說
50000	52000	呃
52000	53000	還是說就是
53000	55000	那你噁完就撐過第一句嗎
55000	56000	對啊 呃就是你的第一句
56000	57000	就是你的第一句啊
58000	60000	不是啊
60000	61000	不是 我剛講完第一句的時候
61000	62000	你們不是就說我是誰我是誰嗎
62000	63000	不是 我剛講完第一句的時候
63000	64000	你們不是就說我是誰我是誰嗎
64000	65000	所以我一開始的時候
65000	66000	就會說今天是禮拜幾什麼之類的
66000	67000	所以我一開始的時候
67000	68000	就會說今天是禮拜幾什麼之類的
68000	69000	喔
69000	70000	那是個開場
70000	71000	然後節在幾
71000	72000	然後就講說前幾天怎麼樣或怎麼樣
72000	73000	對
73000	74000	我每次都想說到底講這個要幹嘛
74000	75000	對 就是因為你跟我
75000	76000	有一次跟我講說
76000	77000	講這個要幹嘛之後
77000	78000	就不知道要講這個了嗎
78000	79000	我就覺得
79000	80000	沒有 你知道我心中
80000	81000	種下了一個種子
81000	82000	就是講這個要幹嘛的種子
82000	83000	就是講這個要幹嘛的種子
83000	84000	所以你之後就不敢講了嗎
84000	86000	我無意的去迴避說要
86000	88000	講今天是禮拜幾什麼之類的
88000	89000	好啦好啦
89000	90000	那今天讓你講今天禮拜一
90000	91000	今天是這個
92000	93000	禮拜一
94000	95000	然後上個週末
95000	96000	欸你看
96000	97000	真的有
97000	98000	真的有辦法接起來啊
98000	99000	好 今天是禮拜一
99000	101000	我們今天是禮拜一的晚上
101000	102000	今天蠻早就錄了
102000	104000	現在才是晚餐時間而已
104000	105000	對 為什麼蠻早就錄了呢
105000	106000	因為我們換了一個那個
107000	108000	露營的地方
108000	109000	對
109000	110000	因為我們原本的露營的地方是
110000	111000	我們的一個算商庫
111000	112000	對
112000	113000	雜物間
113000	114000	然後就是
114000	115000	比如說這邊環境不好
115000	116000	太亂了
116000	117000	然後就把它換回去
117000	118000	換去辦公室裡面
118000	119000	對
