start	end	text
0	8000	哈囉 大家好 歡迎來到好味小姐開束縛 我是
8000	10000	我還你原型 我是崔崔崔
10000	12000	大家好 我是剪輯師阿段
12000	14000	大家好 我是攝影師阿凡
14000	16000	我剛才很快講過去你們就不會發現
16000	18000	誰不會發現 全世界都會發現
18000	20000	太棒了 新年的第一集
20000	22000	就講錯 沒錯
22000	24000	維持一貫的調性
24000	26000	沒錯 覺得很棒 從一而終
26000	28000	沒錯 然後跟大家
28000	30000	就是說明一下
30000	32000	上次不是說我們換了一個
32000	34000	換了一個場所
34000	36000	換了一個場所 原本就有那個倉庫來
36000	38000	然後在過年之前到
38000	40000	現在這段時間
40000	42000	我們就是把我們的錄音室進行一個
42000	44000	全面的升級 基本上都是娛樂品項的
44000	46000	升級 我們就是在原本的沙發
46000	48000	鋪了巧拼 好不好 巧拼有一個
48000	50000	微隔音
50000	52000	吸音的一個效果
52000	54000	然後再加了一台PC的電腦
54000	56000	跟一台PS4
56000	58000	這一點關係都沒有
58000	60000	不是說好是要拿來
60000	62000	健身的嗎 對
62000	64000	健身設備也有提升 飛輪也就是
64000	66000	被安放好了 騎了三次
66000	68000	不同的人 飛輪被安放好 然後
68000	70000	那個什麼那個
70000	72000	啞鈴啊 狐鈴啊 什麼的
72000	74000	也都到位了 也都到位了
74000	76000	他們都在他們應該被放的地方放著
76000	78000	他們都在他們應該會最後成績的
78000	80000	規程的地方放著 如果有人突然
80000	82000	很想要健身 已經找到理由了
82000	84000	不愁沒有地方健身
84000	86000	環境非常優良 這從來都不是
86000	88000	環境的問題
88000	90000	健身很難耶
90000	92000	就是運動很難啊
92000	94000	剛過年嘛對不對
94000	96000	所以我想問說你有什麼那個
96000	98000	我是突然開始
98000	100000	過年的時候 然後就會自然而然
100000	102000	會想到說
102000	104000	新年是不是要有什麼新希望
104000	106000	每次都會問啊 大家都會問啊
106000	108000	然後也有很多人拍影片或什麼
108000	110000	都會發 就是新年新希望
110000	112000	自己的IG什麼都會寫
112000	114000	新年新希望 對
114000	116000	但是我那時候想一想
116000	118000	說我是不是要想個什麼新希望
118000	120000	這樣子 我覺得我已經好幾年
120000	122000	都沒有嘗試做這件事情
122000	124000	對 然後我想一想我就發現說
124000	126000	不行 不可以有新年新希望
126000	128000	為什麼 我覺得
128000	130000	如果說你有什麼偉大的計畫
130000	132000	想要養成的習慣
132000	134000	可以改變你這個人生軌跡的一些
134000	136000	想要實踐的事項的話
136000	138000	如果你要 我們之前討論過
138000	140000	你是不是講出來就覺得
140000	142000	已經做完那個人 不是不是這個問題
142000	144000	如果我說有這種
144000	146000	重等級的事情 想要去實踐
146000	148000	想要真的做到他的話
148000	150000	這件事情開始的第一天
150000	152000	絕對不是在放假
154000	156000	不是 隔天就不是在放假啦
156000	158000	沒有 那個氣勢不對啊
158000	160000	哦 你就說好 我要幹嘛幹嘛
160000	162000	結果今天在放假 那我先躺一下
162000	164000	對 我就說 我要早上起床
164000	166000	養成運動的習慣
166000	168000	飛輪都擺好了
168000	170000	每天早上起來
170000	172000	每天早上起來就先去騎飛輪一個小時
172000	174000	這種的一個養成一個
174000	176000	簡單的 明確的 運動習慣
176000	178000	對嘛
178000	180000	我第二天直接睡到中午啊
180000	182000	不行
182000	184000	因為前天跨年
184000	186000	對嘛 因為前天要中午啊 然後中午又有人約吃飯
186000	188000	所以你覺得這應該要在什麼時候立
188000	190000	新年希望要在九月份開學第一天嗎
192000	194000	你已經沒有開學了啊
194000	196000	就是這個時機太糟糕了
196000	198000	時機太糟糕了
198000	200000	所以你覺得不應該放假 元旦不應該放假
200000	202000	不是
202000	204000	你再扛我的假我要生氣囉
204000	206000	對 元旦為什麼放假
206000	208000	因為想放假
208000	210000	全世界都放假耶
210000	212000	因為前天要跨年
212000	214000	第二天他會沒有精神
214000	216000	對嘛
216000	218000	老闆就想說你來了也不會好好上班
218000	220000	這個假就是為了讓
