start	end	text
0	10800	哈囉 大家好 歡迎來到好味小姐開束縛 我是翠翠 我還你原型
30000	59980	哈囉 大家好 我是翠翠 我還你原型
60000	89980	我是翠翠 我還你原型
90000	119980	我是翠翠 我還你原型
120000	149980	我是翠翠 我還你原型
150000	179980	我是翠翠 我還你原型
180000	209980	我是翠翠 我還你原型
210000	239980	我是翠翠 我還你原型
240000	269980	我是翠翠 我還你原型
270000	299980	我是翠翠 我還你原型
300000	329840	我是翠翠 我還你原型
329840	329980	我是翠翠 我還你原型
329980	330000	我是翠翠 我還你原型
330000	359980	我是翠翠 我還你原型
360000	389860	我是翠翠 我還你原型
389860	419840	我是翠翠 我還你原型
419840	422340	我们其实没出去多久
422340	423640	我们现在还有联盟在
423640	425220	能出去已经很好了
425220	426340	天黑了就想回家
426340	428340	还是年纪到了
428340	428900	我们好冷
428900	429920	好黑
429920	430820	就觉得好累
430820	432520	天黑了就想回家
432520	433860	吃完饭就回来了
433860	434900	过了一个很平淡
434900	436220	但是很温馨的生日
436220	437100	这样就好
437100	438180	你知道吗
438180	439440	前一天
439440	441100	它是礼拜天生日
441100	443320	大概礼拜四的时候
443320	446680	大概从一月开始
446680	448840	就从各个地方的私讯
448840	449560	或是留言
449560	451540	开始有人提招这件事情
451540	453400	到底是谁放消息出去的
453400	453740	不知道
453740	455960	所以他有跟我讲说
455960	459820	在过我月底24号生日
459820	461340	然后再过一阵子
461340	462180	我说我要过生日
462180	463640	我两个礼拜之后就生日了
463640	465200	我再跟你确认一次
465200	466640	我要过生日了
466640	468460	我很认真的提醒
468460	469300	然后再说
469300	471160	再讲详细一点
471160	471900	我不只是过生日
471900	472700	我一定要有
472700	473780	一定要出去
473780	475660	我说我要约会晚餐跟礼物
475660	477680	非常明确交代
477680	479040	我的愿望
479040	479480	你是什么
479480	480600	学测倒数吗
480600	481480	现在晚上
481480	482760	对
482760	483640	然后一直
483640	485200	它是礼拜天生日嘛
485200	486400	一直到那个礼拜四
486400	486840	我还问他
486840	488000	他还在问我说
488000	491160	欸你真的有记得我生日吗
491160	492440	如果到最后
492440	492960	我之前
492960	495640	之前也有观众留言跟我讲这件事情
495640	496120	他就说
496120	497120	我妈妈某一集聊到
497120	498680	就是你都没有帮我过生日对不对
498680	499080	对
499080	499280	对
499280	500040	然后我就说
500040	500840	我就跟他就说
500840	502640	他觉得他的男朋友都不会主动
502640	504840	记得他的一些相关的纪念日
504840	506200	或是他的活动
506200	506520	对
506520	507720	他觉得很忧郁
507720	508600	对
508600	508840	嗯
508840	509480	然后他就问我说
509480	511000	我都怎么排解
511000	511760	我就说
511760	514120	我男朋友也都不记得
514120	514840	然后他就说
514840	516360	那你都不会生气吗
516360	516640	我说
516640	518560	可是我就觉得有时候
518560	520000	你真心的想要什么
520000	521400	比如说像我就是直接跟你讲
521400	523240	我就是要约会晚餐跟生日
523240	523680	没错
523680	524840	你不要觉得丢脸
524840	526160	不要觉得说自己主动
526160	527160	好像是自己求来的
527160	527520	对
527520	528960	好像是你以前都会这样子
528960	529120	对
529120	529720	刚开始的时候
529720	530680	我会有一点这样
530680	531160	小女生心思
531160	532480	觉得那个就不纯净了
532480	533240	就不纯粹了
533240	534640	觉得那个不是他主动
534640	535120	想要惊喜
535120	535640	对
535640	536280	就会觉得说
536280	537880	这不是男朋友真心想要做
537880	539320	一定是我拜托他才这么做
539480	540560	我跟你说
540560	542480	你真的不要觉得这样丢脸
542480	543560	人到一个年纪
