start	end	text
0	2000	嗯
5680	8480	哈囉 大家好 我是好味小姐翠翠
8480	38480	歡迎大家來到好味小姐開束厲
38480	40320	其實我們平常是很尊重女性的啦
40320	42320	大家不要誤會啦 真的啦
42320	45680	對 有時候就是比較在聊屁話啊 或者是什麼
45680	48480	就是開心而講 大家不要那麼認真
48480	49280	沒事沒事
49280	51120	所以我們看到很多很認真的回應的時候
51120	53920	會有點覺得不好 我會覺得有點不好意思
53920	55840	因為我們講的時候 啊你就 乖乖的道歉
55840	58480	不是 我說 因為我們講的時候真的就是
58480	60080	很隨便 就是在閒聊
60080	61920	啊突然有人這麼認真的聽我們講話
61920	63440	讓我有點就是 害羞
63440	66320	受寵若驚 我覺得是不是應該講認真一點
66320	68320	對對對 大家就是把它當作一個
68320	68400	對 大家就是把它當作一個
68400	70560	對 大家就是把它當作一個 休閒放鬆的節目這樣子
70560	71760	因為我們已經說好了
71760	74560	我們這個節目就是不認真講
74560	75760	做身體健康的
75760	76400	沒錯 沒錯
76400	79280	如果太認真就違反我們的初衷
79280	81360	然後我們上禮拜就最後提到說
81360	83440	同居嘛 同居嘛
83440	86720	然後這幾天我就認真的想了一下
86720	88720	然後還有收到一些大家的留言
88720	90560	就是可怕室友留言這樣
90560	93280	對對對 然後甚至我跟我們攝影師討論
93280	94560	因為我們兩個是室友嘛
94560	96080	我們住超級久
96080	98240	你們從認識到現在住了十年
98240	99520	十年有吧
99520	100800	我們就從認識到現在
100800	102480	除了當兵之外都住在一起
102480	104080	差不多九年十年
104080	105360	對 基本上 九年十年
105360	108240	然後加上我們之前提到那個阿Man
108240	109360	就是另外一個室友
109360	111200	他跟我們住的時間比較短
111200	112800	大概一兩年吧
112800	113920	大學剛開始的時候
113920	115040	對 大學一兩年
115040	116960	對 接下來他就因為在宿舍抽菸
116960	119280	被趕出去
119280	121120	他在宿舍陽台
121120	123200	陽台 對 對 對 在陽台
123200	124400	然後被別的
124400	126480	他之前在陽台會被人家看到
126480	127520	他就在我們
127520	128080	然後我們的房間
128080	128800	房間
128800	129920	然後有個窗戶有沒有
129920	130800	在窗戶上面
130800	133440	然後在那邊接了一個電風扇
133440	134880	他把我往外洗
134880	136240	抽出去這樣子
136240	137200	就還是被拍到
137200	138240	對 還是被拍到
138240	139120	這很厲害
139120	140880	我們後來想想我們三個人
140880	141920	雖然我們就好好的
141920	142640	感情很好
142640	143760	住了兩三年
143760	145200	但是我們三個人
145200	146720	任何拔一個人出去
146720	147920	別人的寢室
147920	151200	都是那個最糟糕的對象
151200	152560	因為是不是看到留言發現
152560	153440	就是在講你們三個
153440	154800	但你們三個都沒吵架
154800	155280	不是
155280	156800	就是我們看了留言之後
156800	157360	就覺得大家說
157360	158640	那些很惡劣的行為
158640	159360	覺得還好
159360	160000	對
160000	160640	還好嗎
160640	161840	日常生活
161840	164400	就是三個邋遢鬼一起過生活
164400	166000	不是互相尊重嗎
166000	167600	又來
167600	169520	像是提到最多的
169520	171920	好像我們看留言最多的是
171920	173680	吃東西的問題
173680	175840	就是會共用冰箱
175840	176720	對啊
176720	178640	然後就是很容易吃到別人的東西
178640	180880	而且你知道學生的時候很窮
180880	182320	大家吃下去有什麼問題
182320	183120	很窮
183120	185040	你的東西被吃走會生氣吧
185040	186160	你有遇過這樣的問題嗎
186160	186240	沒有 因為我吃東西會生氣吧
186240	186480	你有遇過這樣的問題嗎
186480	186560	沒有 因為我吃東西會生氣吧
186560	186800	沒有 因為我吃東西會生氣吧
186800	187120	沒有 因為我吃東西會生氣吧
187120	187200	沒有 因為我吃東西會生氣吧
187200	187520	沒有 因為我吃東西會生氣吧
187520	189120	其實沒有那麼典型
189120	190400	我們不太像是那種
190400	192000	吃到彼此的布丁那一種
192000	193520	就是我跟我的室友
193520	195760	好 我們學校其實是不能開火的
195760	197520	但我們會偷偷的開火
197520	200160	然後我們就會一起去買食材回來
200160	202960	然後因為我那時候比較早交男朋友
202960	204160	然後我就
204160	205520	有時候我們會一起煮飯
205520	208080	我就會默默的多煮一份
208080	209520	但是其實我有跟他說
209520	210400	我多煮一份
210400	212480	然後要給阿段這樣子
212480	213600	喔 男朋友是我是不是
213600	216640	對 他不然咧
216640	216960	不然咧
216960	218320	有點抽離
218320	220640	對啊 然後就是我隱隱約約
220640	223760	後來有發現他其實蠻不高興的
223760	224400	喔 就等於說
224400	225760	你拿你們兩個人買的食材
225760	226800	然後多煮一份我的
226800	228320	在旁邊養小白臉這樣
228320	229840	這個感覺
229840	231440	吃裡扒外這樣
231440	232880	拿大家的錢去養小白臉
232880	234080	也沒有大家 就我們兩個
234080	234800	就你們兩個
234800	237520	對 然後因為他後來也有男朋友
237520	238240	所以我就會
238240	239600	每次想要煮給你的時候
239600	240640	我就會問說
240640	242720	欸 那你男朋友有沒有
242720	244880	需要便當或什麼之類的
244880	246400	所以之後都一起
246400	247680	各自做給各自男朋友之後
247680	248560	就沒有再
248560	249120	類似的狀況
249120	250960	那他男朋友如果想吃蛋蛋怎麼辦
250960	253120	就要去吃蛋
253120	254320	不行 你沒有愛心便當
254320	256080	你就只能把它吃掉
256080	257120	你的室友
257120	257920	那男朋友就是你啊
257920	258640	靠北喔
258640	260080	欸
260080	261200	欸 他就突然
261200	263120	突然想起來
263120	263840	你為什麼要
263840	264640	你為什麼要
264640	265200	我突然想起來
265200	266000	我就想說誰啊
266000	267120	誰會跟我們一起吃便當
267120	268800	我這麼小心翼翼的迴避
268800	269280	你很奇怪
269280	271760	幾百年前的事情了
271760	273200	然後其實我後來想起來
273200	275040	其實關於吃東西這個事情
275040	275520	以前我有
275520	276240	嗯 以前我有
276240	278880	有一次經驗我印象很深刻
278880	279840	是對你的
279840	280320	對我的
280320	281040	對你的
281040	281680	我做什麼
281680	282480	就是有一天
282480	284560	肯定是我們一群人也有熬夜
284560	285520	然後隔天早上
285520	287920	應該是早八的課吧
287920	288400	然後起來之後
288400	289360	我就在床上
289360	290320	一天起來了
290320	291680	在等我們下床
291680	292720	然後就在我桌子前面
292720	294800	然後我桌子有一包那個蘇打餅乾
294800	295680	就把桌子打開
295680	297280	然後就一直吃一直吃一直吃
297280	298240	餓了要吃早餐
298240	298960	等來不及了
298960	300240	對我可以了解
300240	300880	就是吃早餐
300880	301680	但是我那時候
301680	302880	一開始的時候覺得
302880	303360	有點不爽
303360	304320	因為你都沒有問
304320	305040	然後就打開我的餅乾
305040	305600	然後就一直吃
305600	306160	然後我完全沒有
306240	307840	一直到你吃了
307840	309280	大概四五片之後
309280	311200	然後我突然就是看到你那個
311200	312800	就是眼神中完全沒有靈魂
312800	315200	然後就像是一個殭屍一樣
315200	316080	在吃蘇打餅
316080	317040	他沒有在吃東西
317040	317520	他在進食
317520	318560	一開始有點憤怒
318560	319680	看久了感覺同情
319680	321280	不是
321280	322480	我就已經起來了
322480	323440	我是為了等你們
323440	324720	才沒有發現買早餐的
324720	326080	吃了餅乾不為過吧
326080	326560	是這樣子
326560	327040	對啊
327040	328720	是有這樣的邏輯
328720	330080	我最大的時候就很可怕
330080	330480	就這樣
330480	331200	然後就一直拿
331200	332560	而且
332560	333760	他吃東西不是慢慢咬
333760	334400	他是
334400	335520	就是一口一個餅乾
335520	336080	一口一直吃
336080	336640	一直塞這樣
336640	337760	一個喪屍感是不是
337760	338160	對對對
338160	339280	我就
339280	340320	開始覺得
340320	340720	憤怒
340720	341440	然後同情
341440	344320	然後慢慢覺得有點恐懼
344320	345200	這是只有一次嗎
345200	346000	不是
346000	347440	我們寢室就是
347440	350320	我們寢室是共產制的
350320	350800	沒有
350800	351440	但是因為到後來
351440	352000	大家太
352000	353600	那個才共產制
353600	354320	一開始
354320	355520	其實只有我在
355520	356320	買東西回來煮
356320	357200	買零食對
357200	358000	他的零食都是被
358000	358800	我們另外兩個人吃
358800	359600	我吃掉的
359600	361520	那你好意思說
361520	363360	他的餅乾就是大家的餅乾
363360	364320	其實後來一開始
364320	365360	就是通常都是
365360	365920	這種宿舍
365920	366640	會有糾紛
366640	367280	應該都是
367280	368080	剛進去的時候
368080	368960	才會有一點點
368960	370160	就是彼此都不熟的時候
370160	370880	你就覺得
370880	371680	你在幹嘛
371680	372720	我跟你又不熟
372720	372960	對
372960	374080	就是彼此的進度
374080	374720	不太一樣
374720	375200	就我覺得
375200	375840	我有跟你很熟
375840	376560	那你覺得
376560	377200	我跟你好像沒有那麼熟
377200	377760	好像還好
377760	377920	對
377920	378400	的時候
378400	379360	對對對
379360	380480	像我那時候有買一罐
380480	381360	那個
381360	382880	很大罐的那個
382880	384640	微粒茶香麵的醬
384640	385200	回來煮麵
385200	385760	因為很窮
385760	386240	自己煮麵
386240	387520	然後用來配那個醬
387520	387840	對
387840	388480	然後後來就是
388480	389600	大家都在吃我那個醬
389600	390640	會開始有點不爽
390640	391520	我說大家都沒有在聞
391520	393040	就一直吃我的那個醬
393040	394160	但是過了大概一兩個月之後
395920	399120	就變成這個樣子
399120	399520	我想說
399520	401200	好像不用計較這個
401200	402000	你好像對食物
402000	403120	是不是特別執著啊
403120	403520	其實
403520	403760	沒有
403760	405280	那時候真的很窮
405280	405920	就是因為很窮
405920	406800	所以才會自己買來煮
406800	407520	我們來分享一下
407520	409600	我們一個月有多少零用錢
409600	410960	零用錢
410960	411440	現在
411440	412240	我們那時候
412240	413280	大學
413280	414720	你一個月有多少零用錢
414720	415840	我一個月大概
415840	417440	六千塊吧
417440	418160	好多
418160	418800	很多
418800	419200	很多
419200	420640	我一個月
420640	421200	領到
421200	422800	你六千塊有包含那個
422800	424640	就是課業的花費嗎
424640	425760	課業
425760	426720	就是買材料啊
426720	427520	買材料什麼
427520	428800	那個時候
428800	429760	通常是沒有
429760	431040	但是
431040	432400	就是你如果要另外要
432400	433440	你就要另外
433440	434320	打電話回家
434320	435360	然後就要去請款
435360	435920	然後跟他解釋說
435920	436560	這個請款要幹嘛幹嘛
436560	437600	你會乾脆不要請對不對
437600	438480	對就很煩
438480	439360	然後就乾脆不要請
439360	441360	我好像是五千欸
441360	442000	差不多
442000	444400	可是我是連材料費
444400	445600	不請款的
445600	446960	就是我後來沒有再請款啊
446960	447360	對啊
447360	448640	就是也是少少的
448640	450320	攝影師是一直都在打工嗎
450320	451520	對我是自己打工的
451520	453200	我大一的時候
453200	454160	很認真打工
454160	455600	大概一個月會有一萬塊
455600	456400	一個月一萬塊
456400	457040	你還吃我的餅乾
457040	458240	你好有錢啊
458240	459040	可能是不是人啊
459040	460640	但是沒有時間
460640	462080	好不好
462080	463680	大家都吃來吃去的嘛
463680	465040	不要這麼介意啊
465040	465840	那你一萬塊是
465840	467920	你所有的生活費跟油錢這樣
467920	468240	對啊
468240	470240	還有油錢什麼的
470240	471360	他的油錢應該蠻兇的
471360	471920	因為他要
471920	473440	洗很遠去打工
473440	475680	是不是要上下一個小時啊
475680	476000	對啊
476000	478000	去三十分鐘回來三十分鐘
478000	479360	那蠻花油錢的
479360	480320	也是辛苦
480320	481120	好啦
481120	482080	對然後
482080	483040	說吃東西
483040	484320	接下來就會有什麼
484320	485600	桌上的東西都不洗
485600	486160	之類的
486160	486880	對
486880	487680	這個
487680	490160	這個我要來自爆
490160	492480	因為我們寢室三個女生喔
492480	493760	真的是從頭到尾
493760	496800	真的都沒有為了和寢的事情吵過架
496800	498480	我們到現在還是彼此的伴娘
498480	500240	就是感情非常的好
500240	502160	然後我們入宿的第一天晚上
502160	504800	就三個人聊天聊到天亮
504800	506000	對非常厲害
506000	506960	然後從那之後
506960	508800	就沒有在三天以前睡覺過
508800	510400	所以真的都沒有吵過架喔
510400	512800	然後唯一有一次他們抱怨我是因為
512800	514240	因為我有段時間就是很偷懶
514240	515520	我就直接煮泡麵吃
515520	516080	嗯
516080	518080	然後你知道唯利雜醬麵
518080	518880	嗯
518880	520640	就是萬一忘記洗
520640	521280	會怎樣
521280	522560	然後會有很可怕的味道
522560	523200	有嗎
523200	525520	有唯利雜醬麵超快就有個味道的
525520	526800	沒洗的唯利雜醬麵
526800	528560	是我們寢室常製的味道
528560	528960	對啊
528960	529920	沒有什麼特別不一樣的
529920	530560	沒有啊
530560	531280	可是
531280	532960	好啦我的室友蠻乾淨的
532960	534720	然後我就放在桌上
534720	535680	因為我放在角落
535680	537840	然後那時候在忙其末來其終
537840	538320	嗯
538320	540000	我就一直忘記他在那裡
540000	540800	就
540800	541920	你現在要講的所有東西
541920	543840	就是一碗唯利雜醬麵沒有洗
544240	544800	就這樣
544800	545680	但是我很常這樣
545680	546240	就這樣
546240	546640	就這樣
546640	546960	就這樣
546960	547520	對啊就這樣
547520	549600	唯利雜醬麵沒有洗有什麼好說的
549600	551280	欸可是我覺得很不好意思欸
551280	552240	因為他們就說
552240	555120	你準備把東西洗一洗都要發霉了這樣
555120	556800	可是他們兩個很愛乾淨啊
556800	557920	阿段的桌上
557920	559360	永遠都會有一個便當
559360	559680	對
559680	560560	什麼什麼便當
560560	562160	永遠都會有一個外帶的便當
562160	563840	去自助餐店外帶的便當
563840	565360	然後咧
565360	567120	可怕的不是永遠都會有一個便當
567120	567840	可怕的是他
567840	571440	晚上回來還是在吃那個便當
571440	573760	那個便當是當天的嗎
573760	574160	通常
574160	574960	現在是當天的
574960	576400	通常是中午的便當
576400	577200	然後沒有吃完
577200	579840	然後又下午的課上完回來之後
579840	581280	又肚子餓我就會再繼續吃
581280	581840	聞一聞覺得
581840	582560	欸好像沒有問題
582560	582800	好像沒有問題
582800	583840	會冰起來嗎
583840	584240	沒有啊
584240	584640	都沒有冰
584640	586000	想要怎麼冰
586000	586320	好可怕
586320	587280	超扯
587280	587920	超扯
587920	590000	你怎麼沒有拉肚子拉到虛脫啊
590000	590800	就
590800	591920	我腸胃一直都不是很好
591920	593840	我也沒有去認真的思考這個原因
593840	594320	但是
594320	595680	我們家以前就是
595680	596720	阿嬤都這樣啊
596720	598000	阿嬤就是
598000	598800	就是中午的午很多
598800	599760	那個豬蚊帳那個罩起來
599760	600240	對啊對啊
600240	600640	一直放著
600640	601120	我就覺得
601120	602640	我就覺得不會很奇怪啊
602640	603680	後來大家都覺得很奇怪
604160	605200	他現在還是這樣欸
605200	606000	對他現在還是這樣
606000	608000	因為我們中午會一起訂午餐
608000	609280	然後我會幫你多加一份
609280	610000	我就會放在桌上
610000	611360	然後叫你趕快去吃飯
611360	613360	他就會放到六點才吃他的午餐
613360	615040	然後那個就一直放在桌上
615040	616960	你知道現在天氣有多熱嗎
616960	619040	我覺得是勤儉持家的這種感覺
619040	621440	他覺得只要加熱過就沒有問題
621440	621760	我覺得好可怕
621760	622240	不一定加熱
622240	623680	我覺得只要味道沒有變
624880	625920	我就跟辣椒醬一樣
625920	626720	他就覺得都不用冰
626720	628480	他說這麼辣不會長細菌吧
628480	629200	超可怕
629200	630000	超可怕
630640	632000	就是我們其實
632000	633920	那個時候會買很多麵包啊
633920	634000	或者是
634000	635920	或是什麼東西來放
635920	638480	然後或是有時候回家帶一些水果
638480	639440	回家帶來的水果
639440	641120	真的全世界最可怕的東西
641120	642240	會有人吃嗎
642240	643200	就很少會有人吃
643200	644640	水果會很容易被忘記
644640	645360	對
645360	646880	然後就每次都會放到爛掉
646880	648080	然後長一代會過癮
648080	648480	對
648480	649760	長一代會過癮
649760	650400	我跟你講
650400	652640	你會不了解我們寢室的那個配置
652640	653840	所以我們寢室原本是
653840	654880	我們三個人嘛
654880	656000	我攝影師
656000	656640	阿門
656640	657840	原本還有一個
657840	658400	那個
658400	659920	上次也有提到的那個
659920	660800	皮卡丘
660800	661760	一個室友
661760	663760	那個室友是
663760	665360	非常乾淨
665360	666640	有潔癖的程度
666640	667200	有潔癖的程度
667200	667600	看得出來
667600	668000	非常乾淨
668000	669840	然後他是完全跟我們三個
669840	670960	完全不一樣的一個人
670960	671440	他每天都
671440	673040	我覺得他一定很痛苦
673040	673840	一定
673840	674960	跟我們是不同星球的
674960	675600	跟不同星球
675600	676720	他每天都準時睡覺
676720	677920	然後準時起床
677920	678560	然後就是
678560	680080	完美把作業做完
680080	681440	完美的時間安排
681440	682000	對perfect
682000	682800	都不用熬夜
682800	683840	標準的乖寶寶的感覺
683840	684560	多打電動
684560	685600	去圖書館這種的
685600	686320	對對對
686320	687840	但是我們三個就完全不是這樣子
687840	689040	你們三個就是軟爛的
689040	689760	但是並不是說
689760	690480	沒有沒有沒有
690480	692320	我要先講一下就是
692320	693600	我們不是說我們都不作業
693600	694000	都在打
694000	694800	都在玩
694800	695360	然後導致說
695360	697040	我們必須熬夜趕作業
697040	697840	是因為
697840	700400	那個時候的作業都是作品
700400	701520	我們都是做作品
701520	703120	有時候是沒有鏡頭的
703120	703920	你要一直做
703920	705440	每一堂課你都要貼
