start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束厲
30000	60000	歡迎來到好味小姐開束厲
60000	90000	歡迎來到好味小姐開束厲
90000	120000	歡迎來到好味小姐開束厲
120000	150000	因為像我們辦公室小伙伴不是每個人都喜歡不一樣的咖啡嗎所以這個就是一個組合全部都包這樣子非常多元的體驗然後在Expresso他們現在母親節檔期就是有一個優惠是6500塊還要加證價值780塊的View Cappuccino我好喜歡這個英文單字View Cappuccino咖啡杯盤子View啊就是這個View很美的那個ViewView
150000	153500	看見Cappuccino 杯盤子
153500	155800	你好會下文案喔
155800	156500	對
156500	159500	讓你在家就可以享受悠閒的咖啡時光
159500	162800	讓辦公室的每一個人都可以當咖啡大師
162800	163200	好
163200	165100	咖啡大師真的很想要用兩次
165100	166200	沒錯我幫了兩次
166200	167400	都成為咖啡大師
167400	169100	大家都是咖啡大師
169100	172700	好啦然後他當然也有給好味小姐我們的聽眾獨家的優惠
172700	175200	就是你只要在Expresso的品牌官網上呢
175200	177300	購買異想經典限量組合
177300	178300	那在結帳頁面的時候
178300	180800	輸入好味小姐的專屬折扣優惠碼
180800	182400	叫做Lady200
182400	183400	Lady200
183400	185400	ADY200
185400	186500	給200塊
186500	187300	沒錯
187300	189900	就可以獲得價值200塊的咖啡頂用金
189900	192400	那你可以在下次購買咖啡的時候抵用
192400	193500	所以有興趣的人呢
193500	195100	就可以點資訊欄去看看喔
195100	196200	OK
196200	197200	正向
197200	198600	搭配我最近的生活
198600	199800	我覺得非常的剛好
199800	200800	最近生活很正向嗎
200800	201900	我最近生活很健康
201900	203300	至少我前天很健康
203300	204700	靠你就是騎了一個腳踏車
204700	206800	對啊就是一個小學生
206800	207800	一天會騎的量
207800	208000	對
208000	208200	小學生一天會騎的量
208200	209200	哪有
209200	210200	他們在那邊講三天
210200	211000	28公里耶
211000	212900	好像你每天都可以吃宵夜的一樣
212900	213200	對啊
213200	214200	不行嗎
214200	215200	我今天已經預算好
215200	216300	我等一下要去吃宵夜了
216300	218100	好我們先不要扯那麼多
218100	219700	就是呢今天我預設
219700	220900	預設我們會有一個
220900	222100	聳動的標題
222100	223000	真的嗎
223000	224000	已經想好了喔
224000	225400	所以我們會有一個聳動的話題
225400	226300	沒有想好
226300	227200	但是我覺得
227200	229100	怎麼樣都會是一個聳動的標題
229100	231400	所以我們就我們要先破題
231400	234200	不然會讓大家很焦慮很擔心
234200	235900	就先跟大家說其實
235900	237900	沒事
237900	240500	三個人身體都均安
240500	242900	這樣聽起來更值得懷疑
242900	244100	可能覺得一副要死的那樣子
244100	244900	但是其實沒事
244900	245400	其實沒有
245400	246200	如果我是你嗎
246200	248900	我現在聽到這句話我就超級擔心
248900	249900	真的
249900	251900	好那個簡單的說呢
251900	252900	對的
252900	254600	應該大家可以從標題看出來
254600	256500	雖然我現在不知道標題是什麼
256500	257500	就是我們上一集
257500	258500	不是是上上一集
258500	259400	對上上一集
259400	260600	這是兩個禮拜前
260600	262200	我們錄了一集身體健康檢查
262200	262700	對
262700	264200	我們就說我們那個podcast
264200	266100	基本上是有點像live
266100	267600	就是基本上直播的
267600	269100	更新非常的及時
269100	269900	哦
269900	271600	你說跟我們的生活很live
271600	272800	我們今天晚上如果說
272800	275000	我們通常都是禮拜一的凌晨上傳嘛
275000	275500	對
275500	276000	不是
276000	277300	是禮拜二的凌晨上傳
