start	end	text
0	7700	哈囉 大家好 歡迎來到好味小姐開束厲服務
7700	9100	我還你原型 我是翠翠
9100	10300	哈囉 哈囉 大家好 我是傑尼斯阿端
10300	11300	哈囉 大家好 我是傑尼斯阿端
11300	13100	我覺得我非常的敬業
13100	14200	我每次都在想
14200	15600	我今天要怎麼用不一樣的方式
15600	18000	又有朝氣的方式來跟大家打招呼呢
18000	21200	老師跟大家說丟到我們錄了兩遍
21200	23500	剛剛決定了一個很小聲的方式跟大家打招呼
23500	25000	不是 我也就覺得今天
25000	26500	誰讓媽聽得到
26500	28500	我不知道我講很小聲嘛
30000	32000	欸 不是要
32000	34000	以下是來自IKEA的特
34000	36000	對
36000	38000	我們是很沒有默契
38000	39000	Sorry Sorry 好 你來
39000	41000	以下是來自IKEA的特別報導
41000	44000	陪伴大家23年的IKEA敦北店
44000	47000	即將在4月26號正式熄燈
47000	49000	敦北店是許多人和IKEA相遇的起點
49000	52000	走過學生時期 租屋 買房
52000	54000	每個重要的人生階段都有IKEA
54000	57000	倒數期間店內特別設立了時光走廊
57000	59000	更要與大家好好說再見
59000	60000	現場參與
60000	61000	拍照 打卡活動
61000	63000	還有機會獲得精美小禮物
63000	65000	拜拜 sale 優惠三折起
65000	66000	要強要快
66000	69000	與此同時 IKEA內湖店即將在4月28日開幕
69000	72000	停車場更多 餐廳座位更多
72000	75000	跟不可錯過的內湖店限定美食
75000	78000	未來 大台北地區的IKEA內湖店
78000	81000	青莊店和位於捷運小碧潭站的新店店
81000	83000	以及官網線上購物服務
83000	86000	將一起為喜愛IKEA的朋友們提供更方便
86000	87000	更豐富的購物體驗
87000	89000	迎向家的新風貌
90000	92000	你笑屁笑
92000	93000	你笑屁笑
93000	95000	為什麼這一段長這個樣子
95000	96000	為什麼
96000	98000	因為他們要預錄嘛
98000	102000	然後他們說希望可以就是有點像是廣播的廣告
102000	104000	或者是新聞的特別報導
104000	105000	那種感覺語氣啊
105000	108000	你像是翠翠在台中的現場報導
108000	109000	對 就是這個感覺
109000	111000	人家這樣說你就說好啊
111000	112000	我覺得很有趣啊
112000	114000	我覺得可以試試看啊
114000	117000	我就跟你說我內心巧巧的一個廣播魂
