start	end	text
0	7800	哈囉 大家好 歡迎來到好味小姐開束
7800	9400	服務 我還你原型 我是翠翠
10000	12100	大家好 我是尼莎段 大家好 我是尼聖梵
12600	16000	本集節目有贊助 那本集節目呢是由
18200	21400	歐咪呀學東西線上課程贊助播出
21800	24800	知道為什麼笑嗎 因為我剛剛這句台語一直講不好
25200	28000	它是學東西的台語 歐咪呀
28000	31500	喔 就蠻可愛的 然後我想說歐咪呀不是耳咪呀嗎
31500	33500	我就一直很confused 我很怕我剛剛唸錯
33800	34500	ok anyway
35200	39200	歐咪呀學東西休閒消遣類線上課程首選平台
39200	42200	那裡面就是有蠻多不同種類的課程啦 就是休閒類的
42500	47100	有繪畫攝影或是DIY手作等等 就是輕鬆有趣的一些多元主題的課程
47500	52600	就是他是主打說 如果你是對這種課程內容零基礎的人也可以輕鬆上手
53000	55400	就是你可能不會攝影那你去也是可以學會
56000	57600	然後他課程其實蠻多種的
57600	57900	像是
58000	59200	什麼攝影因素類
59400	62800	還有國際攝影師的LINE ROOM照片後製密技
63000	64000	或是食堂課
64200	67600	教你拍出IG打卡密技美照 我覺得你可以去學一下
67800	71000	我嗎 對 因為你每次把我IG拍的照片都拍的超醜的
71400	75000	要嘛是雙下巴 要嘛就是臉看起來超胖
75300	76400	我覺得你可以去上這個
76800	77300	你不覺得
77900	80000	有時候是很真實 你不要在那邊
82100	84800	ok 好啦 其他也還有像是一些皮革手作啊
84800	86400	或是書法等等課程可以選
86900	87600	那歐咪呀
87600	90200	也有給那個好位小姐的聽眾一些優惠
90600	91800	就是好位小姐粉絲呢
91800	93600	他們有專屬課程體驗包
93600	96700	只要在5月31號之前都可以去兌換課程
97100	100300	那兌換之後就會再送給大家那個課程折價券150塊
100700	103000	所以你想要兌換課程體驗包的聽眾呢
103000	105000	就可以點資訊欄連結裡面去看看喔
105500	107000	歐咪呀 我很喜歡這種
107900	110200	有點默默的一個台語諧音梗
111000	112000	呃
112200	112800	呃
113400	114200	這是幹嘛
114900	116300	我現在覺得腰酸背痛
116300	118300	為什麼腰酸背痛 我覺得還好
118800	120300	那你覺得還好 我覺得還好啊
121300	121800	好喔
123100	124300	今天是這個
124900	126800	今天是這個禮拜一的晚上
126800	127800	喔 今天比較早入
127800	129100	對 今天特別早
129100	130500	今天大概9點多吧
130500	131200	對 對 對
131200	132800	吃完晚餐我們就來了
132800	133300	哎呀
133600	134300	難怪我現在
135200	135800	很想睡
135800	137800	很想睡 又全身痠痛
137800	138300	嗯
138300	139600	就是呢 昨天齁
139600	140100	嗯
140300	141200	昨天禮拜天嘛
141200	141800	對 對 對
141800	143500	我們昨天算是進行了一場這種
144200	145600	說走就走的旅行
145600	146500	好熱血喔
146500	147800	突然覺得好青春喔
147800	148800	欸 說走就走
148800	149600	哈哈哈
149600	150400	而且走蠻遠的
150400	151400	多說走就走
151400	154200	說走走 就是禮拜六的晚凌晨
154400	156000	對 已經算是禮拜一
156000	157600	欸 已經算是禮拜天的凌晨了
