start	end	text
0	7800	哈囉 大家好 歡迎來到好味小姐開束
7800	9500	venue 我還你原型 我是雀雀
9500	10600	大家好 我今天是阿鑽
10600	12700	大家好 我是Shen Fan
12700	15300	本集沒有贊助
15300	19000	所以我今天就不能開頭講那個廣播稿了
19000	21800	但是大家都一直在留言說很想要聽你們兩個講
21800	25400	我覺得我有點受傷
25400	28300	想要聽低音炮講那個廣告詞啊
28300	29900	喔 那講啊 講啊
29900	31400	以後多給Yoyofan講
31400	33700	好 好欸
33700	35600	那時候他就可以感受自己一個人
35600	37900	在那邊聽自己錄的廣告詞的感覺
37900	39700	你們就不能笑我
39700	41800	雖然本集呢沒有贊助
41800	44700	但是我有小小的一個私心想要宣傳一波
44700	46600	堅持 堅持 堅持
46600	48700	攔都攔不住 一定要說
48700	51000	非說不可
51000	53200	我沒有 我只是突然想到
53200	55700	好像可以跟大家分享一下
55700	57300	超多借戲詞
57300	58100	就是
58100	60400	好啦 我們有入選那個
60400	63300	那個走鐘講的好聲音的部分
63300	66400	對 我們的節目在Podcast那個欄位有入圍
66400	68100	對對對
68100	70000	投一下啦 拜託啦
70000	72200	就是我們其實在那個整個Podcast排名
72200	74100	應該算是比較靠前一點的
74100	75300	不要那麼說 還行 還行
75300	77000	本來我們應該要就是
77000	79100	怎麼說呢 神態置入
79100	80700	好不好 就說沒有啦 沒關係
80700	82100	大家開心就好
82100	83900	隨意
83900	85300	反正就是這種講
85300	87000	前面這麼多大咖
87000	87800	怎麼可能
88100	89500	不用在意這麼多
89500	90100	自然就好
90100	90700	怎麼可以這樣
90700	92100	我這個人就是
92100	96100	秉持著有努力空間就要努力一下
96100	96900	超在意
96900	98600	我就是考試金
98600	99900	我只要有努力空間的事情
99900	101600	我就想要努力一下
101600	102300	對
102300	103600	我已經盡了我的努力了
103600	105000	剩下要挺天有命
105000	105600	好不好
105600	109200	好啦 大家真的不用這麼在意
109200	109900	對 就是這樣
109900	112800	然後因為我們前幾天就是
112800	114200	第一天可以開放投票的時候
114200	115800	我就有點略興奮
115800	116100	然後IG就會有人就是限動就有發了
116100	116900	然後IG就會有人就是限動就有發了
116900	117900	然後IG就會有人就是限動就有發了
117900	118400	然後IG就會有人就是限動就有發了
118400	118900	然後IG就會有人就是限動就有發了
118900	119400	然後IG就會有人就是限動就有發了
119400	119900	然後IG就會有人就是限動就有發了
119900	120400	然後IG就會有人就是限動就有投給我們
120400	120900	然後IG就會有人就是限動就有投給我們
120900	121400	然後IG就會有人就是限動就有投給我們
121400	121900	然後就很興奮的狂轉發這樣子
121900	123900	然後第二天那個興奮有點退去了
123900	125600	然後有時候就是你會看限動
125600	126600	我也會看限動對不對
126600	129400	然後過去就有一些沒有轉發到
129400	130300	好不好 不要傷心
130300	131600	不是因為你不好
131600	134900	是我的興奮退去了
134900	136100	好啦 接下來如果還有的話
136100	137400	我就轉一下
137400	138700	謝謝大家
138700	139300	結束了是不是
139300	139600	對 對 對
139600	140600	我已經興奮完了
140600	141600	好
141600	142100	那一樣好
142100	143000	你給我這個機會
143000	144800	好
144800	146800	那我們還是更新一下現況
146800	148300	上禮拜基本上呢
148300	149700	沒有發生什麼特別的事情
149700	152500	走不了
152500	154000	本來呢一直都沒有發生什麼
154000	154200	對
154200	156000	直到昨天晚上
156000	157200	發生了一件事情
157200	159500	我覺得可以值得跟大家分享
159500	160500	昨天晚上
160500	162000	對 昨天晚上
162000	163900	有什麼是你知道我不知道的事嗎
163900	165100	喔 昨天晚上我來運動
165100	166000	喔
166000	167000	那我還真不知道
167000	167600	好 來來來
167600	168100	對 對 對
168100	169500	昨天晚上我運動
169500	171700	我這一席話裡面有一點含義
171700	172000	是你來運動的嗎
172000	172600	是你來運動的嗎
172600	173200	這樣
173200	174000	對 然後
174000	175600	我是說上禮拜沒發生什麼事情
175600	176100	對
176100	177400	我唯一一件可以分享的事情
177400	178300	就是在運動
178300	178900	嘿嘿嘿
178900	180100	運動這件事情
180100	182000	就是在昨天發生的
182000	183100	表示說我上禮拜
183100	184000	都沒有運動
184000	185400	對
185400	187700	運動變成新聞了
187700	189300	值得分享
189300	190100	還真的
190100	191900	然後我也昨天喔
191900	192300	嗯
192300	193000	運動嘛就對了
193000	193500	對
193500	194700	昨天也是我就是
194700	196000	這幾週以來
196000	197200	有記憶的
197200	199900	唯一的一天沒有吃宵夜的
199900	201000	你前面都有吃嗎
201000	201600	沒吃宵夜
201600	202800	宵夜也變成新聞了
202800	204300	也變成新聞了
204300	206400	你明明就說你要慢慢收心了
206400	207300	不一定是吃宵夜
207300	209500	有時候是就是會喝啤酒
209500	210000	然後
210000	211200	嗑一些小零嘴這樣
211200	211500	嘿
211500	212300	但是那些小零嘴就是
212300	213700	熱量爆高的一些小零嘴
213700	214300	嘿嘿
214300	215800	我們現在很糟糕你知道嗎
215800	216200	哪裡
216200	218000	就是秉軒他要生了嘛
218000	218600	對 對 對
218600	220500	他生了之後他就先提前就是
220500	221900	準備了一些那個
221900	223100	影片拍起來這樣
223100	223700	嘿 對
223700	225500	所以我們自己拍片買了一些零食
225500	225900	對
225900	227200	啊他是有拍那個
227200	227800	蜜月
227800	228500	的餅乾
228500	229500	欸又很多零食
229500	230300	又很多餅乾
230300	231000	對 對 對
231000	231200	欸
231200	233000	所以我們有超多那種高熱量的
233000	234000	喔再加上
234000	236100	我們最近拍了一個甜點主題
236100	236800	喔
236800	237700	超多巧克力蛋糕
237700	239300	對超可怕
239300	240900	整個冰箱會塞爆欸
240900	241200	對
241200	242300	所以你那種
242300	243500	想說我今天不要吃宵夜
243500	243900	對
243900	245000	那我今天喝個飲料
245000	245500	對
245500	246100	然後說喔
246100	247000	有一些
247000	247700	吃點零食
247700	248300	好 好 好
248300	250200	喔每個零食熱量都超高
250200	253300	而且充斥在房子裡的每一個角落
253300	254200	就是你想要
254200	255300	就是迴避它
255300	256500	都沒有辦法 隨手可得
256500	258300	不管在冰箱裡需要冷藏的
258300	258500	對
258500	260200	在冷凍庫裡的冰淇淋
260200	261100	然後或是散落在
261100	262100	各個櫃子上的
262100	263200	不知道誰的餅乾什麼
263200	263500	對
263500	264400	或是放在桌上
264400	265700	或是某個小夥伴的桌上
265700	266200	anyway
266200	267000	滿地都是
267000	268900	就是觸目上看過去
268900	269800	都是零食
269800	270600	欸 滿地都是
270600	271700	然後一直到前天喔
271700	272100	哈哈哈哈
272100	273300	我有一個古董
273300	273700	嗯
273700	274500	一個孤帳
274500	275600	雖然說是孤帳
275600	275800	嗯
275800	276500	但是是一個
276500	277100	嗯 怎麼說
277100	279000	親屬關係離得比較遠的一個孤帳
279000	279400	啊
279400	282300	是我叔叔的老婆的姐姐的老公
282300	282800	好 好
282800	283300	對
283300	283900	這種
283900	285100	要講似曾就對了
285100	285500	對 對 對
285500	286400	我叫孤帳
286400	287100	好 好
287100	287600	啊他
287600	288400	對 就是他
288400	289600	我們這邊是附近是田嘛
289600	290100	嗯
290100	291500	還有他的田地啊什麼的
291500	292300	他會來這邊
