start	end	text
0	7180	阿嘍 大家好 歡迎來到好味小姐開束
7180	8700	我還你原型 我是翠翠
8700	9700	大家好 我是田先生
9700	10820	大家好 我是田神凡
10820	12680	本集節目有贊助
12680	18000	本集節目呢 有寵愛之名 挖車配水能量保濕系列贊助播出
18720	22640	你覺得贊助還是有點開心
22640	25300	OK 好 前面這一段是認真的
25300	27260	這次要跟大家分享呢
27260	30060	是寵愛之名的挖車配水能量保濕系列
30060	32140	那它分別就是保濕精華水
32140	34380	保濕精華跟保濕活膚霜
34380	35260	是不是已經聽不懂了
35260	36740	嗯
36740	39500	好 那他們這次那個水能量保濕系列主打
39500	42620	就是他們有添加那個專櫃級純粉惡劣酵母
42620	46140	就可以為那個肌膚上面維持維生生
46140	46860	惡劣酵母
46860	47340	對
47340	49500	是一個很惡劣的酵母
49500	51460	是1234的2
51460	53620	劣是 欸這是劣開的劣
53620	54860	劣開兩次的酵母
54860	56540	你讓我想到很老很老哏
56540	57140	就是那個
57140	58660	董月花時期的梗
58660	59540	董月花什麼
59540	60180	蛤
60180	62300	他就是會用客家腔講話啊
62300	64820	他就說四分五裂啊
64820	65540	喔算了算了算了
65540	68580	這樣感覺好像像我很老一樣
68580	69700	不要 你不要給分
69700	70660	我覺得很丟臉
70660	72260	你知道我把它講完
72260	73260	好
73260	74500	那這個惡劣酵母呢
74500	78500	就是可以為肌膚維持維生菌蟲的那個健康
78500	80940	然後就穩定你的膚況這樣子
80940	81740	那活膚霜呢
81740	82940	他還有另外添加就是
82940	83900	菸鹼錫胺
83900	85700	喔我找那個錫想找了很久
85700	86900	他到底叫什麼名字
86900	88140	就那個字到底怎麼唸
88140	89060	他有一個有字邊
89060	90540	然後一個流水的流的右邊
90540	91260	下面有一個米
91260	92500	我一直查流我都查不到
92500	94620	我溜溜溜溜我都查不到
94620	96380	最後發現是錫
96380	97780	就是顯得我很無知
97780	100860	小時候沒讀書就是長大比較辛苦
100860	102740	OK 那這個菸鹼錫胺呢
102740	104780	就可以幫皮膚增加防護力
104780	106500	那無論是上班族懶人
106500	108340	或者是你是乾燥敏感肌的人
108340	109700	都可以輕鬆的保養
109700	111940	就是讓你走到哪裡都可以水亮亮
111940	113140	他原本寫水噹噹
113140	114620	但我總覺得我講起來很害羞
114620	115860	我就把它改成水亮亮
115860	116900	還是講水噹噹
116900	118900	不 用另外一種方式講出來
118900	120500	我覺得好像比較好一點
120500	121700	然後再來就是因為我其實
121700	123580	他們都會提早寄來給我
123580	125900	所以我自己有先試用過
125900	127100	那就只能我試用啊
127100	128660	你們兩個就
128660	131140	就沒有試用這種東西的習慣
131140	132180	好 不一定啊
132180	133860	而且你們哪分得出什麼是精華
133860	134700	什麼是霜啊
134700	135700	無從比較
135700	137540	什麼是精華什麼是霜喔
137540	140860	對啊 你分得出哪一罐是哪一罐嗎
140860	143500	是不是不行
143500	145420	對 我自己在用保養品
145420	146700	因為我其實很少化妝
146700	146860	嗯
146860	148620	所以我覺得大部分就是桌子上白
148620	149580	就只有保養品而已
149580	150060	喔 對
150060	152220	對 然後我主要自己很在意的是
152220	153540	那個味道跟質地
153540	154700	可能因為有養貓
154700	155700	就很在意味道
155700	156100	喔
156100	158420	就很怕那種擦上去超香的有沒有
158420	158780	嗯
158780	160540	就是你整天都只能聞到那個味道
160540	162020	或者是很怕很黏的
162020	162380	欸
162380	164340	對 所以我這次用了我覺得還不錯
164340	166620	他這是寵愛之名這個Water Pay的全系列
166620	168820	他是沒有添加酒精香精色素的
168820	171660	所以就是基本上我覺得沒有味道
171660	172220	喔
172220	174420	對 就是你擦完以後就跟洗完澡一樣
174420	175260	就沒有味道
175260	176660	我覺得這點還蠻不錯的
176660	178180	所以如果你是那種跟我一樣
178180	179380	味道敏感的人
179380	180460	應該會蠻開心的
180460	181900	因為有的會有一點點
181900	182420	那個叫什麼啊
182420	183900	化工味喔
183900	185180	我很怕那個
185180	187140	有的化工味的那種味道也不行
187140	188940	喔 像我們之前有時候
188940	190060	用那個什麼
190060	190340	那個叫什麼
190340	192100	擦肚子那什麼
192100	192500	肚肚霜
192500	193100	認真霜
193100	193740	好 認真霜
193740	195620	肚肚霜
195620	195900	認真霜
195900	196940	是不是好像雷夢的東西
196940	197780	對 那時候想說
197780	199260	我們要找一個什麼味道都沒有的
199260	200300	完全無添加的那種
200300	201180	對 最健康
201180	201660	對
201660	202500	對音樂比較好
202500	203020	沒錯
203020	204780	欸 就是找到那種真的很純的
204780	205100	對
205100	205980	但真的是臭的
205980	207580	真的 對
207580	208220	還是不行
208220	208940	對 還是不行
208940	210460	你就會覺得自己一直臭臭的
210460	211980	但他們就是沒有味道
211980	213340	我覺得蠻棒的
213340	215180	然後再來就是敏感肌也可以用
215180	217380	因為就是酒精香精色素都沒有
217380	218500	然後質地的話
218500	219420	我還蠻喜歡的
219420	220940	它是屬於那種超清爽
220940	222260	完全不黏
222260	223340	連精華液
223340	225100	它是有一點摸起來黏黏的東西
225100	226620	但擦上去也不黏
226620	227380	非常優秀
227380	228420	我超級怕
228420	229980	對 因為你真的很少在化妝
229980	230740	對
230740	232180	所以說導致
232180	234220	就是你對臉上的東西什麼的
234220	235020	特別敏感
235020	235980	容忍度特別低
235980	237140	對
237140	239180	我連那個刷睫毛膏我都不太行
239180	240980	我就覺得眼睫毛很重
240980	241860	明明就超少的
241860	242860	我還是覺得很重
242860	243620	對 然後不管
243620	244380	每次只要化妝
244380	246140	只要就是像我們拍片
246140	246380	對
246380	247020	可能畫一下
247020	247340	對
247340	248820	它一結束
248820	250180	就尿急
250180	250580	我就會
250580	251380	就先去化妝
251380	252060	先去卸妝
252060	253300	再尿尿
253300	254140	這種程度
254140	256460	對 我就真的很討厭臉上的東西
256460	259500	對 然後那個它的面霜是有點像那種
259500	260740	半透明質地的
260740	262060	不是白色的cream
262060	262860	它是半透明的
262860	264340	然後它是那種一抹到肌膚上
264340	265580	就會變水感的那一種
265980	267540	欸 我很喜歡這種欸
267540	267940	沒關係
267940	269140	你知道是哪一種就好
269140	269620	好 沒關係
269620	270140	大家會喜歡
270140	272620	大家知道是哪一種就好
272620	273020	對
273020	273620	它是那種
273620	275780	我覺得超級適合夏天
275780	276580	對 就是
276580	277940	然後完全不黏那種
277940	278980	你不會有負擔的那一種
278980	279740	不會覺得
279740	282220	臉上好像有什麼東西一層這樣
282220	284540	然後化妝水是那種噴霧罐的啦
284540	285780	我之前有買一罐給你用
285780	286540	你就在那邊說
286540	289100	我覺得我最近上鏡看起來臉乾乾的
289100	289780	好
289780	291540	對啊
291540	292740	然後我也給了他一罐
292740	294220	就是你現在坐上那一罐
294220	295660	就是它是噴霧罐的
295660	295940	所以就是
295940	297780	如果你是做辦公室的人
297780	298900	我覺得隨手噴一下
298900	299940	或是放在包包裡
299940	300580	也蠻適合的
300580	301180	很方便
301180	302300	對 因為它小小的嘛
302300	302700	對
302700	303620	對 就很方便
303620	305140	那罐都會被傳來傳去欸
305140	305820	對啊
305820	307700	就因為吹冷氣超容易乾
307700	308020	嗯
308020	310060	所以你就噴一下會覺得舒緩很多
310060	310660	OK
310660	311500	那這次呢
311500	314100	也有給那個好位小姐聽眾的福利
314100	315820	所以即日起到6月10號
