start	end	text
0	7000	哈囉 大家好 歡迎來到好味小姐開
7000	9000	什麼 喔 解開束縛 我還你原型
9000	10000	我是翠翠
10000	11000	大家好 我是緊急沙盾
11000	12000	大家好 我是林聖范
12000	14000	我竟然忘記我們自己的頻道名字
14000	15000	救維了
15000	16000	救維了
16000	18000	回到初衷了 回到初衷了
18000	19000	Come on
20000	22000	好啦 好 已經看完場了
22000	25000	好 本集呢 沒有贊助 但是有友情相挺
25000	27000	就是我們最近那個
27000	29000	之前合作過的黃書兄弟 葦葦
29000	30000	跟哲哲
30000	32000	他們發了新的單曲
32000	35000	是他們第七首的個人單曲
35000	36000	然後也是葦葦自己
36000	38000	他全創作音樂作品耶
38000	40000	詞曲都是他自己寫 超厲害的
40000	44000	然後是他們四周年打造的紀念歌曲
44000	48000	叫做世界在大 你擁有我
48000	50000	對 他就是寫給他的家人
50000	53000	他愛的人 他的粉絲們的一首歌的感覺
53000	54000	好應景喔
54000	56000	對 好適合現在這樣
56000	58000	你還真的
58000	59000	你擁有我
59000	61000	對 然後他們這個
61000	63000	我覺得MV也還蠻有意思的
63000	64000	就是他們MV是
64000	67000	就是葦葦跟樂團會在房間裡面
67000	69000	開就是演唱的感覺
69000	71000	就是跟一群樂團這樣
71000	72000	然後就是
72000	73000	在房間裡面
73000	74000	對 在房間裡面
74000	75000	對 然後就是會
75000	77000	然後中間會穿插一些生活的情境
77000	78000	然後哲哲有一些
78000	80000	就是我覺得演技的揮發
80000	81000	我覺得蠻厲害的
81000	83000	演技的發揮
83000	85000	演技的揮發
86000	88000	哎呀 你不要把我形象塑造
88000	90000	很笨一樣
90000	91000	Anyway
91000	92000	就是結合他們那個
92000	94000	黃室兄弟四周年的主題是
94000	96000	房間裡的搖滾區的印象
96000	98000	然後希望就是帶觀眾一起回顧
98000	99000	一路上他們這四年來
99000	102000	家人情人朋友之間的成長
102000	103000	然後還有一些變化
103000	104000	真的耶
104000	105000	今年的搖滾區都在房間裡
107000	110000	就是跟粉絲們表達一個感謝之意這樣子
110000	112000	所以在此特地有請贊助
112000	113000	跟大家推薦一下
113000	115000	可以去YouTube上面搜尋一下
115000	117000	世界在大你擁有我的單曲喔
117000	118000	好 今天的時間是
118000	120000	5月18號
120000	121000	禮拜二
121000	123000	早上3點47分
123000	124000	禮拜二
124000	125000	沒錯
125000	126000	平常這個時候啊
126000	127000	早上人家會以為是凌晨
127000	129000	現在是下午啦
129000	131000	下午3點47分
131000	132000	下午3點47分
132000	133000	沒錯
133000	134000	平常這個時候
134000	135000	照理說
135000	137000	應該已經上片半天
137000	138000	沒錯
138000	139000	已經上架半天了
139000	140000	已經有一半的人聽過了
140000	141000	沒錯
141000	142000	所以我們現在才開始錄
142000	143000	為什麼呢
143000	145000	因為昨天發生太多事情了
145000	147000	有堪稱悲劇嗎
147000	148000	堪稱悲劇嗎
148000	149000	好 昨天就是
149000	150000	我們就決定說
150000	151000	我們那個辦公室
151000	153000	要變成遠距上班了嘛
153000	154000	對
154000	155000	早上都在忙遠距上班的事情
155000	156000	要在家裡工作
156000	157000	對
157000	159000	然後最後終於弄完了之後呢
159000	161000	晚上再吃飯
161000	162000	煮飯
162000	163000	煮到一半
163000	165000	又停電
165000	167000	在我剛煮完飯
167000	169000	熱得要死的時候停電
169000	170000	煮完那一剎那
170000	171000	等待我冷氣開下去的時候
171000	172000	沒錯
172000	173000	就停電了
173000	174000	我切那個
174000	175000	我在切什麼東西啊
175000	176000	你在切那個沙沙醬啊
176000	177000	我在做一個
177000	178000	沙沙醬
178000	179000	我在那邊剁那個洋蔥
179000	180000	個番茄
180000	181000	剁到一半
181000	182000	手起刀落的時候
182000	183000	突然全黑
183000	184000	突然全黑
184000	185000	反正我那時候就
185000	186000	就嚇一跳
186000	187000	我本來已經要那個
187000	188000	要開始側幹藍膠
188000	189000	你知道嗎
189000	190000	我開始看誰
190000	191000	這個時候
191000	192000	沒事吧
192000	193000	電燈關掉幹什麼東西
193000	194000	危險耶
194000	195000	突然想到
195000	196000	不對喔
196000	197000	誰會沒事去關電燈
197000	198000	而且超黑
198000	199000	因為是連路燈都停
199000	200000	那時候我是想說
200000	201000	已經停過一次電了
201000	202000	不可能再停一次電吧
202000	203000	沒錯
203000	204000	我想說是不是
204000	205000	我們家先跳電
205000	206000	然後就直接往外走
206000	207000	發現外面
207000	208000	整排路燈都是沒有亮的
208000	209000	都是黑的
209000	210000	是喔
210000	211000	外面路燈是沒有亮的
211000	212000	對啊超黑的耶
212000	213000	但是我們這邊看得到
213000	214000	我們
214000	215000	就是我們這裡
215000	216000	我們的路旁邊有一個排水溝
216000	217000	對
217000	218000	排水溝在過去就是那個捷運
218000	219000	捷運站
219000	220000	而且捷運還是在跑
220000	221000	捷運亮晶晶啊
221000	223000	我們就以那個排水溝為分界
223000	224000	那邊燈光輝煌
224000	225000	然後這邊就一片漆黑
225000	226000	一片漆黑
226000	227000	反正我們這一片漆黑就對了
227000	228000	對
228000	229000	然後晚上就在等電來啊幹嘛
229000	230000	然後很熱什麼的
230000	231000	然後雷夢也很熱啊
231000	232000	一直一直扭扭扭
232000	233000	好
233000	234000	總而言之
234000	235000	就因為這一連串原因
235000	237000	所以我們昨天就沒有錄
237000	238000	然後就拖拖拖拖到現在
238000	239000	嗯
239000	240000	現在要錄了
241000	242000	好喔
242000	243000	這不是拖延症的問題
243000	244000	有夠任性
244000	245000	這不是拖延症的問題
245000	246000	然後我覺得喔
246000	247000	這個禮拜
247000	248000	因為從上個禮拜到這個禮拜
248000	249000	喔
249000	250000	風雲變色
250000	251000	對風雲變色
251000	252000	所以我想喔
252000	253000	可能這個禮拜啊
253000	254000	不管在新聞上啊
254000	255000	或是
255000	257000	可能聽Podcast
257000	258000	或是網路上的影片什麼的
258000	259000	滑臉書之類的
259000	260000	對對對
260000	261000	可能全部都是疫情啊
261000	262000	對
262000	263000	各種各種圖
263000	264000	疫苗啊
264000	265000	怎麼樣啊
265000	266000	集體啊什麼的
266000	267000	對對對
267000	268000	各種訊息
268000	269000	我覺得喔
269000	270000	大家接收這種訊息喔
270000	271000	一天大概12個小時
271000	272000	就差不多了
272000	273000	12個小時
273000	274000	就已經太多了
274000	275000	太多了
275000	276000	對總而言之太多了
276000	277000	過幾天快被疲勞轟炸了
277000	278000	沒錯
278000	279000	所以我們今天
279000	280000	我們就
280000	281000	到此為止
281000	282000	不聊
282000	283000	絕口不提疫情相關的事情
283000	284000	沒錯
284000	285000	絕口不提
285000	286000	絕口不提
286000	287000	我們聊一些比疫情更可怕的
287000	288000	比疫情更可怕
288000	289000	更可怕
289000	290000	迫在眉睫
290000	291000	可怕太多了
291000	292000	可怕太多了
292000	293000	嗯
293000	294000	我剛剛說我們那個停電嘛
294000	295000	對不對
295000	296000	然後呢
296000	297000	欸
297000	298000	就大概停
298000	299000	停電大概停到了晚上
299000	300000	9點左右吧
300000	301000	所以我們吃完飯
301000	302000	店就差不多來了
302000	303000	差不多一個小時啦
303000	304000	對店就來了
304000	305000	嗯
305000	306000	然後呢
306000	307000	就是
307000	308000	因為突然變得一片漆黑
308000	309000	你知道嗎
309000	310000	我覺得我們家裡的
310000	311000	所有一些動物昆蟲
311000	313000	都以為我們睡覺了嗎
313000	314000	欸
314000	315000	有可能是這種狀況
315000	317000	就是他們的作息混亂
317000	318000	不知所措
318000	320000	覺得好像是時間可以出來了
320000	322000	就出現在不應該出現的地方
322000	324000	所以我後來電來了
324000	325000	然後我要
325000	327000	去就是辦公室
327000	328000	嗯
328000	329000	然後我們
329000	330000	從我們住的地方
330000	332000	到辦公室中間有經過一個小區域
332000	334000	有點像是一個洗衣間一樣的地方
334000	335000	喔對對對
335000	336000	我們會在那裡晾衣服
336000	337000	對
337000	338000	然後我就開門出去
338000	339000	開門出去的時候就發現
339000	340000	欸
340000	341000	有一隻
341000	342000	拉牙
342000	343000	超大隻的拉牙
343000	344000	你知道拉牙嗎
344000	345000	我知道啊
345000	347000	就是拉牙很常會出現在小時候的浴室裡
347000	348000	欸會不會有人不知道
348000	349000	會不會不知道什麼是拉牙
349000	350000	拉牙
350000	351000	拉牙就是一種
351000	352000	拉牙有中文嗎
352000	353000	對阿有中文嗎
353000	354000	狼豬
354000	355000	狼豬是藏毛的
355000	356000	狼豬是藏毛的
356000	357000	狼豬太可怕了吧
357000	358000	狼豬可可怕
358000	359000	欸我從頭到尾
359000	360000	就從小到大沒有聽過
360000	361000	都叫拉牙
361000	362000	拉牙以外的名字欸
362000	363000	我如果想要Google拉牙
363000	364000	我要打什麼
364000	365000	拉
365000	366000	拉牙
366000	367000	拉牙嗎
367000	368000	對阿
368000	369000	拉牙
369000	370000	喔有欸有欸有欸
370000	371000	高額白蜘蛛
371000	372000	喔高額白蜘蛛
372000	373000	喔喔圖片好可怕
373000	374000	喔喔
374000	376000	搜尋高額白蜘蛛的人
376000	378000	還搜尋了巨型獵人蜘蛛
378000	379000	有
379000	380000	狼豬科
380000	381000	磅落心腹
381000	382000	磅落心腹看起來好可怕喔
382000	383000	磅落心腹看起來好可怕喔
383000	384000	欸可是狼那個狼豬科的圖片
384000	385000	有點可愛欸
385000	386000	喔不行喔
386000	387000	這雞皮疙瘩
387000	388000	好
388000	389000	好跟大家科普一下
389000	390000	拉牙
390000	392000	俗稱拉牙又叫高額
392000	393000	欸
393000	394000	白額高
394000	395000	又叫白額高角豬
395000	399000	又稱狩獵高角豬或白額巨蟹豬
399000	400000	廣東人稱之為
400000	401000	這啥
401000	402000	琴牢
402000	403000	兩個念不出來的字
403000	405000	閩南語俗稱為
405000	406000	牢屋
406000	407000	牢屋
407000	408000	什麼是牢屋
408000	409000	拉牙
409000	410000	一點都不像
410000	411000	對
411000	412000	然後呢
412000	413000	長期習於
413000	414000	室內
414000	415000	外牆壁
415000	416000	喔把他點開之後覺得
416000	417000	更毛骨悚然
417000	418000	你為什麼要點開
418000	419000	自己害怕的東西啊
419000	421000	喔要看他的習性啊
421000	422000	喔他是夜行性動物
422000	424000	捕捉蟑螂或飛行的昆蟲
424000	425000	喔唷
425000	426000	這樣很棒啊
426000	427000	所以他真的是異蟲欸
427000	428000	不是騙人的
428000	429000	他可以把蚊子
429000	430000	跟那個Pinna吃掉欸
430000	431000	繁殖季節時
431000	432000	母豬會將卵以絲包裹住
432000	434000	再掛在腹上脫形
434000	435000	隨時照看
435000	436000	喔唷
436000	437000	昨天那一隻
437000	438000	他就是一個爆蛋的
438000	439000	對所以是爆蛋的
439000	440000	沒有吧
440000	441000	他不是爆蛋吧
441000	442000	他是爆蛋嗎
442000	443000	他是爆蛋的
443000	444000	因為他燒澡之前
444000	446000	就已經出現在那個茶水間
446000	447000	對
447000	448000	然後他把老婆嚇話之外
448000	449000	但是
449000	450000	但是他那個時候
450000	451000	他那個是在胸口欸
451000	452000	他有抱一坨白色的
452000	453000	白色的
453000	454000	絲狀的東西
454000	455000	因為我看他旁邊
455000	456000	有一些小蜘蛛
456000	457000	喔有蜘蛛來嗎
457000	458000	好像是他的小孩
458000	459000	蠻可愛的
459000	460000	我每次看到拉牙的時候
460000	461000	他都已經跟巴掌一樣大
461000	463000	我沒看過拉牙小時候欸
463000	464000	喔
464000	465000	好
465000	466000	我繼續刷
466000	467000	白和高角度
467000	468000	是毒性相當弱的蜘蛛
468000	469000	人被咬之後
469000	470000	只會疼痛
470000	471000	無生命危險
471000	472000	OK
472000	473000	而且白和高角度
473000	474000	深信膽小
474000	475000	看到人類接近
475000	476000	會主動逃跑
476000	477000	我覺得他
477000	478000	他沒有
478000	479000	他沒有
479000	480000	那是一隻勇敢的
480000	481000	不是不是
481000	482000	我覺得他認住了
482000	483000	沒有我覺得就不是
483000	484000	他在這邊寫錯了
484000	485000	他寫錯了
485000	486000	白和高角度是不會主動逃跑的
486000	487000	我基本上寫錯了
487000	488000	他寫錯了
488000	489000	主要捕食
489000	490000	蟑螂 蒼蠅 蚵等
490000	491000	昆蟲 維生馬
491000	492000	可以消滅家中害蟲
492000	493000	吃蟑螂欸
493000	494000	食量不大
494000	495000	捕捉體型較大的美洲蟑螂後
495000	497000	可稱一週不必進食
497000	499000	他到底是易還是不易啊
499000	500000	有點小廢欸
500000	501000	一個禮拜才吃一隻欸
501000	504000	那你可以養食吃啊
504000	505000	還有人發現說
505000	508000	白和高角度也會捕食老鼠
508000	509000	會吐
509000	510000	太噁心了吧
510000	511000	那個size
511000	513000	會吐屍但是不會結網
513000	516000	沒有定點居住的習性
516000	517000	所以當蟑螂等家庭害蟲
517000	518000	都被吃光時
