start	end	text
0	11000	嗨 大家好 我是翠翠 歡迎來到好味小姐開束 wszystk我要還你原型 沒有要 對不起
11000	15000	沒有要 我還以為你終於念對了
15000	17000	我剛剛本來有一點小得意的
17000	19000	那你再念一次好了
19000	23000	好味小姐開束 wszystk 我還你原型 好 可以可以
23000	25000	喔 念完了
25000	28000	我發現你們前面都忘記自我介紹了
28000	29000	那自我介紹就被你打斷了
29000	31000	沒有錯 就是為什麼我會沒有自我介紹
31000	35000	而且然後人家在開頭之前就先自我介紹
35000	36000	不是都這樣嗎
36000	39000	不是啊 你應該先說節目名稱 然後之後再自我介紹
39000	41000	這樣我們才能接著自我介紹啊
41000	43000	沒關係啊 我們都會配角
43000	45000	好啦 大家好 我是剪輯師阿端
45000	47000	大家好 我是攝影師冷飯
47000	54000	就是今天是禮拜一的凌晨12點01分
54000	56000	為什麼你每次都要報時間啊
56000	58000	沒有 我只想確認說今天到底是禮拜幾
58000	60000	欸不對 我說錯了
60000	62000	今天是禮拜二了 是禮拜二的12點01分
62000	63000	對
63000	65000	我們其實原本的計畫應該是禮拜天要錄的
65000	66000	對
66000	67000	但是禮拜天就是在
67000	68000	打電動
70000	71000	所以拖到今天
71000	72000	其實今天有點累
72000	74000	但是我們剛剛就想說啊不然
74000	76000	反正我們現在都大概維持在pockets的第七名嘛
76000	77000	嗯
77000	79000	所以我們想說啊如果今天打開來看還是第七名
79000	81000	我們就不錄 明明早上再錄
81000	83000	結果剛剛打開來看變第九名
83000	84000	好嚴苛喔 這個世界太嚴苛了
84000	86000	太殘酷了 所以我們趕快來錄一下
86000	87000	嗯
87000	89000	剛剛不是說到禮拜天要打電動
89000	91000	我們禮拜天是
91000	94000	欸 就是我跟翠翠兩個人突然
94000	95000	想到
95000	98000	然後我們就去玩那個中國式家長
98000	100000	可能有一些人知道這個遊戲
100000	101000	對
101000	102000	剛出來的時候蠻紅的
102000	104000	有一陣子蠻常在直播的
104000	106000	對對 就是已經過很久了啦
106000	107000	而且其實現在也沒什麼人在玩
107000	109000	啊我突然想起來是因為
109000	111000	最近突然有一個新聞就是
111000	113000	中國禁了中國式家長
113000	115000	你不覺得很奇怪嗎
115000	116000	你知道嗎
116000	118000	中國式家長本身就蠻
118000	119000	就是有點
119000	120000	嘲諷
120000	121000	嘲諷以為
121000	123000	所以你覺得他現在才被禁已經很了不起了
123000	124000	對
124000	125000	反正他就禁了中國式家長
125000	127000	他裡面的選項都很好笑欸
127000	128000	他有點
128000	129000	因為在酸中國人的感覺
129000	131000	所以現在就變成只有
131000	132000	呃
132000	134000	台灣跟海外地區
134000	135000	可以玩中國式家長
135000	136000	嗯
136000	137000	有點微妙
137000	138000	反正我們就玩
138000	139000	又去重玩中國式家長
139000	140000	我跟翠翠一起
140000	141000	然後這個已經是
141000	143000	是一個練習養小孩的感覺
143000	144000	對對對
144000	145000	有點這個感覺
145000	146000	我們回復到背景
146000	147000	我們已經
147000	149000	這差一輪就是一個小孩的
149000	150000	一代
150000	151000	就是從你出生
151000	152000	對從你出生
152000	153000	然後去考高考
153000	154000	然後結婚
154000	155000	嗯
155000	156000	這樣一代
156000	157000	然後我們已經玩到
157000	158000	第五個小孩了
158000	159000	對第五代了
159000	160000	第五代
160000	161000	所以第一個玩的也是
161000	162000	曾曾祖父
162000	163000	曾曾曾曾祖父
163000	164000	這最累的
164000	165000	然後你們一代就是你
165000	166000	一開始玩的時候就很爛嘛
166000	167000	啊你們一代
167000	168000	就是你會有一些加成
168000	169000	就是他有一些屬性啊
169000	170000	想像力啊
170000	171000	是來自於家族的這樣
171000	172000	遺傳的感覺
172000	173000	想像力啊
173000	174000	智商啊
174000	175000	然後一些什麼情商啊
175000	176000	等等的
176000	177000	啊會慢慢的
177000	178000	就是一代一代累積
178000	179000	然後你一開始的
179000	180000	資質越來越好
180000	181000	基因會越來越好
181000	182000	對對對
182000	183000	這個感覺
183000	184000	然後我們這一代喔
184000	185000	真的是
185000	186000	這我玩第
186000	187000	這是第六代嘛
187000	188000	對
188000	189000	從五代以來
189000	190000	玩完最後最痛苦的一代
190000	191000	教育這麼失敗
191000	192000	這一代是一個女兒
192000	193000	沒有
193000	194000	怎麼說教育失敗
194000	195000	我現在
195000	196000	上一代
196000	197000	我們玩了第五代的時候
197000	198000	最後那個
198000	199000	最後高考也沒有考好
199000	200000	六百多分
200000	201000	我覺得算不錯了
201000	202000	算不錯了
202000	203000	然後最後就是
203000	204000	變成一個獨立音樂人
204000	205000	因為我們就想說
205000	206000	最後變獨立音樂人
206000	207000	對
207000	208000	普通啦
208000	209000	因為我們前幾代
209000	210000	都是這樣很認真讀書
210000	211000	很可憐
211000	212000	然後就是
212000	213000	心理陰影的面積超大這樣
213000	214000	就是小孩之後
214000	215000	都會一些負面的
215000	216000	一些性格
216000	217000	又懦弱啊
217000	218000	又懦弱啊
218000	219000	或是卑鄙啊
219000	220000	什麼之類的
220000	221000	然後保理形象啊
221000	222000	就教得很糟糕就對了
222000	223000	對
223000	224000	然後我們這一代
224000	225000	都有一個硬硬面就對了
225000	226000	對
226000	227000	所以我們第五代
227000	228000	那個小孩又是女生
228000	229000	好不容易生上一個女生
229000	230000	然後我們就想
230000	231000	喔不要再讓她
231000	232000	那麼辛苦讀書了
232000	233000	就讓她一路學音樂上來
233000	234000	唱歌跳舞
234000	235000	對
235000	236000	然後就是
236000	237000	從陶冶身心的角度去
237000	238000	對
238000	239000	教一些男朋友
239000	240000	去多跟一些男生交往
240000	241000	這樣
241000	242000	然後最後就
242000	243000	好好當一個音樂人
243000	245000	然後就順利嫁人
245000	246000	她的性格就是什麼
246000	247000	自信
247000	248000	激情
248000	249000	魅力四射
249000	250000	這種
250000	251000	對
251000	252000	就是還蠻開心的
252000	253000	感覺這一輩子
253000	254000	然後生一個小孩
254000	255000	所以我們對她很有期望
255000	256000	對
256000	257000	想說在這種良好的教育
257000	258000	父母上方的關係這麼棒
258000	259000	然後心理很健康的狀態
259000	260000	一定可以交出一個
260000	261000	很好的小孩吧
261000	263000	然後我們就想讓她成為
263000	264000	國際
264000	265000	巨星
265000	266000	對對對
266000	267000	我們原本是想讓她
267000	268000	變成藝人
268000	269000	變成國際巨星
269000	270000	但是因為她媽是
270000	271000	獨立音樂人對不對
271000	273000	所以她媽對她這方面
273000	274000	就是音樂這方面
274000	275000	有一點期許
275000	276000	她就會跳任務出來
276000	278000	就是她媽會希望你
278000	279000	學會唱歌啊
279000	280000	或什麼的
280000	282000	那你如果達成
282000	283000	對
283000	284000	達成就會有一些獎勵
284000	285000	所以我們原本想讓她
285000	286000	當藝人
286000	287000	但後來又就是
287000	288000	因為媽媽的期望
288000	289000	對
289000	290000	所以我們就決定
290000	291000	朝歌后之路邁進
291000	293000	然後就拼命的去學
293000	295000	當一個歌后相關的技能
295000	296000	學得很認真很努力
296000	297000	對
297000	298000	但是跟她媽媽一樣
298000	299000	我們也沒有很認真讀書
299000	300000	但是因為
300000	302000	從累積五代的那個天賦
302000	304000	所以我們從小到大的考試
304000	305000	都考一百分
305000	307000	就她每個月的智商加急
307000	309000	就比人家多一點
309000	310000	對對對
310000	311000	天資聰穎
311000	312000	對
312000	313000	但是到高中之後
313000	314000	明顯的開始追不上
315000	316000	天分用完了
316000	317000	這樣
317000	318000	但是我們想說
318000	319000	沒關係嘛
319000	320000	她就是要成為一個歌后
320000	321000	對
321000	322000	不管
322000	323000	然後就是跟一個男生
323000	324000	密切的往來
324000	325000	對
325000	326000	藝術掛的
326000	327000	學藝術的
327000	328000	那就參加她的歌展啊什麼
328000	329000	然後跟她的那個
329000	330000	好感度一百分
330000	331000	對
331000	332000	耗費了我們很多行動點數
332000	333000	去跟她交往
334000	335000	好感度百分之百
335000	336000	一百分這樣子
336000	338000	然後最後終於去考高考
338000	339000	結果考得很爛
339000	340000	對
340000	341000	考得比她媽還爛
341000	342000	小時寥寥
342000	343000	然後上高中的時候
343000	344000	只顧著談戀愛
344000	345000	對對對
345000	346000	結果高考沒有考好
346000	347000	太慘了
347000	348000	也沒有差很多啦
348000	349000	差她媽差一點點
349000	350000	差五十幾分耶
350000	351000	真的假的 差不多
351000	352000	對啊
352000	353000	結果考得很爛
353000	354000	訓練之後也不錯
354000	355000	最後變成像是那種
355000	356000	音樂節目的導師
356000	357000	就是她的職業選擇
357000	358000	嗯
358000	359000	覺得也還行啊
359000	360000	也還行啊
360000	361000	沒有真的變天后
361000	362000	但是變成是一個教育的角色
362000	363000	對對對
363000	364000	還可以
364000	365000	收入方面也不錯
365000	366000	還算幸福
366000	367000	但是
367000	368000	但是
368000	369000	我們不是說我們就是
369000	370000	花很多時間
370000	371000	跟一個藝術掛男生交往
371000	372000	對
372000	373000	後來就是她事業有成之後
373000	374000	她就跟他說
374000	375000	覺得個性不合
375000	376000	對
376000	377000	就把她甩掉了
377000	378000	對
378000	379000	經過一連串的交往
379000	380000	什麼之後
380000	381000	最後竟然沒有結婚
381000	382000	那哪個把她甩掉了
382000	383000	那最後是跟誰結婚
383000	384000	最後就只能去相親
384000	385000	跟一個路人結婚
385000	386000	然後跟一個路人結婚
386000	387000	太慘了
387000	388000	他媽我就想把他男人砍死
388000	389000	你知道嗎
389000	390000	他說真的女兒被甩的時候
390000	391000	會生氣
391000	392000	真的耶
392000	393000	我真的沒有辦法
393000	394000	你沒辦法理解那個感受
394000	395000	就是你剛好沒考好
395000	396000	算了
396000	397000	你怎麼樣就算了
397000	398000	但是
398000	399000	就是你女兒被一個
399000	400000	另外一個臭
400000	401000	王八蛋背叛的時候
401000	402000	你真的會想把她砍死
402000	403000	超氣
403000	404000	所以以後如果雷夢
404000	405000	從小一個小
405000	406000	那個
406000	407000	親妹祖媽
407000	408000	然後帶回家裡玩
408000	409000	然後兩個
409000	410000	順理成章走在一起
410000	411000	然後最後
411000	412000	劈腿
412000	414000	就是表達這種事發生
414000	415000	還可怕
415000	416000	我昨天晚上
416000	417000	我們玩完的時候
417000	418000	因為我們一直很努力的
418000	419000	栽培她
419000	420000	所以我們玩到凌晨
420000	421000	我們玩的時候已經三四點
421000	422000	太誇張了
422000	423000	然後還因為他女兒被甩
423000	424000	然後睡不著
424000	425000	對
425000	426000	然後我們去煮宵夜
426000	427000	然後編組我就
427000	428000	媽那小王八蛋
428000	429000	用你的切菜
429000	431000	欸這很機車耶
431000	432000	好
432000	433000	就是因為昨天玩這個遊戲
433000	435000	這前言好長
435000	436000	前言好長
436000	437000	這遊戲真的有趣
437000	438000	對
438000	439000	畫面很爛
439000	440000	普通吧
440000	441000	我看畫面普通啊
441000	442000	反正就是惡搞啦
442000	443000	反正就很有趣
443000	444000	可以玩好幾代對不對
444000	445000	就因為這樣
445000	446000	所以我們昨天就開始聊到說
446000	447000	就是小時候
447000	449000	我們的爸媽是怎麼對我們的
449000	450000	對對對
450000	451000	聊到最後
451000	452000	本來是想要聊一些
452000	453000	教育方面的事情
453000	454000	到最後就單純的在聊
454000	455000	小時候是怎麼被揍的
457000	459000	所以你小時候有被
459000	460000	你爸媽會打人嗎
460000	461000	揍爆啊
461000	462000	揍爆嗎
462000	463000	揍爆揍
463000	464000	你是男生對不對
464000	465000	對啊
465000	466000	我是男生
466000	467000	我覺得男生小時候
467000	468000	都被揍爆嗎
468000	469000	都是被揍大的
469000	470000	我媽不揍小孩
470000	471000	我哥也不會被揍
471000	472000	欸
472000	473000	我哥也不會被揍小孩
