start	end	text
0	7500	哈囉 大家好 歡迎來到好味小姐開束
7500	9500	厲 我還你原型 我是翠翠
9500	10700	大家好 我是經紀師阿段
10700	11900	大家好 我是攝影師很煩
11900	14800	都是大家啦 一直在那邊說翠翠開屏
14800	19600	我上次就講 歡迎來到好味小姐開屏
19600	22800	我現在本來就想那個 剛剛很怕講錯
22800	24400	喔 今天沒有 葉佩
24400	26700	也沒有贊助 不然你怎麼有辦法可以晚一點多
26700	28200	欸 你沒有錯
28200	29900	今天是六月一號人
29900	33200	今天沒有跟任何人約好
33200	36800	有沒有跟觀眾約好禮拜要更新
36800	39500	但有人昨天就是沒辦法動彈
39500	41400	對 反正就是
41400	43400	因為六月這一段時間
43400	45200	這個因為疫情的關係
45200	48200	有時候原本一些敲好的這個葉佩阿等等的
48200	49600	喔 就是會 大家會想要延期
49600	50600	討論延期 對
50600	52200	往後延什麼的 對對對
52200	54100	欸 所以最近就是
54100	56800	不用更新的那麼穩
56800	58100	我覺得我們行程也有
58100	60600	一點點就是會需要調整這樣
60600	62300	對 沒有跟誰有約好
62300	63200	對 有關係
63200	66700	會辜負的就是觀眾而已
66700	67600	大家很擔心欸
67600	70000	很多人以為我們家是不是淹水
70000	72500	我們家是淹水喔
72500	74500	但是主要不是這個問題
74500	77200	喔 昨天喔 昨天真的是
77200	78900	真的是很意外
78900	80600	我們今天其實要講的就是
80600	82200	昨天到底發生了什麼事情
82200	83500	欸 昨天這樣仔細想想
83500	87100	我們整整12個小時都不停的有事件在發生
87100	88100	整個累死 對
88100	88900	非常累
88900	89600	我們忙到幾點
89600	90800	忙到凌晨2點
90800	92000	對 我們一個倒序法
92000	92300	對
92300	94600	總而言之呢 昨天最突然的事件
94600	95100	對
95100	98300	就是我們下午大概4 5點天快黑的時候啊
98300	98900	對對對
98900	100200	其實我們本來要去拍一片
100200	100900	你突然說
100900	102800	陳川你看 給我人到外面來
102800	103600	然後我就很興奮
103600	104600	我說怎麼了
104600	105600	喂 我要帶我出去玩
105600	106400	欸 這個也要說明
106400	107800	最老實
107800	110300	我想說他是不是想要去找我來野個餐什麼的啊
110300	111100	喔 這也要說明
111100	112100	就是說
112100	115300	欸 我爸媽他們有一個就是小農莊嘛
115300	116700	之前家裡留下來的田
116700	117200	對
117200	118100	蓋了一個小房子這樣
118100	120200	然後現在就是在那邊種田啊什麼之類的
120200	121300	他們已經半退休了
121300	121700	對對對
121700	122500	這是退休生意
122500	123300	我媽自己已經退休了
123300	124200	我爸半退休
124200	124600	對
124600	125800	這樣 然後周圍都是荒地嘛
125800	126400	嗯
126400	127700	欸 沒有 周圍是田啦
127700	129100	啊剛好隔壁是一塊荒地
129100	130100	荒地 對
130100	131900	荒地 那上面就是長草
131900	132400	打草的蟲
132400	133200	是蠻高的欸
133200	135800	你踩進去你的膝蓋一下就不見了
135800	136500	吉妖吧
136500	137400	就荒地就對了
137400	137900	嗯
137900	138800	大概一兩個月之前
138800	139200	嗯
139200	140600	就是有一窩狗
140600	143400	喔 媽說好像疑似有聽到小奶狗的聲音
143400	143800	對對對
143800	145400	就生在生在裡面有一窩狗就對了
145400	146000	對對對
146000	147500	他那隻母狗其實我們大家
147500	148100	我們都認識了
148100	149000	我們家都認識
149000	151000	我們關注他一兩年了吧
151000	151800	不是啊
151800	154300	從我們到這邊開始有在住在這裡就
154300	154700	就注意到了
154700	155700	喔 他就在那裡了齁
155700	156300	大概已經
156300	157600	大概已經四年了吧我覺得
157600	158700	嗯 四五年了
158700	159800	欸 然後他
159800	161700	那隻母狗就是很怕人
161700	162000	對
162000	163000	所以就抓不到
163000	164400	沒有辦法把牠抓去結紮
164400	165500	基本上你看到牠
165500	166900	牠看到你的時候牠就跑了
166900	167300	對
167300	167700	對
167700	168600	超遠
168600	170900	牠就一年生一台這樣
170900	173900	欸 我有看到的應該就有一到兩台
173900	174900	我們附近的流浪犬
174900	175200	我覺得
175200	176500	大部分應該
176500	178000	都跟牠有親屬關係
