start	end	text
0	7040	所以你現在看留言都是從前面往後看
7040	8400	對啊對啊對啊
8400	10680	我跟你不一樣 因為我是在蒐集留言的人
10680	15040	因為YouTube留言系統它是會把熱門的先顯示在上面
15040	17760	我去看Podcast留言 我是從後面往前看
17760	20160	所以今天留言這個部分
20160	23480	往前看了之後 我看了幾個 選了幾個之後
23480	26320	我幫大家主動過於掉大概200則
26320	29920	跟蟑螂有關的話題
29920	35280	好 我們一開始會先進入我還沒開始審略的大概10則
35280	36760	跟蟑螂有關的留言
36760	37880	太多了吧
37880	39440	大概10則
39440	40960	OK
40960	42080	反正我是不怕啦
42080	46440	第1集這個euro090909091的留言
46440	49120	他說蟑螂是這個世界上最卑鄙最可怕的生物
49120	50120	爸爸也是
50120	51880	爸爸也是
53880	56200	他說他有一次國中的時候洗澡一開門
56200	58080	就有一隻大蟑螂對著他
58080	59880	他在思考要怎麼面對對方的時候
59880	62920	下一秒就張開翅膀直直的朝我臉上飛過來
62920	65120	然後他就邊尖叫邊閃開
65120	66720	然後拿著蓮蓬頭往他噴嘛
66720	69840	噴一噴之後他就學那個跟攝影師同一個處理方式
69840	74080	就用一堆的那個洗髮精 沐浴乳擠在蟑螂身上
74080	76320	對 就一直噴他一直噴他噴他
76320	78200	他爸到底做了什麼事 我好期待
78200	80240	噴他噴他噴他 然後把他困住
80240	82800	這個東西應該只能困住那個蟑螂
82800	85240	同時一直尖叫叫他爸來救他
85240	86920	這樣子後來他爸就跑來
86920	89840	然後他一個回頭的時候發現他那個噴蟑螂的地方
89880	91680	生下一堆泡泡
91680	93120	蟑螂不見了 蟑螂不見了
93120	94360	突然不見 對
94360	96720	然後他爸就跟他說
96720	98320	蟑螂很聰明喔 而且會記仇
98320	99680	他會帶一堆同伴回來找你
99680	102440	為什麼要這樣
102440	104920	整個月都不敢關的睡覺
104920	108360	爸爸真的是很卑鄙的生物 可怕
108360	109920	來自Apple Pockets的留言
109920	111840	這是他的名字嗎
111840	114840	他的名字叫做來自Apple Pockets的留言
114840	117360	好抄意啊 竟然沒有人用過
117360	119680	他說水瓶女X金牛男劍
119680	121240	就是災難
121240	124880	他是要回應關於情侶互動這個話題
124880	127000	他說他是一個超水瓶的水瓶女
127000	129920	擁有一個交往邁入第五年的金牛座男友
129920	131560	只能說翠翠啊 我懂你
131560	132480	你懂什麼
132480	134480	我覺得他很辛苦
134480	136720	他說每次聽到翠翠阿段的互動
136720	138600	都有滿滿的既視感
138600	141760	彷彿可以聽到當下翠翠心裡崩潰的吶喊跟OS
141760	143840	我懂 我真的懂
143840	145880	我懂你懂
145880	147440	他說印象最深刻的一次
147440	148680	就是他跟他的男友
148680	149560	跟他兩個高中
149560	152120	跑密友一起出遊
152120	153280	一起出國
153280	154480	那是他們第一次見面
154480	157000	結果我男友在旅行途中
157000	160000	就直接跟一個很在意外表的女生說
160000	161240	你很漂亮
161240	164920	但就是有點太胖了
164920	167400	我覺得你沒有那麼白目
167400	168760	你會偷偷跟我說
168760	171760	我覺得你那個朋友有點胖
171760	173080	不是 我跟你講
173080	174920	這個跟金牛男沒關係
174920	176880	來自Apple Pockets的留言
176880	178160	這位朋友
178160	178960	就是
178960	180240	怎麼說呢
180240	183320	你男朋友他已經盡力了
183320	184760	什麼叫盡力了
184760	186480	他就閉嘴就好
186480	189320	你要從他的自娛的行間
189320	191040	去找到這些蛛絲馬跡
191040	193560	他說我男友在旅行途中
193560	196400	直接跟其中一個很在意外表的女生說這句話
196400	198200	在旅行途中
198200	199640	一個人的胖瘦
199640	201320	是第一眼就看得出來的
201320	202200	喔
202200	203280	也有可能他
203280	204680	因為他會突然這樣跟他講
204680	206800	而且他說他是一個很在意外表的女生
206800	208760	他是不是在這趟旅行中感受到他
208760	211240	無時無刻對於自己外在的壓力
211240	214200	所以他可能是不是原本是想要鼓勵他呢
214200	215640	他才會說你很漂亮啊
215640	216800	你這也是一個說法
216800	217200	對不對
217200	218040	但是我要
218040	220920	我要講的不是說他會講這句話的原因
220920	222080	我要講的是他對於
222080	222640	已經憋很久了
222640	225080	不要講這句話的努力
225080	225840	好不好
225840	226360	就是胖瘦是
226360	227880	你就給我憋回家
227880	228840	吞淚
228840	231520	胖瘦是第一眼就看出來
231520	232520	他們還是出國
232520	234240	但他不需要你來告訴他
234240	234840	不要講
234840	237240	他只有看到他的那一瞬間
237240	237760	是
237760	238600	他第一眼就判斷說
238760	239840	這個女的
239840	241520	她很正
241520	242200	可惜
242200	242920	就是有點胖
242920	243720	就是有點胖
243720	245120	但他這句話不講出來
245120	247600	他會長疹子是不是
247600	248320	受不了
248320	249840	他就一直在想這件事情
249840	251480	想到茶不吃飯不想要
251480	252480	如果在意自己身材
252480	253880	最不需要的
253880	255680	就是人家剛剛說你瘦下來會很漂亮
255680	256200	不需要
256200	257680	真的
257680	260280	最後終於忍不住
260280	261800	我好像有點可以理解
261800	263160	他男朋友為什麼會這樣講
263160	265080	失眠三天
265080	265800	終於講了
265800	266760	還是講出口
266760	267880	因為你覺得你不講
267880	268720	你身體的某一部分
268720	269560	就會死掉
269560	270160	沒錯
270160	270800	我就知道
270800	272560	你男朋友是在拯救他自己
272560	273880	對我就知道
273880	274680	他也很常這樣
274680	276160	總有一個人要受傷的
276160	277760	你知道我有時候問他說
277760	279520	我有時候問他說
279520	280160	我有時候問他說
280160	281120	你覺得這好不好看
281120	282160	就我很興奮
282160	282880	然後他還沒回答
282880	283760	我就會說
283760	284720	你說謊就好了
284720	285920	然後他就
285920	288640	我真的覺得還好
288640	289880	我都已經跟你說
289880	291400	你說謊就好
291400	292920	但是他必須要堅守
292920	295240	他內心某一個部分的親密
295240	296280	為什麼
296280	297720	金牛座的人就是時辰
297720	298520	這個時候怎麼樣呢
298520	298880	好不好
298880	300360	你身為金牛座的另外一半
300360	301320	交往五年了
301320	302960	你想聽好話就不要問他
302960	304080	這個男人沒有問題的
304080	305240	OK的
305240	306760	真的嗎
306760	307400	真的有人聽得懂
307400	308240	我們剛剛在講什麼嗎
308240	310280	我們剛剛三個人各說各話
310280	312760	可以啦
312760	313360	喔
313360	313880	甜不辣
313880	315160	超級世界無敵好吃
315160	316120	不會撞到名字了吧
316120	316560	的留言
316560	318200	不會喔
318200	318720	壁虎肝
318720	319440	他說突然想到
319440	321520	神隱少女裡面的壁虎肝
321520	322640	聽說他們的
322640	324240	就是他們的回春藥
324240	324880	他是那個
324880	326920	他叫榮園
326920	327640	那是榮園
327640	328360	對
328520	329120	不是壁虎
329120	330280	野生壁虎
330280	331200	野生壁虎就是榮園
331200	333440	榮園好像比壁虎的花色不太一樣
333440	334560	然後也比較大吉
334560	335960	你意思是說是
335960	338080	花榮園
338080	338760	大榮園
338760	339600	大花榮園
339600	341200	我不要接這個話題
341200	343160	無聊死了
343160	343560	喔
343560	346440	再來是黃金招財鼠來保留留言
346440	349200	我喜歡這個idea
349200	351080	神出鬼沒的蜈蚣比什麼都還可怕
351080	351560	喔對
351560	352320	我們昨天
352320	353160	我們上次上禮拜
353160	353800	不是上上禮拜
353800	355200	我們上上禮拜
355200	356080	我們到底什麼時候講
356080	357280	講這個主題的
357280	357880	那一次
357880	358480	我忘記了那一次了
358520	359080	我忘記了之前
359080	360160	講到這個
360160	361360	那一集的主題叫做
361360	363120	比疫情還要可怕的東西
363120	363880	對的時候
363880	365800	我們沒有提到蜈蚣
365800	367800	蜈蚣我覺得有點少見
367800	368360	怎麼會
368360	370320	廁所超多蜈蚣的
370320	370680	真的嗎
370680	371400	可是我從小到大
371400	372560	就是直面蜈蚣
372560	375000	大概兩隻手數得出來而已
375000	375560	真的假的
375560	375800	對啊
375800	376480	沒有很長
376480	378080	但是蜈蚣沒有很可怕
378080	379120	蜈蚣就會在原地一直扭來扭去而已
379120	381640	蜈蚣的可怕會跟他的大小層比
381640	384960	等比等差等比級數的成長
384960	385960	嚇到
385960	388200	嚇到數學會數
388200	388520	所以我們
388520	391160	在那個水溝看到的那種蜈蚣
391160	392760	或是說你那種打開
392760	394280	浴室的門看到的那種蜈蚣
394280	395800	都很小
395800	397320	那你就用掃把打死了
397320	398360	對啊
398360	400040	但是蜈蚣其實它是有硬殼的
400040	400360	你知道嗎
400360	401640	它身上其實是
401640	402880	是有硬殼的
402880	403440	對
403440	405240	就是它如果說真的大到
405240	405920	就是變成
405920	407080	有一次B5在你後面
407080	407720	有一次B5在我後面
407720	408920	怎麼辦
408920	409400	怎麼了
409400	410480	我覺得他等一下會過來
410480	411840	那是B5大概在三米高的地方
411840	412720	屁啦
412720	413520	等一下就會過來
413520	414560	他才不會過來
414560	416240	你的直線距在六米
416240	418200	他為什麼要在我圓角魚缸裡面動
418200	420040	他沒有在你圓角魚缸裡面動
420040	420680	好 sorry
420680	421120	蜈蚣
421120	421760	蜈蚣怎麼了
421760	422920	好 蜈蚣
422920	425400	我覺得大家對蜈蚣的那個恐懼
425400	428360	雖然還是很多藥酒的那種超巨大的蜈蚣
428360	429040	不會吧
429040	431080	你什麼時候會看到超巨大蜈蚣
431080	432960	你沒有遇過真的大致的蜈蚣
432960	433960	因為我家就是
433960	435680	我們家有菜園
435680	437880	做一個這種工具間之類的東西
437880	438240	對
438240	439400	然後那種工具間
439400	441200	那種阿公阿嬤都喜歡
441200	443200	囤積一些有的沒的
443200	444880	很多縫隙
444880	447680	有時候還會囤積一些木頭
447680	447880	為什麼要囤積一些木頭
447880	449280	他們要囤積木頭
449280	450440	想說有一天可以燒
450440	451680	很可惜有一天用得到
451680	453480	放在公寮裡面
453480	454280	囤積木頭
454280	454680	對啊
454680	455240	打什麼棚架
455240	457120	還是我阿公就是故意在養蜈蚣
457120	458560	沒有吧
458560	460320	他搞不好想要投油雞
460320	462440	就是後來我們家有一次是在整修的時候
462440	463840	就是要把公寮整修
463840	465440	就把東西全部搬出來
465440	466080	然後就
466080	467760	就是有這種木頭
467760	468680	一搬開
468680	470000	你們就有就是
470000	471360	真的很大隻
471360	472480	就是那種
472480	473760	食指寬嗎
473760	474920	超過食指寬
474920	477080	然後就是大概有二三十公分
477080	477360	那種
477360	478320	真的很大隻的蜈蚣
478320	479720	超過食指寬
479720	480080	對啊
480080	482120	蜈蚣好像含腳
482120	483040	好噁喔
483040	485000	對就是真的很大隻的蜈蚣
485000	485960	那種蜈蚣你用
485960	487480	用掃把打不死的
487480	487880	不是
487880	488480	就你掃把打他
488480	489680	他像沒事人一樣
489680	491480	那你就把他掃出去啊
491480	492040	蛤
492040	492680	他穿上
492680	493840	他穿上了怎麼辦
493840	495000	他不會吧
495000	495520	這種髒跳
495520	495960	這種東西
495960	496920	你怎麼會趕快去拉他
496920	498800	蜈蚣會往上爬嗎
498800	499680	蜈蚣
499680	500560	蜈蚣速度超快
500560	502240	蜈蚣擺竹蟲
503640	504280	如果很大隻
504280	505160	我覺得有點噁心
505160	507520	忘記我怎麼處理這個問題了
507520	509200	那等下自己躲起來吧
509200	511080	是你先躲起來吧
511080	512200	我覺得比起蜈蚣
512200	514000	馬路比較噁心
514000	515920	我們上次竟然沒有提到這個
515920	518320	馬路我覺得不是大家普遍會遇到的問題
518320	518720	真的嗎
518720	521320	如果你有讀高師大你就會知道
521320	524280	高師大全校全地滿地
524280	526360	操場上都是馬路
526360	527600	高師大為什麼這麼多馬路啊
527600	528280	我不知道
528280	529480	我們家為什麼這麼多馬路
529480	531440	我們家跟高師大有什麼一樣的地方
531440	532640	我們家可能是那個
532640	534960	我們中間有那個黑洞連接的生怪點
534960	535120	對啊
535120	535140	對啊我們家可能是那個我們中間有那個黑洞連接的生怪點
535140	537140	超噁心
537140	539140	你看我就說他過來了啦
539140	539740	哎呦
539740	540100	什麼啦
540100	540980	你不要一直分心
540980	541980	專心一點好不好
541980	542180	你看
542180	544180	就壁虎
544180	545180	不要那麼入戲
545180	546780	不要那麼入戲
546780	547540	不是喔
547540	548700	壁虎這樣很噁心耶
548700	549780	好
549780	551460	就是我們家
551460	552540	如果看我們影片就會知道
552540	553580	我們家有一條走廊
553580	554580	對
554580	555820	我們在夏天的時候
555820	556260	對
556260	558060	那個走廊上面莫名其妙冒出馬路來
558060	558940	而且你把它清掉
558940	561380	馬上原地又會再生出來一次
561380	562500	不知道從哪裡冒出來
562500	563060	冒出馬路來
563060	564500	他是原地生出來的啊
564500	565100	憑空生出來的啊
565100	565620	對啊
565620	567900	就是你真的只能當作就是
567900	568900	就是那邊有生怪點
568900	569580	沒有別的辦法
569580	571380	他就從地板這樣浮出來
571380	571860	對啊
571860	572980	就是就會冒出馬路來
572980	573900	而且你清掉的時候
573900	575460	他又會那邊又會有
575460	576900	過一下回去他又有
576900	577580	就一直冒出來
577580	578140	啊
578140	579500	大家知道馬路要怎麼清掉嗎
579500	581180	馬路碰他一下就會捲起來啦
581180	582500	對啊你就碰他他就縮起來
582500	583740	縮起來就會把他丟出窗外
583740	584500	對啊
584500	585260	大概就是這樣
585260	586660	整個夏天
586660	587820	都在做這件事情
587820	588900	單純就是
588900	590580	你不要再看電話了
590580	591980	我以為我忍不住
591980	594260	整個夏天就單純丟馬路這件事情
594260	595060	你不要重複上來
595060	595700	上千次吧
595700	596980	真的欸
596980	597700	誇張欸
597700	598860	這是困擾
598860	600020	密集的困擾
600020	601100	不恐怖不恐怖
601100	601900	但是困擾
601900	602420	很煩
602420	603700	但是有時候也會恐怖
603700	604580	他多的時候就很恐怖啊
604580	605980	因為馬路有時候會自己
605980	607820	最莫名其妙不知道就是
607820	609260	馬路很像喪屍欸
609260	610380	他是沒有意識的
610380	611500	他會經過你的時候
611500	612860	直接爬過你的身體
612860	614940	毫無知覺那種感覺
614940	616660	他感覺沒有在思考
616660	616940	哦
616940	618580	我就覺得馬路有時候他會
618580	619620	他會死掉
619620	620900	他會自己縮成一團
620900	621740	然後在什麼地方
621740	622780	然後你居然會踩到
622780	624100	自己默默的死掉
624100	625020	然後你會踩到
625020	626060	好可怕
626060	627860	好像什麼生物炸彈一樣在那邊
627860	628700	他會直接
628700	629420	你不小心踩到他
629420	630300	就毀掉你一天
630300	631540	昆蟲地雷
631540	632340	對不對
632340	632700	哦
632700	633220	再來是
633220	634700	HEYB的留言
634700	635380	他說
635380	636540	回應EP58
636540	638340	殺蟑螂差點連自己一起殺
638340	638900	嗯
638900	639780	他說大學的時候
639780	641060	自己在外面租屋
641060	642940	有一次洗澡的時候發現
642940	643940	浴室牆壁上有一坨
643940	645380	黑黑的不明物體
645380	646340	因為他近視嘛
646340	647700	所以他沒有戴眼鏡這樣
647700	648500	所以看不清楚
648500	649060	哦
649060	650180	戴上之後發現是一隻
650180	651460	巨大蟑螂
651460	652260	然後他自己是不敢
652260	654180	打蟑螂的那個流派
654180	654780	他就拿出
654780	656780	殺蟲器跟他以較高下
656780	657300	但是一噴
657300	658540	因為他是一隻大蟑螂
658540	659980	可能比較耐這樣
659980	660780	然後蟑螂就開始
660780	663020	四處狂奔
663020	664580	活力四射這樣
664580	665700	然後他就一直噴一直噴嘛
665700	666060	後來想說
666060	666660	哇
666660	667220	好像不行欸
667220	668060	好像用這種
668060	669420	化學的方式
669420	670780	幹不掉他
670780	672580	就開始用一些物理攻擊
672580	674420	所以他開始對他噴熱水
674420	675260	噴熱水
675260	676380	他要燙死他
