start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束厲
30000	35640	剛剛6月23日欸 你上個禮拜要刊物喔對 我要刊物喔 對啊
35640	38460	就是上個禮拜我們一開頭我們就心想說我們很累嘛 很累
38460	42180	就很累 非常非常疲倦然後說是3月15號 對
42180	44820	不是演的不是演的 真的講錯
44820	46640	真的低淚而我講錯還沒有人發現
46640	49140	因為我直接 喔什麼15號應該對吧 應該對吧
49140	54280	真的很累 然後其他人覺得說 喔難道這個是3月15號的存檔嗎
54280	56680	沒有 我們才沒有存檔這種東西
56680	58120	我們怎麼可能有3月的時候
58120	59740	你是剛進來的聽眾嗎
59740	62200	你听第一集吗
62200	63640	你跟我们很不熟哦
63640	63900	对啊
63900	65680	我们明天要发的podcast
65680	68320	我们今天凌晨三点都还没有啊
68320	69360	三月怎么可能有呢
69360	70000	没错
70000	71060	没道理啊
71060	73260	二话不多就一定要想
73260	74360	我们一定是讲错了
74360	74540	对
74540	75060	没错
75060	75840	判误一下
75840	77360	比起我们先录好
77360	79300	讲错可能性大太多了
79300	82480	大概是一个99%比1%吧
82480	83640	我突然想到一件事情
83640	85580	因为这个存档的事情
85580	86280	就想到一件事情
86280	88860	就是前几天看到那个
88860	90000	蔡阿嘎
90000	92120	他不是发了一支日常的影片
92120	94420	他在家里打扫啊什么之类的
94420	94820	对对对
94820	96440	我觉得大家惊讶的地方
96440	97360	一定跟我们不一样
97360	97560	对
97560	98540	大家觉得说
98540	99900	打扫很爱干净什么的
99900	101280	感觉很有强迫症
101280	102620	一个人当老公好像不错
102620	103840	因为家里会很干净
103840	105340	那他就默默的
105340	106500	自然而然的
106500	109320	开始介绍起他的那个电脑里面
109320	111360	桌面上有什么东西
111360	111540	对
111540	113240	桌面上有二十几支片的存档
113240	114000	哇
114000	115180	超羡慕耶
115180	116260	存档富翁
116260	118200	我不知道大家听不听得出来
118200	118720	对啊
118720	120180	他拐着弯在炫耀
120180	120340	对
120340	121800	而且他说
121800	123380	剪好的二十几支
123380	124220	剪好的二十几支
124220	126120	没剪好的也二三十支
126120	126320	哇
126320	128120	嚣张耶
128120	128760	超羡慕的啦
128760	129180	超嚣张
129180	130880	这比就是那种
130880	132340	开超跑在路上
132340	133540	然后吹超大声
133540	134420	窗户拉下来
134420	135220	开超大音响
135220	135760	还要过分
135760	136200	没错
136200	137740	他就是平平淡淡的
137740	138640	讲出这种话
138640	138900	对
138900	140260	羡慕
140260	142720	羡慕到一刻不行
142720	144280	我曾经看到我们
144280	145200	直接在电脑前面尖叫
145200	145500	对
145500	146520	怎么可能
146520	148460	我们绝对不会有这样一天的
148720	149520	对我们如果说
149520	151420	我们明天要发片
151420	153000	我们今天会把它剪出来
153000	154040	进度超级
154040	155000	哈哈哈
155000	157200	今天晚上特别好睡
157200	158640	提前一天就剩下库存
158640	161400	我们的剪辑师都很可怜
161400	162640	我们一直游移在一个
162640	164160	有库存没库存中间
164160	164480	对
164480	166320	那库存量会是一天
166320	168160	再怎么样我们片都会提前一个
168160	170080	至少半个小时剪完吧
170080	171120	在上片之前
171120	172160	这时候就有库存
172160	172800	对
172800	173760	然后
173760	175360	上礼拜是很晚录就对
175360	175600	嗯对对对
175600	177000	上礼拜有什么晚录
177000	178080	上礼拜在干嘛
178080	178700	上礼拜
178720	179960	在忙什么啊
179960	181760	我们说我们忙到
181760	182840	11、12点啊
182840	183920	对啊
183920	184560	忘记了欸
