start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束energetic
30000	31440	贊助播出
31440	35640	我們這次收到這個好像是全球最大的掃地機器人製造商的邀請
35640	38080	他就想要我們來跟大家分享一下他們這個產品
38080	40720	目前正在折折進行這個預購的活動
40720	41120	OK
41120	41800	對對對
41800	44640	超級星聽說我們也是拿到超級星的新機種
44640	45080	真的假的
45080	45520	對
45520	47840	就是線上有的人很少
47840	50640	對對對我們現在是就是鳳毛麟角那群人
50640	52720	不好意思啦
52720	55920	好啦那這台的掃地機器人有幾個比較厲害的特點
55920	59360	就是我挑了幾個我自己覺得蠻有感的跟大家分享一下
59360	64600	那首先呢他就是搭載了每分鐘3000次的聲波拖地機器
64600	65800	聲波拖地
65800	67400	就是他就瞬間就這樣
67400	69600	然後就可以把那一塊插ㄅ量這樣
69600	70200	喔
70200	71360	拖地喔你說拖地喔
71360	71600	對拖地
71600	72280	他會拖地喔
72280	74320	對他是掃拖合一的喔
74320	78200	然後他說他有60克的穩定向下的壓力
78200	80880	這樣就會像真人一樣你拖地的時候不是會用力
80880	82600	像衣袖一樣在那邊跑嗎
82600	83680	衣袖
83680	85760	你是說拿那兩塊布在那邊跑嗎
85760	86480	喔
86480	87920	我覺得是這個感覺
87920	88880	然後他同時還可以
88880	89320	衣袖在跑的時候
89320	90880	是一直走就走就走
90880	92520	3000下晃動這樣
92520	93680	震動了衣袖
93680	96000	對
96000	100160	再來呢他們是搭配超音波自動辨識地毯
100160	101080	而且超酷的喔
101080	102680	就是他如果感應到有地毯的時候
102680	105480	他S7呢是可以自動抬升拖布
105480	106280	喔
106280	109120	對然後進入強力吸塵模式
109120	111680	這樣因為你掃拖那時候拖有時候拖到地毯
111680	113520	你就會把濕濕的弄在地毯上
113520	114440	對欸不行欸
114440	115760	對就會超討厭的欸
115760	118160	欸他把他升起來我真的覺得超級天才的欸
118160	118600	喔
118600	119080	對我覺得很
119080	119520	有道理
119520	120840	很厲害很Genius
120840	123520	好這樣你就不會把拖地的那個地毯弄濕濕的
123520	123760	嗯
123760	127120	那他這次的主刷頭是採那個全橡膠主刷
127120	129080	就是底下那個滾的那個塊東西
129080	129280	喔
129280	130760	會一直滾滾滾那種長長那個
130760	131520	他說呢
131520	133560	這樣就不容易造成貓髮纏繞
133560	134120	喔
134120	134680	你在
134680	136680	你常常在吸地你很有感對不對
136680	136880	欸
136880	139000	你就每次都在清前面那個毛刷頭啊
139000	141040	欸沒錯我們家房間的毛超多的
141040	142600	對各式各樣的毛
142600	143440	哈哈哈哈
143440	145200	就像我們家不是有很多貓嗎
145200	146360	沒有沒有沒有跟貓有關係
146360	148080	你能接受我嗎
148080	149160	哈哈哈哈
149160	151640	就是有時候地毯上難免都會有一些貓嗎
151640	152880	好啦還有我的頭髮啦
152880	153920	好啦這樣可以嗎
153920	155640	這樣就是可以很輕鬆的清理
155640	157080	就是不會卡在前面那裡
157080	158800	然後S7 Plus他還有一個
158800	160760	那個兒童安全鎖的功能
160760	161160	欸
161160	163440	因為他就是好像很多毛小孩
163440	166320	他會不小心誤觸到那個開機
166320	167240	你說毛小孩
167240	168720	對或是我們的小孩
168720	169200	喔
169200	171840	所以他就會誤觸到那個開機鍵
171840	172320	欸
172320	173440	然後他就會突然動起來
173440	174560	然後小孩就會嚇到
174560	176080	然後最後呢就是S7 Plus
176360	179720	搭配那個自動集成充電座ONYX
179720	181920	我有查超久的那個名字怎麼念
181920	182920	ONYX
182920	183920	ONYX
183920	184720	他說呢
184720	185760	他們這個ONYX呢
185760	188760	是業界唯一通過雙認證集成系統
188760	189160	嗯
189160	189920	雙認證
189920	193800	他說整機H13等級的HEPA濾網
193800	194320	喔
194320	196040	就是有空氣清淨機的效果
196040	196520	喔
196520	197760	身為一台吸塵器
197760	198960	他去搶人家的飯碗
198960	199320	喔
199320	200800	搶空氣清淨機的飯碗
200800	203240	然後業界首創無耗材集成
203240	205400	就是你那個塵桶是可以水洗的
205400	205800	喔
205800	206760	不用一直換
206760	209120	然後你也可以選擇就是拋棄式的集成袋啦
209120	210560	就是看你自己的喜好
210560	211720	這樣就可以垃圾不沾手
211720	213480	然後他們是說可以最長
213480	213760	呃
213760	215560	長達30天不用倒垃圾
215560	216200	喔唷
216200	217360	超級適合我們
217360	218120	哈哈哈
218120	218640	真的
218640	220440	連自己廁所的垃圾都很
220440	221680	很容易忘記到呢
221680	223040	這非常適合我們
223040	223240	好
223240	225120	那目前石頭掃地機器人S7 Plus
225120	227040	已經在折折上展開預購囉
227040	229160	好像他們聽說短短4天就破億了欸
229160	229880	喔
229880	230680	是不是很強
230680	231880	那何必來找我們
231880	233360	哈哈哈
233360	233760	欸
233760	235080	強還要更強啊
235080	235680	喔
235800	236640	退休更高進去
236640	237920	沒錯
237920	238880	然後優惠資訊呢
238880	240400	就是我們會放在資訊欄裡面
240400	241760	所以詳情購買的詳情
241760	243840	大家也可以到喆喆的網頁上看看囉
243840	244440	好
244440	246480	以上就是這次的乾爹分享
246480	247400	感謝乾爹
247400	248040	感謝乾爹
248040	248920	還讓我們拿到一台
248920	250520	自仇可熱的吸塵器
250520	250960	嗯
250960	252240	好攝影師今天
252240	253120	強勢回歸
253120	254080	強勢回歸
254080	255200	哈哈哈
255200	256840	沒有很多人都說你可以退休了
256840	258480	結果你知道他到底發生什麼事情嗎
258480	259000	怎樣
259000	260800	上禮拜換了攝影師回來代班嘛
260800	261960	那時候不是說他全身痠痛嗎
261960	263040	喔就說什麼
263040	264680	感覺是那天在弄水管嘛
264680	265440	欸對之類的
265440	265920	嗯
265920	267160	欸結果後來
267160	267960	我們錄完之後
267960	268280	嗯哼
268280	269800	就開始發燒
269800	270400	喔對欸
270400	270760	對
270760	271600	然後我們更害怕
271600	272080	嚇傻了
272080	272880	把他關起來
272880	273280	嚇傻了
273280	274600	還好我們趁早把他關起來
274600	274880	對
274880	276680	哈哈哈
276680	277600	那就開始發燒
277600	278040	然後燒到
278040	278880	你燒幾度啊
278880	280200	39
280200	281000	喔39
281000	281400	嗯
281400	282520	可是他那時候就說什麼
282520	284480	他量耳溫39我就覺得
284480	285120	就是
285120	286160	耳溫應該會
286160	287400	耳溫應該會更低一點
287400	287880	不是不是
287880	288520	因為他常常
288520	290240	我們有時候要跑一些外景
290240	291800	然後現在因為疫情的關係
291800	293200	有時候必須要工作外出
293200	295040	就前一陣子還沒有封城的時候
295040	295320	嗯
295320	296120	然後我們進去
296120	296840	不是大家都會
296840	298240	各種機關會量體溫嗎
298240	298680	對對對
298680	299560	我們就下車
299560	300760	啊走到機關門口
300760	302360	啊大概走個一分鐘吧
302360	302680	嗯
302680	303720	然後大家量體溫
303720	304760	到36量耳溫
304760	305480	然後大家就進去
305480	307200	就只有他一個人突然飆到39
307200	307640	蛤
307640	308360	他就是吸引
308360	309960	我跟你講我就是一個變溫動物
309960	311080	對他就是一個吸引
311080	313240	我的耳溫大概在32度到39之間
313240	314040	對呀
314040	314760	殺毀了
314760	315600	他真的真的
315600	316920	然後有一件事情是
316920	318360	我們也是不知道去哪裡拍片
318360	319920	然後就冷氣的那個車上面
319920	321960	然後就把車窗咬下來給人家量耳溫
321960	323720	然後就讀不到
323720	324320	讀不到
324320	324840	對啊
324840	325240	因為就是
325240	326480	太冷了啊
326480	328200	我就不知道到底他到底是怎樣
328200	328760	讀不到
328760	330920	他因為好像耳溫低過一個什麼溫度
330920	331760	他就會很難
331760	332240	就變肉啊
332240	333600	對對對
333600	334760	所以他是不是很奇怪
334760	336320	所以他跟我說他量耳溫39的時候
336320	337120	我就噗
337120	337800	哈哈哈哈
337800	338800	那是很明顯
338800	339920	對
339920	341680	沒有我是全身發寒
341680	342040	好
342040	342600	嗯
342600	343640	發燒減燥
343640	344080	哦
344080	344600	是嗎
344600	345000	對
345000	345280	哦
345280	345640	然後呢
345640	346760	接下來我們很緊張嗎
346760	346960	嗯
346960	348760	所以我們就遵照這個
348760	349240	SOP
