start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束厲
30000	48800	好 順勢宣布我差不多可以退出廣播界
48800	49460	三回
49460	52900	我覺得近期幾次聽我的預錄啊
52900	56780	我都不知道我哪來的自信
56780	59760	跟對方說我想要錄一個廣播風格
59760	61200	這是你自己跟人家說
61200	63200	因為他就說想要錄什麼風格啊
63200	66080	然後因為他們是希望就是介紹一些比較專業的詞
66080	68240	比如說什麼酵素啊什麼什麼
68240	70720	我說好吧那我們就來用一個就是電視廣報
70720	72720	或者是那種電台廣告風格
72720	73680	比較有專業的感覺這樣子
73680	74560	對
74560	75200	賣藥感
75200	78400	我覺得我很失敗
78400	81440	我覺得好像沒辦法扛起來
81440	84720	我以後都跟大家說我們還是用閒聊的風格好了
84720	89040	好像比較符合我的能力跟我們頻道的那個調性
89040	89200	對
89200	91040	我們剛剛說那個康普茶
91040	92800	其實我覺得真的是不錯
92800	94320	你很認真喝欸
94320	95920	對你瞬間就被我喝完了
95920	98000	我們他寄多少寄一箱來喔
98000	99120	一兩箱
99120	101600	我覺得有四分之三都是你喝的
101600	102320	差不多
102320	103440	就他
103440	105520	大家聽到酵素什麼會有點害怕
105520	106880	會覺得說會不會是
106880	107920	就是超爆酸
107920	110000	酵素印象是不是都超爆酸
110000	114720	但是他感覺像是味道比較有更多變化的這個葡萄汁的感覺
114720	119120	我覺得他喝起來很像那個就是便利商店有在賣的那個蘋果紅茶啊
119200	121200	蘋果紅茶或是楊樂多紅茶的感覺
121200	121920	對啊很像欸
121920	123040	有個乳酸的感覺
123040	124400	酸酸甜甜的
124400	125360	香香的這樣
125360	126640	有一個水果的香氣
126640	128160	然後我不知道是不是因為他酵素的關係
128160	130480	他那個康普茶都滿到就是
130480	131680	你寶特瓶打開
131680	136480	他直接就是那個一面都直接貼在那個杯裡
136480	138400	裝超滿
138400	141600	他大概離那個寶特瓶的瓶口的最頂面
141600	143040	大概只有0.5公分
143040	144800	就是誠意滿滿的感覺
144800	147680	寶特瓶能給到最高的誠意
147680	149040	對
149200	150720	不愧是老牌子的感覺
150720	152720	覺得有被照顧到
152720	153600	推薦給大家
153600	154320	滿好喝的
154320	154880	對
154880	155600	好了
155600	158160	今天我在看那個留言的時候
158160	160720	還有我們上個禮拜發什麼片啊
160720	165200	上禮拜發了一支什麼罐頭開箱的老鍋肉吧
165200	169040	然後好像很多人在那個留言就會很驚訝
169040	170400	我竟然是金門人
170400	171600	你竟然是金門人
171600	172800	對然後還有很多留言說
172800	173920	翠翠到底是什麼人
173920	175120	那不是客家人嗎
175120	176320	因為你其實一直在
176320	178480	就是我們Blue Fugates也是常常
179200	182560	跟他說你的一些出身或是你小時候的事情
182560	184320	每次都是在
184320	185600	就是好像都是完全不同
185600	186320	不一樣人一樣
186320	188160	好像我有三重人格一樣
188160	190720	有時候說你就換了幾間小學
190720	192320	在新竹在桃園
192320	194560	換了四間小學之類的
194560	195840	一下子就說我小時候住在金門
195840	198400	一下就說我是客家人
198400	199680	我爺爺奶奶都是客家人
199680	203120	還有人說是我露天的哪一集嗎
203120	204800	翠翠不是新竹人嗎
204800	206080	Who are you
206080	207360	到底是誰這樣
207360	208960	我是一個很難界定的人
209200	211280	然後我就想說既然留言這麼多
211280	213520	然後一直又沒有機會跟大家分享一下
213520	215760	我小時候的傳奇漂流跡
215760	216720	喔傳奇漂流跡
216720	218160	所以小時候是在漂流的
