start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束eremiah
30000	38240	小時候的好朋友巧虎他們家的巧蓮姿月刊所以大家到底都是認巧虎還是巧蓮姿還是認巧虎吧
39320	43800	就是對 認巧虎 巧蓮姿他沒認巧虎 巧後面只能接巧虎吧
45280	49120	好啦 那巧蓮姿他們呢 2021年有全新教材升級強化
49580	54380	那從一歲的寶寶到小學生都可以在巧蓮姿裡面找到合適你們家寶寶的學習內容
54380	60060	那巧蓮姿他們呢 比較特別是他們是訂閱制的 就是比如說我們現在我們家現在有寶寶號碼
60340	67780	那就是每個月都會配送一本就是小朋友那個年紀適合的月刊 然後還有玩具的教材到你們家這樣子就很方便
68140	72620	而且每一本教材都會跟你說那個 比如說現在一歲的寶寶要學什麼技能
72920	78080	對對對 像雷夢現在有嗎 但我們第一篇就是要讓寶寶認識他自己的名字叫雷夢
78080	79480	哦 太難了嗎
81040	84120	好像關於我跟你的觀念對小孩來說有點困難
84380	85140	對對對
85140	88940	對啊 所以雷夢一開始就說我是誰 他就一直用一種很茫然的眼神看我
89660	91260	對 但他現在知道他叫雷夢了
91620	93660	真的嗎 對對對 有一點感覺
93660	94940	我們會很認真的叫他
94940	95980	他知道叫雷夢 但是
96860	98180	我跟妳可能還不知道
98180	99860	還是不知道 太抽象了
100020	102020	所以雷夢現在他就是已經會說yo了嘛
102140	104500	大家有在影片裡面看到 就非常的可愛
104780	105780	這是巧虎教的
107100	110140	我剛開始就是每天拿那個巧虎然後對著他說雷夢
110380	112700	他就會要 然後把他手舉起來就要說yo
112980	114340	他現在已經知道他叫雷夢了
114380	114860	好
114860	117660	嗯 那訂閱制最方便我覺得就是不用出門嘛
117660	120500	那爸爸媽媽也不用思考 都會有人幫你傳BANG BANG
120500	121700	然後直接送在你家
121700	124660	所以我覺得是很忙碌的現代父母的懶人福音
124660	125820	推薦給大家
125820	129180	那巧聯制呢有提供給我們好味小姐的粉絲優惠
129180	132220	就是從8月10號到8月16號這段期間
132220	133780	然後你是新訂閱戶
133780	136940	然後是使用我們資訊欄裡面給的那個專屬連結
136940	139500	完成訂閱月刊一年份 然後完成付款
139820	142460	就可以得到巧虎給你的限量好禮
142460	142940	哦 對 然後他說會從一歲到十二歲的時候會給你限量好禮
142940	143460	然後他說會從一歲到十二歲的時候會給你限量好禮
143460	144420	然後他說會從一歲到十二歲的時候會給你限量好禮
144420	145860	每個小孩子都有
145860	146300	哦
146300	148500	所以任何小孩都可以從巧虎手上拿到禮物
148500	150580	你要從我們那個資訊欄的連結點進去
150580	151220	這樣才算哦
151220	152540	你現在去搜尋那就不算
152540	154180	對 這樣就不算
154180	155700	要從我們家過去的才算
155700	157980	那詳細的資料我們就會放在資訊欄裡面
157980	159860	那有興趣的人就去看看哦
159860	161860	OK 播放完畢
161860	163380	我聽完以後覺得
163380	165140	我覺得我們講得很好欸 我有點想買
165140	166140	明明我就已經訂了
166140	167180	哈哈哈哈
167180	168220	他上次就送你了
168220	169260	欸 我們不只訂了
169260	169660	對啊
169660	170940	他最近寄了新的一期來
170940	171620	對
171620	173180	我覺得齁 他除了就是說
173180	176300	跟你說小孩每個時候要做什麼事情之外
176300	178060	他默默的會給你壓力
178060	178660	什麼壓力
178660	180300	就譬如說他寄的新一期來
180300	182420	所有的內容都跟刷牙有關係
182420	185060	他就覺得你現在沒有把寶寶教會刷牙是不是很失敗
185060	186500	對 你就是獅子
186500	187540	做一個父母就是獅子
187540	188340	你現在就是要教你的小孩刷牙
188340	190460	就是說在下一份那個月刊來之前
190460	191860	你要把他教會
191860	193780	如果下一份月刊來他還不會刷牙
193780	194780	哦 那就是你慢了
194780	196420	作業會累積越來越多
196420	197420	哦 有點這個感覺
197420	200060	寫拼量寫不完的感覺
200060	201420	一週一篇 上禮拜還沒教
201420	202260	這一半又來了
202260	202820	對啊
202820	203860	哦 壓力有點大
203860	204260	有嗎
204260	205980	那你最近有開始想要打起精神
205980	207380	還是教黃蓮夢刷牙嗎
207380	208460	有一點
208460	210580	但是他送了一個娃娃你知道嗎
210580	212340	就是大家有可能看我影片
212340	213780	就是有一個他一開始
213780	215060	開十號的時候
215060	216740	他會送一個巧虎的娃娃
216740	218420	一個男的娃娃跟小孩玩
218420	218860	對
218860	221180	他刷牙的時候寄來一個新的娃娃
221180	222060	也是手偶
222060	223300	就是套在手上的
223300	225340	然後那個娃娃就是牙齒很大顆
225340	226300	就是他有特別強調
226300	229540	無時無刻處於一個牙齦外露的狀態
229540	231180	他隨時都是一個咿的狀態
231180	232260	不是 他是一直嘴巴
232260	232780	啊
232780	234220	嘴巴張開開
234220	235180	你把嘴巴合起來
235180	235940	因為是玩偶嘛
235940	237020	手偶你把他合起來之後
237020	238260	就變成一個咿咿這樣
238260	238620	對
238620	239940	他沒有嘴唇
239940	241500	對 牙齒是完全外露
241500	243340	所以是準備要被刷牙
243340	244260	對
244260	246700	他還有一支就是毛牙刷
246700	247620	也是玩偶牙刷
247620	248780	可以幫他刷牙這樣
248780	251180	他還有一顆玩偶的草莓吧
251180	252140	哦 那是一起的
252140	253580	對 他那個嘴巴裡面有個洞
253580	254500	先吃東西
