start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束munition
30000	37800	而在2020成立了旗下兩大品牌一個是YTG請來的日本知名宇宙貓KURORO當代言人的清新品牌
37800	42000	那另外一個是新銳時尚設計路線一新一造only one mask
42000	45800	主要強調的是不脫妝不悶抖不刮耳跟不傷臉
45800	50600	類殘絲材質的面料兩倍透氣更好呼吸還可以吸附多餘的油脂
50600	54200	那滑順的內層碰到臉上不會有摩擦不舒服的感覺
54200	58200	同時也是全台第一家雙乾硬3D兒童營用口罩廠
58200	62400	那採用的是亞洲臉型刀膜完全貼合臉部不會留任何縫隙
62400	66200	耳帶身呢使用的是頂級尼龍千層高彈不平髮
66200	70820	哇這個怎麼就是念完就知道他很厲害的感覺
70820	73760	不過我們真的戴那個口罩
73760	76940	就是剛拿到的時候呢我會覺得因為他寫的很厲害
76940	80780	對很多看起來好像很高深很稀花的
80780	85740	對原本是戴著一個就是靴頭
85740	86700	他 tekrar做一個東西
86700	91200	因為我戴的時候是普通的那種醫療用口罩
91200	93280	但看起來 T 口罩就..
93280	96580	旁邊上看起來卻沒什麼不一樣的地方
96580	99680	都是靴頭講的有的沒的
99680	101200	但是後來真的戴了之後呢
101200	104160	ㄟ你很認真ㄟ他到貨我就認真戴了一整天沒脫
104160	106900	他其實很多小細節的設計方面
106900	108900	有些小巧思
108900	110780	比如說他的口罩那個繩子
110780	113420	它绳子是在口罩的外侧
113420	114680	连接住这个外侧
114680	115660	戴的时候呢
115660	117420	那个绳子就不会刮到你脸
117420	118640	就比较舒服
118640	119900	就是脸颊颧骨那边
119900	120940	不会有一个压硬的感觉
120940	121420	对对对
121420	122360	这个就有差了
122360	123340	然后再来就是它
123340	124400	口罩的两侧
124400	126220	会有一个封边的地方嘛
126220	128500	一般的口罩就是直直的这样
128500	129960	但它那个口罩的封边
129960	131860	是有一点弧度的
131860	133520	就是好像会随着你
133520	134560	就是变成立体之后
134560	135460	会贴着脸这样
