start	end	text
0	1000	我是翠翠
1000	2000	大家好 我是經濟師阿斷
2000	3000	我是攝影師
3000	4000	很煩
4000	6000	你們都是為了錢救我嗎
6000	7000	我真的很抱歉
7000	9000	我剛剛一瞬間想不起來我們名字叫什麼
9000	10000	唉
10000	12000	本期節目一樣有贊助的乾爹喔
12000	13000	今天有預錄的廣告
13000	16000	本期節目由宜得利家居贊助播出
16000	19000	其實我們家應該算是宜得利的常客
19000	21000	就是我們家的家居
21000	22000	我們家的家居
22000	23000	我們家的家居
23000	24000	我們家的家居
24000	25000	我們家的家居
25000	26000	我們家的家居
26000	27000	我們家的家居
27000	28000	我們家的家居
28000	29000	我們家的家居
29000	31000	就是我們家有一大堆東西
31000	33000	什麼床包啊 鍋具啊 餐具
33000	35000	其實很常我們都會去哪裡買
35000	36000	我覺得我們最常買的系列
36000	38000	應該他們就是每年冬天夏天都會出的
38000	40000	那個恩酷喔 接觸涼感
40000	42000	跟恩旺稀釋發熱那個寵物系列
42000	44000	喔 寵物系列我們每年會固定就買
44000	45000	每年 對
45000	47000	換季就會去回購一次
47000	49000	就是大家常常在影片裡面看到一些什麼貓咪軟墊啊
49000	50000	就是大家常常在影片裡面看到一些什麼貓咪軟墊啊
50000	51000	其實我們滿多都是在宜得利買的
51000	52000	其實我們滿多都是在宜得利買的
52000	53000	然後大家來問我們也都會跟你們說
53000	54000	就在那邊
54000	56000	那其實像我們之前有拍過一支那個
56000	58000	宜得利的冬季寵物用品系列開箱嘛
58000	59000	宜得利的冬季寵物用品系列開箱嘛
59000	60000	其實滿多東西到現在都還在用的啊
60000	61000	其實滿多東西到現在都還在用的啊
61000	62000	就是那個棕色超大的地毯那一張
62000	63000	就是那個棕色超大的地毯那一張
63000	64000	就是那個棕色超大的地毯那一張
64000	65000	喔 那個地毯我們回購很多次耶
65000	66000	喔 那個地毯我們回購很多次耶
66000	67000	對啊 我們後來還再買了兩張
67000	68000	對啊 我們後來還再買了兩張
68000	69000	到處鋪這樣
69000	70000	因為貓真的很喜歡
70000	71000	因為貓真的很喜歡
71000	72000	因為貓真的很喜歡
72000	73000	就是像我們現在那個咖啡室那個發熱地墊
73000	74000	就是像我們現在那個咖啡室那個發熱地墊
74000	75000	是放在雷夢房間嘛
75000	76000	是放在雷夢房間嘛
76000	77000	然後虎虎就是不管那個地毯在哪裡
77000	78000	然後虎虎就是不管那個地毯在哪裡
78000	79000	她就跟著地毯走
79000	80000	對 對 對
80000	81000	她就跟著地毯走
81000	82000	她就跟著地毯走
82000	83000	那DECO的話我記得她就是比較偏愛那個
83000	84000	那DECO的話我記得她就是比較偏愛那個
84000	85000	很大 很大那種軟墊
85000	86000	所以我們房間現在有三個
86000	87000	所以我們房間現在有三個
87000	88000	很大 很大軟墊
88000	89000	讓DECO就是到處躺
89000	90520	所以这次还蛮开心
90520	91760	可以接到他们的合作邀约
91760	92560	那他们就是想要
92560	93420	跟大家分享的是
93420	94740	从9月17号呢
94740	95720	到10月24号
95720	97280	是宜德丽的周年庆
97280	98280	对
98280	99620	那他只要在他们店里面
99620	100600	消费满2000元
100600	101500	就送200点
101500	103220	3000元就送300点
103220	103940	那以此类推
103940	104500	一点呢
104500	106200	就是可以抵一块钱优惠
106200	107120	一点可以抵一块钱
107120	108240	就超级多的耶
108240	109240	我就超多的
109240	109820	对啊
109820	110460	对
110460	111600	然后还有他们这次
111600	113280	有跟那个家乐福的联合活动
113280	114400	那第一种就是
114400	115420	你消费满额
