start	end	text
0	30000	哈囉 大家好 歡迎來到好味小姐開束厲
30000	60000	
60000	62940	套滿足 它是一套三種都有就對了
62940	63900	三種洗髮精
63900	65800	嘿對對對 不同的季節呢
65800	67720	頭皮的狀況其實都會不太一樣
67720	69760	有的時候人秋季會感癢嘛
69760	71840	他都可以輕鬆應對
71840	74480	你一次擁有這一套 你就全部都不用怕
74480	77380	針對不同的狀況的時候 不同的氣候
77380	78920	對對對 看你要用哪一罐這樣子
78920	80140	原來是這樣
80140	82160	然後這三罐呢 分別第一罐呢
82160	84720	就是淨平衡洗髮精是我們上次有用到的
84720	87580	是洋甘菊萃取控油蓬鬆
87580	89880	然後當然第二個是我們這次主要在用的這個
89880	93440	净平衡茶树控油止痒抗血洗发精
93440	94580	他们这个呢
94580	95420	这个系列是
95420	97480	胃腹部认可的双重抗血成分
97480	98040	OK
98040	99760	那最后一个是水样强微
99760	100720	是强微萃取
100720	102680	然后保湿锁水修复分叉
102680	104040	那因为我们之前有
104040	104940	已经有体验过
104940	106420	他那个净平衡洗发精了
106420	108100	就是那个主打控油那一款
108100	109480	就是洗完很蓬松
109480	110080	我上次有讲
110080	111660	我还蛮喜欢他的草本味的
111660	114140	那我们这次是有两位男士
114140	116120	分别试用了那个茶树款的
116120	117460	止痒抗血洗发精
117460	117960	来
117960	119580	所以让你们说心得
119580	120800	我个人
120800	121820	因为我非常依赖
121820	122840	抗血的这个效果
122840	124720	所以我使用一两礼拜之后呢
124720	125380	确实
125380	126880	就是不会有头皮屑
126880	127820	一直掉下来这样子
127820	128620	因为你很常穿
128620	130400	就是蓝灰色黑色衣服
130400	131400	一流就很明显
131400	131720	对
131720	132860	我都穿大地色
132860	134920	所以我如果有头皮屑
134920	135960	就真的像下雪一样
135960	138860	确实有这个功效
138860	140120	然后比较特别一点
140120	140960	是有一些
140960	142060	抗血的洗发乳
142060	142760	用了很多种
142760	143920	就是通常
143920	144920	洗完之后呢
144920	146080	因为它可能清洁力比较强
146080	147040	都会觉得
147040	147880	头发有点干
147880	148580	干涩的感觉
148580	150100	它这款好像
150100	151800	还有一种保湿的功效
151800	153140	你说头发本人吗
153140	153440	对
153440	154060	就是我会觉得
154060	154560	洗完之后
154560	156540	头发还是柔顺
156540	157240	不会干涩的
157240	157540	的感觉
157540	158060	不会湿湿
158060	159100	那你呢
159100	159680	我现在
159680	161260	用这个头发比较长
161260	162800	超长
162800	163880	因为它是该剪的
163880	164340	的程度
164340	166280	这个洗完之后呢
166280	168260	的确是有比较顺
168260	169760	好像分叉有改善
169760	171280	再来就是说
171280	172280	很多洗发精
172280	172980	去血那种
172980	174080	他会把男生当
174080	174820	臭臭泥在洗
174820	175280	为什么
175280	176420	沁凉薄荷
176420	177740	沁凉到爆炸
177740	178940	就会闻起来
178940	179600	超像牙口
179600	180340	然后洗完之后
180340	181320	头超凉
181320	183160	然后满头薄荷味
183160	184000	我就很不喜欢
184000	184700	你不喜欢这样子
184700	185680	不喜欢这样子
185680	186500	它那种茶树
186500	187600	就是淡淡的味道
187600	188300	没有什么味道
188300	189200	我觉得还不错
189200	190780	好像是
190780	191700	那我自己是
191700	192500	因为我真的是
192500	193620	没有头皮屑的问题
193620	194960	所以我这次主要是
194960	195780	试用他们那个
195780	197540	保湿款的水氧强微
197540	198520	然后我觉得保湿力
198520	199320	还蛮不错的
199320	200460	而且他们这款号称是
200460	202380	男友最爱香气
202380	203420	有吗
203420	203780	有吗
203780	206240	他不是我男友
206240	207720	他不需要再
207740	208980	有道理
208980	209260	对
209260	211600	然后我觉得它闻起来
211600	212680	是那种很有气质的
212680	213520	强微香气
213520	214660	就是花香调
214660	215600	所以如果你是喜欢
215600	216200	花香女生
216200	217580	我觉得应该会蛮喜欢的
217580	218520	那深厚林漾
218520	219520	这次也有提供给大家
219520	221500	150块的折扣码
221500	222800	150块
222800	222940	对
222940	223720	150块
223720	224580	越送越多
224580	225140	对
225140	227060	这是没有在小气的
227060	228040	那大家可以到
228040	228860	官网选购之后
228860	229480	就输入我们
229480	230860	好味小姐专属听众的
230860	231620	那个折扣码
231620	233460	是Lady Flavor大写
233460	234520	大家可以想
234520	236000	最高150元的折扣
236000	237340	那详细的
237340	237620	那个
237620	238500	折扣码资讯
238500	239320	还有官网链接
239320	240400	我们就会放在内文里面
240400	241140	可以去看看哦
241140	241740	好
241740	243240	今天我们特别早入
243240	244020	没错
244020	244980	今天真的好早
244980	245740	9月27号
245740	247180	还没有过天
247180	248100	今天呢
248100	249700	有一个非常悲痛的心情
249700	251620	我觉得我要跟
251620	252760	这是天文Podcast的
252760	253520	大众致歉
253520	254060	为什么
254060	255800	我以为到来
255800	256960	就是
256960	258380	我觉得
258380	259080	好
259080	260660	我不应该
260660	262140	到底要说什么
262140	263140	快点
263140	263820	讲八点
263820	264980	叫人家胃口
264980	265880	我觉得我不应该
265880	266600	再过去
266600	267060	是
267060	269140	我不应该拿致死的事情
269140	270260	来吓唬大家
270260	271460	哦
271460	272780	你要正式致歉了是不是
272780	273460	正式致歉
273460	275460	我觉得这个做法非常不应该
275460	276580	我一直在威胁大家说
276580	277580	拔致死真的很痛苦
277580	279020	很可怕的事情
279020	281260	让大家不敢去看牙医
281260	282140	先施暴是不是
282140	282740	先施暴
282740	285540	哈哈哈哈
285540	288020	就是我的门牙
288020	288860	上个礼拜
288860	290380	中秋节之前
290380	290900	掉了
290900	291940	也不是说掉了
291940	292740	断掉
292740	294020	也不是断掉
294020	294820	这有个前情提要
294820	295220	前情提要
295220	296340	蛮长的
296340	297060	要回到我国乡
297060	297660	小时候
297660	299540	你第一颗是在国小时候断的
299540	300500	没有你听我慢慢讲
300500	301260	好好好
301260	302380	就是我国小的时候
302380	303180	其实我是一个
303180	304060	我应该算是一个
304060	306420	不喜欢刷牙的小孩
306420	307180	其实也不能这样讲
307180	308300	我每天都有刷牙
308300	308900	对啊
308900	310180	我现在也是
310180	311220	满认真在刷
311220	312860	我那时候没有认真刷
312860	314580	但是我一样是早晚刷牙
314580	315380	那不是正常吗
315380	315940	正常小孩
315940	317580	但是我那时候不会
317580	318620	剃牙
318620	319580	就是我不会使用牙线
319580	320340	上次有说到
320340	321300	你不会用牙线
321300	322060	家里也没有教
322060	323180	学校好像也没有教
323180	324300	还是我没有学好
324300	325860	反正我不会使用牙线
325860	326340	所以
326340	327620	就是其实刷牙跟使用牙线
327620	328420	是一样重要的
328420	328900	对
328900	329980	你如果没有使用牙线
329980	330860	慢慢的你就是
330860	332300	牙齿一些牙缝里面
332300	334540	就是在牙齿的侧边会蛀牙
334540	336260	然后我小时候这个
336260	336700	门牙
336700	337780	两颗门牙
337780	339780	就特别大颗
339780	342140	所以说应该比较容易卡东西
342140	342740	的感觉
342740	344380	然后我又没有使用牙线
344380	345500	所以我小时候
345500	347420	第一次去牙医检查的时候
347420	348700	就发现有两颗门牙
348700	350540	很大的那个大门牙
350540	351340	蛀牙蛀得很严重
351340	352660	你是像那种小朋友
352660	353820	在小学的时候
353820	355100	就是有一些牙齿有脱落的时候
355100	356060	中间那两颗门牙
356060	358580	两边会凹进去这样蛀掉吗
358580	359500	你知道我说的那种吗
359500	360940	就是吃糖果
360940	361780	然后他两颗门牙
361780	364300	两侧就会凹进去这样蛀掉
364300	365660	就是从两侧开始往内蛀
365660	367540	超多小朋友的牙齿长这样的
367540	368780	那个就是没有用牙线吧
368780	369140	的感觉
369140	370740	我觉得是啊
370740	372980	反正我就是那个门牙蛀得很严重
372980	375260	然后这个门牙治疗的过程很久
375260	376460	非常的痛苦
376460	377180	总而言之
377180	378420	最后甲乙判断说
378420	379860	这个门牙抱不住了
379860	380540	报废了
380540	381580	没救了
381580	383180	你才小学你的门牙就报废了
383180	383700	没错
383700	384220	所以我大概
384220	386060	我记得我在小五小六的时候
386060	388220	两个门牙就去抽神经了
388220	389020	好少
389020	390660	应该就是因为蛀太深
390660	391660	所以他会治疗到最后
391660	392700	会把你就是
392700	393940	抽神经
393940	394500	痛到爆这样
394500	395420	我现在听你讲的时候
395420	396580	忍不住用舌头一直
396580	398020	就顶我的门牙
398020	398580	还好
398580	399580	其实怎么说呢
399580	401700	看这个门牙蛀牙的过程
401700	403100	从头到尾都非常痛苦
403100	403780	一直到最后
403780	405260	医生宣布没救
405260	405940	宣布死刑
405940	407140	抽神经
407140	408260	之后就舒服多了
408260	409380	你反而松一口气
409380	411620	没有神经之后好多了
411620	412180	好吧
412180	413500	你也不用再去看牙医了
