start	end	text
0	2000	大家好 我是菁姐之大段
2000	4000	大家好 我是很凡
4000	6000	我們現在每次開頭先吐槽一下你講好不好這樣
6000	8000	我覺得差不多快到有點無聊了
8000	10000	所以不用再那個了
10000	12000	因為我已經很順了你已經沒有東西可以吐槽了
12000	14000	我發現很多人完全沒有聽懂就是
14000	16000	攝影師到底叫甚麼名字
16000	18000	我覺得差不多快到有點無聊了
18000	20000	我覺得差不多快到有點無聊了
20000	22000	因為我已經很順了你已經沒有東西可以吐槽了
22000	24000	有很多人完全沒有聽懂
24000	26000	就是攝影師到底叫甚麼名字
26000	28000	就是攝影師到底叫甚麼名字
28000	30000	就是 攝影師到底叫什麼名字
30000	32000	就是 很煩 沒有錯
32000	34000	對 這是他自己取的
34000	36000	沒有 這是大學的時候
36000	38000	因為有一段時間
38000	40000	他不知道為什麼 在班上
40000	42000	我就覺得他很煩
42000	44000	對 是有段時間我們在上那個
44000	46000	是你取的嗎
46000	47000	那個 設計課吧
47000	48000	就是大家會湊在一起
48000	49000	討論事情的時候
49000	50000	然後他那一天呢
50000	51000	就是不知道講到一個什麼
51000	52000	很小好笑的事情
52000	54000	然後他就一直重複 一直算
54000	56000	還是一直兩我同一個梗
56000	57000	然後我就說
57000	58000	你不要叫游很煩好了
58000	59000	叫游很煩好了
59000	61000	但是其實沒有人真的這樣叫啊
61000	62000	不 然後從那時候我就叫他很煩
62000	63000	然後女生都叫他很煩
63000	64000	喔 是嗎
64000	65000	對
65000	66000	但是男生沒有人真的這樣叫啊
66000	67000	男生沒有啊
67000	69000	但是我完全不記得這件事情
69000	71000	那你為什麼還要幫自己取這個名字
71000	73000	因為我到現在還是這樣叫他
73000	74000	是嗎 你平常有叫他
74000	76000	你平常不是只叫本名嗎
76000	79000	我傳那個打訊息的時候
79000	80000	我都是打很煩
80000	81000	或是跟另外一個人
81000	82000	跟我老婆講
82000	84000	第三 講我的時候就會這樣
84000	85000	真的喔
85000	86000	只是沒有跟你這樣講而已
86000	87000	所以
87000	88000	所以我都是
88000	89000	我如果說叫他名字的話
89000	90000	都還是叫原名
90000	91000	沒有 你有說你
91000	93000	你說 欸你知道嗎
93000	94000	那是聽眾沒有人知道
94000	96000	你在跟誰講話
97000	99000	下一個回話就知道是誰啦
99000	100000	喔 對啦 對
100000	101000	理論上是這樣沒有錯
101000	102000	喔 好
102000	103000	我們現在再簡介一下
103000	104000	好笑姐現在肚子的狀況
104000	105000	就是我們
105000	107000	我們現在是每次都要一個更新嗎
107000	108000	對啊
108000	110000	這個比較需要時時的記錄啊
110000	112000	我們上次錄的時候是禮拜天
112000	113000	對
113000	114000	晚上
114000	116000	今天是禮拜二的晚上
116000	117000	嗯
117000	118000	然後這三天
118000	119000	情況
119000	120000	完全沒有改變
120000	121000	對
121000	122000	就是陷入一個膠著
122000	123000	欸 沒錯
123000	124000	陷入一個膠著
124000	125000	就是
125000	126000	聯邦好像很努力的
126000	127000	想要把自己蹬下來
127000	128000	就是很用力啊
128000	129000	對 他用力的往上踢
129000	131000	想把自己往下擠這樣
131000	133000	但效果並不十分顯著
133000	134000	沒錯
134000	135000	而且我覺得他被我們室友嚇到
135000	136000	現在不管出來
136000	137000	因為他太吵了
138000	139000	喔 對
139000	140000	就是我們那室友他
140000	141000	不知道他有一個魔力耶
141000	142000	嗯
142000	143000	就是那小孩一直在那個
143000	144000	踢啊
144000	145000	然後承傳很痛的時候
145000	146000	啊我就會摸他的肚子嘛
146000	147000	嗯
147000	148000	然後
148000	149000	起到一個安撫
149000	151000	承傳本人的這個作用
151000	152000	但是基本上
152000	153000	沒辦法安撫小孩啊
153000	154000	對
154000	155000	就是安撫他本人
155000	156000	但是每次你摸的時候
156000	157000	聯邦都會特別興奮
157000	158000	對 對 對
158000	159000	因為有人跟他互動
159000	160000	然後我就會更痛
160000	161000	他就很開心
161000	162000	對
162000	163000	但是我那個室友喔
163000	164000	因為他會很好奇
164000	165000	就是喔肚子在動
165000	166000	他很興奮
166000	167000	對
167000	168000	然後他室友他就會也來摸一下
168000	169000	然後他手一放上
169000	170000	承傳的肚子
170000	171000	聯邦就不敢動了
171000	172000	對喔
172000	173000	就是一種
173000	174000	不知道耶
174000	175000	他會散發出一種
175000	176000	生物的本能
176000	177000	沒錯
177000	178000	但是有人高馬大
178000	180000	對 他體型比較壯碩一點
180000	182000	所以聯邦可能感覺到就是有
182000	184000	有壓力
184000	186000	從生命的深處感到威脅
186000	187000	我們試過蠻多次的
187000	188000	真的是這樣
188000	189000	超神奇
189000	190000	蠻有趣的
190000	191000	所以現在是不是因為
191000	192000	我室友的關係
192000	193000	所以聯邦現在不敢出來
193000	194000	不曉得
194000	195000	然後他嗓門又蠻大的
195000	196000	他是不是有點被
196000	197000	這個世界的聲音震懾了
197000	198000	好害怕喔
198000	199000	不曉得
199000	201000	從禮拜天到現在
201000	202000	狀況差不多
202000	204000	就是肚子一直有一種下沉感
204000	206000	然後隱隱約約有種驚痛的感覺
206000	207000	對
207000	208000	那據我們
208000	209000	就是現在
209000	210000	我只要遇到任何人
210000	212000	他就是有生小孩的經驗
212000	213000	我都跟他說
213000	215000	你是幾週的時候生的
215000	217000	然後你那個陣痛持續了多久
217000	219000	就是產前有沒有什麼陣燥這樣
219000	220000	對
220000	222000	然後每個人落差都很大
222000	224000	所以說我們歸納出來
224000	225000	就是郝威小姐現在這個狀況
225000	226000	有下沉感
226000	227000	有一點驚痛
227000	229000	可能會持續一到一週
